,name,link,lyrics
0,Amazing ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Amazing_25%20Hours,"
วันนี้เรื่องราวที่เคยได้เจอกันในความฝัน จะเป็นจริงทุกอย่าง เธอจะมีทุกอย่าง
ดอกไม้กำลังร้องเพลงเพื่อมอบให้เธอกับฉัน คือเสียงเพลงที่ให้เราเบิกบาน

* it's amazing it's amazing โลกแห่งความฝันอยู่ไม่ไกล ( มีทุกสิ่งพร้อมจะมอบให้เธอ )
it's amazing it's amazing แค่เธอพร้อมเดินไปด้วยกัน สิ่งที่เธอฝันนั้นกำลังรอ เป็นขอเธอ

ตรงนี้มีความงดงามเหมือนธรรมชาติสร้วงสรรค์ มีแต่ความพิเศษ รอให้เธอพิสูจน์
เมื่อสายลมที่พริ้วไหวชวนให้ต้นไม้เต้นรำ อยากให้เธอได้เต้นไปด้วยกัน

it's amazing it's amazing โลกแห่งความฝันอยู่ไม่ไกล ( มีทุกพร้อมจะมอบให้เธอ )
it's amazing it's amazing แค่เธอพร้อมเดินไปด้วยกัน สิ่งที่เธอฝันนั้นกำลังรอ

จะพาเธอไปยังที่แห่งนั้น สิ่งที่เธอฝันจะไม่เป็นแค่ฝัน

it's amazing it's amazing โลกแห่งความฝันอยู่ไม่ไกล ( มีทุกพร้อมจะมอบให้เธอ )
it's amazing it's amazing แค่เธอพร้อมเดินไปด้วยกัน

( ซ้ำ * )"
1,Come on ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Come%20on_25%20Hours,"
ในคืนนี้แล้วเราก็ได้เจอกัน ค่ำคืนนี้ให้เราได้อยู่ด้วยกัน ( come on )
ตามฉันมา ตามฉันมา

ในคืนนี้ฉันเองก็ไม่มีใคร แล้วรู้ดีว่าเธอก็ไม่มีใคร ( come on )
เชื่อฉันเถอะ มาทางนี้

* ให้เธอได้ la ไปพร้อมกัน ให้เธอได้ la ไปกับฉัน

ในคืนนี้แสงไฟจะส่องที่เธอ ฉันสาบานทุกคนต้องแอบมองเธอ ( come on )
โชว์ฉันหน่อย มาทางนี้

( ซ้ำ * )

( ซ้ำ * , * )"
2,Have you here (happy new year),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Have%20you%20here%20(happy%20new%20year)_25%20Hours,"
Long ago I was alone 
needed someone set me free.
Many years I sing alone 
but now You sing with me.
Everything you've given me 
have made me understand.

Good to have you here with me

When I fly I hope you'll fly with me.
When you cry I will try to make you free.

All the time and all the day 
I want you to stay with me.
Everywhere I sing a song 
you know want you to hear
I will say ""Happy New Year"" 
to you in every year
Good to have you here with me

When I fly I hope you'll fly with me.
When you cry I will try to make you free.

All the time and all the day 
I want you to stay with me.
Everywhere I sing a song 
you know want you to hear
I will say ""Happy New Year"" 
to you in every year
Good to have you here with me

Happy New Year Happy New Year ya ya ya ya
Happy New Year Happy New Year ya ya ya ya
Happy New Year Happy New Year ya ya ya ya
Happy New Year Happy New Year ya ya ya ya
Happy New Year"
3,Midnight serenade ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Midnight%20serenade_25%20Hours,"
มีเพียงแค่เราคืนนี้ มีดวงดาวพร่างพราย เป็นพยานรักเรา
ลำธารจะคอยกล่อมเกลา ลมจะคอยคลอเคล้า เป็นทำนองดนตรี

* เพลงจะบรรเลงก้องไปไกล จะบรรเลงก้องไปไกล ไปยิ่งนานเท่านาน

มีเพียงแค่เราคืนนี้ มีดวงดาวพร่างพราย เป็นพยานรักเรา
กองไฟจะคลายความหนาว ฉันและเธอหยอกเย้าตามทำนองดนตรี

( ซ้ำ * )


( ซ้ำ * , * )"
4,Wow!,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Wow!_25%20Hours,"
มีใครเคยอยากเปลี่ยนโลกบ้างไหม
ผมว่าคุณก็เคย 
ลองเปลี่ยนตัวเองดูก่อนไหม
เรามาเริ่มกันเลย

ทำแบบเดิมไม่มีเซอไพรซ์
ผมว่าใครก็เซ็ง
เพลงชีวิตจะเป็นแบบไหน 
อยู่ที่คุณบรรเลง

Get Out Get Out
ขอให้คุณมั่นใจ และก้าวออกมา
Get Out Get Out
หนีมันไปให้ไกล แม้จะไม่เหลือใคร
Wow Get Out

ทำตามใครไม่ดีถูกไหม
ผมว่าคุณจะเบลอ
ทำตามใจตัวเองสักครั้ง
ผมว่าคุณจะเจอ

Get Out Get Out
ขอให้คุณมั่นใจ และก้าวออกมา
Get Out Get Out
หนีมันไปให้ไกล แม้จะไม่เหลือใคร
Wow Get Out

Get Out Get Out
ขอให้คุณมั่นใจ และก้าวออกมา
Get Out Get Out
หนีมันไปให้ไกล แม้จะไม่เหลือใคร

Get Out Get Out
ขอให้คุณมั่นใจ และก้าวออกมา
Get Out Get Out
หนีมันไปให้ไกล แม้จะไม่เหลือใคร
Wow Get Out"
5,กลับมาเหมือนเดิม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กลับมาเหมือนเดิม_25%20Hours,"
จำได้มั้ย ห้องเก่าเก่า มีต้นไม้ที่เธอให้ฉัน ไว้เมื่อก่อน
และมันรอคอย ทุกเวลา ให้เธอมาใส่ใจรดน้ำ เหมือนเมื่อก่อน
มันรอคอย รอเหมือนฉันรอแต่เธอ

* ใครบางคน บอกเอาไว้ มันไม่ง่ายเท่าไหร่ แต่บางคน บอกกับฉัน ก็ไม่ยากถ้าจะให้อภัย
เรื่องคราวนั้นฉันเสียใจ ผิดไปแล้ว ลืมได้มั้ย ให้เรา กลับมา กลับมาเหมือนเดิม

จำได้มั้ย ภาพเก่าเก่า มันเหมือนฝันเมื่อเรารักกัน ทุกนาที
อยากให้เธอ ลองนึกย้อนดูอีกที

( ซ้ำ * )

กลับมาเหมือนเดิม กลับมาเหมือนเดิม"
6,คนข้างข้าง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนข้างข้าง_25%20Hours,"
เธอเห็นขอบฟ้านั้นไหม สักวันจะพาเธอไป
บนทางที่มี บางทีก็หกล้ม ไม่เป็นไร

มีเธอเป็นเพื่อนร่วมทาง จับมือเคียงข้างไม่ห่าง
แค่นี้ก็พอ ชีวิตก็มีครบ แล้วทุกอย่าง

อู้วว ทำทุกวันที่มีให้งดงาม (ด้วยกัน)
เชื่อว่าวันดีๆ มันจะรออยู่ที่ปลายทาง (โว๊ะโอโอโอโอ่)

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง

ที่นี้คือโลกอีกใบ ที่นี้จะไม่มีใคร
แค่เธอกับฉัน ที่รู้ว่าโลกนี้ เป็นยังไง

อู้วว ทำทุกวันที่มีให้งดงาม (ด้วยกัน)
เชื่อว่าวันดีๆ มันจะรออยู่ที่ปลายทาง (โว๊ะโอโอโอโอ่)

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง

อู้วว ทำทุกวันที่มีให้งดงาม (ด้วยกัน)
เชื่อว่าวันดีๆ มันจะรออยู่ที่ปลายทาง (โว๊ะโอโอโอโอ่)

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง

แค่เธออยู่ข้างๆ อ๊ะอ่าว ก็เปลี่ยนให้ชีวิตฉันไม่เหมือนเก่า
เธอทำให้ถนน ของฉันสวยงาม (โว๊ะโอโอโอโอ่)
ในวันที่เราเริ่ม เดินทาง แค่เพียงมีเธอเดินกับฉันข้างๆ
ก็ทำให้โลกนี้ นั้นสดใส สวยงามไปทุกอย่าง"
7,คำตอบ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คำตอบ_25%20Hours,"
ถึงเวลา ไตร่ตรองทุกอย่าง
ทบทวนทุกสิ่ง ในวันที่เคยผ่านมา
แม้บางคราอาจมีน้ำตา
แม้เคยต้องเจ็บ แต่มันก็เลยผ่านไป

คงมีสักวัน วันที่ฉันไปถึงมัน
วันที่ฉันจะเจอ ซึ่งวันนั้น

จะมีสักวัน ที่มีดาว
และมีคราวที่พบคำตอบ
จะมีสักวันที่มีดาว
และวันนั้นฉันจะเจอ

แสงดวงดาวยังรอฉันอยู่
ฉันจะต้องไป จะไกลสักเท่าไรกัน
ทุกคืนวัน ที่ตัวฉันมี
ขอทำทุกอย่าง ก่อนวันที่จะจากไป

คงมีสักวัน วันที่ฉันไปถึงมัน
วันที่ฉันจะเจอ ซึ่งวันนั้น

จะมีสักวัน ที่มีดาว
และมีคราวที่พบคำตอบ
จะมีสักวันที่มีดาว
และวันนั้นฉันจะเจอ

จะมีสักคราวที่ไปถึงดาว
ต่อให้มันจะไกลสักเท่าไร
จะมีสักคราวที่ไปถึงดาว
ต่อให้มันจะไกลสักเท่าไร

จะมีสักคราวที่ไปถึงดาว
ต่อให้มันจะไกลสักเท่าไร
จะมีสักคราวที่ไปถึงดาว
ต่อให้มันจะไกลสักเท่าไร

คงมีสักวัน วันที่ฉันไปถึงมัน
วันที่ฉันจะเจอ ซึ่งวันนั้น

จะมีสักวัน ที่มีดาว
และมีคราวที่พบคำตอบ
จะมีสักวันที่มีดาว
และวันนั้นฉันจะเจอ

จะมีสักวัน ที่มีดาว
และมีคราวที่พบคำตอบ
จะมีสักวันที่มีดาว
และวันนั้นฉันจะเจอ"
8,คำตอบที่ใช่ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คำตอบที่ใช่_25%20Hours,"
เพลงพิเศษจาก ดาว คอฟฟี่

ครั้งหนึ่ง ที่เธอมีชีวิตอยู่
เธอควรจะได้รู้ ว่ารักใคร
แสงดาว และท้องฟ้าที่กว้างใหญ่
ก็รอให้เธอค้น หาคำตอบ

ถ้าเธอไม่ลองก็ไม่รู้
ไม่ลองเปิดดูก็ไม่เจอ
ชีวิตที่แท้เป็นของเธอ ใช่ไหม
ยิ่งลองเท่าไร ก็ยิ่งรู้ ฮู อู้ว อู่ อู้
And you will find what's in you

ครั้งเดียว ที่มีลมหายใจอยู่
ให้เธอได้เรียนรู้ ให้เข้าใจ
ทุกวัน ยังมีแสงของวันใหม่
ส่องทางให้เธอพบ ทุกคำตอบ

ถ้าเธอไม่ลองก็ไม่รู้
ไม่ลองเปิดดูก็ไม่เจอ
ชีวิตที่แท้เป็นของเธอ ใช่ไหม
ยิ่งลองเท่าไร ก็ยิ่งรู้ ฮู อู้ว อู่ อู้
And you will find what's in you
And you will find what's in you

ถ้าเธอไม่ลองก็ไม่รู้
ไม่ลองเปิดดูก็ไม่เจอ
ชีวิตที่แท้เป็นของเธอ ใช่ไหม
ยิ่งลองเท่าไร ก็ยิ่งรู้ ฮู อู้ว อู่ อู้

ถ้าเธอไม่ลองก็ไม่รู้
ไม่ลองเปิดดูก็ไม่เจอ
ชีวิตที่แท้เป็นของเธอ ใช่ไหม
ยิ่งลองเท่าไร ก็ยิ่งรู้ ฮู อู้ว อู่ อู้
And you will find what's in you"
9,คิดเหมือนกันหรือเปล่า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดเหมือนกันหรือเปล่า_25%20Hours,"
ฉันรู้สึกเราเข้ากันพอดี
ยิ้มที่เธอมีไม่เหมือนใครใคร
รู้หรือเปล่าว่าฉันเพ้อไปไกล
ทุกนาที ที่ได้พบกับเธอ

(huhuhu...) อยากอ่านความคิดเธอออก
(huhuhu...) ช่วยบอกสักคำได้ไหม

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า

ฝันของฉันวันนี้มีเพียงเธอ
ฝันของเธอมีฉันบ้างหรือเปล่า
ฉันคอยจดจำเรื่อราวของเรา
หรือว่าเธอไม่ได้คิดอะไร

(huhuhu...) อยากอ่านความคิดเธอออก
(huhuhu...) ช่วยบอกสักคำได้ไหม

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า

คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า
คิดเหมือนกันหรือเปล่า
เป็นเหมือนฉันหรือเปล่า"
