,name,link,lyrics
0,Love Blind,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Love%20Blind_อพาร์ตเมนต์คุณป้า,"
I’m everyone. I am no one.The color in the sun. Bullet in the gun.I mess around. I feel so proud.I’m in the sound of the underground.No apology for who we are.Cause in the end we arecursed to be superstars.I know you who knows me.When love is blind.That’s why you cannot see me.I know you who knows me.When love is blind.That’s why you cannot see me.I’m everywhere. I am nowhere.Love is in the air. But no one cares.I mess around. I feel so proud.I’m in the sound of the underground.No apology for who we are.Cause in the end we arecursed to be superstars.I know you who knows me.When love is blind.That’s why you cannot see me.I know you who knows me.When love is blind.That’s why you cannot see me.I know you who knows me.When love is blind.That’s why you cannot see me.I know you who knows me.When love is blind.That’s why you cannot see me.I know you who knows me.When love is blind.That’s why you cannot see me.I know you who knows me.When love is blind.That’s why you cannot see me."
1,ดื่ม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ดื่ม_อพาร์ตเมนต์คุณป้า,"
ยกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและสงครามน้ำเมายกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและการเมืองน้ำเน่าสิบปีที่แล้วผมเขียนเพลงกำแพงให้กับความแตกแยกที่เริ่มจะรุนแรงที่เกิดจากลัทธิที่เรียกว่าการตลาดหน้าตาเทพบุตรเบื้องหลังคือปิศาจจับมือมากับเพื่อนชื่อบริโภคนิยมเป็นแรงดันขับเคลื่อนหมุนโลกเป็นวงกลมสร้างภาพเพื่อยกย่องให้เราเป็นผู้บริโภคผู้แลดูว่าแข็งแรงที่แท้เต็มไปด้วยโรควาดภาพในวิมานด้วยจิตรกรรมเศรษฐกิจดูดวิญญาณและความฝันเหมือนกับเป็นปรสิตดูดจนเราแห้งเหี่ยว ดูดจนเราหมดแรงแล้วหลอกเอายารักษาโรคมาขายราคาแพงแล้วผมก็ต้องซื้อ แล้วคุณก็ต้องจ่ายแล้วเราก็เดินตามว่านอนสอนง่ายเจ็บปวดเป็นบทเรียนอีกสักพักเราก็ลืมดนตรีพร้อม สุราพร้อม มายกแก้วขึ้นดื่มยกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและสงครามน้ำเมายกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและการเมืองน้ำเน่าสะกดเป็นไหมครับคำว่าสามัคคีถ้าสะกดไม่เป็นจะสอนให้ฟรีฟรีสะกดเป็นไหมครับคำว่าทางเลือกถ้าผมจะเขียนให้โปรดอย่าหาว่าผมเสือกเพราะว่าอิสรภาพเริ่มจะหายไปจากดนตรีในยุคที่เสียงเพลงถูกมองว่าเป็นของฟรีคุณเดินเข้าไปในห้างก็ดันมีฟรีคอนเสิร์ตให้ฟังนักดนตรีคือกะหรี่ที่คุณปี้โดยไม่จ่ายตังค์ขอเสียงปรบมือหน่อยครับ ให้สปอนเซอร์ผู้สนับสนุนจริงจริง จะทำให้คุณเผลอควักเอาธนบัตรมาซื้อสินค้าสะะดีดีเพราะทุกอย่างในโลกไม่ได้มีอะไรฟรีที่พูดมาทั้งหมดนี้ไม่ใช่แอนตี้ทุนนิยมแต่อิสระในการเลือกคือจุดยืนของผมอิสระในทางเลือกคือ สิทธิของทุกคนไม่มีเหลืองไม่มีแดงมีแต่ประชาชนยกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและสงครามน้ำเมายกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและการเมืองน้ำเน่ายกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและสงครามน้ำเมายกมาเลยครับผมจะดื่มแม่งทุกขวดดื่มเพื่อความเพลิดเพลินไม่ใช่ให้หัวมันปวดดื่มให้กับความแตกแยกในประเทศของเราทั้งสงครามกีฬาสีและการเมืองน้ำเน่ายกมาเลยครับ ยกมาเลยครับ ยกมาเลยครับยกมาเลยครับ ยกมาเลยครับ ยกมาเลยครับข้อมูลลิขสิทธิ์คำร้อง/ทำนอง: ตุล ไวฑูรเกียรติเรียบเรียง: อพาร์ตเมนต์คุณป้าสังกัด: สนามหลวง มิวสิค"
2,นาฬิกาทราย,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/นาฬิกาทราย_อพาร์ตเมนต์คุณป้า,"
ฉันคิดฉันฝัน ฉันเมาฉันหลง ฉันเป็นฉันได้ยินเสียง ฉันได้กลิ่นมัน แต่ก็คงไม่เห็นเมื่อการเดินทางที่แสนเดียวดาย มันช่างลำเค็ญและการจากลา มันยากเพราะว่า ฉันนั้นคือนาฬิกาทรายผู้ละเลยเรื่องวันเวลาแต่นาฬิกาทรายจะทักทายถ้าหมดเวลาวันเดือนปีที่ล่วงเลยคงไม่คืนกลับมาเมื่อนาฬิกาทรายได้ทักทายว่าหมดเวลานานา นานา นานา นานาฉันยืนตัวตรงฉันโดนกลับหัวแล้วไงฉันได้ยินเสียงผู้คนหัวเราะบอกว่าไม่เป็นไรการเป็นพยานแห่งห้วงเวลามันแสนเซ็งคือประสบการณ์ที่ทำให้รู้ว่าฉันนั้นคือนาฬิกาทรายผู้ละเลยเรื่องวันเวลาแต่นาฬิกาทรายจะทักทายถ้าหมดเวลาวันเดือนปีที่ล่วงเลยคงไม่คืนกลับมาเมื่อนาฬิกาทรายได้ทักทายว่าหมดเวลานานา นานา นานา นานากลับตัวฉันเถิดถ้ามันมีประโยชน์เหนี่ยวรั้งห้วงเวลาชีวิตที่ว่างเปล่าคงจะไม่สูญเปล่าหากเราหยุดค้นหานาฬิกาทรายผู้ละเลยเรื่องวันเวลาแต่นาฬิกาทรายจะทักทายถ้าหมดเวลาวันเดือนปีที่ล่วงเลยคงไม่คืนกลับมาเมื่อนาฬิกาทรายได้ทักทายว่าหมดเวลานาฬิกาทรายผู้ละเลยเรื่องวันเวลาแต่นาฬิกาทรายจะทักทายถ้าหมดเวลาวันเดือนปีที่ล่วงเลยคงไม่คืนกลับมาเมื่อนาฬิกาทรายได้ทักทายว่าหมดเวลานานา นานา นานา นานานานา นานา นานา นานา"
3,บวรวิทย์,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/บวรวิทย์_อพาร์ตเมนต์คุณป้า,"
เบื่อจริงจริงกับการนั่งยอง ๆ จ้องมองแต่ควันบุหรี่เบื่อจริงจริงกับการสนทนา ฆ่าเวลาด้วยขวดวิสกี้ตั้งคำถามโง่ ๆ เดิม ๆ ว่าเราจะเดินไปทางไหนตัดสินใจล้มตัวลงนอน ถ้ายังไม่พร้อมก็ไม่เห็นต้องไปโว๊ะโอโว๊ะโอ๊ะโอ อนาคตไม่มีใครหยั่งรู้โว๊ะโอโว๊ะโอ๊ะโอ คนบางคนยังต้องพึ่งหมอดูโว๊ะโอโว๊ะโอ๊ะโอ ไม่มีจริงหรอกสัจธรรมโว๊ะโอโว๊ะโอ๊ะโอ รู้อย่างเดียวอีกามีสีดำอยากเปลือยกายวิ่งลงทะเล แล้วว่ายไปเพื่อให้หลุดพ้นแต่ก็กลัว เพราะไม่มีใคร รอดชีวิตกลับมาได้สักคนนั่งสมาธิใช้ปัญญา บำบัดความบ้าในจิตใจนั่งนานเกินเลยล้มตัวลงนอน อากาศร้อนแต่ก็อยากจุดไฟโว๊ะโอโว๊ะโอ๊ะโอ อนาคตไม่มีใครบอกเราโว๊ะโอโว๊ะโอ๊ะโอ แม้แต่เทวดายังต้องเดาโว๊ะโอโว๊ะโอ๊ะโอ ไม่มีจริงหรอกปรัชญาโว๊ะโอโว๊ะโอ๊ะโอ ท่องนะโมก่อนจะจิบสุราโว๊ะโอโว๊ะโอ๊ะโอ อนาคตไม่มีใครบอกเราโว๊ะโอโว๊ะโอ๊ะโอ แม้แต่เทวดายังต้องเดาโว๊ะโอโว๊ะโอ๊ะโอ ไม่มีจริงหรอกปรัชญาโว๊ะโอโว๊ะโอ๊ะโอ ท่องนะโมก่อนจะจิบสุราโว๊ะโอโว๊ะโอ๊ะโอ รู้อย่างไรจะมีวันพรุ่งนี้โว๊ะโอโว๊ะโอ๊ะโอ เราอาจนอนไม่ตื่นอีกหลายปีโว๊ะโอโว๊ะโอ๊ะโอ ไม่มีจริงหรอกเหตุและผลโว๊ะโอโว๊ะโอ๊ะโอ บวรวิทย์บอกมา บอกมา ว่าเราแม่งก็คน"
4,ปรากฎการณ์,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ปรากฎการณ์_อพาร์ตเมนต์คุณป้า,"
รักเหมือนเป็นหนังสือ ที่ต้องอ่าน
อนาคตคือจดหมาย จากเมื่อวาน
บันทึกทุกถ้อยคำที่ทรมาน
และมันก็ทำให้เข้าใจ
การเปลี่ยนแปลง

ว่าบางครั้งรักเปรียบเหมือน แสงตะวัน
ที่ทำให้โลกเกิดเงา บนพระจันทร์
มันคือปรากฎการณ์ของกันและกัน
เจ็บปวดสุขสันต์ก็ต้องจดจำเอาไว้

อย่าลืมความสำคัญ ของวันก่อน
วันที่ร้อนมีเธอผ่อนคลาย
ในสุดท้ายต้องจากไป
อย่าลืมความสำคัญ ของคนก่อน
คนที่สอนให้ได้รู้จัก
ว่ารัก เป็นเหมือนรอยสัก
เจ็บปวดแต่งดงาม

บางครั้งรักเปรียบเหมือน แสงตะวัน
ที่ทำให้โลกเกิดเงา บนพระจันทร์
มันคือปรากฎการณ์ของกันและกัน
เจ็บปวดสุขสันต์ก็ต้องจดจำเอาไว้

อย่าลืมความสำคัญ ของวันก่อน
วันที่ร้อนมีเธอผ่อนคลาย
ในสุดท้ายต้องจากไป
อย่าลืมความสำคัญ ของคนก่อน
คนที่สอนให้ได้รู้จัก
ว่ารัก เป็นเหมือนรอยสัก ใช่ไหม

หากเราจะมองตัวเองในวันที่ไม่มีใคร
อาจเจอคนที่รู้จักที่ฝัง
ลงในส่วนลึกของจิตใจ

อย่าลืมความสำคัญ ของวันก่อน
วันที่ร้อนมีเธอผ่อนคลาย
ในสุดท้ายต้องจากไป
อย่าลืมความสำคัญ ของคนก่อน
คนที่สอนให้ได้รู้จัก
ว่ารัก เป็นเหมือนรอยสัก
เจ็บปวดแต่งดงาม

คนที่สอนให้ได้รู้จัก
ว่ารัก เป็นเหมือนรอยสัก
เจ็บปวดแต่งดงาม"
5,ปรากฏการณ์ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ปรากฏการณ์_อพาร์ตเมนต์คุณป้า,"
รักเหมือนเป็นหนังสือ ที่ต้องอ่าน อนาคตคือจดหมาย จากเมื่อวาน
บันทึกทุกถ้อยคำที่ทรมาน และมันก็ทำให้เข้าใจ การเปลี่ยนแปลง

ว่าบางครั้งรักเปรียบเหมือน แสงตะวัน ที่ทำให้โลกเกิดเงา บนพระจันทร์
มันคือปรากฏการณ์ของกันและกัน เจ็บปวดสุขสันต์ก็ต้องจด จำเอาไว้

อย่าลืมความสำคัญ ของวันก่อน วันที่ร้อนมีเธอผ่อนคลาย
ในสุดท้ายต้องจาก และอย่าลืมความสำคัญ ของคนก่อน
คนที่สอนให้ได้รู้จัก ว่ารัก เป็นเหมือนรอยสัก เจ็บปวดแต่งดงาม

บางครั้งรักเปรียบเหมือน แสงตะวัน ที่ทำให้โลกเกิดเงา บนพระจันทร์
มันคือปรากฏการณ์ของกันและกัน เจ็บปวดสุขสันต์ก็ต้องจด จำเอาไว้

อย่าลืมความสำคัญ ของวันก่อน วันที่ร้อนมีเธอผ่อนคลาย
ในสุดท้ายต้องจาก และอย่าลืมความสำคัญ ของคนก่อน
คนที่สอนให้ได้รู้จัก ว่ารัก เป็นเหมือนรอยสัก ใช่ไหม

หากเราจะมองตัวเองในวันที่ไม่มีใคร อาจเจอคนที่รู้จัก ที่ฝังลงในส่วนลึกของจิตใจ

( ซ้ำ * )

คนที่สอนให้ได้รู้จัก ว่ารักเป็นเหมือนรอยสัก เจ็บปวดแต่งดงาม"
6,ปายฝนต้นหนาว,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ปายฝนต้นหนาว_อพาร์ตเมนต์คุณป้า,"
เดินออกจากมหานครอันวุ่นวาย  มาสู่ดินแดน แห่งหุบเขาในนิยาย
ให้เราทบทวนเรื่องราวมากมาย ก่อนที่วันเวลาจะกลืนความคิดที่เดียวดาย

เดือนตุลา ไร้เสียงเพลงแค่ชั่วคราว เงียบงันเหลือเกินลมหนาว

อาจจะเป็นฝนสุดท้ายของปาย หลั่งชโลมคืนร้ายๆของเรา
อาจจะมีเสียงฟ้าร้องเบาๆกลบความว่างเปล่าที่คุ้นชิน
อาจจะเป็นคำอำลาของสองคน ที่ทิวสนไม่เคยได้ยิน
อาจจะเป็นเรื่องเท็จหรือเรื่องจริง สุดท้ายแล้วมันคือสิ่งที่ฉันไม่เข้าใจ

คำตอบที่ไม่เคยได้ถามไถ่ คือบททดสอบที่ทำให้ฉันหวั่นใจ
ค่ำลงหนท่งเดิมแลดูยิ่งไกล เบื้องบนมีเมฆบดบังจนแสงดาวลับไป

เดือนตุลา ไร้เสียงเพลงแค่ชั่วคราว เงียบงันเหลือเกินลมหนาว

อาจจะเป็นฝนสุดท้ายของปาย หลั่งชโลมคืนร้ายๆของเรา
อาจจะมีเสียงฟ้าร้องเบาๆกลบความว่างเปล่าที่คุ้นชิน
อาจจะเป็นคำอำลาของสองคน ที่ทิวสนไม่เคยได้ยิน
อาจจะเป็นเรื่องเท็จหรือเรื่องจริง สุดท้ายแล้วมันคือสิ่งที่ฉันไม่เข้าใจ"
7,เปลือก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เปลือก_อพาร์ตเมนต์คุณป้า,"
ฉันเปลี่ยน ได้แค่เพียงเปลือก แต่เมล็ดพันธุ์ที่ฉันเลือกถูกกำหนดไว้
เมื่อฉันเกิด ขึ้นแค่เพียงชั่วคราว ก่อนฤดูกาลร้อนฝนหนาวได้เลยผ่านไป

* หากเราคือดวงตะวัน ที่เฉิดฉายในยามราตรี
ไม่ว่าจะร้ายหรือดีเรายังมีเสียงดนตรี ที่ไม่แคร์แม้จะร้องผิดคีย์

** น้าหน่า น้านานาหน่า น้าหน่า น้านานาหน่า ดนตรีคือชีวิต ชีวิตคือภาพมายา
น้าหน่า น้านานาหน่า น้าหน่า น้านานาหน่า เมากว่ายาเสพติด ศักดิ์สิทธิ์กว่าศาสนา

หนังสือ ไม่ได้ดีที่หน้าปก และความน่ากลัวของนรก ไม่ใช่ อยู่ที่เปลวไฟ
เมื่อความเป็นจริง ได้เกิดขึ้นเพียงชั่วคราว ก่อนฤดูกาลร้อนฝนหนาวได้เลยผ่านไป

( ซ้ำ * , ** )

( ซ้ำ * , ** , ** )"
8,ไม่รู้จักฉัน ไม่รู้จักเธอ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ไม่รู้จักฉัน%20ไม่รู้จักเธอ_อพาร์ตเมนต์คุณป้า,"
นั่งคนเดียวแล้วมองกระจก ที่สะท้อนแสงจันทร์วันเพ็ญ
โดดเดี่ยวกับความเหงา อยู่กับเงาที่พูดไม่เป็น
ฟังเพลงเดิมเดิมที่เรารู้จัก แต่ไม่รู้ความหมายของมัน
หากฉันจะหลับตาลงสักครั้ง และพบกับเธอผู้เป็นนิรันดร์

* หากความรักเกิดในความฝัน เราจุมพิตโดยไม่รู้จักกัน
ปฏิทินไม่บอกคืนและวัน ดั่งที่ฉันไม่เคยต้องการ
แต่อยากให้เธอได้พบกับฉัน เราสมรสโดยไม่มองหน้ากัน
จูบเพื่อร่ำลาในความสัมพันธ์ ก่อนที่ฉันจะปล่อยเธอหายไปโดยไม่รู้จักเธอ

ทบทวนเรื่องราวต่างต่าง ทุกทุกครั้งที่ฉันตื่นนอน
บทกวีไม่มีความหมาย ฉันงมงายสวดมนต์ขอพร
หากจะมีโอกาสอีกหน จะร่ายมนต์กับสายน้ำจันทน์
เพื่อจะได้หลับตาลงสักครั้ง แล้วพบกับเธอผู้เป็นนิรันดร์

( ซ้ำ * )


( ซ้ำ * )"
9,ระเบิดเวลา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ระเบิดเวลา_อพาร์ตเมนต์คุณป้า,"
* การสั่นสะเทือนทำสติฟั่นเฟือน ความเมามันส์ทำให้สมองเลอะเลือน
เฮ้ เยาวชน คุณต้องระวัง คุณอาจขายวิญญาณให้เสียงเพลงที่แผดดัง
ไม่มีเอกราช อนาคตของชาติ ร็อคแอนด์โรลนั้นทำให้คุณกลายเป็นทาส
ติดกับบทกวี ติดกับเสียงดนตรี ติดกับชีวิตโลดแล่นยามราตรี

** พร้อมหรือยังครับ พร้อมหรือยังครับ
พร้อมหรือยังครับ ถ้าผมร้องส่งขอให้คุณร้องรับ

*** เราคือระเบิด เวลาที่ทำลาย dance floor เพื่อล้างแค้นชาวร็อค ที่ไม่รู้จักพอ
เราคือระเบิด เวลาที่ทำลาย dance floor พวกเรามีความรัก ที่ไม่รู้จักรอ
เราคือระเบิด เวลาที่ทำลาย dance floor เพื่อล้างแค้นชาวร็อค ที่ไม่รู้จักพอ
เราคือระเบิด เวลาที่ทำลาย dance floor พวกเรามีความรัก ที่ไม่รู้จักรอ

( ซ้ำ * , ** , *** )

ระเบิดเวลา ระเบิดเวลา ระเบิดเวลา ระเบิดเวลา
ระเบิด ระเบิด ระเบิด เวลา ระเบิด ระเบิด ระเบิด เวลา
ระเบิด ระเบิด ระเบิด เวลา ระเบิด ระเบิด ระเบิด ระเบิด ระเบิด ระเบิดเวลา"
