,name,link,lyrics
0,Follow,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Follow_อะตอม%20ชนกันต์%20รัตนอุดม,"
ดึกแล้ว แต่สายตายังมองจ้องอยู่
ผมเดาเอาก็พอรู้ ว่าคุณไม่มีใครไปส่ง

*เมื่อร้านกำลังค่อยๆปิด ไฟกำลังค่อยๆดับ
ผู้คนก็ค่อยๆกลับ 
และผมก็คงไม่อาจปล่อยคุณไว้คนเดียว

**ถ้าหากว่าคุณไม่รู้ คุณก็ควรจะถาม
และหากคุณเริ่มไม่เป็นก็ขอให้คุณทำตาม
และหากว่าในคืนนี้คุณยังเขิน 
ผมจะเป็นคนเดินเข้าไปถาม 
ว่าคืนนี้มีใครไปส่งหรือยัง

ไม่ได้คิดร้าย แค่เสียงหัวใจข้างในร้องบอก
สุภาพสตรีที่ตรงนั้น ให้กลับคนเดียวคงอันตราย

*เมื่อร้านกำลังค่อยๆปิด ไฟกำลังค่อยๆดับ
ผู้คนก็ค่อยๆกลับ 
และผมก็คงไม่อาจปล่อยคุณไว้คนเดียว

**ถ้าหากว่าคุณไม่รู้ คุณก็ควรจะถาม
และหากคุณเริ่มไม่เป็นก็ขอให้คุณทำตาม
และหากว่าในคืนนี้คุณยังเขิน 
ผมจะเป็นคนเดินเข้าไปถาม 
ว่าคืนนี้มีใครไปส่งหรือยัง

Bridge
สัญญาจะไม่ทำอะไรที่มันเสียหาย
คุณไม่ต้องกังวลใจ
รับรองไปกับผมน่ะปลอดภัย
ผมจะกลับไปส่งคุณถึงบ้าน

**ถ้าหากว่าคุณไม่รู้ คุณก็ควรจะถาม
และหากคุณเริ่มไม่เป็นก็ขอให้คุณทำตาม
และหากว่าในคืนนี้คุณยังเขิน 
ผมจะเป็นคนเดินเข้าไปถาม 
ว่าคืนนี้มีใคร....

**ถ้าหากว่าคุณไม่รู้ คุณก็ควรจะถาม
และหากคุณเริ่มไม่เป็นก็ขอให้คุณทำตาม
และหากว่าในคืนนี้คุณยังเขิน 
ผมจะเป็นคนเดินเข้าไปถาม 
ว่าคืนนี้มีใครไปส่งหรือยังจ๊ะ

รถเมล์ก็ไม่มี taxi ก็ไม่ดี กลับไปกับพี่เถอะนะ
รถเมล์ก็ไม่มี taxi ก็ไม่ดี ไปเถอะ ไปเถอะนะ"
1,Good Morning Teacher,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Good%20Morning%20Teacher_อะตอม%20ชนกันต์%20รัตนอุดม,"
ครั้งนั้นฉันมีเธอที่เป็นคนสอนทุกอย่าง
ว่ารักแท้จริงอ่อนหวานสวยงามเช่นไร
ได้บทเรียนสุดท้ายคือความผิดหวังเมื่อเธอจากไป
ได้รู้การโดนหักหลังเจ็บปวดเพียงไหน

แต่ผ่านมานานแล้วเรื่องมันเก่าจบไปตั้งนานแล้ว
เรื่องของเราผ่านไปตั้งนานแต่บทเรียนนั้นยังอยู่
สวัสดีครับคุณครูบังเอิญเหลือเกินที่วันนี้พบกัน

Good morning teacher, how are you today?
I’m fine, I’m okay. Better than our yesterday.
Morning teacher, how are you today?
I’m fine, I’m okay. Better now that you’re away.

รู้แล้วฉันเจอเธอเพื่อได้เรียนรู้ทุกอย่าง
ว่ารักแท้จริงไม่มั่นคงเสมอไป
หัวใจคนเปลี่ยนสีได้เร็วกว่าไม้กำลังผลัดใบ
อย่าไว้ใจคำว่ารักที่ใครบอกไว้

แต่ผ่านมานานแล้วเรื่องมันเก่าจบไปตั้งนานแล้ว
เรื่องของเราผ่านไปตั้งนานแต่บทเรียนนั้นยังอยู่
สวัสดีครับคุณครูบังเอิญเหลือเกินที่วันนี้พบกัน

Good morning teacher, how are you today?
I’m fine, I’m okay. Better than our yesterday.
Morning teacher, how are you today?
I’m fine, I’m okay. Better now that you’re away.

Good morning teacher, how are you today?
I’m fine, I’m okay. Better than our yesterday.
Morning teacher, how are you today?
I’m fine, I’m okay. Better now that you’re away."
2,Happy anniversary,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Happy%20anniversary_อะตอม%20ชนกันต์%20รัตนอุดม,"
(Happy anniversary, baby)

แสงเทียนอุ่นๆ กับ

กลิ่นน้ำหอมของคุณ
เปลี่ยนเวลาคืนนี้ให้แสนพิเศษ
ของขวัญชิ้นใหม่กับ
ข้อความแทนหัวใจ
ให้คุณไว้ในวันครบรอบอีกครั้ง

ช่วงเวลาคืนนี้เป็นเพียงแค่ของเรา
มีแค่คุณกับผมเท่านั้น
ด้วยความรักของคุณ
ที่ทำให้โลกของผมยังหมุน
ผู้ชายคนนี้โชคดีที่สุดที่วันนั้นเขาได้พบกับคุณ

และคืนนี้ถ้าดาวทั้งฟ้ายังทอประกาย
จะบอกให้รู้ว่าคืนนี้คุณดูสวยกว่าใคร
อยากให้คืนนี้โลกช่วยหมุนช้าลงหน่อยได้ไหม
ต่อเวลาตรงนี้ให้ผมมีคุณใกล้ๆ
จูบเบาๆ ให้รู้ว่าคุณมีค่าแค่ไหน
ให้รู้ว่าใจผมเป็นของคุณ

(Happy anniversary, baby)
(Happy anniversary, baby)

ผมจะมั่นคง
มีแต่คุณคนเดียวทั้งใจ
บอกคุณไว้ให้คุณได้รู้ทุกอย่าง
ให้คุณมั่นใจ
แม้ในวันที่เราต้องห่าง
ห่างเพียงกายแต่ใจจะยังคิดถึง

ช่วงเวลาคืนนี้เป็นเพียงแค่ของเรา
มีแค่คุณกับผมเท่านั้น
ด้วยความรักของคุณ
ที่ทำให้โลกของผมยังหมุน
ผู้ชายคนนี้โชคดีที่สุดที่วันนั้นเขาได้พบกับคุณ

และคืนนี้ถ้าดาวทั้งฟ้ายังทอประกาย
จะบอกให้รู้ว่าคืนนี้คุณดูสวยกว่าใคร
อยากให้คืนนี้โลกช่วยหมุนช้าลงหน่อยได้ไหม
ต่อเวลาตรงนี้ให้ผมมีคุณใกล้ๆ
จูบเบาๆ ให้รู้ว่าคุณมีค่าแค่ไหน
ให้รู้ว่าใจผมเป็นของคุณ

(ใจผมเป็นของคุณ)

และคืนนี้ถ้าดาวทั้งฟ้ายังทอประกาย
จะบอกให้รู้ว่าคืนนี้คุณดูสวยกว่าใคร
อยากให้คืนนี้โลกช่วยหมุนช้าลงหน่อยได้ไหม
ต่อเวลาตรงนี้ให้ผมมีคุณใกล้ๆ
จูบเบาๆ ให้รู้ว่าคุณมีค่าแค่ไหน
ให้รู้ว่าใจผมเป็นของคุณ

(Happy anniversary, baby)

ให้รู้ว่าใจของผมเป็นของคุณ
(Happy anniversary, baby)"
3,Werewolf,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Werewolf_อะตอม%20ชนกันต์%20รัตนอุดม,"
ไม่รู้
ไม่สน
ใครเขาถามถึงเธออย่างไร

ไม่คิดถึงไม่เคยใส่ใจ
จบแล้ว
ไม่เหลือ
ไม่เคยมีอาการอะไร
ไม่เคยจะเป็นกลางวัน

ไม่มีปัญหา
ฉันแข็งแรงดี
ไม่เคยต้องการทั้งนั้น
ให้ใครดูแล
แต่พอพระจันทร์ปรากฏขึ้นมา
เหมือนฉันกลายเป็นอีกคนที่รอเธออยู่
ตรงนี้ตลอดมา

Ooh awoo
ใจฉันยังร้องเรียกเธอดั่งหมาป่า
แค่เห็นพระจันทร์ที่อยู่บนฟ้า
ยิ่งดึกใจฉันยิ่งเจ็บ
ทุกคืนฉันร้องเรียกเธอ
ไม่อาจหลับตา

ที่รัก
ฉันรู้
ฉันเข้าใจที่เธอต้องไป
ไม่เคยโทษไม่โกรธอะไร
แต่รัก
ที่เหลือ
ในหัวใจต้องทำอย่างไร
ไม่รู้จะเป็นกลางวัน

ไม่มีปัญหา
ฉันแข็งแรงดี
ไม่เคยต้องการทั้งนั้น
ให้ใครดูแล
แต่พอพระจันทร์ปรากฏขึ้นมา
เหมือนฉันกลายเป็นอีกคนที่รอเธออยู่
ตรงนี้ตลอดมา

Ooh awoo
ใจฉันยังร้องเรียกเธอดั่งหมาป่า
แค่เห็นพระจันทร์ที่อยู่บนฟ้า
ยิ่งดึกใจฉันยิ่งเจ็บ
ทุกคืนฉันร้องเรียกเธอ
ไม่อาจหลับตา

Ooh awoo
ใจฉันยังร้องเรียกเธอดั่งหมาป่า
แค่เห็นพระจันทร์ที่อยู่บนฟ้า
ยิ่งดึกใจฉันยิ่งเจ็บ
ทุกคืนฉันร้องเรียกเธอ

Ooh awoo
ใจฉันยังร้องเรียกเธอดั่งหมาป่า
แค่เห็นพระจันทร์ที่อยู่บนฟ้า
ยิ่งดึกใจฉันยิ่งเจ็บ
ทุกคืนฉันร้องเรียกเธอ
ไม่อาจหลับตา"
4,เจ็บจริง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เจ็บจริง_อะตอม%20ชนกันต์%20รัตนอุดม,"
ถ้าไม่อยากเจ็บจริง อย่ายิ้มให้ผม
ไม่อยากทำใจคุณให้ร้าวระบม
ได้โปรดอย่าทำให้ผมหลงคุณ
โปรดอย่าเข้าใจผิดเพี้ยน ที่เห็นเงียบๆอย่างนั้น
จริงๆผมมองคุณอยู่เหมือนกัน
แต่ห่วงว่าคุณจะไม่ปลอดภัย

*เพราะผมยังคงโกรธ ยังคงแค้น
ใครต่อใครที่แล้วมา
ที่ทำผมเจ็บ ทุรนทุรายและมีน้ำตา

**อย่าให้ผมลงที่คุณเลย 
อย่าให้ผมทำให้คุณเจ็บใจ
อย่าให้อารมณ์ที่ยังค้างข้างใน
อย่าให้ผมใช้มันทำร้ายคุณ
อย่าให้ผมลงที่คุณเลย
ที่ใครเขาทำให้ผมเจ็บใจ
ไม่อยากให้คุณต้องรับเอาไว้
ถ้าไม่อยากเจ็บจริง โปรดอย่ายิ้มให้ผมเลย

โปรดอย่าเข้าใจผิดเพี้ยน ที่เห็นเงียบๆอย่างนั้น
จริงๆผมมองคุณอยู่เหมือนกัน
แต่ห่วงว่าคุณจะไม่ปลอดภัย

*เพราะผมยังคงโกรธ ยังคงแค้น
ใครต่อใครที่แล้วมา
ที่ทำผมเจ็บ ทุรนทุรายและมีน้ำตา

**อย่าให้ผมลงที่คุณเลย 
อย่าให้ผมทำให้คุณเจ็บใจ
อย่าให้อารมณ์ที่ยังค้างข้างใน
อย่าให้ผมใช้มันทำร้ายคุณ
อย่าให้ผมลงที่คุณเลย
ที่ใครเขาทำให้ผมเจ็บใจ
ไม่อยากให้คุณต้องรับเอาไว้
ถ้าไม่อยากเจ็บจริง โปรดอย่ายิ้มให้ผมเลย

อย่าให้ผมลงที่คุณเลย 
อย่าให้ผมทำให้คุณเจ็บใจ
อย่าให้อารมณ์ที่ยังค้างข้างใน
อย่าให้ผมใช้มันทำร้ายคุณ
อย่าให้ผมลงที่คุณเลย
อย่าให้ผมทำให้คุณเจ็บใจ
อย่าให้อารมณ์ที่ยังค้างข้างใน
อย่าให้ผมใช้มันทำร้ายคุณ
อย่าให้ผมลงที่คุณเลย
ที่ใครเขาทำให้ผมเจ็บใจ
ไม่อยากให้คุณต้องรับเอาไว้
ถ้าไม่อยากเจ็บจริง โปรดอย่ายิ้มให้ผมเลย"
5,ช่วงนี้ (Karma),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ช่วงนี้%20(Karma)_อะตอม%20ชนกันต์%20รัตนอุดม,"
Hey เธอทำอะไรมาน่ะ ทำไมหน้าตาดูหมอง
Hey เธอ ทำอะไรมาน่ะ

Hey เธอทำอะไรมาน่ะ หน้าตาอย่างกับโดนของ
Hey เธอทำอะไรมาน่ะ

ทำอะไรไม่ดีกับใครเอาไว้ เธอรู้ดีกว่า
ช่วงนี้พระท่านเตือนมาให้เธอระวัง

เตือนเธอว่า ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมดแล้ว

รู้ตัว ทำอะไรมาน่ะ กี่คนที่เธอทำร้าย
รู้ตัว ทำอะไรมาน่ะ
รู้ตัว ทำอะไรมาน่ะ กลับตัวก็ยังไม่สาย
รู้ตัว ทำอะไรมาน่ะ

ก่อนตายได้ทำอะไรดีๆเก็บไว้ คงจะดีกว่า
ช่วงนี้พระท่านเตือนมาให้เธอระวัง

เตือนเธอว่า ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมดแล้ว

ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมด

ช่วงนี้ระวังหน่อย เห็นทำร้ายใครบ่อยๆ
ช่วงนี้ระวังหน่อย ระวังเขาจะเอาคืน
ช่วงนี้ระวังหน่อย เข้าวัดทำบุญบ่อยๆ
ช่วงนี้ระวังหน่อย บุญเธอที่มีใกล้หมดแล้ว"
6,ทางของฝุ่น (Dust) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ทางของฝุ่น%20(Dust)_อะตอม%20ชนกันต์%20รัตนอุดม,"
อย่าให้ฉันรั้ง เธอไว้เลย
จากตรงนี้ยังอีกไกล ยังมีฝันที่เธอต้องไขว่ ต้องคว้า
อย่าจมอยู่กับฉันเลย จากตรงนี้ ไม่มีฉันมันคงดีกว่า

* และวันนี้ฉันเดินมาส่ง ด้วยน้ำตาฉันเดินมาส่ง
ให้เธอเจอทางที่ดี ฉันจะคอยมองจากตรงนี้

** และ..ที่เธอเห็นแค่ฝุ่นมันเข้าตา ฉันไม่ได้ร้องไห้
อย่ามองกลับมา อย่าห่วงว่าฉันจะเสียใจ
ที่ผ่านมาได้รักกัน เท่านั้นก็ดีแค่ไหน
อย่ากังวลฉันไม่เป็นไร แค่ขอให้เธอไปได้ดีกับทางของเธอ

ต่างคนก็รู้ เรารู้ดีคนๆนี้มีไม่พอ ที่จะทำให้เธอเป็นสุขอย่างนั้น
เธอควรได้เจอทางที่ดี วันพรุ่งนี้เธอต้องเจอคนที่ดีกว่า

( ซ้ำ * , ** )

แค่ขอให้เธอไปได้ดีกับทางของเธอ ให้ได้เจอกับสิ่งที่เธอเคยฝัน
ฉันคนนี้มีไม่พอที่จะพาเธอไปตรงนั้น ฉันจะยอมปล่อยไป ไม่เป็นไรอย่าห่วง

( ซ้ำ  ** )

ทางของเธอ"
7,ปล่อยปาก,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ปล่อยปาก_อะตอม%20ชนกันต์%20รัตนอุดม,"
เพื่อนคนนึงได้เข้ามาถามด้วยความเป็นห่วง

เห็นฉันร้องไห้ ใครก็รู้ว่าเราเพิ่งจบกัน
ไม่ได้ตั้งใจที่จะให้ใครมาปลอบทั้งนั้น
ฉันไม่มีทางจะบอก ใครจะอยากยอมรับว่าอ่อนแอ


*ฉันแข็งแรงดี อย่าห่วงเลย
ไม่ต้องกังวลเลยเพื่อนเอย
แค่คนๆเดียว ไม่มีทางทำให้ฉันล้มลง

**ปล่อยเธอไปแล้ว อย่าห่วงเลย สบายมากๆ
ฉัน ไม่รักใครมากกว่าตัวเอง
แต่ในใจร้อง ปล่อยเธอไปได้เพียงแค่ปาก
ทั้งใจยังรักเธอมากเหมือนเดิม
ไม่เป็นไรแค่เรื่องเล็กน้อย ไม่ต้องเป็นห่วง
ฉันไม่คิดมาก อยู่คนเดียวเหมือนเดิมจะเป็นไร
อย่าให้ใครรู้จริงๆ ข้างในยังเจ็บแค่ไหน
ทุกคืนยังนอนไม่หลับ ยังไม่อาจยอมรับว่าเธอลา

*ฉันแข็งแรงดี อย่าห่วงเลย
ไม่ต้องกังวลเลยเพื่อนเอย
แค่คนๆ เดียว ไม่มีทางทำให้ฉันล้มลง

**ปล่อยเธอไปแล้ว อย่าห่วงเลย สบายมากๆ
ฉัน ไม่รักใครมากกว่าตัวเอง
แต่ในใจร้อง ปล่อยเธอไปได้เพียงแค่ปาก
ทั้งใจยังรักเธอมากเหมือนเดิม


Bridge
อย่าเป็นคนแพ้ที่ต้องให้ใครมาปลอบ
ชีวิตเรายังต้องใช้ยังไงต้องลุกเองให้ไหว
แม้วันหนึ่งเธอจะเคยสำคัญเท่าไหร่
ก็ต้องฝืน ต้องทนให้ไหว
จะยังรักเธออย่างไร ไม่มีวันให้ใครได้รู้

**ปล่อยเธอไปแล้ว อย่าห่วงเลย สบายมากๆ
ฉัน ไม่รักใครมากกว่าตัวเอง
แต่ในใจร้อง ปล่อยเธอไปได้เพียงแค่ปาก
ทั้งใจยังรักเธอมากเหมือนเดิม

**ปล่อยเธอไปแล้ว อย่าห่วงเลย สบายมากๆ
ฉัน ไม่รักใครมากกว่าตัวเอง
แต่ในใจร้อง ปล่อยเธอไปได้เพียงแค่ปาก
ทั้งใจยังรักเธอมากเหมือนเดิม"
8,แผลเป็น (Scar) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แผลเป็น%20(Scar)_อะตอม%20ชนกันต์%20รัตนอุดม,"
กาลครั้งหนึ่ง ซึ่งเธออาจลืมไปแล้วว่าในครั้งหนึ่ง
เคยรักเคยผูกพันกับใคร ใครสักคน แต่ด้วยเวลาที่ผ่านพ้นไป อาจจะทำให้เธอลืมเขา

* แต่เขายังรักเธออยู่ ยังคิดถึงอยู่ ถึงรู้ว่าเธอไม่คิดถึงเขาอีกแล้ว
ยังมองหาเธออยู่ ทุกครั้งที่ผ่าน ที่เดิมที่เธอกับเขาคู่กัน

** เพราะเขายังคงเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอเหลือเกิน

คนแค่คนหนึ่ง อาจฝากรอยแผลเอาไว้ที่ใจของคนหนึ่ง
และแม้จะพยายามรักษา ให้หายดี แต่ต่อให้นานพ้นไปกี่ปี ก็ยังทิ้งร่องรอยเอาไว้

ให้เขายังรักเธออยู่ ยังคิดถึงอยู่ ถึงรู้ว่าเธอไม่คิดถึงเขาอีกแล้ว
ยังมองหาเธออยู่ ทุกครั้งที่ผ่าน ที่เดิมที่เธอกับเขาคู่กัน

( ซ้ำ ** )

( ซ้ำ * )

เพราะเขายังคงเก็บเอาไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอ

ยังเก็บไว้ เหมือนเธอไม่เคยไปไหน
แผลเป็นมันยังไม่หาย หัวใจยังเก็บเอาไว้ ก็เพียงแค่ภาพเธอ
อยู่ไหน ตอนนี้เธออยู่ที่ไหน แผลเดิมที่เธอทำร้ายหัวใจ
มันยังคอยย้ำว่าเขารักเธอเหลือเกิน"
9,พบเธอก่อน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/พบเธอก่อน_อะตอม%20ชนกันต์%20รัตนอุดม,"
ก่อนนั้น เคยถูกใครทำให้เสียใจ
ความรักที่เคยเป็นเรื่องใหญ่ 
กลับกลายเป็นแค่คำลวงหลอก

จากนั้น ฉันก่อกำแพงให้หัวใจ
กลายเป็นเย็นชาไม่ใส่ใจ
ไม่เคยยอมให้ใครเข้ามาอีก

นอกจากเธอ 
เธอได้เปลี่ยนให้ฉันกลายเป็นคนเดิมอีกครั้ง
เธอทำให้รู้สึก ไหวหวั่นไปทั้งใจ
เมื่อเธอรักฉัน

ไม่มีคำถามเมื่อได้เจอเธอแล้ว
หากฉันได้พบเธอก่อน คงไม่มีวันเสียใจ
ได้มีเธอจึงรู้ ที่ผ่านมา ที่ฉันไม่เคยเปิดใจ
เพื่อมาใช้รักเธอวันนี้

ได้รู้ อีกครั้งว่ารักเป็นเช่นไร
เธอฟื้นเวทย์มนตร์ที่เสื่อมไป
กลับคืนให้หัวใจฉันอีก

จากวันนั้น 
เธอได้เปลี่ยนให้ฉันกลายเป็นคนเดิมอีกครั้ง
เธอทำให้รู้สึก ไหวหวั่นไปทั้งใจ
เมื่อเธอรักฉัน

ไม่มีคำถามเมื่อได้เจอเธอแล้ว
หากฉันได้พบเธอก่อน คงไม่มีวันเสียใจ
ได้มีเธอจึงรู้ ที่ผ่านมา ที่ฉันไม่เคยเปิดใจ
เพื่อมาใช้รักเธอวันนี้

ไม่มีคำถามเมื่อได้เจอเธอแล้ว
หากฉันได้พบเธอก่อน คงไม่มีวันเสียใจ
ได้มีเธอจึงรู้ ที่ผ่านมา ที่ฉันไม่เคยเปิดใจ
เพื่อมาใช้รักเธอวันนี้"
