,name,link,lyrics
0,7 วันที่ฉันเหงา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/7%20วันที่ฉันเหงา_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
วันอาทิตย์เธอไปจากฉัน
วันจันทร์ดูเหมือนมันช่างว่างเปล่า
ฉันต้องนอนเหงาถึงวันอังคารจนเช้า
ใจมันร้าวเสียจนนอนไม่หลับ

เย็นวันพุธตั้งใจจะลืม
กลับจำข้ามคืนถึงพฤหัส
วันศุกร์ก็แล้วภาพเธอก็ยังคงชัด
วันเสาร์ความเหงาก็ยังเท่าเดิม

7 วันที่ต้องทนเหงา 7 วันยังเศร้าอย่างนี้
ไม่มีวี่แววจะหายไป 7 วันที่เธอลืมกัน
7 วันที่สิ้นเยื่อใย แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ

วันพรุ่งนี้หรือนานแค่ไหน
1 เดือนหรือข้ามไปจนเป็นปี
ต้องใช้กี่ความเหงาลบภาพเก่า
คราวนี้ไม่มีอะไรที่ค้างคา

7 วันที่ต้องทนเหงา 7 วันยังเศร้าอย่างนี้
ไม่มีวี่แววจะหายไป 7 วันที่เธอลืมกัน
7 วันที่สิ้นเยื่อใย แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ

วันอาทิตย์เธอไปจากฉัน
วันจันทร์ดูเหมือนมันช่างว่างเปล่า
ฉันต้องนอนเหงาถึงวันอังคารจนเช้า
ใจมันร้าวเสียจนนอนไม่หลับ

เย็นวันพุธตั้งใจจะลืม
กลับจำข้ามคืนถึงวันพฤหัส
วันศุกร์ก็แล้วภาพเธอก็ยังคงชัด
วันเสาร์ความเหงาก็ยังเท่าเดิม

สักวันคงลืมเธอได้ลง
สักวันเราคงเหมือนคนเก่า
ไม่เหงา ไม่ทรมาน

7 วันที่ต้องทนเหงา 7 วันยังเศร้าอย่างนี้
ไม่มีวี่แววจะหายไป 7 วันที่เธอลืมกัน
7 วันที่สิ้นเยื่อใย แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ

7 วันที่เธอลืมกัน 7 วันที่สิ้นเยื่อใย
จากนี้ต้องคอยบอกใจ
จำไว้ต้องลืมเธอ จำไว้ต้องลืมเธอ"
1,7วันที่ฉันเหงา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/7วันที่ฉันเหงา_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
วัน อาทิตย์เธอไปจากฉัน
วันจันทร์
ดูเหมือนมันช่างว่างเปล่า
ฉันต้องนอนเหงา
ถึงวันอังคารจนเช้า
ใจมันร้าว
เสียจนนอนไม่หลับ
เย็น วันพุธตั้งใจจะลืม
กลับจำ ข้ามคืนถึงพฤหัส
วันศุกร์ก็แล้วภาพเธอก็ยังคงชัด
วันเสาร์ความเหงาก็ยังเท่าเดิม
เจ็ดวันที่ต้องทนเหงา
เจ็ดวันยังเศร้าอย่างนี้
ไม่มี วี่แววจะหายไป
เจ็ดวันที่เธอลืมกัน
เจ็ดวันที่สิ้นเยื่อใย
แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ.
..ดนตรี....
วันพรุ่งนี้หรือนานแค่ไหน
หนึ่งเดือนหรือข้ามไปจนเป็นปี
ต้องใช้กี่ความเหงา
ลบภาพเก่าคราวนี้
ไม่มี อะไรที่ค้างคา
เจ็ดวันที่ต้องทนเหงา
เจ็ดวันยังเศร้าอย่างนี้
ไม่มี วี่แววจะหายไป
เจ็ดวันที่เธอลืมกัน
เจ็ดวันที่สิ้นเยื่อใย
แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ.
(พูด)วันอาทิตย์เธอไปจากฉัน
วันจันทร์ดูเหมือนมันช่างว่างเปล่า
ฉันต้องนอนเหงา
ถึงวันอังคารจนเช้า
ใจมันร้าวเสียจนนอนไม่หลับ
เย็นวันพุธ ตั้งใจจะลืม
กลับจำข้ามคืนถึงวันพฤหัส
วันศุกร์ก็แล้ว
ภาพเธอก็ยังคงชัด
วันเสาร์ความเหงาก็ยังเท่าเดิม..

สักวันคงลืมเธอได้ลง
สักวันเราคงเหมือนคนเก่า
ไม่เหงา ไม่ทรมาน
เจ็ดวันที่ต้องทนเหงา
เจ็ดวันยังเศร้าอย่างนี้
ไม่มี วี่แววจะหายไป
เจ็ดวันที่เธอลืมกัน
เจ็ดวันที่สิ้นเยื่อใย
แต่ฉันไม่รู้เมื่อไร
วันไหนจะลืมเธอ.
เจ็ดวันที่เธอลืมกัน
เจ็ดวันที่สิ้นเยื่อใย
จากนี้ต้องคอยบอกใจ
จำไว้ต้องลืมเธอ
จำไว้ต้องลืมเธอ"
2,I Love You Too,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/I%20Love%20You%20Too_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
ทุกทุกที
มีข้อความมาจากเธอ
เมื่อถึงเวลาห่างกันเมื่อไร
ต้องมีเสมอ
ส่งคำว่ารักมาแทน
ส่งความคิดถึงมาเจอ
ฉันได้คำรักจากเธอ
ทุกทีที่ฉันกำลังท้อ
ฉันเสียใจ
เพียงนิดเดียวที่ไม่เคย
ได้พูดรักเธอก่อนเธอสักที
ไม่เคยเลยหนอ
ปล่อยเธอให้เริ่มคนเดียว
ปล่อยเธอให้เฝ้าคอยรอ
มัวไปทำอะไร
ที่ไม่สำคัญได้เท่าเธอ
อย่างน้อยฉันก็ขอตอบ
ให้เธอได้มีความเชื่อใจ
ว่าฉันรักเธอ
เชื่อกันใช่ไหมเฮ้
อยากบอกเพียงว่าฉันไม่ลืม
You Know
I Love You Too
You Know
I Love You Too
ความรักนั้นยังคงอยู่
แต่พูดไม่ทันความรักในใจ
ขอบคุณสำหรับทุกอย่าง
เธอแสนดีเหมือนเคย
บอกรักไม่ทันเธอเลย
แต่ขอให้เธอไม่ลืมว่า
I Love You Too

เมื่อตอนที่ดูมือถือ
ที่เธอส่งแมสเซส
ก็รู้สึกดีที่เธอส่ง
มาบอกว่ารักกัน
ก็ทำให้ฉันรู้สึกดี
และมันก็ชื่นใจ
อยากพูดกับเธอว่าฉัน
ก็รักเธอเหมือนกัน
มันมีอะไรที่ต้องทำ
มีงานตั้งเยอะเลย
ก็เลยดูเหมือนว่าฉัน
ไม่ได้สนใจเธอ
ก็มัวแต่ทำอะไร
เพื่อเราทั้งสองคน
เพื่อวันพรุ่งนี้ที่เรา
จะต้องไปพบเจอ
อย่างน้อยฉันก็ขอตอบ
ให้เธอได้มีความเชื่อใจ
ว่าฉันรักเธอ
เชื่อกันใช่ไหมเฮ้
อยากบอกเพียงว่าฉันไม่ลืม
You Know
I Love You Too
You Know
I Love You Too
ความรักนั้นยังคงอยู่
แต่พูดไม่ทันความรักในใจ
ขอบคุณสำหรับทุกอย่าง
เธอแสนดีเหมือนเคย
บอกรักไม่ทันเธอเลย
แต่ขอให้เธอไม่ลืมว่า
I Love You Too

You Know
I Love You Too
You Know
I Love You Too
ความรักนั้นยังคงอยู่
แต่พูดไม่ทันความรักในใจ
ขอบคุณสำหรับทุกอย่าง
เธอแสนดีเหมือนเคย
บอกรักไม่ทันเธอเลย
แต่ขอให้เธอไม่ลืมว่า
I Love You Too"
3,I Need Somebody ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/I%20Need%20Somebody_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
เช้าลืมตาขึ้นมา
ก็เจอแต่เรื่องเดิมๆ
ก็ไม่มีใครมาเติมชีวิต
ให้เป็นเรื่องใหม่ ออกไปที่อื่น
เจอะใครมากมาย
หันมองไปทางใด
ก็เจอแต่คนรักกัน

แล้วทำไมตัวเรา
จึงยังไม่เห็นมีใคร
แล้วต้องทนเดียวดาย
มีใจเอาไว้ทำไม
ไม่ได้ใช้งาน ไม่ได้รักใคร
ไม่มีกำลังใจที่ไหนเลย
อยากมีคน อยู่ข้างกาย
สบตากัน ให้หัวใจมันเต้นแรง
เก็บไว้คิดถึงกัน
เก็บไว้คิดถึงกัน
Love I need somebody
Love อยากขอสักคนเพื่อ
Love ให้หัวใจไม่ว่างงาน
มีคนให้รักกัน มีคืนวันที่ดีด้วย
Love I need somebody
Love อยากขอสักคนเพื่อ
Love ให้หัวใจได้รักใคร
มีบางคนที่แคร์
คนที่มีรักแท้คือใคร
คนที่โทรผิดมาเมื่อวานตอนเช้า
คนที่นั่งกินข้าวติดกันเมื่อคืน
คนที่ยิ้มให้กันตรงหน้าปากซอย
ใช่รึเปล่า ใช่รึเปล่า

แล้วทำไมตัวเรา
จึงยังไม่เห็นมีใคร
แล้วต้องทนเดียวดาย
มีใจเอาไว้ทำไม
ไม่ได้ใช้งาน ไม่ได้รักใคร
ไม่มีกำลังใจที่ไหนเลย
อยากมีคน อยู่ข้างกาย
สบตากัน ให้หัวใจมันเต้นแรง
เก็บไว้คิดถึงกัน
เก็บไว้คิดถึงกัน
Love I need somebody
Love อยากขอสักคนเพื่อ
Love ให้หัวใจไม่ว่างงาน
มีคนให้รักกัน มีคืนวันที่ดีด้วย
Love I need somebody
Love อยากขอสักคนเพื่อ
Love ให้หัวใจได้รักใคร
มีบางคนที่แคร์
คนที่มีรักแท้คือใคร
จะดูแลอย่างดี
ถ้าเจอใครคนนั้น
จะคอยเป็นห่วงกัน
ไม่ทิ้งกัน ไปไหน

Love I need somebody
Love อยากขอสักคนเพื่อ
Love ให้หัวใจไม่ว่างงาน
มีคนให้รักกัน มีคืนวันที่ดีด้วย
Love I need somebody
Love อยากขอสักคนเพื่อ
Love ให้หัวใจได้รักใคร
มีบางคนที่แคร์
คนที่มีรักแท้คือใคร
คนที่โทรผิดมาเมื่อวานตอนเช้า
คนที่นั่งกินข้าวติดกันเมื่อคืน
คนที่ยิ้มให้กันตรงหน้าปากซอย
ใช่รึเปล่า ใช่รึเปล่า"
4,In Love,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/In%20Love_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
ไม่รู้ทำไม
พอมองอะไรพักนี้ มันเปลี่ยน
ฉันเห็นอะไรก็เป็นหน้าเธอ
อยู่ทุก ที่ไป
ไม่รู้ทำไมละครทีวีพักนี้
ดูแปลก
ยิ่งหนังซีรี่ย์เรื่องใด
เปิดดูช่วงนี้ อินจับใจ
เหมือนมันอยู่ในภวังค์
ที่มีพลังความรัก
มาทำฉันให้เปลี่ยน
ให้มันเปลี่ยน
อยากเปล่งเสียง
ให้เธอได้รู้ว่า
อยู่กับเธอช่าง in love
มันช่าง in love
ตั้งแต่เธอเข้ามา
มาสบตา อยากให้รู้ไว้ว่า
ตื่นขึ้นมาก็ in love
นอนก็ in love
อยากจะพูดบางคำ
ให้ใครบางคนได้ฟัง
ว่า I LOVE YOU

เมื่อฟ้าได้ดลบันดาล
ให้เราทั้งสอง พบกัน
แล้วรักจะนำพาเธอ
ก้าวไปกับฉัน หรือไม่
คำถามคำนี้
คงมีแต่เธอเท่านั้น มีคำตอบ
ที่รู้คือใจฉันเอง
ได้เปลี่ยนไปแล้ว จนหมดใจ
เหมือนมันอยู่ในภวังค์
ที่มีพลังความรัก
มาทำฉันให้เปลี่ยน
ให้มันเปลี่ยน
อยากเปล่งเสียง
ให้เธอได้รู้ว่า
อยู่กับเธอช่าง in love
มันช่าง in love
ตั้งแต่เธอเข้ามา
มาสบตา อยากให้รู้ไว้ว่า
ตื่นขึ้นมาก็ in love
นอนก็ in love
อยากจะพูดบางคำ
ให้ใครบางคนได้ฟัง
ว่า I LOVE YOU

อยู่กับเธอช่าง in love
มันช่าง in love
ตั้งแต่เธอเข้ามา
มาสบตา อยากให้รู้ไว้ว่า
ตื่นขึ้นมาก็ in love
นอนก็ in love
อยากจะพูดบางคำ
ให้ใครบางคนได้ฟัง
ว่า I LOVE YOU"
5,In Love [Piano],https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/In%20Love%20[Piano]_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
ไม่รู้ทำไม
พอมองอะไรพักนี้ มันเปลี่ยน
ฉันเห็นอะไรก็เป็นหน้าเธอ
อยู่ทุก ที่ไป
ไม่รู้ทำไมละครทีวีพักนี้
ดูแปลก
ยิ่งหนังซีรี่ย์เรื่องใด
เปิดดูช่วงนี้ อินจับใจ
เหมือนมันอยู่ในภวังค์
ที่มีพลังความรัก
มาทำฉันให้เปลี่ยน
ให้มันเปลี่ยน
อยากเปล่งเสียง
ให้เธอได้รู้ว่า
อยู่กับเธอช่าง in love
มันช่าง in love
ตั้งแต่เธอเข้ามา
มาสบตา อยากให้รู้ไว้ว่า
ตื่นขึ้นมาก็ in love
นอนก็ in love
อยากจะพูดบางคำ
ให้ใครบางคนได้ฟัง
ว่า I LOVE YOU
เมื่อฟ้าได้ดลบันดาล
ให้เราทั้งสอง พบกัน
แล้วรักจะนำพาเธอ
ก้าวไปกับฉัน หรือไม่
คำถามคำนี้
คงมีแต่เธอเท่านั้น มีคำตอบ
ที่รู้คือใจฉันเอง
ได้เปลี่ยนไปแล้ว จนหมดใจ
เหมือนมันอยู่ในภวังค์
ที่มีพลังความรัก
มาทำฉันให้เปลี่ยน
ให้มันเปลี่ยน
อยากเปล่งเสียง
ให้เธอได้รู้ว่า
อยู่กับเธอช่าง in love
มันช่าง in love
ตั้งแต่เธอเข้ามา
มาสบตา อยากให้รู้ไว้ว่า
ตื่นขึ้นมาก็ in love
นอนก็ in love
อยากจะพูดบางคำ
ให้ใครบางคนได้ฟัง
ว่า I LOVE YOU

อยู่กับเธอช่าง in love
มันช่าง in love
ตั้งแต่เธอเข้ามา
มาสบตา อยากให้รู้ไว้ว่า
ตื่นขึ้นมาก็ in love
นอนก็ in love
อยากจะพูดบางคำ
ให้ใครบางคนได้ฟัง
ว่า I LOVE YOU"
6,It is Alright ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/It%20is%20Alright_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
Just say it
Just say it, It’s alright
ก็เธอมาทิ้ง
อยู่ๆ ก็ทิ้งไม่รู้ทำไม
แต่ไม่เป็นไรนะ
ก็คนเคยรัก
อยู่ๆ ก็ไป ไปรักกับใคร
ก็เอาๆ เหอะนะ
ใช่ เสีย เสีย ใจ
แต่คงไม่โทษใครที่ไหน
เพราะเสียหลักไปรักเอง
ให้ เธอ โชค ดี
ส่วนฉันทุกอย่างวันนี้
โอเค!
ไม่เห็นต้องแซด
อะไร อะไรมากมาย
ไม่กลัวอยู่แล้ว
ยังไง ยังไงไม่ตาย
ตะโกนคำนี้ไปเลยให้ดังดัง
It’s alright..
ไม่ต้องห่วงฉัน
อาจแปลกแปลกไป
ดูคล้ายเป็นไข้
แต่ไม่เป็นไรนะ
แค่ช่วงอะโลน
ไม่นานก็คงจะพบสักคน
มาโดนหัวใจนะ
ใช่ เสีย เสีย ใจ
แต่คงไม่โทษใครที่ไหน
เพราะเสียหลักไปรักเอง
ให้ เธอ โชค ดี
ส่วนฉันทุกอย่างวันนี้
โอเค!
ไม่เห็นต้องแซด
อะไร อะไรมากมาย
ไม่กลัวอยู่แล้ว
ยังไง ยังไงไม่ตาย
ตะโกนคำนี้ไปเลยให้ดังดัง
It’s alright....
Rap:ถึงเธอ จะหายไป
แต่ฉันยังหายใจ
ถึงเซ ก็ไม่นานหรอก
อีกเดี๋ยวมันก็ลืม
เธอเจอใครดีฉันก็ดีใจ
ก็ไม่เป็นไรไม่ว่ากัน
ทิ้งทิ้งฉันไว้
มันก็ดี มันก็ดี
ได้ฟรีอีกครั้ง...

It’s alright....
ใช่ เสีย เสีย ใจ
แต่คงไม่โทษใครที่ไหน
เพราะเสียหลักไปรักเอง
ให้ เธอ โชค ดี
ส่วนฉันทุกอย่างวันนี้
โอเค!
ไม่เห็นต้องแซด
อะไร อะไรมากมาย
ไม่กลัวอยู่แล้ว
ยังไง ยังไงไม่ตาย
ตะโกนคำนี้ไปเลย ให้ดังดัง
It’s alright..
ไม่เห็นต้องแซด
อะไร อะไรมากมาย
ไม่กลัวอยู่แล้ว
ยังไง ยังไงไม่ตาย
ตะโกนคำนี้ไปเลย ให้ดังดัง
It’s alright..
Just say it
Just say it, It’s alright"
7,Look Like Love ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Look%20Like%20Love_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
เธอดึงดูดใจของฉัน ให้มันอยากมองเต็มตา
แค่เธอเปลี่ยนลุกส์ หัวใจก็ลุก
รุกเธอตลอดเวลา

ใจฉันร้อน ทุกทีที่เธอมองมา
ใครมีน้ำมะ ใครมีน้ำมะ
ขอมาดับร้อนที่ใจ
ยิ่งเจอะกับเธอทีไร ยิ่งชอบยิ่งถูกใจจัง

อยากบอกว่า like ว่า like ว่า like
ข้างหูเธอเลยร้อยครั้ง
เธอดูดี คำพูดก็ดูน่าฟัง
มันทำให้ชอบมากขึ้น
มากขึ้น ถึงขั้นสุดท้ายแล้วเธอ

Look like love พอเธอหนะเข้ามา
เป็นอันต้องมอง ต้องมอง
Look Like Love ยิ่งมองไปนานๆ
ยิ่งชอบ ยิ่งชอบ ยิ่งชอบ
Look Like Love พอชอบไปนานๆ ยิ่งรัก ยิ่งรัก ยิ่งรัก
Look Like Love ขยับ ขยับ เขยิบ เขยิบ

อยากบอกว่า love เลยหล่ะมัน love เลย
look แล้วก็ like ก็เลยต้อง love ไง love ไง
เริ่มต้นที่มองเป็นชอบแล้วรักเธอมากมาย
มันเลยจำเป็นต้องบอกคำนี้ให้รู้ไป
Love Love You Baby

เธอเปลี่ยนชีวิตของฉัน ให้มันดูมีสีสัน
เวลาหัวเราะ เวลาเธอยิ้ม
เห็นแล้วเป็นต้องเพ้อฝัน
อยู่คนเดียว ฉันคงอยู่ไปวันๆ
แต่ถ้ามีเธอ ถ้าเรามีกันมันคงไม่ธรรมดา

Look like love พอเธอหนะเข้ามา
เป็นอันต้องมอง ต้องมอง
Look Like Love ยิ่งมองไปนานๆ
ยิ่งชอบ ยิ่งชอบ ยิ่งชอบ
Look Like Love พอชอบไปนานๆ ยิ่งรัก ยิ่งรัก ยิ่งรัก
Look Like Love ขยับ ขยับ เขยิบ เขยิบ

อยากบอกว่า love เลยหล่ะมัน love เลย
look แล้วก็ like ก็เลยต้อง love ไง love ไง
เริ่มต้นที่มองเป็นชอบแล้วรักเธอมากมาย
มันเลยจำเป็นต้องบอกคำนี้ให้รู้ไป
Love Love You Baby

อยากบอกว่า love เลยหล่ะมัน love เลย
look แล้วก็ like ก็เลยต้อง love ไง love ไง
เริ่มต้นที่มองเป็นชอบแล้วรักเธอมากมาย
มันเลยจำเป็นต้องบอกคำนี้ให้รู้ไป

Look like love พอเธอหนะเข้ามา
เป็นอันต้องมอง ต้องมอง
Look Like Love ยิ่งมองไปนานๆ
ยิ่งชอบ ยิ่งชอบ ยิ่งชอบ
Look Like Love พอชอบไปนานๆ ยิ่งรัก ยิ่งรัก ยิ่งรัก
Look Like Love ขยับ ขยับ เขยิบ เขยิบ

อยากบอกว่า love เลยหล่ะมัน love เลย
look แล้วก็ like ก็เลยต้อง love ไง love ไง
เริ่มต้นที่มองเป็นชอบแล้วรักเธอมากมาย
มันเลยจำเป็นต้องบอกคำนี้ให้รู้ไป
Love Love You Baby"
8,Love At First Sight,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Love%20At%20First%20Sight_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
When I Falling In Love
It Had To Be You
When I Falling In Love
It Had To Be You
When I Falling In Love
It Had To Be You
When I Falling In Love
เป็นอะไรที่ไม่คุ้นเลย
เป็นอะไรที่มันไม่เคย
คงจะเป็นเป็นเอามากเลย
หัวใจ
เจอกับเธอแค่เพียงครั้งเดียว
เก็บไปฝันขนาดนั้นเชียว
เอาไปนอนละเมอข้างเดียว
ได้ไง
อยากจะบอก
ว่าไม่ใช่คนใจง่าย
แต่ว่าเธอ
มาทำให้เป็นอย่างนี้
เจอกับใครก็ยังไม่เคยสักที
ไม่เลย จนได้พบเธอ
ตั้งแต่วินาทีที่เจอ
ฉันก็รู้ว่าเธอ
คือคนนั้นที่ฉันเฝ้ารอ
เหมือนเป็นปาฏิหาริย์
มันคือรักตั้งแต่แรกพบ
Love You
At First Sight
เธอคิดเหมือนกันบ้างไหม
ฝันถึงกันบ้างไหมก็ไม่รู้
When I Falling In Love
It Had To Be You
When I Falling In Love
It Had To Be You
When I Falling In Love
It Had To Be You
When I Falling In Love
พยายามไม่มองหน้าเธอ
กลัวจะเผลอไปบอกรักเธอ
แต่ว่าตามันไม่เชื่อฟัง
ฉันเลย
อยากจะบอก
ว่าไม่ใช่คนใจง่าย
แต่ว่าเธอ
มาทำให้เป็นอย่างนี้
เจอกับใครก็ยังไม่เคยสักที
ไม่เลย จนได้พบเธอ
ตั้งแต่วินาทีที่เจอ
ฉันก็รู้ว่าเธอ
คือคนนั้นที่ฉันเฝ้ารอ
เหมือนเป็นปาฏิหาริย์
มันคือรักตั้งแต่แรกพบ
Love You
At First Sight
เธอคิดเหมือนกันบ้างไหม
ฝันถึงกันบ้างไหมก็ไม่รู้
ไม่ว่าไปที่ไหน
ก็เห็นเธอทุกที
เธอจะรู้บ้างไหม
You Drive Me Crazy
มันก็เลยต้องพูด
I Need Somebody

เพราะเธอทำให้ฉันรักเธอ
ไม่ว่ามองอะไร
ก็กลายเป็นหน้าเธอ
ไม่ว่าทำอะไร
ก็คอยจะละเมอ
อยากจะโทรไปหา
โทรมาว่ารักเธอ
เพราะหัวใจมันเป็นของเธอ
When I Falling In Love
It Had To Be You
When I Falling In Love
It Had To Be You
When I Falling In Love
It Had To Be You
When I Falling In Love"
9,Miss You,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Miss%20You_บี้%20สุกฤษฎิ์%20วิเศษแก้ว,"
ท้องฟ้าก็ใสแดดก็เริ่มส่อง
ฉันก็ยังมองหาเธอ
นกก็เริ่มร้อง
และลมก็พัดเย็น
แต่ฉันก็ยังคงรุ่มร้อน
เพลงก็ยังดัง แต่ฉันก็อยาก
ได้ยินแต่เสียงของเธอ
จะดูทีวีจะมีเพื่อนพูดคุย
แต่ฉันก็ยังคงเงียบเหงา
เวลาที่เราห่างกัน
แค่เพียงแว๊บเดียว
ใจฉันยังหวั่น
แค่ประเดี๋ยวยังสั่น
เธอทำให้ฉันหวั่นไหวร้อนใจ
จนอยากร้องและตะโกนดังดัง
ให้เธอได้ฟังไว้
MISS YOU SO MUCH
คิดถึงแต่เธอ
มันเป็นอาการของคนเหงาใจ
ถ้าหากว่าเธอเงียบหายไป
ไม่รู้มันเป็นไง
MISS YOU SO MUCH
คิดถึงแต่เธอ
คงเป็นอาการของคน
ที่มันรักเธอ

เวลาจะกินก็กินไม่ลง
ถ้าไม่ได้เจอหน้าเธอ
เวลาจะนอน
ก็นอนไม่ค่อยหลับ
ถ้าไม่ได้คุยกับเธอ
ใครจะโทรมาไม่อยากพูดคุย
ถ้าไม่ใช่เบอร์ของเธอ
ข้อความใครใครส่งมา
ไม่เคยอ่าน
ก็ถ้าไม่ได้มาจากเธอ
เวลาที่เราห่างกัน
แค่เพียงแว๊บเดียว
ใจฉันยังหวั่น
แค่ประเดี๋ยวยังสั่น
เธอทำให้ฉันหวั่นไหวร้อนใจ
จนอยากร้องและตะโกนดังดัง
ให้เธอได้ฟังไว้
MISS YOU SO MUCH
คิดถึงแต่เธอ
มันเป็นอาการของคนเหงาใจ
ถ้าหากว่าเธอเงียบหายไป
ไม่รู้มันเป็นไง
MISS YOU SO MUCH
คิดถึงแต่เธอ
คงเป็นอาการของคน
ที่มันรักเธอ
อยากร้องและตะโกนดังดัง
ให้เธอได้ฟังไว้
MISS YOU SO MUCH
คิดถึงแต่เธอ
มันเป็นอาการของคนเหงาใจ
ถ้าหากว่าเธอเงียบหายไป
ไม่รู้มันเป็นไง
MISS YOU SO MUCH
คิดถึงแต่เธอ
คงเป็นอาการของคน
ที่มันรักเธอ"
