,name,link,lyrics
0,Bigins ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Bigins_บิ๊กแอส,"
ดวงคนก็เหมือนดวงดาว ใครว่ามันยืนยาว ต้องมีสักวันร่วงหล่นลงมา
คนบางคน กลายไปเป็นดาวมัวเมาลืมตัว อยู่อยู่ ไม่ทันไรก็ร่วงลงมา

* ไม่มีอะไรจีรัง ในความเป็นคน ไม่มีอะไรยืนยง ยืนยาว

** ระวังเอาไว้ให้ดีดี จงจำเอาไว้ให้ดีดี ทุกอย่างไม่มีอะไรแน่นอน
อย่ามัวผยองว่าเป็นหนึ่ง ที่จริงชีวิตพึ่งนับหนึ่ง ต้องดูกันไป จนถึงวันตาย

คำคนคือกลลวง พาให้เราตายใจ ทุกอย่างเป็นเพียงแค่สิ่งลวงตา
พาให้มัวเมา ให้เราลืมตัว เตลิดไปจนไกลกับภาพลวงตา

( ซ้ำ * , ** )


เมื่อท้องฟ้าที่เคยสว่าง ก็ยังมีวันมืดลง
ในเมื่อขุนเขาที่เคยยืนยง สุดท้ายก็พังทลาย
หัวเราะด้วยความเย่อหยิ่ง ความจริงไม่เคยเข้าใจ
จะใหญ่คับฟ้ามันก็เท่านั้น ชีวิตมันยังอีกไกล

( ซ้ำ  )"
1,Goodbye ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Goodbye_บิ๊กแอส,"
ทำดี มากับเธอ
ตั้งเท่าไร
ทำใจ มากับเธอ มันก็มาก
ก็เห็นเธอ ยังคง หลายใจ
ทำไง เธอก็ไม่ รู้สึกกลัว
ทำตัว ให้มันชิน มันก็ยาก
คนนั้นไป คนนี้มา วุ่นวาย
ความเข้มแข็ง ไม่พอ
ต้องขอ
[Goodbye Goodbye]
มันดู ไม่ดี
ที่ต้องมารับ กรรม
มันดู ไม่งาม
ที่ต้องมาช้ำ เพราะเธอต่อไป
มันดูไม่แฟร์ ที่ต้องมาใช้
เธอ ร่วมใคร
มันทนไม่ไหว
ไม่เอาอีกแล้ว โฮ้...

โบราณ เขาว่าทำ ดีได้ดี
ฟังมา เป็นกี่ปี มันก็เชื่อ
ก็รักเธอ ด้วยดี ทั้งใจ
โบราณ คงไม่เคย ได้เจอะเจอ
ทำดี ให้กับเธอ
นี่ ฉันละเบื่อ
ไม่ได้ดี ไม่ได้เลย ให้ตาย
ก็คง ต้องพัก ซะที
โชคดี
[Goodbye Goodbye]
มันดู ไม่ดี
ที่ต้องมารับ กรรม
มันดู ไม่งาม
ที่ต้องมาช้ำ เพราะเธอต่อไป
มันดูไม่แฟร์ ที่ต้องมาใช้
เธอ ร่วมใคร
มันทนไม่ไหว
ไม่เอาอีกแล้ว โฮ้...

มันดู ไม่ดี
ที่ต้องมารับ กรรม
มันดู ไม่งาม
ที่ต้องมาช้ำ เพราะเธอต่อไป
มันดูไม่แฟร์ ที่ต้องมาใช้
เธอ ร่วมใคร
มันทนไม่ไหว
ไม่เอาอีกแล้ว
มันดู ไม่ดี
ที่ต้องมารับ กรรม
มันดู ไม่งาม
ที่ต้องมาช้ำ เพราะเธอต่อไป
มันดูไม่แฟร์ ที่ต้องมาใช้
เธอ ร่วมใคร
มันทนไม่ไหว
ไม่เอาอีกแล้ว โฮ้...
[Goodbye Goodbye]"
2,Gu ไม่ Ru,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Gu%20ไม่%20Ru_บิ๊กแอส,"
ใครมันจะไปรู้ ในทุก ๆ สิ่ง โลกมันลึกลับซับซ้อน แล้วใครที่พอรู้จริง
ได้ยินข่าวมีเพียงกูรู ที่หยั่งรู้ทุกสิ่ง กับเรื่องอะไรที่ใครสงสัย เขาพอจะรู้เรื่องจริง

ถ้าอย่างนั้น มันมีคำถาม ที่ค้างหัวใจ
อยากจะถาม สักคนให้รู้ สักครั้งได้ไหม 

บอกได้หรือไม่ว่าเธอคิดยังไงกับฉัน ในเมื่อฉันก็มีแต่เธอในหัวใจ
อยากจะรู้จริง ๆ ว่าเธอคิดเหมือนกัน บ้างไหม 
ไม่รู้สักทีก็ถามเธอมาตั้งกี่ครั้ง เธอก็ยังไม่รู้ไม่ชี้ ไม่สนใจ
คงต้องถามกูรู เผื่อจะรู้ว่าเธอคิดอย่างไร

คนมีการศึกษา ก็มีตั้งมากมาย แต่เรื่องในใจของคน แล้วใครที่พอเข้าใจ

ก็คนอย่างฉัน ไม่ค่อยจะรู้ อย่างเขาเท่าไร
เลยต้องถามกูรู ให้รู้ สักครั้งได้ไหม

บอกได้หรือไม่ว่าเธอคิดยังไงกับฉัน ในเมื่อฉันก็มีแต่เธอในหัวใจ
อยากจะรู้จริง ๆ ว่าเธอคิดเหมือนกัน บ้างไหม 
ไม่รู้สักทีก็ถามเธอมาตั้งกี่ครั้ง เธอก็ยังไม่รู้ไม่ชี้ ไม่สนใจ
คงต้องถามกูรู เผื่อจะรู้ว่าเธอคิดอย่างไร อยากรู้เหลือเกิน

คนอย่างฉัน ไม่ค่อยจะรู้ อย่างเขาเท่าไร
เลยต้องถาม กูรู ให้รู้ สักครั้งได้ไหม 

ว่าเธอคิดยังไงกับฉัน ในเมื่อฉันก็มีแต่เธอในหัวใจ
อยากจะรู้จริง ๆ ว่าเธอคิดเหมือนกัน บ้างไหม ไม่รู้สักที
ก็ถามเธอมาตั้งกี่ครั้ง เธอก็ยังไม่รู้ไม่ชี้ ไม่สนใจ
คงต้องถามกูรู เผื่อจะรู้ว่าเธอคิดอย่างไร

(อยากรู้ว่าเธอน่ะ รักหรือว่าไม่รัก เอาแต่ทำไม่รู้ไม่ชี้ ไม่สนใจ
บอกได้ไหมกูรู อยากจะรู้ว่าเธอคิดอย่างไร อยากรู้เหลือเกิน)"
3,ก่อนตาย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ก่อนตาย_บิ๊กแอส,"
 เราทุกคน ก็คง
รู้วัน เกิด
แต่มีสักกี่คน ที่รู้ วันตาย
ก่อนทุกอย่างของฉัน
จะสาย เกินไป
แม้ อะไรดีๆ มีไม่เท่า ไหร่
แต่จะขอใจ ซักวัน
เรื่องหัวนอนปลายเท้า
ไม่ค่อย จะมี
แต่หัวใจยังดี ฉันขอ ยืนยัน
ไม่เคยแบ่งให้ใคร
เก็บไว้ มานาน
ขอ ให้มันเป็นวัน
ที่ฉันได้ บอก
บอกเธอให้รู้ ซักที
ยินดีที่จะรัก ไป
ภูมิใจที่จะรับ ฟัง
ได้เกิดมาหนึ่งครั้ง
ถึงยังได้ทำใน สิ่งดี
ถ้าหากพรุ่งนี้ฉัน ตาย
ก็คงจะไม่เสีย ที
ชีวิตฉัน
ถึงมันไม่ค่อยรัก ดี
วันนี้ฉันยัง ได้รักเธอ
ไม่จำเป็นต้องรู้
พรุ่งนี้ เป็นไง
มันจะเกิดอะไร
ฉันพร้อม จะเจอ
หากต้องจาก กันไกล
ใจฉัน มีเธอ
ฉัน เป็นคนคนนึง
ที่ไม่เลิศ เลอ
แต่ความรักแท้ ยังมี
ยินดีที่จะรัก ไป
ภูมิใจที่จะรับ ฟัง
ได้เกิดมาหนึ่งครั้ง
ถึงยังได้ทำใน สิ่งดี
ถ้าหากพรุ่งนี้ฉัน ตาย
ก็คงจะไม่เสีย ที
ชีวิตฉัน
ถึงมันไม่ค่อยรัก ดี
วันนี้ฉันยัง ได้รักเธอ
 คำว่ารักเธอ
ออกจากปาก ของฉันไป
กว่าจะให้ไป
มั่นใจแล้ว ว่ามันดี
คำว่ารักเธอ
มันหลุดออก จากหัวใจ
ก่อนที่ฉันตาย
ขอให้ได้ พูดคำนี้
ยินดีที่จะรัก ไป
ภูมิใจที่จะรับ ฟัง
ได้เกิดมาหนึ่งครั้ง
ถึงยังได้ทำใน สิ่งดี
ถ้าหากพรุ่งนี้ฉัน ตาย
ก็คงจะไม่เสีย ที
ชีวิตฉัน
ถึงมันไม่ค่อยรัก ดี
วันนี้ฉันยัง ได้รักเธอ
ยินดีให้เธอรัก ไป
ดีใจให้เธอรับ ฟัง
ได้เกิดมาหนึ่งครั้ง
ถึงยังได้ทำใน สิ่งดี
ถ้าหากพรุ่งนี้ฉัน ตาย
ก็คงจะไม่เสีย ที
ชีวิตฉัน
ถึงมันไม่ค่อยรัก ดี
วันนี้ฉันยัง ได้รักเธอ
ยินดีให้เธอรัก ไป
ดีใจให้เธอรับ ฟัง
ได้เกิดมาหนึ่งครั้ง
ถึงยังได้ทำใน สิ่งดี"
4,กากี,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กากี_บิ๊กแอส,"
กลิ่นหอมยังวนเวียนไม่เคยจางหายไป
กลิ่นนี้เป็นของเธอในคืนนั้น ยังฝังใจ
เธอคือความทรงจำที่ฉันนั้นลืมไม่ลง
ได้แต่หลงไปสุดไกล
เธอคือคนที่ชายทุกคนใฝ่ฝัน
อยากมีเธอข้างกาย

กลับมาสักที กลับมา ไม่ว่าจะอยู่กับใคร
กลับมาสักที กลับมา อย่าหนีไป ฉันเฝ้ารอแต่เธอ

กลับมาสักที กลับมาสักที
อยากจะเจอ กลับมาสักที
คนดี ฉันรักเธอ คิดถึงเธอ
คิดถึงเธอเหลือเกิน

ป่านนี้ เธอคนดีคงอยู่ไกล แสนไกล
ป่านนี้ เธอจะอยู่ในอ้อมกอด ของผู้ใด
เธอทำให้ใจฉันร้อนรนร้อนรุ่มรุนแรง
เกินกว่าฉันจะห้ามไหว เธอทำให้ใจฉันปั่นป่วน
คลั่งไคล้ตัวเธอ แต่สุดท้ายก็ไป"
5,กู๊ดบาย,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กู๊ดบาย_บิ๊กแอส,"
ทำดีมากับเธอตั้งเท่าไร ทำใจมากับเธอมันก็มาก ก็เห็นเธอยังคงหลายใจ
ทำไงเธอก็ไม่รู้สึกกลัว ทำตัวให้มันชินมันก็ยาก คนนั้นไปคนนี้มาวุ่นวาย

ก็ความเข้มแข็งไม่พอ ต้องขอกู๊ดบาย กู๊ดบาย

มันดูไม่ดีที่ต้องมารับกรรม มันดูไม่งามที่ต้องมาช้ำเพราะเธอต่อไป
มันดูไม่แฟร์ที่ต้องมาใช้เธอร่วมกับใคร มันทนไม่ไหว ไม่เอาอีกแล้ว

โบราณเขาว่าทำดีได้ดี ฟังมาตั้งกี่ปีมันก็เชื่อ ก็รักเธอด้วยดีทั้งใจ
โบราณคงไม่เคยได้เจอะเจอ ทำดีให้กับเธอนี่ฉันหละเบื่อ ไม่ได้ดีไม่ได้เลยให้ตาย

ก็คงต้องพักสักทีโชคดี กู๊ดบาย กู๊ดบาย

มันดูไม่ดีที่ต้องมารับกรรม มันดูไม่งามที่ต้องมาช้ำเพราะเธอต่อไป
มันดูไม่แฟร์ที่ต้องมาใช้เธอร่วมกับใคร มันทนไม่ไหว ไม่เอาอีกแล้ว

มันดูไม่ดีที่ต้องมารับกรรม มันดูไม่งามที่ต้องมาช้ำเพราะเธอต่อไป
มันดูไม่แฟร์ที่ต้องมาใช้เธอร่วมกับใคร มันทนไม่ไหว ไม่เอาอีกแล้ว

มันดูไม่ดีที่ต้องมารับกรรม มันดูไม่งามที่ต้องมาช้ำเพราะเธอต่อไป
มันดูไม่แฟร์ที่ต้องมาใช้เธอร่วมกับใคร มันทนไม่ไหว ไม่เอาอีกแล้ว

กู๊ดบาย กู๊ดบาย"
6,เกิดมาแค่รักกัน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เกิดมาแค่รักกัน_บิ๊กแอส,"
และแล้วก็ถึงเวลา และแล้วเธอก็ต้องไป
ฉันก็เข้าใจที่เธอเลือกเดิน
ฝืนยิ้มด้วยความยินดี ทั้งที่เจ็บปวดเหลือเกิน
ได้แต่ยืนมองเธอเดินไปกับเขา

รัก แม้รักยังไงก็รัก ได้เพียงหัวใจ
สุดท้ายต้องยอมปล่อยเธอไปกับเขา

จากนี้ เธอคงไปดี ก็ขอให้เธอจงสุขสบาย
เธอจงเดินไปตามความฝันของเธอที่เธอตั้งใจ
แม้จะต้องเสียใจ แต่ฉันจะรับไปไว้เอง
อย่างน้อย เธอก็ทำให้ฉันรู้ว่าเคยมีความสุขเพียงใด
ได้เป็นคนที่เธอเคยรักก็ดีแค่ไหน
ฉันต้องยอมเข้าใจ เกิดมาแค่เพียงได้รักกัน
สุดท้ายไม่เป็นอย่างฝันฉันยอมทำใจ

ชีวิตที่เราเคยมี แขวนไว้บนด้ายบางๆ
ไม่รู้ว่ามันจะขาดเมื่อไหร่
เมื่อเธอเจอทางทีดี เธออยากมีชีวิตใหม่
ไม่ผิดอะไรเมื่อเธอต้องเลือกเขา

รัก แม้รักยังไงก็รัก ได้เพียงหัวใจ
สุดท้ายต้องยอมเป็นคนที่ปวดร้าว

จากนี้ เธอคงไปดี ก็ขอให้เธอจงสุขสบาย
เธอจงเดินไปตามความฝันของเธอที่เธอตั้งใจ
แม้จะต้องเสียใจ แต่ฉันจะรับไปไว้เอง
อย่างน้อย เธอก็ทำให้ฉันรู้ว่าเคยมีความสุขเพียงใด
ได้เป็นคนที่เธอเคยรักก็ดีแค่ไหน
ฉันต้องยอมเข้าใจ เกิดมาแค่เพียงได้รักกัน
สุดท้ายไม่เป็นอย่างฝันฉันยอมทำใจ

เกิดมาแค่เพียงได้รักกัน สุดท้ายชีวิตของฉันก็ไม่มีใคร"
7,ข้าน้อยสมควรตาย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ข้าน้อยสมควรตาย_บิ๊กแอส,"
โลกใบนี้
เหมือนมีคำสาปให้คน
ทุกคนทำสิ่งต้องห้าม
ก็รู้ว่าไม่ดี
จะผิดขนาดไหน
หัวใจก็ยังดื้อรั้น
ไม่รู้ว่าทำไมยังดื้อด้าน
เลวสิ้นดี

คิดจะไปเป็นมือที่สาม
มันก็ควรต้องโดนสักที
ฉันไม่ได้อยากเลว
ไม่อยากทำอย่างนี้
มันผิดจริงๆ ก็พอรู้ตัวดี
ก็ได้แต่โทษทีที่ฉันทำไป
ฉันไม่ได้อยากเลว
แค่หยุดใจไม่ไหว
ก็ผิดจริงๆ
อย่างนี้สมควรตาย
แต่จะให้ทำไงเมื่อทั้งหัวใจ
รักเธอ คนเป็นล้าน
หัวใจทำไมไม่รัก
เหลือคนยังโสดตั้งมาก
ไปรักเขาบ้างสิ
.มันผิดเข้าใจไหม
หัวใจทำไมไม่ฟัง
ก็รู้ใจของเธอมันไม่ว่าง
ดูบ้างสิ

คิดจะไปเป็นมือที่สาม
มันก็ควรต้องโดนสักที
ฉันไม่ได้อยากเลว
ไม่อยากทำอย่างนี้
มันผิดจริงๆ ก็พอรู้ตัวดี
ก็ได้แต่โทษทีที่ฉันทำไป
ฉันไม่ได้อยากเลว
แค่หยุดใจไม่ไหว
ก็ผิดจริงๆ
อย่างนี้สมควรตาย
แต่จะให้ทำไงเมื่อทั้งหัวใจ
รักเธอ

คิดจะไปเป็นมือที่สาม
มันก็ควรต้องโดนสักที
ฉันไม่ได้อยากเลว
ไม่อยากทำอย่างนี้
มันผิดจริงๆ ก็พอรู้ตัวดี
ก็ได้แต่โทษทีที่ฉันทำไป
ฉันไม่ได้อยากเลว
แค่หยุดใจไม่ไหว
ก็ผิดจริงๆ
อย่างนี้สมควรตาย
แต่จะให้ทำไงเมื่อทั้งหัวใจ
รักเธอ ก็จะให้ทำไง
เมื่อทั้งหัวใจ รักเธอ


"
8,คนไม่เอาถ่าน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนไม่เอาถ่าน_บิ๊กแอส,"
เธอเหนื่อยไหม ที่ต้องทนกับคนไม่เอาถ่าน
เธอเบื่อไหม ที่ยังยอมให้คนไม่ได้ความ
ขอโทษจริงๆ ที่ฉันทำให้เหนื่อยใจ

ฉันยอมรับ ฉันไม่ใช่คนดีสักเท่าไหร่
และฉันพอรู้ ที่ทำดีให้เธอยังน้อยไป
แต่เธอยังทนอยู่ ยังเหมือนเดิมไม่ไปไหน

* ขอบคุณจริงๆที่เธอยังรัก ไม่เคยเปลี่ยน
ถึงฉันจะดีจะเลวขนาดไหน
และคนอย่างฉันก็คงจะขอ รักเธอตลอดไป
ให้คุ้มที่เธอได้ไว้ใจ ตอบแทนวันนี้ที่ฉันมีเธอ

คนอย่างฉัน ให้มันดีกว่านี้ก็ลำบาก
แต่นับจากนี้ ฉันจะดีกว่านี้ฉันรับปาก
จะยากเย็นเท่าไหร่ จะขอทำให้สุดใจ

( ซ้ำ * )

( ซ้ำ * )

จะดีจะเลวฉันยังมีเธอ จะเป็นคนที่รักเธอเสมอ
ตอบแทนวันนี้ที่ฉันมีเธอ"
9,คนหลงทาง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนหลงทาง_บิ๊กแอส,"
ขอบคุณอีกครั้ง ขอบคุณอีกที
ขอบคุณในความหวังดี ที่มีให้คนที่มืดมัว
แต่มันคงไม่คุ้ม เข้าใจใช่ไหม
ออกจากชีวิตฉันไป ไม่อยากให้เธอถลำตัว

คนอย่างฉันไม่ดีอย่างใครใคร
หลงทางมาไกลจนน่ากลัว
ทางเดินวันนี้ไม่มีสิทธิ์กลับตัว

อย่าฝากชีวิตดีดีไว้ที่ฉัน
อย่าเอาความฝันของเธอมาเสี่ยงรู้ไหม
เก็บเอาชีวิตของเธอเดินออกไปให้ไกล
ไม่อยากทำร้ายคนดีอย่างเธอ

มีแต่ความรัก มีแต่ความฝัน
นั่นมันคงไม่สำคัญ เมื่อมันไม่ใช่ชีวิตจริง

คนอย่างฉันไม่ดีอย่างใครใคร
หลงทางมาไกลจนน่ากลัว
ทางเดินวันนี้ไม่มีสิทธิ์กลับตัว

อย่าฝากชีวิตดีดีไว้ที่ฉัน
อย่าเอาความฝันของเธอมาเสี่ยงรู้ไหม
เก็บเอาชีวิตของเธอเดินออกไปให้ไกล
ไม่อยากทำร้ายคนดีอย่างเธอ


ไม่ใช่ไม่รัก ไม่อยากทำร้ายคนดีอย่างเธอ"
