,name,link,lyrics
0,"36,000 Miles","https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/36,000%20Miles_ค็อกเทล","
เราเคยร่วมฝันด้วยกันมาตั้งนาน ไม่คิดว่าจะต้องจากกัน
เราเคยร่วมฟันฝ่าอุปสรรคตั้งมากมาย เลยไม่คิดว่าจะต้องจากกัน

เมื่อนายได้พบเส้นทาง ที่เลือกเดิน และฉันเองก็เข้าใจ
ทั้งนายและฉันก็คงต้องลุยกันต่อไป เพื่อความฝันที่รออยู่ตรงหน้า

แม้มันจะเหนื่อยล้า จะผิดหวัง จะเจ็บช้ำ 
ฉันยังอยู่ตรงนี้ จะเป็นกำลังใจให้เอง
หนทางที่เลือกเดิน จะยากเย็นสักเท่าไร 
ระยะทางอีกแสนไกลสักแค่ไหน จะสู้มันสู้ไป

ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
ไม่ต้องไปกลัวอะไร แล้วจะไปหวั่นทำไม
ก็ในเมื่อนายเป็นคนที่เลือกไป 
ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
นายจะไปแคร์อะไร ก็เป็นห่วงทำไม
ก็ในเมื่อนายเป็นคนที่เลือกเดินเอง
(ปล่อยหัวใจให้ไปสู่ฝัน อย่างที่ใจต้องการ)

แม้มันจะเหนื่อยล้า จะผิดหวัง จะเจ็บช้ำ 
ฉันยังอยู่ตรงนี้ จะเป็นกำลังใจให้เอง
หนทางที่เลือกเดิน จะยากเย็นสักเท่าไร 
ระยะทางอีกแสนไกลสักแค่ไหน จะสู้มันสู้ไป

ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
ไม่ต้องไปกลัวอะไร แล้วจะไปหวั่นทำไม
ก็ในเมื่อนายเป็นคนที่เลือกไป 
ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
นายจะไปแคร์อะไร ก็เป็นห่วงทำไม
ก็ในเมื่อนายเป็นคนที่เลือกเดินเอง

ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
ไม่ต้องไปกลัวอะไร แล้วจะไปหวั่นทำไม
ก็ในเมื่อนายเป็นคนที่เลือกไป 
ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
นายจะไปแคร์อะไร ก็เป็นห่วงทำไม
ก็ในเมื่อนายเป็นคนที่เลือกไป

ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
ไม่ต้องไปกลัวอะไร แล้วจะไปหวั่นทำไม
ก็ในเมื่อนายเป็นคนที่เลือกไป 
ไปเซ่ ก็ไปเซ่ ก็ไปตามทางที่ตั้งใจ 
นายจะไปแคร์อะไร ก็เป็นห่วงทำไม
ก็ในเมื่อนายเป็นคนที่เลือกเดินเอง"
1,Heartless ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Heartless_ค็อกเทล,"
ไร้หัวใจ เธอไม่เคยรับรู้เธอไม่ยอมเข้าใจ
เธอมองปัญหาของเธอ ว่าเป็นเรื่องใหญ่
เธอไม่เคยมองใจของคน

ไม่รู้สึก ข้างในส่วนลึกของเธอทำด้วยอะไร
มันถึงได้ด้านชา ไร้น้ำตาข้างใน
เธอไม่เคยสะเทือน

พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง

ไร้หัวใจเธอ เธอมองความรักของฉันว่าเป็นเช่นไร
เธอจึงได้ขว้างปา ไร้น้ำตาหัวใจ
เธอมันคงไม่ใช่ของคน

ไม่รู้สึก ข้างในส่วนลึกของเธอทำด้วยอะไร
เธอถึงโหดร้าย เธอฆ่าฉันตายข้างใน
เธอไม่เคยมองเห็น

พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง

รักฉันอ่อนแอเกินจะทนไหว
หัวใจอ่อนแรงเกินกว่าใคร
เพราะฉันอ่อนแอเกินจะทนไหว
หัวใจอ่อนแรงเกินกว่าใคร
ไร้หัวใจ ไร้หัวใจ ไร้หัวใจ

พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง

พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง
พูดอีกคำก็แรง พูดอีกคำก็แทง
โลหิตเป็นสีแดง ไหลออกมาเป็นทาง"
2,Nobody ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Nobody_ค็อกเทล,"
บางเวลา เราลืมตา ตื่นขึ้นมา แล้วลืมบางสิ่งหายไป
ใครคนหนึ่ง เคยมีใจ แล้วทำไมถึงทำมันหล่นหาย

วันคืนผ่าน ใจคนก็เปลี่ยน มันหมุนเวียน อย่างนี้เรื่อยเรื่อยไป
แต่มีบางคน ไม่เคยเสียใจ ในเวลา ที่เขาถูกทิ้ง

* เมื่อรักที่เขาได้เจอ ไม่เป็นอย่างที่คิด แต่ชีวิตมันไม่ได้มีแค่เพียงเท่านี้
ให้ผ่านพ้นข้ามคืนที่มันไม่ดี อาจจะมีซักคนที่คงจะสนใจ

** เมื่อใครใครไม่รัก ( ไม่เป็นไร ) เขา ( นั้นเข้าใจ ) รักมันต้องมีใจให้กัน
ให้ทุ่มเทเพื่อรัก ( สักเพียงไหน ) แต่เธอ ( ก็ไม่เคยสนใจ )
คงต้องปล่อยให้เธอเดินหนีไป อย่างเช่นเคย

( ซ้ำ * )

เมื่อใครใครไม่รัก ( ไม่เป็นไร ) เขา ( นั้นเข้าใจ ) รักมันต้องมีใจให้กัน
ให้ทุ่มเทเพื่อรัก ( สักเพียงไหน ) แต่เธอ ( ก็ไม่เคยสนใจ ) คงต้องปล่อยให้เธอเดินหนีไป

( ซ้ำ ** )"
3,UFO,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/UFO_ค็อกเทล,"
เบื่อ โลกใบนี้
มี เรื่องราววุ่นวาย มากมาย
ความรัก ใช่ว่าจะดีเสมอไป
ทำให้ใจบางคนอย่างฉัน เจ็บช้ำ

แค่อยากจะหนีไปให้ไกล
ไปที่ดวงดาวแสนไกล
ที่มีแต่ความสุขสบายใจ

ไม่ต้องกังวลกับความเจ็บช้ำที่ผ่านมา
เป็นเพียงลมที่ผ่านไป
อยากอยู่คนเดียวสบายใจ อยากจะหนีให้ไกล
แค่อยากจะหนีไปกับจานบิน UFO UFO

อยู่ บนโลกใบนี้
อาจจะมี บางวันฉันได้พบเธอ
ใจฉัน นั้นยังคงไม่ลืมเธอ
ไม่อยากจะเจอ ไม่อยากเจอเธอแล้ว

แค่อยากจะหนีไปให้ไกล
ไปที่ดวงดาวแสนไกล
ที่มีแต่ความสุขสบายใจ

ไม่ต้องกังวลกับความเจ็บช้ำที่ผ่านมา
เป็นเพียงลมที่ผ่านไป
อยากอยู่คนเดียวสบายใจ อยากจะหนีให้ไกล
แค่อยากจะหนีไปกับจานบิน

มารับฉันได้ไหม ไปที่ดวงดาวแสนไกล
ไปที่ไม่มีเธอ

ไม่ต้องกังวลกับความเจ็บช้ำที่ผ่านมา
เป็นเพียงลมที่ผ่านไป
อยากอยู่คนเดียวสบายใจ อยากจะหนีให้ไกล
แค่อยากจะหนีไปกับจานบิน UFO UFO

มารับฉันได้ไหม UFO UFO"
4,กาลเวลาพิสูจน์คน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กาลเวลาพิสูจน์คน_ค็อกเทล,"
เมื่อครั้งหนึ่งในชีวิตฉันต้องเดินทางออกไป
หนทางยาวไกล ให้ฝันนำทางกาย
อาจมีบางทีที่ล้าลืมตาไม่เห็นจุดหมาย
ฝันยังอีกไกล ให้รักนำทางใจ

* โชคชะตาผลักฉันให้ล้มลง
แต่การเดินทางสอนฉันให้อดทน
ใครบางคนกระซิบเบา เบา ผ่านลม

** อยากจะกลับไปซบอิงไหล่ใครสักคน
หลีกไปจากชีวิตวกวนคนที่ลวงหลอก
เดินมาไกลจนใจมันท้อ
แค่เพียงรู้ว่ามีใครรอฉันพร้อมไปต่อ แม้ไกลเท่าไร

อาจเป็นเพราะยังไม่รู้อนาคตเป็นอย่างไร
จะสวยงามเพียงใด หรือมืดมนแค่ไหน
ยิ่งทำให้ใจฉันกลัวไม่กล้าก้าวเดินต่อไป
เมื่อฉันหวั่นไหวในใจ ความหวังยังหล่อเลี้ยงวิญญาณ

( ซ้ำ * , ** )

( ซ้ำ * , ** )

เดินมาไกลจนใจมันท้อแค่เพียงรู้ว่ามีใครรอ
ฉันพร้อมไปต่อ แม้ไกลเท่าไร"
5,เกิด,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เกิด_ค็อกเทล,"
เพียงหยุดฟัง ถ้อยคำข้างใน อยากให้เธอฟังสิ่งในหัวใจบอก อะไรกับเธอ
เพียงหลับตาแล้วฉันจะพาเธอไป สู่โลกของฉันที่มันกว้างใหญ่ หนึ่งดวงใจมีเพียงแค่เธอ

หมื่นเป็นแสนล้านถ้อยคำ จะเรียงร้อยเป็นทำนอง เป็นร้อยกรอง เป็นบทเพลงจะบรรเลงให้เธอ

เกิดเป็นเพลงรัก ข้างในมากมายเกินเก็บเอาไว้ อยากให้เธอได้รู้ และได้เข้าใจอะไรบางอย่าง
เธอได้ยินมั้ย แค่อยากให้ธอรู้ ไม่ว่ารักนี้จะหยุด หรือจะจบที่ตรงไหน ฉันพร้อมจะอดทน
ไม่ว่ามันจะยากเย็นเพียงใด

เพียงจับมือฉันไว้ให้เธอมั่นใจ ไม่ว่าจะร้อนหรือหนาวสักเพียงใด จะไม่ปล่อยมือเธอออกไป
อย่างที่ฉันเคยบอก บอกไปว่ารักเธอ รักสักเท่าไร มีเพียงแค่ใจเดียว จะยอมมอบให้เธอ
เธอเท่านั้น ที่ฉันจะร้องให้ฟัง

เกิดเป็นเพลงรัก ข้างในมากมายเกินเก็บเอาไว้ อยากให้เธอได้รู้ และได้เข้าใจอะไรบางอย่าง
เธอได้ยินมั้ย แค่อยากให้ธอรู้ ไม่ว่ารักนี้จะหยุด หรือจะจบที่ตรงไหน ฉันพร้อมจะอดทน
ไม่ว่ามันจะยากเย็นเพียงใด

เพียงหยุดฟัง ถ้อยคำข้างใน อยากให้เธอฟังและรู้เอาไว้ ว่าบทเพลงนี้เป็นของใคร

หมื่นเป็นแสนล้านถ้อยคำ จะเรียงร้อยเป็นทำนอง เป็นร้อยกรอง เป็นบทเพลงจะบรรเลงให้เธอ

เกิดเป็นเพลงรัก ข้างในมากมายเกินเก็บเอาไว้ อยากให้เธอได้รู้ และได้เข้าใจอะไรบางอย่าง
เธอได้ยินมั้ย แค่อยากให้ธอรู้ ไม่ว่ารักนี้จะหยุด หรือจะจบที่ตรงไหน ฉันพร้อมจะอดทน
ไม่ว่ามันจะยากเย็นเพียงใด

เกิดเป็นเพลงรัก ข้างในมากมายเกินเก็บเอาไว้ อยากให้เธอได้รู้ และได้เข้าใจอะไรบางอย่าง
เธอได้ยินมั้ย แค่อยากให้ธอรู้ ไม่ว่ารักนี้จะหยุด หรือจะจบที่ตรงไหน ฉันพร้อมจะอดทน
ไม่ว่ามันจะยากเย็นเพียงใด"
6,ความทรงจำในค่ำฤดูร้อน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความทรงจำในค่ำฤดูร้อน_ค็อกเทล,"
ฤดูร้อนกลับมาเยือนอีกครั้ง ฉันยังคงจดจำฝังใจเมื่อครั้งมีเธอ
แนบชิดเคียงกายอยู่คราวนี้ ทุกอย่างจางหาย ไม่มีเธอที่เคยคุ้น ไม่มีมือที่กุมไว้

และฉัน ยังคงฝังใจ ยังจดยังจำเมื่อครั้งมีเธอ แนบเคียงชิดใกล้
ไม่มีความหมายเมื่อไม่มีเธอ เคียงอีกต่อไป สิ่งใดสิ่งใหนก็ไม่เหมือนเก่า ที่เราเคยเป็น

ฤดูฝนผ่านไปจนหน้าหนาว ฉันยังคงจดจำเรื่องราว เมื่อครั้งที่เรา เคยมีเมื่อ
เธออยู่ตรงนี้ อยู่กับฉัน แม้วันคืนผ่านเท่าไร ยังคงฝังใจ ไม่ลืม

ว่าฉัน ยังคงฝังใจ ยังจดยังจำเมื่อครั้งมีเธอ แนบเคียงชิดใกล้
ไม่มีความหมายเมื่อไม่มีเธอ เคียงอีกต่อไป สิ่งใดสิ่งใหนก็ไม่เหมือนเก่า ที่เราเคยเป็น

เปรียบดั่งน้ำฝน ตกในคืนหน้าร้อน เหมือนเป็นน้ำตาของใคร ยังคงรินไหล
เหตุใดคืนนี้ฉันจึงยังคง เหน็บหนาวจับใจ ฤดูหน้าหนาวก็ไม่เหมือนเก่า เมื่อไม่มีเรา
และฉันยังคงฝังใจ

ฤดูร้อนกลับมาเยือนคราวนี้ ฉันยังคงเฝ้าหา วิธีที่จะได้ลืม เธอ"
7,คิดถึงฉันหรือเปล่า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดถึงฉันหรือเปล่า_ค็อกเทล,"
คิดถึงฉันหรือเปล่า เมื่อยามเธอเหงา
เศร้าตรมในใจ ก็ไม่ได้มีอะไรมากมาย ฉันแค่อยากจะรู้
นึกถึงฉันหรือเปล่าเมื่อยามที่ดาวนะเต็มฟ้าไกล
ก็ไม่ได้ถามไปเพื่ออะไร ก็เพื่อว่าฉันแค่อยากจะรู้

คำตอบนั้นคือ เธอเปล่า คิดถึงฉันจริงหรือเปล่า
เผื่อว่าเธอจะลืมเอาฉันไปไว้ตรงไหน
กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางนั้นคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม
ก็อยากให้คิดนะ คิดหน่อย คิดถึงฉันบ่อยๆ ก็แล้วกัน

คิดถึงฉันหรือเปล่า เมื่อยามเธอเหงา เธอไม่มีใคร
เมื่อเธอไม่มีใครมาสนใจ เธอนะคิดถึงใคร
นึกถึงฉันหรือเปล่า เมื่อยามที่ฟ้าน่ะ มัวหมองไป
อะไรก็ดูจะไม่เป็นใจ ฉันแค่อยากจะรู้

คำตอบนั้นคือ เธอเปล่า คิดถึงฉันจริงหรือเปล่า
เผื่อว่าเธอจะลืมเอาฉันไปไว้ตรงไหน
กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางนั้นคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม
ก็อยากให้คิดนะ คิดหน่อย คิดถึงฉันบ่อยๆ ก็แล้วกัน

คำตอบนั้นคือ เธอเปล่า คิดถึงฉันจริงหรือเปล่า
เผื่อว่าเธอจะลืมเอาฉันไปไว้ตรงไหน
กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
กับระยะทางแม้ยังแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม

กับกาลเวลา อาจจะล่วงเลยพ้นผ่าน
กาลเวลายาวนานเธอลืมเลือนฉันบ้างไหม
แม้ระยะทางนั้นคงแสนไกลเหลือจะไกล
กลัวรักจะเลือนจะลางจะหาย เธอคิดถึงฉันบ้างไหม

อยากให้คิดนะ คิดหน่อย คิดหน่อย
อยากให้คิดนะ คิดหน่อย คิดหน่อย
อยากให้คิดนะ คิดหน่อย คิดหน่อย
คิดถึงฉันบ่อยๆ ก็แล้วกัน"
8,คุกเข่า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คุกเข่า_ค็อกเทล,"
เพราะอะไรเธอจึงทิ้งฉันไป ฉันทำให้เธอผิดหวัง
ฉันทำให้เธอเจ็บช้ำมากมายขนาดไหน
ฉันรักเธอ มากมายเท่าไร เธอเองก็รู้ใช้ไหม
ว่าเธอน่ะมีความหมายกับฉันขนาดไหน
มากเท่าไร

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย

ฉันผิดไป แต่ไม่ได้ตั้งใจ
ต้นเหตุที่ฉันผิดพลั้ง มันจะไม่มีอีกครั้ง
ให้เธอโปรดมั่นใจ ฉันขอได้ไหม

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย

หากว่าเธอยังรัก ยังห่วงใย
หากว่าเธอยังมีน้ำใจให้ฉันหน่อย
อย่าปล่อยให้ฉันใจน้อยคอยเรื่อยไป
และหากว่าฉันยังดีไม่พอ
ก็จะขอทำดีให้เธอได้เข้าใจ
ได้โปรดอย่าทำร้ายกันเลย

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย

ฉันกำลังขอร้องอ้อนวอนเธออย่าไป
ทิ้งตัวลงคุกเข่ากอดขาเธอเอาไว้
พนมสองมือขึ้นกราบกรานเธอโปรดอย่าไป
มันคงไม่มีประโยชน์ถ้าคนมันหมดใจ

แต่ถ้าตัวเธอยังรัก ยังห่วงใย
และถ้าอดีตของเรายังพอมีความหมาย
ได้โปรดอย่าจากฉันไป
ได้โปรดอย่าทำร้ายกันเลย"
9,คู่ชีวิต ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คู่ชีวิต_ค็อกเทล,"
เธอคือทุกสิ่ง ในความจริงในความฝัน
คือทุกอย่างเหมือนใจต้องการ
เธอเป็นนิทาน ที่ฉันอ่าน ก่อนหลับตาและนอนฝัน

เธอคือหัวใจ ไม่ว่าใครไม่อาจเทียมเทียบเท่าเธอ
ช่างโชคดีที่เจอ ได้ตกหลุมรักเธอ
ได้มีเธอ เคียงข้างกัน

คงจะมีเพียงเธอทำให้โลกนั้นหยุดหมุน เพียงเธอสบตาฉัน
คงจะมีเพียงเธอที่หยุดหัวใจของฉันไว้ตรงนี้ ตรงที่เธอ

เธอเพียงคนเดียวและเพียงเธอที่ต้องการ
ฉันจะทำทุกๆ ทางด้วยวิญญาณและหัวใจ
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียงคนเดียว

เธอคือรักจริง ฉันยอมทิ้งทุกๆ อย่างเพียงเพื่อเธอ
ดั่งฟ้าให้มาเจอ ให้เธอคู่กับฉัน
ให้เราได้เดินเคียงข้างกันนับจากนี้

คงจะมีเพียงเธอทำให้โลกนั้นหยุดหมุน เพียงเธอสบตาฉัน
คงจะมีเพียงเธอที่หยุดหัวใจของฉันไว้ตรงนี้ ตรงที่เธอ

เธอเพียงคนเดียวและเพียงเธอที่ต้องการ
ฉันจะทำทุกๆ ทางด้วยวิญญาณและหัวใจ
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียง

เธอเพียงคนเดียวและเพียงเธอที่เฝ้ารอ
ฉันจะขอภาวนา ต่อหน้าฟ้าอันแสนไกล
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียงคนเดียว

จะทุกข์หรือยามที่เธอนั้นสุขใจ
ยามป่วยไข้หรือสุขกายสบายดี
ฉันอยู่ตรงนี้และจะมีเพียงเธอทุกวินาที
จะอยู่ใกล้ไม่ห่างไกล จะเคียงชิดไม่ห่างไป ไม่ไปไหน

เธอเพียงคนเดียวและเพียงเธอที่ต้องการ
ฉันจะทำทุกๆ ทางด้วยวิญญาณและหัวใจ
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
ทั้งหัวใจฉันมีเธอเพียง

เธอเพียงคนเดียวและเพียงเธอ เพียงเธอที่รอ
ฉันขอภาวนาต่อหน้าฟ้าอันแสนไกล
นั่นคือฉันจะรักเธอไม่ว่าเป็นเมื่อไรสถานใด
เกิดชาติไหนฉันมีเธอ มีเธอเพียง คนเดียว"
