,name,link,lyrics
0,Move And Turn Around,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Move%20And%20Turn%20Around_ดา%20เอ็นโดรฟิน,"
ดนตรี..12..Bars10...11...12MOVE AND TURN AROUNDTURN AROUND AND MOVINช่วยกลับมา ช่วยกลับมาเธออย่าเพิ่งรีบไปMOVE AND TURN AROUNDTURN AROUND AND MOVINช่วยกลับมา ช่วยกลับมาเธออย่าเพิ่งหนีไปปล่อยใจล่องลอยไปตามเสียงเพลงอย่าหยุด อย่ายั้งมันไว้MOVE AND TURN AROUNDTURN AROUND AND MOVINช่วยเปิดเพลง ช่วยเปิดเพลงให้มันเร้าใจMOVE AND TURN AROUNDTURN AROUND AND MOVINมาเข้ามา มาเข้ามาเธออย่าเพิ่งหนีไปดนตรี..4..Bars2...3...4รบกวนพี่ดีเจช่วยเปิดเพลงให้เสียงดังจังหวะนั้น จังหวะนั้นฉันยังไม่ชอบใจขอเพลงแบบโดน โดนแบบดังดัง ให้ถึงใจดังเข้าไว้ ดังเข้าไว้ให้ฉันและเธอปล่อยใจล่องลอยไปตามเสียงเพลงอย่าหยุด อย่ายั้งมันไว้MOVE AND TURN AROUNDTURN AROUND AND MOVINช่วยเปิดเพลง ช่วยเปิดเพลงให้มันเร้าใจMOVE AND TURN AROUNDTURN AROUND AND MOVINมาเข้ามา มาเข้ามามาเข้ามา เข้ามา เข้ามาMOVE AND TURN AROUNDTURN AROUND AND MOVINช่วยเปิดเพลง ช่วยเปิดเพลงให้มันเร้าใจMOVE AND TURN AROUNDTURN AROUND AND MOVINมาเข้ามา มาเข้ามาเธออย่าเพิ่งหนีไปดนตรี..6..Bars4...5...6MOVE AND TURN AROUNDTURN AROUND AND MOVINช่วยเปิดเพลง ช่วยเปิดเพลงให้มันเร้าใจMOVE AND TURN AROUNDTURN AROUND AND MOVINมาเข้ามา มาเข้ามาเธออย่าเพิ่งหนีไปMOVE AND TURN AROUNDช่วยเปิดเพลงให้มันเร้าใจMOVE AND TURN AROUNDมาเข้ามา เธออย่าเพิ่งหนีไปMOVE AND TURN AROUNDTURN AROUND AND MOVINYeah.."
1,การเดินทางที่แสนพิเศษ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/การเดินทางที่แสนพิเศษ_ดา%20เอ็นโดรฟิน,"
ฉันเองก็ไม่รู้ ว่าที่เป็นอยู่
ที่เรานั้นได้หัวใจเพียงครึ่งดวง
แล้วก็ต้องเสาะหา ครึ่งที่หายไป
โดยไม่รู้เมื่อไหร่ จะเจอจะพบกัน
ที่เป็นเช่นนี้ ใครกำหนดไว้

ฉันเองก็ไม่รู้ ว่าเป็นคำสาป
ให้เรานั้นต้องค้นหากันจนเหนื่อย
หรือเป็นพรจากฟ้า เพื่อให้รู้สึก
สิ่งที่แสนพิเศษตอนที่ได้เจอ

เดินทางค้นหาตัวตน ใครหนึ่งคนที่ก็รอฉันอยู่
จากในผู้คนร้อยพันที่ออกเดินทางเหมือนฉัน
บนทางที่แสนยาวไกล ค้นให้เจออีกครึ่งในใจ
ฉันไม่รู้ มันอยู่อีกไกลเท่าไหร่

เห็นบางคนเสาะหา แล้วก็ได้เจอ
เหนื่อยแค่ไหนก็คุ้มค่าความรู้สึก
แม้เป็นพรจากฟ้า หรือเป็นคำสาป
ก็เป็นเรื่องพิเศษที่เกิดขึ้นมา

เดินทางค้นหาตัวตน ใครหนึ่งคนที่ก็รอฉันอยู่
จากในผู้คนร้อยพันที่ออกเดินทางเหมือนฉัน
บนทางที่แสนยาวไกล ค้นให้เจออีกครึ่งในใจ
ฉันไม่รู้ มันอยู่อีกไกลเท่าไหร่

เดินทางค้นหาตัวตน ใครหนึ่งคนที่ก็รอฉันอยู่
จากในผู้คนร้อยพันที่ออกเดินทางเหมือนฉัน
บนทางที่แสนยาวไกล ค้นให้เจออีกครึ่งในใจ
ฉันไม่รู้ มันอยู่อีกไกลเท่าไหร่"
2,ขอบใจ...แต่ไม่เอา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอบใจ...แต่ไม่เอา_ดา%20เอ็นโดรฟิน,"
เธอแสดงถึงน้ำใจ
ยังห่วงใยหรือหวังดี
คำที่ฟังแล้วซึ้งใจ
มีให้กันจนวัน...นี้
อยากขอบใจ
ที่เธอไม่เคยจะลืม
ที่เหลือเศษส่วนในใจให้กัน
อยากขอบใจที่แม้จะไปกับเขา
ยังสงสารคนอย่างฉัน
แต่อยากให้เอามันคืนไป
ฉันไม่ต้องการฟังคำใดใด
ช่วยเก็บเอาใจเธอคืนไป
เดินกลับไปทางเดิม เดินไป
ให้ไกล ให้ไกล สายตา
เธออุตส่าห์ขอเขามา
ให้เวลาฉันชั่วคราว
คงจะกลัวฉันเหงาใจ
ยังอุตส่าห์ให้คำหวาน
อยากขอบใจ
ที่เธอไม่เคยจะลืม
ที่เหลือเศษส่วนในใจให้กัน
อยากขอบใจที่แม้จะไปกับเขา
ยังสงสารคนอย่างฉัน
แต่อยากให้เอามันคืนไป
ฉันไม่ต้องการฟังคำใดใด
ช่วยเก็บเอาใจเธอคืนไป
เดินกลับไปทางเดิม เดินไป
ให้ไกล ให้ไกล สายตา

อยากขอบใจ
ที่เธอไม่เคยจะลืม
ที่เหลือเศษส่วนในใจให้กัน
อยากขอบใจที่แม้จะไปกับเขา
ยังสงสารคนอย่างฉัน
แต่อยากให้เอามันคืนไป
ฉันไม่ต้องการฟังคำใดใด
ช่วยเก็บเอาใจเธอคืนไป
เดินกลับไปทางเดิม เดินไป
ให้ไกล
แต่อยากให้เอามันคืนไป
ฉันไม่ต้องการฟังคำใดใด
ช่วยเก็บเอาใจเธอคืนไป
เดินกลับไปทางเดิม เดินไป
ให้ไกล ให้ไกล สายตา"
3,เข้าใจฉันไหม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เข้าใจฉันไหม_ดา%20เอ็นโดรฟิน,"
อีกครั้ง ที่ดูเหมือนเธอไม่แคร์
สิ่งที่ฉันเองนั้นต้องการจากเธอสิ่งเดียว
ที่อยากขอคือความเข้าใจสิ่งที่ฉันเป็นสิ่งที่รู้สึกข้างใน

ฉันทำเท่าไร ก็ยังดีไม่พอสักครั้งฉันทำอะไร
ฉันทำยังไง ก็ผิดเสมอ ได้ยินแค่เพียง
ว่าฉันไม่เคยเข้าใจเธอ ให้ทำยังไง
ฉันทำดีที่สุดแล้ว

เข้าใจฉันไหม เข้าใจฉันไหม
เธอรู้ไหม พยายาม พยายามแค่ไหน
อยากให้รับรู้ อยากให้รู้ไว้
ใจจริงๆ มันคือความรัก ใจมันรักเธอ

อีกครั้ง ที่เธอคิดไปเองของเธอ
ว่าฉันไม่แคร์ ไม่รู้สึกอะไร แต่ฉัน
ในบางครั้งฉันไม่แน่ใจต้องทำอย่างไร
เพื่อจะให้เธอรู้ใจ

ฉันทำเท่าไร ก็ยังดีไม่พอสักครั้งฉันทำอะไร
ฉันทำยังไง ก็ผิดเสมอ ได้ยินแค่เพียง
ว่าฉันไม่เคยเข้าใจเธอ ให้ทำยังไง
ฉันทำดีที่สุดแล้ว

เข้าใจฉันไหม เข้าใจฉันไหม
เธอรู้ไหม พยายาม พยายามแค่ไหน
อยากให้รับรู้ อยากให้เข้าใจ
ว่าใจจริงเราก็รักกัน

ต่างก็มีความต้องการ ลึกๆ
อยู่ลึกๆ เก็บเอาไว้
ที่เราเก็บเอาไว้ และจะมีวันเข้าใจกันไหม
ก็ไม่รู้ ก็ไม่รู้

เข้าใจฉันไหม เข้าใจฉันไหม
เข้าใจฉันไหม
ฉันเข้าใจ เข้าใจฉันไหม เข้าใจไหม
พยายามแค่ไหน
อยากให้เธอได้รับได้รู้ ให้เธอได้รับได้รู้

เข้าใจฉันไหม เข้าใจฉันไหม
เข้าใจฉันไหม เข้าใจฉันไหม
เข้าใจกันบ้างไหม พยายามแค่ไหน
อยากให้รับรู้ ยังไงเราก็รักกัน รักกัน"
4,เขียนในใจ ร้องในเพลง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เขียนในใจ%20ร้องในเพลง_ดา%20เอ็นโดรฟิน,"
แม้ไม่รู้ว่าเธออยู่ที่ไหน ฉันก็ยังตั้งใจเขียนถึงเธอ
นานเท่าไรเราไม่ได้เจอ ไม่รู้ว่าเธอเป็นอย่างไร

หวังว่าเธอจะยังคงเข้มแข็ง ทุกปัญหาเธอคงรับมือได้
รู้ใช่ไหมหนักหนาเท่าไร ไม่ช้าก็พ้นไปเอง

จดหมายนี้เขียนในใจ ให้เธอ เธอคนเดียว
จดหมายที่ฉันร้องมันออกมาในเสียงเพลง

ให้รู้ว่าฉันยังคงคิดถึง ให้รู้ว่าฉันยังคงเป็นห่วง
ยังห่วงใยเธอเหมือนเดิม ใจยังเป็นเหมือนเดิม เหมือนเดิมเสมอ
เธอรู้ใช่ไหม 

ฉันวันนี้ก็ดีขึ้นมากแล้ว ค่อยค่อยชินกับการไม่มีใคร
โลกจะหมุนก็หมุนตามไป บอกไว้จะได้ไม่ห่วงกัน

แม้บางครั้งจะเหงาไปสักนิด ก็ไม่เอามาคิดให้ฟุ้งซ่าน
แค่ข่มใจหลับตาไม่นาน ที่เหงาก็หายไปเอง

จดหมายนี้เขียนในใจ ให้เธอ เธอคนเดียว
จดหมายที่ฉันร้องมันออกมาในเสียงเพลง

ให้รู้ว่าฉันยังคงคิดถึง ให้รู้ว่าฉันยังคงเป็นห่วง
ยังห่วงใยเธอเหมือนเดิม ใจยังเป็นเหมือนเดิม เหมือนเดิมเสมอ
ให้รู้ว่าฉันยังคงฝันถึง ให้รู้ว่าฉันไม่เคยลืมเธอ
หัวใจยังเป็นของเธอ ใจมันยังรักเธอ รักเธอเสมอ เธอรู้ใช่ไหม

จดหมายนี้เขียนในใจ ให้เธอ เธอคนเดียว
จดหมายที่ฉันร้องมันออกมาในเสียงเพลง

ให้รู้ว่าฉันยังคงคิดถึง ให้รู้ว่าฉันยังคงเป็นห่วง
ยังห่วงใยเธอเหมือนเดิม ใจยังเป็นเหมือนเดิม เหมือนเดิมเสมอ
ให้รู้ว่าฉันยังคงฝันถึง ให้รู้ว่าฉันไม่เคยลืมเธอ
หัวใจยังเป็นของเธอ ใจมันยังรักเธอ รักเธอเสมอ เธอรู้ใช่ไหม
เธอรู้ใช่ไหม เธอรู้ใช่ไหม"
5,ครั้งหนึ่งเราเคยรักกัน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ครั้งหนึ่งเราเคยรักกัน_ดา%20เอ็นโดรฟิน,"
เธออาจเหนื่อยกับสิ่งที่เรานั้นเป็นอยู่
ใครก็รู้ว่าเรานั้นคงไปกันไม่ไหว
เธอรู้ไหมว่าควรทำอย่างไร
ในหนทางที่เรายิ่งเดินยิ่งไกล

เธอคือช่วงเวลาที่ดีที่สุด
แต่ทุกๆ อย่างต้องหยุดไว้เพียงแค่นี้
ไม่มีอีกแล้วที่เราได้เคยมี
ไม่มีช่วงเวลาที่แสนดี

ให้เธอนั้นได้จำว่า ครั้งหนึ่งเรานั้นเคยรักกัน
เรานั้นเคยได้พบกัน แม้ว่ามันจะหมดไป
ในวันหนึ่งหากเธอบังเอิญได้พบใคร
ฉันก็คงไม่เสียใจ ปล่อยให้เธอไป
ฉันไม่เป็นไร ให้เธอได้จำเอาไว้ว่าเราเคยรักกัน

ไม่ว่ามันจะนานเท่าไรยังจดจำ
ทุกเรื่องราวระหว่างสองเราครั้งก่อนนั้น
ขอบคุณฟ้าที่เราได้เจอกัน
จะเก็บมันไว้ข้างในส่วนลึกของหัวใจ

ให้เธอนั้นได้จำว่า ครั้งหนึ่งเรานั้นเคยรักกัน
เรานั้นเคยได้พบกัน แม้ว่ามันจะหมดไป
ในวันหนึ่งหากเธอบังเอิญได้พบใคร
ฉันก็คงไม่เสียใจ ปล่อยให้เธอไป
ฉันไม่เป็นไร

ให้เธอนั้นได้จำว่า ครั้งหนึ่งเรานั้นเคยรักกัน
เรานั้นเคยได้พบกัน แม้ว่ามันจะหมดไป
ในวันหนึ่งหากเธอบังเอิญได้พบใคร
ฉันก็คงไม่เสียใจ ปล่อยให้เธอไป
ฉันไม่เป็นไร และฉันจะจำเอาไว้ว่าเราเคยรักกัน"
6,คำขอสุดท้าย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คำขอสุดท้าย_ดา%20เอ็นโดรฟิน,"
ฉันไม่อยากเกลียดเธอ บอกไว้เลยว่ายังมีใจ
และยังไม่ลืมเรื่องดีๆ
ฉันไม่อยากรอดู ความรักเราต้องโดนย่ำยี
และต้องแหลกคามือของเรา

ทำทุกอย่างทุกทาง เพื่อจะยังได้ซื้อเวลา
จนสุดท้ายต้องยอม

ปล่อยมือฉันซะเถอะ มันถึงเวลา เรานั้นต้องรับความจริง
ปล่อยมือแล้วอำลา อย่ายื้อให้เจ็บกว่านี้
ปล่อยความรักให้อยู่ในที่ดีๆ ลงท้ายด้วยความเข้าใจ
ครั้งสุดท้ายที่อยากขอเธอ

เมื่อเราต่างกันไกล ไม่ใช่ใครที่ผิดสักคน ขอเพียงอย่าทนฝืนกันไป
ฉันไม่อยากรอวัน ที่สองเราต่างทำร้ายใจ และต้องจบลงอย่างร้าวราน

ทำทุกอย่างทุกทาง เพื่อจะยังได้ซื้อเวลา
จนสุดท้ายต้องยอม

ปล่อยมือฉันซะเถอะ มันถึงเวลา เรานั้นต้องรับความจริง
ปล่อยมือแล้วอำลา อย่ายื้อให้เจ็บกว่านี้
ปล่อยความรักให้อยู่ในที่ดีๆ ลงท้ายด้วยความเข้าใจ
ครั้งสุดท้ายที่อยากขอเธอ

ปล่อยมือฉันซะเถอะ มันถึงเวลา เรานั้นต้องรับความจริง
ปล่อยมือแล้วอำลา อย่ายื้อให้เจ็บกว่านี้
ปล่อยความรักให้อยู่ในที่ดีๆ ลงท้ายด้วยความเข้าใจ
ครั้งสุดท้ายที่อยากขอเธอ"
7,คำท้า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คำท้า_ดา%20เอ็นโดรฟิน,"
ฉันไม่รู้ว่าเธอรักใคร
แล้วคนไหนอีกที่รักเธอ
แม้เธอนั้นจะไปพบใคร
แม้คนไหนบอกรักเธอ
แต่ฉัน จะท้า
ไม่มีใครจะรักเธอ
ได้เท่าเทียม กับฉัน
ไม่มีใครจะทุ่มเท
และให้เธอ เท่าฉัน
บอกเลยว่าเธอไม่มี
วันที่เจอกับคนไหน
ที่จะรักเธอได้มากกว่าฉัน
ฉันจะท้าให้ไปหาดู
แล้วจะรู้ว่าเป็นเรื่องจริง
แม้วันนี้อาจมีหลายสิ่ง
ให้เธอนั้นไม่แน่ใจ
แต่ฉัน จะท้า
ไม่มีใครจะรักเธอ
ได้เท่าเทียม กับฉัน
ไม่มีใครจะทุ่มเท
และให้เธอ เท่าฉัน
บอกเลยว่าเธอไม่มี
วันที่เจอกับคนไหน
ที่จะรักเธอได้มากกว่าฉัน

ฉัน จะท้า
ไม่มีใครจะรักเธอ
ได้เท่าเทียม กับฉัน
ไม่มีใครจะทุ่มเทและให้
แต่ฉัน จะท้า
ไม่มีใครจะรักเธอ
ได้เท่าเทียม กับฉัน
ไม่มีใครจะทุ่มเท
และให้เธอ เท่าฉัน
บอกเลยว่าเธอไม่มี
วันที่เจอกับคนไหน
ที่จะรักเธอได้มากกว่าฉัน
จะท้า ไม่มีใครจะรักเธอ
ได้เท่าเทียม กับฉัน
ไม่มีใครจะทุ่มเท
และให้เธอ เท่าฉัน
บอกเลยว่าเธอไม่มี
วันที่เจอกับคนไหน
ที่จะรักเธอได้มากกว่าฉัน"
8,คืนข้ามปี ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คืนข้ามปี_ดา%20เอ็นโดรฟิน,"
มองเวลาก็เกือบเที่ยงคืน.. สิ้นคืนนี้ ก็เป็นเวลาของปีใหม่
มองทางใดมีแต่แสงไฟ สวยเพียงไหน หัวใจก็จำได้เลือนลาง

มีเพลงเปิดดัง มีผู้คนรอบกาย หัวใจก็ยังเงียบงัน

อยากมีคนพิเศษ อยู่ในคืนพิเศษ
คืนสำคัญอีกคืน ที่ต้องอยู่อย่างเหงาใจ
อยากมีคนพิเศษ จับมือกันข้ามผ่าน...
คืนสำคัญอีกคืน ที่ความเหงาคืบคลาน...หัวใจ

รอเวลาจะผ่านข้ามปี ข้ามคืนนี้ เหมือนเดิมด้วยใจที่ว่างเปล่า
มองทางใดเจอแต่เรื่องราว ของความรัก ของคนที่มาคู่เคียงกัน

มีเพลงเปิดดัง มีผู้คนรอบกาย หัวใจก็ยังเงียบงัน

อยากมีคนพิเศษ อยู่ในคืนพิเศษ
คืนสำคัญอีกคืน ที่ต้องอยู่อย่างเหงาใจ
อยากมีคนพิเศษ จับมือกันข้ามผ่าน...
คืนสำคัญอีกคืน ที่ความเหงาคืบคลาน...หัวใจ

มีเพลงเปิดดัง มีผู้คนรอบกาย หัวใจก็ยังเงียบงัน

อยากมีคนพิเศษ อยู่ในคืนพิเศษ
คืนสำคัญอีกคืน ที่ต้องอยู่อย่างเหงาใจ
อยากมีคนพิเศษ จับมือกันข้ามผ่าน...
คืนสำคัญอีกคืน ที่ความเหงาคืบคลาน...หัวใจ"
9,แค่บางครั้ง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แค่บางครั้ง_ดา%20เอ็นโดรฟิน,"
na na now na na now na na na

เวลาที่แสนนาน ทางเดินที่แสนไกล
มีเพียงฉันอยู่และหายใจ
มีคำว่าเหงามา คอยเดินอยู่ข้างกาย
จนกลายเป็นสิ่งที่คุ้นเคย

แค่บางครั้ง ที่ฉันได้ยินบางบทเพลง
แค่บางครั้ง ที่แพ้หัวใจตัวเอง

แอบมีหยดน้ำตา แอบไปนั่งเหงามา
หลบไปจากสายตาผู้คน
ใช้เวลาอยู่ในความเหงาจนสาใจ
และสุดท้ายก็บอกใจฉันอีกครั้งนึง
ชีวิตต้องเดินต่อไป

บางคืนที่ฝนพรำ บางวันที่หนาวกาย
มันทำให้เปราะบางข้างใน
ในคำว่าแข็งแรง ในคำว่ามั่นใจ
บางทีก็อ่อนแอเหลือเกิน

แค่บางครั้ง ที่ฉันได้ยินบางบทเพลง
แค่บางครั้ง ที่แพ้หัวใจตัวเอง

แอบมีหยดน้ำตา แอบไปนั่งเหงามา
หลบไปจากสายตาผู้คน
ใช้เวลาอยู่ในความเหงาจนสาใจ
และสุดท้ายก็บอกใจฉันอีกครั้งนึง
ชีวิตต้องเดินต่อไป

แค่บางครั้ง ที่ฉันได้ยินบางบทเพลง
แค่บางครั้ง ที่แพ้หัวใจตัวเอง

แอบมีหยดน้ำตา แอบไปนั่งเหงามา
หลบไปจากสายตาผู้คน
ใช้เวลาอยู่ในความเหงาจนสาใจ
และสุดท้ายก็บอกใจฉันอีกครั้งนึง
ชีวิตต้องเดินต่อไป"
