,name,link,lyrics
0,Stay,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Stay_Getsunova,"
อาจมีฝนที่หล่นมาชั่วคราว
และเมฆขาวที่ผ่านมาเพียงชั่วคืน
เจอะกับลมก็ปลิวไป ไม่มีใครรื้อฟื้น
ไม่ได้เป็นความยั่งยืนเสมอไป

แต่กับเธอที่ผ่านมาชั่วคราว
และเรื่องราวที่เปลี่ยนไปชั่วข้ามคืน
กับอะไรที่เป็นไป ก็ยังไม่เคยลืม
เหมือนว่ามันเป็นส่วนหนึ่งของหัวใจ

เราไม่เคยจะรักกัน มีแต่วันที่อ่อนไหว
ผ่านเลยไปและไม่เคยจะกลับมา
เป็นแค่ความประทับใจ ที่ยังคงแน่นหนา
มีแต่ฝนมีแต่ฟ้าที่เข้าใจ

ใต้ต้นไม้ที่ไม่มีร่มเงา
กิ่งก้านมันไม่ได้สูงสักเท่าไร
แต่รากลึกลงในดิน หยั่งลึกลงในใจ
มีความหมาย ที่มากมายตลอดมา

เราไม่เคยจะรักกัน มีแต่วันที่อ่อนไหว
ผ่านเลยไปและไม่เคยจะกลับมา
เป็นแค่ความประทับใจ ที่ยังคงแน่นหนา
มีแต่ฝนมีแต่ฟ้าที่เข้าใจ

เราไม่เคยจะรักกัน มีแต่วันที่อ่อนไหว
ผ่านเลยไปและไม่เคยจะกลับมา
เป็นแค่ความประทับใจ ที่ยังคงแน่นหนา
มีแต่ฝนมีแต่ฟ้าที่เข้าใจ ที่เข้าใจ ที่เข้าใจ 

ใต้ต้นไม้ที่ไม่มีร่มเงา
กิ่งก้านมันไม่ได้สูงสักเท่าไร
แต่รากลึกลงในดินหยั่งลึกลงในใจ
มีความหมาย ที่มากมายตลอดมา

แต่รากลึกลงในดินหยั่งลึกลงในใจ
มีความหมาย ที่มากมายตลอดมา 
"
1,Too Late,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Too%20Late_Getsunova,"
....4....3....2เพราะว่ารัก เพราะว่ารักเธอมากมาย เลยแทบตายตอนที่เธอ เธอทิ้งไปไปไม่ลา ไปไม่ลา ไปหาใหม่ไปกับใครใครที่เธอประทับใจแล้วมันเรื่องอะไรมันเรื่องอะไรที่เธอบอกขอคืนดีนับจากนี้จะไม่หลอกหรือเขาทิ้งเธอเพราะเขาทิ้งเธอเธอ เธอ เธอกลับมาทำไมเธอ เธอ เธอเธอ จะมาทำไมเราเป็นเพียงเรื่องเก่าอย่าเปลืองเวลาเธอเธอเป็นไปไม่ได้เธอรู้หรือเปล่าอยากบอกว่าToo late Too lateมันไม่ทัน มันไม่ทัน มันช้าไปไม่มีทาง เพราะว่ามันมันสายไปไม่ต้องคุย ไม่ต้องคุยไม่เข้าใจพูดกี่ครั้ง พูดกี่ที ก็แล้วไงแล้วมันเรื่องอะไรมันเรื่องอะไรที่เธอบอกขอคืนดีนับจากนี้จะไม่หลอกหรือเขาทิ้งเธอเพราะเขาทิ้งเธอเธอ เธอ เธอกลับมาทำไมเธอ เธอ เธอเธอ จะมาทำไมเราเป็นเพียงเรื่องเก่าอย่าเปลืองเวลาเธอเธอเป็นไปไม่ได้เธอรู้หรือเปล่าอยากบอกว่าToo late Too lateดนตรี..20..Bars18...19...20กลับมาทำไมเธอ เธอ เธอเธอ จะมาทำไมเราเป็นเพียงเรื่องเก่าอย่าเปลืองเวลาเธอเธอเป็นไปไม่ได้เธอรู้หรือเปล่าอยากบอกว่าToo late Too lateกลับมาทำไมเธอ เธอ เธอเธอ จะมาทำไมเราเป็นเพียงเรื่องเก่าอย่าเปลืองเวลาเธอเธอเป็นไปไม่ได้เธอรู้หรือเปล่าอยากบอกว่าToo late Too late"
2,กล่อม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กล่อม_Getsunova,"
หากการเดินนั้น
ทำเธอต้องเจ็บ
หากการเดินนั้น
ทำเธอปวดหัวใจ
ความตั้งใจนั้น
สุดท้ายล้มเหลว
ให้ใจเย็นไว้
อย่าโทษตัวเอง
หากความรักนั้น
ทำเธอร้องไห้
หากความรักนั้น
ทำให้เธอเสียใจ
คนที่เคยรักก็มาหายไป
ให้จำเอาไว้ว่ายังมีฉัน
สุดท้าย เธอก็คิดยอมแพ้
สุดท้าย เธอก็เริ่มอ่อนแอ
สุดท้าย เธอก็ต้องหยุดพัก
ปล่อยใจสับสนของเธอ
ให้บทเพลงนี้
กล่อมเธอได้
นอนหลับและฝันดีคืนนี้
บทเพลงช่วยพาเธอหนี
ออกจากโลกนี้ที่วุ่นวาย
เจ็บช้ำ...อย่างนี้
มันช่างปวดร้าว ฉันเข้าใจ
ขอเพียงเธอนั้นปล่อยมันไป
หลับใหลไปกับบทเพลง

หากตัวเธอนั้น
เริ่มเดินหลงทาง
หากตัวเธอนั้น
เริ่มเดินไม่ไหว
เธอรู้สึกเหมือน
อยากจะหยุดหายใจ
อย่ามัวทนไว้เลยนะคนดี
สุดท้าย เธอก็คิดยอมแพ้
สุดท้าย เธอก็เริ่มอ่อนแอ
สุดท้าย เธอก็ต้องหยุดพัก
ปล่อยใจสับสนของเธอ
ให้บทเพลงนี้
กล่อมเธอได้
นอนหลับและฝันดีคืนนี้
บทเพลงช่วยพาเธอหนี
ออกจากโลกนี้ที่วุ่นวาย
เจ็บช้ำ...อย่างนี้
มันช่างปวดร้าว ฉันเข้าใจ
ขอเพียงเธอนั้นปล่อยมันไป
หลับใหลไปกับบทเพลง

สุดท้าย เธอก็คิดยอมแพ้
สุดท้าย เธอก็เริ่มอ่อนแอ
สุดท้าย เธอก็ต้องหยุดพัก
ปล่อยใจสับสนของเธอ
ให้บทเพลงนี้
กล่อมเธอได้
นอนหลับและฝันดีคืนนี้
บทเพลงช่วยพาเธอหนี
ออกจากโลกนี้ที่วุ่นวาย
เจ็บช้ำ...อย่างนี้
มันช่างปวดร้าว ฉันเข้าใจ
ขอเพียงเธอนั้นปล่อยมันไป
หลับใหลไปกับบทเพลง
"
3,กาลครั้งหนึ่ง ตลอดกาล,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กาลครั้งหนึ่ง%20ตลอดกาล_Getsunova,"
เรา ในวันนี้ ต้องจากกันแล้ว เราไกลสุดแสนไกล
มีเพียงแค่ฉันลำพัง กับความเงียบเหงา ทุกๆ วัน
จบ ลงไปแล้ว ยังดีที่สองเราเคยเคียงคู่กัน
และฉันก็รู้ทุกสิ่ง ว่าคงไม่ย้อน หวนคืนมา

แต่คืนและวันที่ผ่านไม่ลบเรื่องราวเก่าๆ
นานแค่ไหนในใจฉันมีแต่เธอ ไม่เคยลืม

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป

เธออยู่แห่งไหน จะเป็นแบบไหนในวันที่เราห่าง
เธอเคยคิดถึงกันไหม ในคราวที่เธอ ไม่เหลือใคร

แต่คืนและวันที่ผ่านไม่ลบเรื่องราวเก่าๆ
นานแค่ไหนในใจฉันมีแต่เธอ ไม่เคยลืม

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป

แต่คืนและวันที่ผ่านไม่ลบเรื่องราวเก่าๆ
นานแค่ไหนในใจฉันมีแต่เธอ ไม่เคยลืม

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้

เพราะกาลครั้งหนึ่ง ที่รักเราเบิกบาน
ยังฝังอยู่กับฉันตลอดกาล
แม้ทุกอย่าง จะเหลือเพียงความทรงจำ
ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป

ฉันเก็บเอาไว้เป็นอย่างดี จะอยู่กับฉันตลอดไป"
4,ไกลแค่ไหนคือใกล้ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ไกลแค่ไหนคือใกล้_Getsunova,"
พยายามจะทำวิธีต่างๆ ให้เธอนั้นรักฉัน
พยายามทุกวัน มอบให้ทุกอย่างที่เธอต้องการ
เหมือนเดินบนสะพานที่มีปลายทางคือใจของเธอ
ยังคงคิดและหวังจะนำเอารักแท้นี้ไปให้

* (แต่)(ว่า)ทำไม เดินมาเนิ่นนานไม่ถึงซักที
แต่ทำไม มองดูเส้นทางเหมือนยาวออกไป
อยากรู้ว่าฉันต้องทำตัวอย่างไร

** อีกไกลแค่ไหน จนกว่าฉันจะใกล้ บอกที
อีกไกลแค่ไหนจนกว่าเธอจะรักฉัน เสียที
มีทางใดที่อาจทำให้เธอสนใจ ได้โปรด
บอกกับฉันให้รู้ที ว่าสุดท้ายแล้วฉันยังมีความหมาย

ยังไม่คิดยอมแพ้ ฉันเพียงแต่อ้อนล้าก็เท่านั้น
ภายในใจยังคงรักเธอเหมือนเดิม ไม่เคยเปลี่ยน
คงจะดีไม่น้อย ถ้าเธอบอกให้ฉันได้รับรู้
ความในใจของเธอ เหตุผลต่างต่างที่ยังซ่อนไว้

(ซ้ำ * , ** )

(ซ้ำ ** , ** )"
5,คนคนเดียว ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนคนเดียว_Getsunova,"
ตอนเธอยังรักกับฉัน
เมื่อไหร่ที่คิดถึงเธอ
เธอคือพลัง
เธอเป็นดั่งเรี่ยวแรง
ให้กำลังกับหัวใจ
วันที่เธอนั้นจากไป
เมื่อไหร่ที่คิดถึงเธอ
มันทรมาน ปวดร้าวข้างใน
ไม่มีเลยกำลังใจ

ฉันไม่เข้าใจ ฉันไม่เข้าใจ
ฉันไม่เข้าใจ ทำไม ทำไม
ฉันยังไม่ลืมเธอ
น่าแปลกเหลือเกิน
ที่คนเดียวกัน
ทำให้เราเป็นได้
ทั้งสุขและเสียใจ

ตอนเธอยังคบกับฉัน
ได้เคยเปิดดูข้อความ
ยังอ่านซ้ำซ้ำ
ไม่เบื่อมันซักครั้ง
เคยอ่านไปยิ้มไป
มาในวันนี้เปลี่ยนไป
ข้อความก็ยังเหมือนเดิม
แต่อ่านแล้วช้ำ มันย้ำในใจ
ว่าเธอได้จากฉันไป

ฉันไม่เข้าใจ ฉันไม่เข้าใจ
ฉันไม่เข้าใจ ทำไม ทำไม
ฉันยังไม่ลืมเธอ
น่าแปลกเหลือเกิน
ที่คนเดียวกัน
ทำให้เราเป็นได้
ทั้งสุขและเสียใจ

ฉันไม่เข้าใจ ฉันไม่เข้าใจ
ฉันไม่เข้าใจ ทำไม ทำไม
ฉันยังไม่ลืมเธอ
น่าแปลกเหลือเกิน
ที่คนเดียวกัน
ทำให้เราเป็นได้
ทั้งสุขและเสียใจ

ทำให้เราเป็นได้
ทั้งสุขและเสียใจ
"
6,คนเดิมที่ไม่เหมือนเดิม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนเดิมที่ไม่เหมือนเดิม_Getsunova,"
อยู่ๆตื่นขึ้นมาก็เหมือนเธอเปลี่ยนไป
คล้ายคนอื่นไม่รู้เป็นใคร
จากคนที่รู้ใจกลับกลายเป็นห่างไกล

อยู่ๆรักของเราที่เคยมีความหมาย
สำหรับเธอกลับเหมือนจางหาย
ในระหว่างสองเราตอนนี้มันเกิดอะไร
ฉันอยากรู้ โปรดเธอพูดตรงๆ ออกมาให้ฟัง
เลยอยากถาม ความเป็นจริงที่เธอได้เก็บเอาไว้ข้างใน

ตอนนี้ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
รักกันเหมือนเดิมรึเปล่า ช่วยบอกกับฉันที 
ว่าในตอนนี้ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
ยังรักกันอยู่บ้างมั้ย เพราะฉันรู้สึก
เหมือนว่าเธอคนเดิม วันนี้ ไม่เป็นเหมือนเดิม
เหมือนว่าเธอคนเดิม วันนี้ ไม่เป็นเหมือนเดิม

พอจะมีสักทางบ้างมั้ยวิธี
ที่จะเปลี่ยนเธอคืนกลับมา
กลับเป็นคนคุ้นเคย ที่ฉันคุ้นเคย อีกครั้ง

ยังอยากรู้ โปรดเธอพูดตรงๆ ออกมาให้ฟัง
ยังอยากถาม ความเป็นจริงที่เธอได้เก็บเอาไว้ข้างใน

ตอนนี้ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
รักกันเหมือนเดิมรึเปล่า ช่วยบอกกับฉันที 
ว่าในตอนนี้ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
ยังรักกันอยู่บ้างมั้ย เพราะฉันรู้สึก
เหมือนว่าเธอคนเดิม วันนี้ ไม่เป็นเหมือนเดิม
เหมือนว่าเธอคนเดิม วันนี้ ไม่เป็นเหมือนเดิม

ตอนนี้ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
รักกันเหมือนเดิมรึเปล่า ช่วยบอกกับฉันที 
ว่าในตอนนี้ใจเธอนั้นเป็นเหมือนเดิมรึเปล่า
ยังรักกันอยู่บ้างมั้ย เพราะฉันรู้สึก
เหมือนว่าเธอคนเดิม วันนี้ ไม่เป็นเหมือนเดิม
เหมือนว่าเธอคนเดิม วันนี้ ไม่เป็นเหมือนเดิม
ไม่เป็นเหมือนเดิม ไม่เป็นเหมือนเดิม"
7,คนไม่จำเป็น ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนไม่จำเป็น_Getsunova,"
อยู่ตรงนี้อยากเป็นคนที่เธอต้องการ
พยายามเปลี่ยนแปลงตัวให้ดีขึ้นมา
อยากให้เธอรู้ ความจริงข้างใน
ว่าฉันรัก เธอมากเพียงใด

แต่สุดท้าย ผ่านมานานแสนนานเท่าไร
ยังคงรอ ยังลองทุกวิธีทุกทาง
เธอไม่เคยเห็น ฉันในสายตา
เป็นเพียงลม ไม่มีตัวตน

ทำให้รู้ว่าทำอะไร เธอนั้นไม่เคยสนใจ
ทำให้รู้อยู่ไปก็ไม่มีความหมาย

เพราะคนไม่จำเป็น ก็ต้องเดินจากไป
ถึงแม้ว่าภายในใจจะรักเธอแค่ไหน
เพราะคนไม่จำเป็น ก็ไม่ควรอยู่ตรงนี้
ก็ฉันนั้นเข้าใจดีว่าเธอไม่ต้องการ (เธอไม่ต้องการ)
ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น

ก็พอรู้ว่าฉันนั้นไม่ดีเลิศเลอ
เทียบกับเธอ ยังไงแล้วก็ไม่คู่ควร
สิ่งที่ยังเหลือ จะทำได้คือคงต้องหาย จากชีวิตเธอ

ทำให้รู้ว่าทำอะไร เธอนั้นไม่เคยสนใจ
ทำให้รู้อยู่ไปก็ไม่มีความหมาย

เพราะคนไม่จำเป็น ก็ต้องเดินจากไป
ถึงแม้ว่าภายในใจจะรักเธอแค่ไหน
เพราะคนไม่จำเป็น ก็ไม่ควรอยู่ตรงนี้
ก็ฉันนั้นเข้าใจดีว่าเธอไม่ต้องการ (เธอไม่ต้องการ)
ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น

เพราะคนไม่จำเป็น ก็ต้องเดินจากไป
ถึงแม้ว่าภายในใจจะรักเธอแค่ไหน
เพราะคนไม่จำเป็น ก็ไม่ควรอยู่ตรงนี้
ก็ฉันนั้นเข้าใจดีว่าเธอไม่ต้องการ (เธอไม่ต้องการ)
ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น

ยอมจากไปพร้อมน้ำตา เป็นคนที่ไร้ค่า
(ยอมจากไป) เพราะเป็นความจำเป็นของคนไม่จำเป็น"
8,ความเงียบดังที่สุด,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความเงียบดังที่สุด_Getsunova,"
มีคำบางคำที่เก็บเงียบงัน  
คอยเฝ้ารอวันที่ควรบอกคำนั้น 
ให้เธอได้รับฟัง

ยังพยายาม ยังทำทุกทาง ผ่านมาแสนนาน 
เพื่อจะสื่อไปหา ให้เธอได้รู้สึก

แต่ยิ่งทำเท่าไร กลับเหมือนว่าเธอไม่สน 
ยิ่งทำแค่ไหน ยิ่งเกิดคำถามในใจ 
เป็นความเงียบที่ดังข้างใน

เธอเคยรู้สึกไหม ได้ยินบ้างไหม 
เสียงข้างในที่ดัง ตะโกนฉันรักเธอ
เก็บเอาไว้ข้างในเรื่อยมาตลอด 
รู้สึกไหม ได้ยินบ้างไหม
รักที่ฉันนั้นยังไม่เคยได้พูดไป 
เก็บเอาไว้ข้างในหัวใจตลอดมา
เป็นความเงียบที่ดังที่สุดในใจฉัน
เป็นความเงียบที่ดังที่สุดในใจฉัน

ควรทำยังไง ต้องนานเท่าไร 
เธอจะเข้าใจว่าทุกสิ่งที่ฉันทุ่มเทเพราะรักเธอ

แต่ยิ่งทำเท่าไร กลับเหมือนว่าเธอไม่สน 
ยิ่งทำแค่ไหน ยิ่งเกิดคำถามในใจ 
เป็นความเงียบที่ดังข้างใน

เธอเคยรู้สึกไหม ได้ยินบ้างไหม
เสียงข้างในที่ดัง ตะโกนฉันรักเธอ เก็บเอาไว้ข้างในเรื่อยมาตลอด
รู้สึกไหม ได้ยินบ้างไหม รักที่ฉันนั้นยังไม่เคยได้พูดไป
เก็บเอาไว้ข้างในหัวใจตลอดมา เป็นความเงียบที่ดังที่สุดในใจฉัน
เป็นความเงียบที่ดังที่สุดในใจฉัน

เธอเคยรู้สึกไหม ได้ยินบ้างไหม
เสียงข้างในที่ดัง ตะโกนฉันรักเธอ เก็บเอาไว้ข้างในเรื่อยมาตลอด
รู้สึกไหม ได้ยินบ้างไหม รักที่ฉันนั้นยังไม่เคยได้พูดไป
เก็บเอาไว้ข้างในหัวใจตลอดมา เป็นความเงียบที่ดังที่สุดในใจฉัน
เป็นความเงียบที่ดังที่สุดในใจฉัน"
9,ความมืดสีขาว,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความมืดสีขาว_Getsunova,"
โลกนี้อาจสวยในสายตา
แต่เบื้องหลังคือน้ำตา
ความรักจะสวยงามเท่าใด
ต้องเก็บไว้ในหัวใจ

ไม่อาจจะเผยตัวที่แท้จริงที่ฉันเป็น
โลกนี้อาจไม่สวยงาม ไม่เหมือนอย่างที่เห็น

มืดมิดสักเท่าใดก็ถอยไม่ได้ เพื่อวันพรุ่งนี้ที่สดใส
เพื่อศรัทธาในหัวใจ และแม้นานเพียงใด
ความรักที่มีจะอยู่ตรงนี้ไปจนตาย
ในความมืดสีขาว

ความฝันอาจสวยดังนิยาย
บนทางฝันช่างยากเย็น

ไม่อาจจะเผยตัวที่แท้จริงที่ฉันเป็น
โลกนี้อาจไม่สวยงาม ไม่เหมือนอย่างที่เห็น

มืดมิดสักเท่าใดก็ถอยไม่ได้ เพื่อวันพรุ่งนี้ที่สดใส
เพื่อศรัทธาในหัวใจและแม้นานเพียงใด
ความรักที่มีจะอยู่ตรงนี้ไปจนตาย
ในความมืดสีขาว

อาจไม่ใช่คนที่ดีเลิศเลอ
แต่ฉันจะดูแลเธอตลอดไป
จะไม่ยอมให้ใครมาทำร้ายเธอ (ฉันสัญญา)

มืดมิดสักเท่าใดก็ถอยไม่ได้ เพื่อวันพรุ่งนี้ที่สดใส
เพื่อศรัทธาในหัวใจ และแม้นานเพียงใด
ความรักที่มีจะอยู่ตรงนี้ไปจนตาย
ในความมืดสีขาว"
