,name,link,lyrics
0,ก่อนที่มันจะสาย,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ก่อนที่มันจะสาย_Groove%20Riders,"
จบลงอย่างนี้ทุกครั้งที่เราไม่พูดกัน ส่วนฉันก็ยังไม่รู้ว่าทำไม
เรื่องระหว่างสองเรา มันมีอะไรที่เปลี่ยนแปลงไป วันนี้เราช่างห่างเหินเหลือเกิน
รักเรายังดีใช่ไหม หรือมีอะไรติดอยู่ในใจ ฉันทำอะไรผิดไปบอกได้ไหม

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)

เพราะว่าใกล้ชิด หรือเพราะว่าเจอกันทุกวัน เจอะกันมานานจนเริ่มจะชินชา
อาจจะเหนื่อยมากไป จนบางทีเราไม่มีเวลา เจอหน้ากันครั้งสุดท้ายนั้นเมื่อไหร่
รักเรายังดีใช่ไหม หรือมีอะไรติดอยู่ในใจ รักเรายังไม่ได้เปลี่ยนไปใช่ไหม

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)

ฉันไม่เคยจะคิดซักนิด ไม่เคยคิดจะทำให้เธอเสียใจ
ฉันไม่เคยจะคิดทำร้าย มีแต่รักให้เธอหมดหัวใจ เธอรู้ไหม

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)

ก่อนที่มันจะสาย บอกฉันให้เข้าใจ หากฉันทำพลาดไป บอกกับฉันให้รู้อย่าเก็บไว้ข้างใน
ก่อนที่มันจะสาย ก่อนจะช่วยกันไม่ได้ บอกฉันให้เข้าใจ ถ้าหากเรายังรักกัน
บอกฉันวันนี้อย่ารอให้ถึงวัน ที่รักเราหมดไปแล้ว
(ฉันขอได้ไหมให้เธอช่วยบอกฉัน)"
1,ขอบคุณ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอบคุณ_Groove%20Riders,"
ร่วมร้องโดย ปาล์มมี่, ป๊อด โมเดิร์นด็อก

ในยามที่เงียบเหงา มีเธออยู่เคียงกายเรา
วันคืนที่ปวดร้าว มีเธอช่วยทำให้ทุเลา
มีเธอให้ความเข้าใจ จึงทำให้ทุกข์นั้นบรรเทา
จากวันที่มันว่างเปล่า เธอทำให้มันมีคุณค่า

อยากบอกให้เธอได้รู้ว่า ในสิ่งทั้งหลายที่เธอให้มา
ขอบคุณจากหัวใจ ขอบคุณในความหวังดี
ขอบคุณในน้ำใจ ขอบคุณในความรักที่มี

กับวันที่สิ้นหวัง เธอทำให้ฉันมีพลัง
ในยามที่พลาดพลั้ง เธอคอยอยู่เป็นกำลังใจ

อยากบอกให้เธอได้รู้ไว้ ว่าสิ่งที่เธอนั้นมีให้
ขอบคุณจากหัวใจ ขอบคุณในความหวังดี
ขอบคุณในน้ำใจ ขอบคุณในความรักที่มี

ขอบคุณจากหัวใจ ขอบคุณในความหวังดี
ขอบคุณในน้ำใจ ขอบคุณในความรักที่มี

ถ้าฉันไม่ได้พบเธอ ไม่รู้จะเป็นอย่างไร
(ขอบคุณจากหัวใจ ขอบคุณในความหวังดี)
ถ้าเราไม่ได้รักกัน แล้วฉันจะคู่กับใคร
(ขอบคุณในน้ำใจ ขอบคุณในความรักที่มี)

ถ้าฉันไม่ได้พบเธอ ไม่รู้จะเป็นอย่างไร
ถ้าเราไม่ได้รักกัน แล้วฉันจะคู่กับใคร"
2,เข้าใจ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เข้าใจ_Groove%20Riders,"
เข้าใจ ฉันเข้าใจทุกอย่าง
เลิกบังเลิกอำพราง
ขอให้ฟังกันก่อน
เรื่องเราหากจะคิดไป
จะอยู่ไปใยให้หมอง
อยู่เราสองก็คงปวดใจ

สองใจ คิดไปคนละอย่าง
ต่างคนต่างมีทางรักช่างทำกันได้
สองคนไม่เคยเข้าใจ คนให้อภัยไม่มี
อยู่อย่างนี้เราดีอย่างไร มันดีอย่างไร

คงมีเพียงแค่รักกัน
แล้วรักนั้นมันมีสุขไหม
คงเป็นเพียงเราเผลอไป
ไม่ตั้งใจจะรักกัน ให้มันยั่งยืน

ฝืนไปตรมใจเปล่า
อยู่เดียวอาจเปลี่ยนเหงา
ขอเพียงเราเป็นเพื่อน
เสียใจอาจจะเสียใจ ก็ไม่นานไปก็ลืม
อาจจะเหมือนดังลมผ่านไป จำใจก็ลืม

คงมีเพียงแค่รักกัน
แล้วรักนั้นมันมีสุขไหม
คงเป็นเพียงเราเผลอไป
ไม่ตั้งใจจะรักกัน ให้มันยั่งยืน

ฝืนไปตรมใจเปล่า
เมื่อใดหากใจเหงา สองเราเป็นเพื่อน
แยกไปใช่จะรักกัน ยังผูกใจกันดั่งเหมือน
เพื่อนจะรักดังเดิมได้ไหม"
3,คอสเมติกส์ (Cosmetics),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คอสเมติกส์%20(Cosmetics)_Groove%20Riders,"
ชุดสีทองเหลือบ มุกประกายส่อง อยู่กลางแสงไฟ
เล็บสีแดงเลือดนก ดูช่างร้อนแรง ยิ่งยวนเย้าใจ
Mascara ละลายไหลไปตามเหงื่อไคล ให้ใจรุ่มเร้า
ระยะมองคลุมไหล่ ขาวนวลยิ่งชวนให้ฉัน ติดบ่วงจน

หลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กล้วว่ามันจะจาง กลัวว่าเธอจะล้างมันไป (ให้หาย)
ปล่อยให้ฉันหลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กลัวว่ามันจะจาง กลัวข้างในหัวใจไม่เหลือสิ่งไหนที่ฉันสนใจ

ผมสีน้ำตาลอ่อน หรือม่วงประกายแสด ก็แผดเผาใจ
ยิ่งใต้แสงนวลสลัว หัวใจสั่น หวั่นเธอหายไป
Brush on กับผิวชมพูให้ดูยิ่งอ่อนวัย เกินจะทนไหว
Lipgloss แวววาว ฉุดหัวใจให้ชายหวั่นไหว ติดบ่วงจน

หลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กล้วว่ามันจะจาง กลัวว่าเธอจะล้างมันไป (ให้หาย)
ปล่อยให้ฉันหลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กลัวว่ามันจะจาง กลัวข้างในหัวใจไม่เหลือสิ่งไหนที่ฉันสนใจ

Eye shadow คมเฉี่ยว ฟ้าเขียวเกี่ยวหัวใจ ชายใดที่เจอ
ทุกคนยอมสยบหัวใจ ได้เพียงพร่ำเพ้อ

หลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กล้วว่ามันจะจาง กลัวว่าเธอจะล้างมันไป (ให้หาย)
ปล่อยให้ฉันหลงรักเธอ (Cosmetics) หลงรักเธอ (Cosmetics)
กลัวว่ามันจะจาง กลัวข้างในหัวใจไม่เหลือสิ่งไหนที่ฉันสนใจ"
4,แค่เธอก็พอ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แค่เธอก็พอ_Groove%20Riders,"
สิ่งที่ฉันไม่เคยรู้สึก สิ่งที่ฉันไม่เคยจะนึกว่ามี
แต่แล้วฉันก็พบจาก ได้พบจากเธอ เธอคนนี้

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้วแค่คนนี้

จะไม่มีวันรักใคร และจะไม่มีวันไปไหน
ฉันสัญญาว่าฉันจะ จะรักกับเธอเป็นคนสุดท้าย

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้วแค่คนนี้

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้วแค่คนนี้

จะไม่มีวันรักใคร(ไม่มีไม่มี) และจะไม่มีวันไปไหนสักที
ฉันสัญญาว่าฉันจะ จะรักกับเธอแค่คนๆนี้ (สัญญาๆ)

แค่เธอก็พอ ฉันไม่ขอมากกว่านี้
แค่เธอก็พอ ฉันจะไม่ขออะไรอีก
แค่เธอก็พอ ชีวิตฉันเพียงพอแล้ว
ชีวิตฉันเพียงพอแล้ว ชีวิตฉันเพียงพอแล้ว
กับคนนี้"
5,ฉันไม่ได้คิดแบบนั้น ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ฉันไม่ได้คิดแบบนั้น_Groove%20Riders,"
พอเถอะนะ อย่าห่วงฉัน ปล่อยให้ฉันเป็นของฉันก่อน ปล่อยให้ฉันเศร้าของฉันก่อน
ขอได้ไหม อย่าทำร้ายใจกว่านี้ ฉันรู้ว่าเธอนั้นหวังดี

* แต่อธิบายเท่าไหร่ ฉันยังคงไม่เข้าใจ
ยิ่งห่วงฉัน ฉันยิ่งเข้าใจผิด ขอให้เธอช่วยหยุดก่อนได้ไหม

เพราะฉันไม่ได้คิดแบบนั้น ไม่ได้คิดอย่างนั้น ไม่ได้คิดแค่นั้น อย่างที่เธอเข้าใจ
มันมากกว่าแค่เพื่อนกัน เธอรู้ไหม ปล่อยให้ฉันได้คิดแบบนั้น ให้ได้คิดอย่างนั้น
และปล่อยจนกว่าฉันจะทำหัวใจ อย่ากังวลรึสนใจ

ในวันนี้ ยังไม่พร้อม ปล่อยให้ฉันเป็นของฉันก่อน ปล่อยให้ฉันเศร้าของฉันก่อน
ขอได้ไหม อยากจะขอทำใจอีกนิด ฉันรู้ว่าเธอนั้นหวังดี 

( ซ้ำ * )

เพราะฉันไม่ได้คิดแบบนั้น ไม่ได้คิดอย่างนั้น ไม่ได้คิดแค่นั้น อย่างที่เธอเข้าใจ
มันมากกว่าแค่เพื่อนกัน เธอรู้ไหม ปล่อยให้ฉันได้คิดแบบนั้น ให้ได้คิดอย่างนั้น
และปล่อยจนกว่าฉันจะทำหัวใจได้ อย่ากังวลรึสนใจ ฉันเลย

ไม่ต้องกลัวว่าจะทำร้ายใคร อย่ากังวลรึสนใจ ฉันเลย"
6,ซูเปอร์สตาร์ (Superstar) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ซูเปอร์สตาร์%20(Superstar)_Groove%20Riders,"
* เธอคือ superstar ส่องแสงบนท้องนภา she's a superstar โดดเด่นในดวงดารา
เธอคือ superstar ส่องแสงบนท้องนภา she's a superstar โดดเด่นในดวงดารา

เหมือนตัวฉันล่องลอยในอวกาศ ออกจากดาวโลกไปไกล สู่จักรวาลที่แสนกว้างใหญ่
เหมือนลืมหายใจในสูญญากาศ เหม่อลอยเหนือท้องนภา หลุดไปในห้วงเวลา
ก็เพราะว่าเธอคนนั้น เธอคือดาวในฝัน เธอทำให้ฉันต้องหันมามองเธอจนกว่า
ดวงตาฉันสลาย ลมหายใจฉันจะหาย ร้อนรนจนทนไม่ไหว โอ้ขอให้เธอช่วยกรุณา

** so tell me lady ว่าเธอรู้ใช่ไหมว่าฉันนั้นหลงใหลตัวเธอมานาน
so come on baby หากเธอรู้แล้วใยจะแกล้งให้ฉันต้องทรมาน
so going crazy เพราะฉันคลั่งไคล้เธอ เพราะเธอคือ superstar

( ซ้ำ * )

เหมือนตัวฉันล่วงไปในหลุมอากาศ หล่นลงจนลึกข้างใน กลับออกมาก็ไม่ได้
หัวใจฉันคงเป็นดังอุกกาบาต สะเก็ดดาวที่ไม่มีค่า โอ้ขอให้เธอได้โปรดเมตตา

( ซ้ำ ** , * )

so tell me lady ว่าเธอรู้ใช่ไหมว่าฉันนั้นหลงใหลตัวเธอมานาน
so come on baby หากเธอรู้แล้วใยจะแกล้งให้ฉันต้องทรมาน
cause I'm going crazy เพราะฉันคลั่งไคล้เธอ เพราะเธอคือ superstar

( ซ้ำ * , * )"
7,ถ้าปล่อยให้เธอเดินผ่าน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถ้าปล่อยให้เธอเดินผ่าน_Groove%20Riders,"
ดีไหม	หากเราลองรู้จักกัน
พูดและคุยในช่วงเวลาสั้นๆ
ไม่ต้องผูกมัดอะไร  แค่รู้จักกันเท่านั้น
ฟังแล้ว  อาจดูเจ้าชู้หลอกลวง
อยากจะรับรองว่าเธอไม่ต้องเป็นห่วง
ฉันไม่ได้หวังอะไร อยากบอกให้เธอมั่นใจ

ถ้าไม่ทำอย่างนี้  แล้วปล่อยให้เธอเดินผ่าน
ฉันไม่รู้ว่าอนาคตจะเสียใจแค่ไหน	ช้ำใจเท่าไหร่
ถ้ารู้ว่าฉันได้พลาดความรักที่แท้
รู้ไหมฉันไม่ทำแบบนี้กับใคร
ฉันต้องรวบรวมสะสมความกล้าสักเท่าไหร่
ขอล่ะ ขอคนดี อย่าเดินจากเดินหนีไป

ถ้าไม่ทำอย่างนี้  แล้วปล่อยให้เธอเดินผ่าน
ฉันไม่รู้ว่าอนาคตจะเสียใจแค่ไหน	ช้ำใจเท่าไหร่
ถ้ารู้ว่าฉันได้พลาดความรักที่แท้
รู้ไหมฉันไม่ทำแบบนี้กับใคร
ฉันต้องรวบรวมสะสมความกล้าสักเท่าไหร่
ขอล่ะ ขอคนดี อย่าเดินจากเดินหนีไป

ถ้าไม่ทำอย่างนี้  แล้วปล่อยให้เธอเดินผ่าน
ฉันก็ไม่รู้ว่าจะได้พบเจอเธออีกหรือไม่
ช้ำใจเท่าไหร่ หากรู้ว่าฉันได้พลาดความรักที่แท้
ดีไหม	หากเราลองรู้จักกัน
คงจะดีนะ ถ้าเธอได้รู้จักฉัน
ดีไหม เราได้รู้จักกัน
ดีนะ  หากเธอได้รู้จักฉัน"
8,เธอทั้งนั้น (สุดที่รัก),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เธอทั้งนั้น%20(สุดที่รัก)_Groove%20Riders,"
รู้ไหมว่ามันดียังไง และรู้ไหมว่าสุขใจเพียงใด
รู้ไหมว่าชีวิตเก่าๆ ของฉันนั้นเปลี่ยนไปเท่าไหร่
รู้ไหมว่าก่อนจะเจอเธอ รู้ไหมฉันเคยเป็นยังไง
รู้ไหมการที่ได้เจอเธอ นั้นช่างยิ่งใหญ่สักเท่าไหร่

เธอ เธอทั้งนั้นที่ทำ ให้ช่วงชีวิตของฉันน่าจดจำ
จนฉันได้เจอเธอ

โลกที่เคยมองดูซึมเซา โลกที่มีแต่ความว่างเปล่า
ฟ้าทึมๆ และวันเศร้าๆ ไม่คิดว่าจะมีวันนี้ได้

เธอ เธอทั้งนั้นที่ทำ ให้ช่วงชีวิตของฉันน่าจดจำ
จนฉันได้เจอเธอ

ขอบคุณสรวงสวรรค์ ให้เราได้เจอะกัน
ขอบคุณคนๆ นั้น ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ เธอ (สุดที่รัก)

รู้ไหมว่ามันดียังไง และรู้ไหมว่าสุขใจเพียงใด
รู้ไหมว่าชีวิตเก่าๆ ของฉันนั้นเปลี่ยนไปเท่าไหร่
รู้ไหมว่าก่อนจะเจอเธอ รู้ไหมฉันเคยเป็นยังไง
รู้ไหมการที่ได้เจอเธอ นั้นช่างยิ่งใหญ่สักเท่าไหร่

เธอ เธอทั้งนั้นที่ทำ ให้ช่วงชีวิตของฉันน่าจดจำ
จนฉันได้เจอเธอ

ขอบคุณสรวงสวรรค์ ให้เราได้เจอะกัน
ขอบคุณคนๆ นั้น ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ เธอ (สุดที่รัก)

ขอบคุณสรวงสวรรค์ ให้เราได้เจอะกัน
ขอบคุณคนๆ นั้น ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ เธอ (สุดที่รัก)"
9,เธอทั้งนั้น [สุดที่รัก] ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เธอทั้งนั้น%20[สุดที่รัก]_Groove%20Riders,"
รู้ไหมว่ามันดียังไง
และรู้ไหมว่าสุขใจเพียงใด
รู้ไหมว่าชีวิตเก่าๆ
ของฉันนั้นเปลี่ยนไปเท่าไหร่
รู้ไหมว่าก่อนจะเจอเธอ
รู้ไหมฉันเคยเป็นยังไง
รู้ไหมการที่ได้เจอเธอ
นั้นช่างยิ่งใหญ่สักเท่าไหร่

เธอ เธอทั้งนั้น ที่ทำ
ให้ช่วงชีวิตของฉันน่าจดจำ

จนฉันได้เจอเธอ โอ้ว
โลกที่เคยมองดูซึมเซา
โลกที่มีแต่ความว่างเปล่า
ฟ้าทึมๆและวันเศร้าๆ
ไม่คิดว่าจะมีวันนี้ได้

เธอ เธอทั้งนั้น ที่ทำ
ให้ช่วงชีวิตของฉันน่าจดจำ

จนฉันได้เจอเธอ โอ้ว
ขอบคุณสรวงสวรรค์
ให้เราได้เจอะกัน
ขอบคุณคนๆนั้น
ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ
เธอ สุดที่รัก

รู้ไหมว่ามันดียังไง
และรู้ไหมว่าสุขใจเพียงใด
รู้ไหมว่าชีวิตเก่าๆ
ของฉันนั้นเปลี่ยนไปเท่าไหร่
รู้ไหมว่าก่อนจะเจอเธอ
รู้ไหมฉันเคยเป็นยังไง
รู้ไหมการที่ได้เจอเธอ
นั้นช่างยิ่งใหญ่สักเท่าไหร่

เธอ เธอทั้งนั้น ที่ทำ
ให้ช่วงชีวิตของฉันน่าจดจำ

จนฉันได้เจอเธอ โอ้ว
ขอบคุณสรวงสวรรค์
ให้เราได้เจอะกัน
ขอบคุณคนๆนั้น
ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ
เธอ ขอบคุณสรวงสวรรค์
ให้เราได้เจอะกัน
ขอบคุณคนๆนั้น
ที่ทำให้ฉันได้พบเธอ
ขอบคุณทุกเรื่องราว
ต้นเหตุที่ในวันนี้ฉันนั้นได้เจอ
เธอ สุดที่รัก"
