,name,link,lyrics
0,191 ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/191_ลาบานูน,"
ขออภัยวันนี้ที่ผมโทรมารบกวน เพราะผมมีเหตุร้ายเหตุด่วนต้องขอแจ้งความ
ผมสิ้นไร้หนทาง ฝากหมวดช่วยติดตามให้ที
ผมโดนคนหนึ่งคนขโมยสิ่งของสำคัญ ของสำคัญสิ่งนั้นก็คือใจผมคนนี้
ได้แล้วหายทันที ฝากคุณพี่ช่วยทีละกัน

รูปร่างพอดีคิ้วโด่งดำหน้าตางาม เธอชอบพูดคำนั่งขำพูดซ้ำๆว่ารัก
จับเธอด้วยหมวดช่วยจับหน่อย อย่าปล่อยให้เธอลอยนวล
อย่าให้เธอเที่ยวไปก่อกวน ฉุดดวงใจของใครต่อใคร โว้ว..
จับเธอแล้วหมวดช่วยส่งข่าว จะเอาของกลางกลับมา
คนใจร้ายหนีไปไม่ลา หมวดช่วยค้นหาเธอให้ที โว้ว...

ผมไม่คิดไม่ฝันว่าเธอจะทำกันได้ เพราะรักเธอจึงหลงไว้ใจเลยเป็นอย่างงี้
เห็นน่าตาดีๆเธอไม่น่าหลอกกันได้ลง

รูปร่างพอดีคิ้วโด่งดำหน้าตางาม เธอชอบพูดคำนั่งขำพูดซ้ำๆว่ารัก
จับเธอด้วยหมวดช่วยจับหน่อย อย่าปล่อยให้เธอลอยนวล
อย่าให้เธอเที่ยวไปก่อกวน ฉุดดวงใจของใครต่อใคร โว้ว..
จับเธอแล้วหมวดช่วยส่งข่าว จะเอาของกลางกลับมา
คนใจร้ายหนีไปไม่ลา หมวดช่วยค้นหาเธอให้ที โว้ว...

ขออภัยวันนี้ที่ผมโทรมารบกวน เพราะผมมีเหตุร้ายเหตุด่วนต้องขอแจ้งความ
ผมสิ้นไร้หนทาง ฝาก 191 ตามให้ที.. นะ

ผมสิ้นไร้หนทาง ฝาก 191 ตามให้ที"
1,Help Me Please ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Help%20Me%20Please_ลาบานูน,"
ตั้งแต่ฉันได้เจอะเธอ
เมื่อวันก่อน
เดี๋ยวก็หนาว
เดี๋ยวก็ร้อน ในใจมันไม่สบาย
ไข้มันขึ้น จนปวดหัว
กินอะไร ก็ไม่ลง ไม่อร่อย
มีอาการนั่งเหม่อลอย
นั่งซึม นั่งจ๋อย นั่งรอ
แม้แต่หมอ ยังส่ายหัว
คิดถึงเธออย่างแรง
หัวใจแห้งเหี่ยว
เธอคนเดียวที่ฉันต้องการ
Won't you help help help
Help me please
ฉันคิดถึงเธอ แทบขาดใจแล้ว
Help help help help me please
คิดถึงฉันบ้าง
อยู่กับฉันทุกวัน ได้อ๊ะเปล่า

เซลล์สมองที่ต้องการ
อ๊อกซิเจน
เหมือนกับฉัน
ที่อยากเห็นหน้าเธอ ทุกวินาที
ตั้งแต่วันที่เจอะเธอ
เป็นอะไร ที่เรียบร้อยโรงเรียนเธอ
มีแต่เธอ มีแต่เธอ
คนเดียวที่ช่วยฉันได้
หายไม่หายอยู่ที่เธอ
คิดถึงเธออย่างแรง
หัวใจแห้งเหี่ยว
เธอคนเดียวที่ฉันต้องการ
Won't you help help help
Help me please
ฉันคิดถึงเธอ แทบขาดใจแล้ว
Help help help help me please
คิดถึงฉันบ้าง
อยู่กับฉันทุกวัน ได้อ๊ะเปล่า

คิดถึงเธออย่างแรง
หัวใจแห้งเหี่ยว
เธอคนเดียวที่ฉันต้องการ
Won't you help help help
Help me please
ฉันคิดถึงเธอ แทบขาดใจแล้ว
Help help help help me please
คิดถึงฉันบ้าง
อยู่กับฉันทุกวัน
Won't you help help help
Help me please
ฉันคิดถึงเธอ แทบขาดใจแล้ว
Help help help help me please
คิดถึงฉันบ้าง
อยู่กับฉันทุกวัน ได้อ๊ะเปล่า"
2,Missed Call ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Missed%20Call_ลาบานูน,"
โทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
อยากจะคุยกับเธอ
ก็เพราะเธอให้เบอร์เอาไว้
โทรไปตั้งกี่ครั้ง
ก็แค่อยากให้ฟัง
ถ้อยคำที่อยู่ในใจ
.โทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
ไม่อยากคุยกับฉัน
แล้วให้เบอร์กันมาทำไม
ได้แต่ฝากข้อความ
ฝากให้เธอซ้ำๆ
ว่าฉันชอบเธอรู้ไหม
.รวบรวมจิตใจ มาก็นาน.
กว่าคนอย่างฉัน
กล้าไปขอ...เบอร์
เธอให้มาก็มัวเก็บไว้
แต่ก็เก็บมันอยู่ไม่ไหว
แล้วสุดท้าย หัวใจ
มันสั่งให้โทร

โอ้เธอจะรู้บ้างไหม
ว่าใครคนหนึ่งมันนอนละเมอ
ตื่นมาก็ยังคงเพ้อ
คิดถึงแค่เธอคนเดียวทุกวัน
อยากขอ คุย กัน
สักหน่อยได้ไหม.
แต่แล้วทำไมพอโทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
อยากจะคุยกับเธอ
ก็เพราะเธอให้เบอร์เอาไว้
โทรไปตั้งกี่ครั้ง
ก็แค่อยากให้ฟัง
ถ้อยคำที่อยู่ในใจ

โทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
ไม่อยากคุยกับฉัน
แล้วให้เบอร์กันมาทำไม
ได้แต่ฝากข้อความ
ฝากให้เธอซ้ำๆ
ว่าฉันชอบเธอรู้ไหม

เบอร์ฉันก็โชว์ ตั้งกี่ที.
เธอก็คงเห็นว่ามี
Missed Call.
เพราะว่าเธอกำลังดูหนัง
หรือกำลังร่าเริงกับใคร
ทิ้งให้ฉัน ช้ำใจ ได้แต่เฝ้ารอ

โอ้เธอจะรู้บ้างไหม
ว่าใครคนหนึ่งมันนอนละเมอ
ตื่นมาก็ยังคงเพ้อ
คิดถึงแค่เธอคนเดียวทุกวัน
อยากขอ คุย กัน
สักหน่อยได้ไหม.
แต่แล้วทำไมพอโทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
อยากจะคุยกับเธอ
ก็เพราะเธอให้เบอร์เอาไว้
โทรไปตั้งกี่ครั้ง
ก็แค่อยากให้ฟัง
ถ้อยคำที่อยู่ในใจ
โทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
ไม่อยากคุยกับฉัน
แล้วให้เบอร์กันมาทำไม
ได้แต่ฝากข้อความ
ฝากให้เธอซ้ำๆ
ว่าฉันชอบเธอรู้ไหม

โทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
อยากจะคุยกับเธอ
ก็เพราะเธอให้เบอร์เอาไว้
โทรไปตั้งกี่ครั้ง
ก็แค่อยากให้ฟัง
ถ้อยคำที่อยู่ในใจ
โทรไปก็ไม่รับ
โทรศัพท์เอาไว้ที่ไหน
ไม่อยากคุยกับฉัน
แล้วให้เบอร์กันมาทำไม
ได้แต่ฝากข้อความ
ฝากให้เธอซ้ำๆ
ว่าฉันชอบเธอรู้ไหม"
3,Siam center ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Siam%20center_ลาบานูน,"
สวยดี เธอที่เดินไปเมื่อกี๊ เอ๊ะดี เธอที่นั่งตรงนั้นสองคน ขาวจังดูเธอช่างน่ารัก ทุกคน
เนี่ยเลยคนที่ฉันต้องการคบ โน่นเลยคนที่ฉันจะให้หัวใจ เยอะเลยแล้วนี่ฉันจะรักคนไหน

* เค้าว่ากันเอาไว้ คนไทยต้องรักกัน ใครก็รู้ใครก็รู้ ต้องรักกัน ฉันเองก็คนไทยแล้วใครจะรักฉัน

เธอจะรักกันได้ไหม เธอจะมีใจมาให้กันได้หรือเปล่า
เธอจะคิดรังเกียจไหม เธอจะเข้าใจคนที่รักเธอหรือเปล่า
ขอคนที่จริงใจ ขอไว้แค่ซักคน

ผมยาวเสื้อชมพูกระโปรงฟ้า ผมซอยยืดกับยีนส์ที่ดูเซอร์เซอร์ ทุกคนทำให้คนอย่างฉัน เพ้อ

( ซ้ำ * )

** เธอจะรักกันได้ไหม เธอจะมีใจมาให้กันได้หรือเปล่า
เธอจะคิดรังเกียจไหม เธอจะเข้าใจคนที่รักเธอหรือเปล่า

( ซ้ำ * )

( ซ้ำ ** )

เธอจะรักกันได้ไหม เธอไม่มีใครมารักกันได้หรือเปล่า
เธอจะคิดรังเกียจไหม ฉันไม่มีใคร มารักฉันได้หรือเปล่า
ขอคนที่จริงใจ ขอไว้แค่ซักคน ขอคนที่จริงใจ ขอไว้แค่ซักคน"
4,ของเด็กเล่น ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ของเด็กเล่น_ลาบานูน,"
ควันลอยออกมา ใจลอยออกไป ควันลอยหมดไป ใจไม่กลับมา
กว่าจะรู้ตัวว่าเล่นอะไร ทุกส่วนของร่างกายก็กลายเป็นทาสยา

เพียงความอยากลอง เพียงความสะใจ เพียงความสับสน เพียงความอ่อนไหว
อยากจะเลิกมันต้องทำอย่างไร จะหลบไปที่ใดก็เจอกับพวกมัน

* พอแล้ว พอแล้ว พอแล้ว พอแล้ว เอาออกไป เอามันไปให้ไกล
รู้แล้วว่าน่ากลัว รู้ว่าพลาดไป รู้ว่ามันไม่ดี
ลองแล้ว ติดแล้ว ผิดแล้ว พอแล้วจะกลับใจ ที่ลองที่เล่นไป
ขอเวลาให้แก้ตัว ขอคนเข้าใจ ขอเลิกมันซะที

ควันลอยผ่านมา ลอยมาจากไหน อีกกี่ล้านคน ที่เป็นอย่างฉัน ที่ตกเป็นทาสมัน ไม่รู้จะโทษใคร

( ซ้ำ * )

เพียงความสับสน เพียงความอ่อนไหว กว่าจะรู้ตัว ว่าเล่นอะไร ก็ตกเป็นทาสมัน"
5,คนกลางคืน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนกลางคืน_ลาบานูน,"
ที่ตรงฉันยืนตรงนี้มันมืดมน
ผู้คนเข้ามาแล้วผ่านไป
ฉันไม่คิดเลย  ว่าฉันจะพบใคร
ถึงยังไง  ไม่มีใคร  เขามีใจให้กัน
อยากบอกเหมือนกันว่าฉันรู้สึกดี
ที่เธอเข้ามามาผูกพัน
แม้จะรักเธอ  แต่ฉันก็ไหวหวั่น
จะรักกันยังไง

* เธอน่ะเป็นคนกลางวัน
ฉันมันเป็นคนกลางคืน
อย่าเลยอย่าไปฝืนความเป็นไป
เธอห่วงใยเธอจริงจั
 ฉันไม่อยากจะทำลายหัวใจ
แต่ความเป็นจริง
เราไม่คู่ควร (เรามันไม่คู่ควร )
ขอบคุณหัวใจที่ฉันได้จากเธอ
ขอบคุณที่เธอให้เกียรติกัน
แม้จากนี้ไป  ต้องร้างต้องเลิกกัน
แต่ฉันจะไม่ลืม

( ซ้ำ * / * / * )"
6,คนดีที่ฉันรัก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนดีที่ฉันรัก_ลาบานูน,"
ไม่งามอย่างใครไม่ใช่ปัญหา ไม่ต้องเด่นอย่างใครให้มันปวดหัว
ไม่เลิศหรูก็ไม่เห็นเป็นไร ไม่ต้องคิดให้เรื่องใหญ่

ไม่มีของขวัญก็ไม่ต้องหา ไม่ต้องทำอะไรให้เกินกว่านี้
ไม่ต้องหวานจนหยดย้อยอย่างใคร เพราะแค่นี้ก็ยิ่งใหญ่เหลือเกิน

แค่เธอเป็นคนดี เป็นคนคนนี้ที่ฉันช่างภูมิใจ คนดีของฉันที่ฉันรักมากสุดหัวใจ
แค่เธอจิตใจดี เธอก็งดก็งามกว่าใครๆ เธอนั้นสวยกว่าคนทั้งโลกอีกมากมาย
ที่ฉันได้เจอะเจอ

ไม่ได้เป็นดาราใช่ว่าไม่สวย แม้ไม่เก่งไม่รวยไม่มีปัญหา
ทุกเรื่องของคนเราล้วนต่างกัน และฉันขอรักรักเธอ อย่างนี้

แค่เธอเป็นคนดี เป็นคนคนนี้ที่ฉันช่างภูมิใจ คนดีของฉันที่ฉันรักมากสุดหัวใจ
แค่เธอจิตใจดี เธอก็งดก็งามกว่าใครๆ เธอนั้นสวยกว่าคนทั้งโลกอีกมากมาย
ที่ฉันได้เจอะเจอ

แค่เธอเป็นคนดี เป็นคนคนนี้ที่ฉันช่างภูมิใจ คนดีของฉันที่ฉันรักมากสุดหัวใจ
แค่เธอจิตใจดี เธอก็งดก็งามกว่าใครๆ เธอนั้นสวยกว่าคนทั้งโลกอีกมากมาย
ที่ฉันได้เจอะเจอ

แค่เธอเป็นคนดี เป็นคนคนนี้ที่ฉันช่างภูมิใจ คนดีของฉันที่ฉันรักมากสุดหัวใจ
แค่เธอจิตใจดี เธอก็งดก็งามกว่าใครๆ เธอนั้นสวยกว่าคนทั้งโลกอีกมากมาย
ที่ฉันได้เจอะเจอ"
7,คนตัวดำ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนตัวดำ_ลาบานูน,"
ไม่ได้เป็นผู้ร้าย ไม่ได้ทำอะไรไม่ดี ไม่ได้มีเรื่องผิดใจใคร
เจอคนก็ยิ้มให้เป็นประจำ แต่ก็ผิดที่เนื้อตัวมันคล้ำไม่มีคนสนใจ

มองใครมากี่ครั้ง ถูกใจใครมาตั้งกี่หน ทุกๆคนต่างก็มีใคร
แค่อยากมีรักกับเขาสักที แต่เป็นคนที่ผิวพรรณไม่ดีจะให้ทำเช่นไร

พ่อแม่ให้ผมมาเท่านี้ อันที่จริงเท่าทีมีก็ภูมิใจ
ได้แต่หวังว่าจะมีบ้างได้ไหม คนที่รักกัน

จะดำก็ดำแต่ตัวไม่ใช่หัวใจ รูปร่างหน้าตายังไงแต่ก็รักจริง
ถ้าได้ลงเอยกับใครก็จะไม่ทิ้ง ถ้ารักกันจริงก็บอกกันมา (ว่าอยู่ที่ไหน)

แม้ว่าหน้าไม่ใส แต่ว่าความจริงใจยังมี คนๆนี้ไม่หลอกลวงใคร
ได้ปรดอย่ามองมาที่หน้าตา พอจะมีไหมนะคนที่มองกันให้ถึงข้างใน

พ่อแม่ให้ผมมาเท่านี้ อันที่จริงเท่าทีมีก็ภูมิใจ
ได้แต่หวังว่าจะมีบ้างได้ไหม คนที่รักกัน

จะดำก็ดำแต่ตัวไม่ใช่หัวใจ รูปร่างหน้าตายังไงแต่ก็รักจริง
ถ้าได้ลงเอยกับใครก็จะไม่ทิ้ง ถ้ารักกันจริงก็บอกกันมา (ว่าอยู่ที่ไหน)

จะดำก็ดำแต่ตัวไม่ใช่หัวใจ รูปร่างหน้าตายังไงแต่ก็รักจริง
ถ้าได้ลงเอยกับใครก็จะไม่ทิ้ง ถ้ารักกันจริงก็บอกกันมา (ว่าอยู่ที่ไหน)

ก็ได้แต่รอๆๆๆๆกันไป
ก็ได้แต่รอๆๆๆๆใครจะรู้บ้างไหม

จะดำก็ดำแต่ตัวไม่ใช่หัวใจ รูปร่างหน้าตายังไงแต่ก็รักจริง
ถ้าได้ลงเอยกับใครก็จะไม่ทิ้ง ถ้ารักกันจริงก็บอกกันมา (ว่าอยู่ที่ไหน)

จะดำก็ดำแต่ตัวไม่ใช่หัวใจ รูปร่างหน้าตายังไงแต่ก็รักจริง
ถ้าได้ลงเอยกับใครก็จะไม่ทิ้ง ถ้ารักกันจริงก็บอกกันมา (ว่าอยู่ที่ไหน)"
8,คนอบอุ่น,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนอบอุ่น_ลาบานูน,"
ไม่ได้จีบเป็นน้อง แต่ไม่รู้ทำไมเธอมองว่าเป็นพี่ชาย
เป็นความรักที่ไม่ลงเอยเป็นหวานใจ ทำยังไงกันดี
คอยให้คำปรึกษา แก้ปัญหาให้ทุกเวลาที่เธอร้อนใจ
มอบรอยยิ้มในวันที่เหงาไม่เหลือใคร ทุ่มเทฟรีๆ

เป็นแค่คนน่ารักที่ดีเกินไป คนที่ต้องมีไว้แต่ไม่มีใจ ฉันเป็นได้แค่นี้

อบอุ่นนักแล้วเป็นยังไง พูดเพราะๆแล้วได้อะไร
เมื่อสุดท้ายที่ทำลงไป ไม่มีคะแนน
บอกว่าฉันเป็นคนใจดี อยู่ใกล้ชิดแล้วอารมณ์ดี
แต่ไม่เห็นว่ามันจะมี โอกาสเป็นแฟน บ้างเลย…

หรือดูซื่อๆจนน่าสงสาร หรือเห็นฉันไม่มีพิษมีภัย
ยิ่งใกล้ชิดยิ่งมองข้ามกันไป ทั้งๆที่รู้ว่ารัก
แต่ไม่เคยคิดจะเลื่อนชั้นให้เป็นที่รัก
เธอแค่คิดจะทัก เมื่อคิดจะพัก
ไม่เข้าใจ ว่าทำไม ไม่รักกัน

เป็นแค่คนน่ารักที่ดีเกินไป คนที่ต้องมีไว้แต่ไม่มีใจ ให้มันได้อย่างนี้

อบอุ่นนักแล้วเป็นยังไง พูดเพราะๆแล้วได้อะไร
เมื่อสุดท้ายที่ทำลงไป ไม่มีคะแนน
บอกว่าฉันเป็นคนใจดี อยู่ใกล้ชิดแล้วอารมณ์ดี
แต่ไม่เห็นว่ามันจะมีโอกาสเป็นแฟน
อบอุ่นหัวใจไปวันๆ เป็นที่พักใจไปวันๆ
แต่สุดท้ายไม่ได้รางวัล ไม่ได้คะแนน
ก็แค่เห็นเป็นคนใจดี อยู่ใกล้ชิดแล้วอารมณ์ดี
แต่ไม่เห็นว่ามันจะมี ใครอยากเป็นแฟน บ้างเลย…

อบอุ่นนักแล้วเป็นยังไง พูดเพราะๆแล้วได้อะไร
เมื่อสุดท้ายก็ไม่มีใคร ควงแขน
อบอุ่นหัวใจไปวันๆ เป็นที่พักใจไปวันๆ
แต่สุดท้ายไม่ได้รางวัล ไม่ได้คะแนน
ก็แค่เห็นเป็นคนใจดี อยู่ใกล้ชิดแล้วอารมณ์ดี
แต่ไม่เห็นว่ามันจะมี ใครอยากเป็นแฟน บ้างเลย..."
9,ความดีที่ไม่อยากทำ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความดีที่ไม่อยากทำ_ลาบานูน,"
ฉันเชื่อว่าการทำดีได้ดี
แม้วันนี้มันแลกกับความเสียใจ
ฉันจะยอม ยอมคืนชีวิตที่เธอฝากไว้
ทั้งที่มันทำใจรับได้ลำบาก

ไม่อยากเสียเธอแต่ชีวิตมันจริงเกินไป
ฉันไม่มีอะไร ไม่ควรคู่เธอ

เจ็บวันนี้ดีกว่าเห็นเธอต้องทนทรมาน
เธอควรมีคืนวันทีสวยงาม
มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

ทุกๆเรื่องที่เธอเหนื่อยมาด้วยกัน
สิ่งที่ฝันมันก็ยังไกลแสนไกล
นับจากนี้เธอไม่ต้องฝืนและทำต่อไป
ขอให้เธอไปดีและมีความสุข

ไม่อยากเสียเธอแต่ชีวิตมันจริงเกินไป
ฉันไม่มีอะไร ไม่ควรคู่เธอ

เจ็บวันนี้ดีกว่าเห็นเธอต้องทนทรมาน
เธอควรมีคืนวันทีสวยงาม
มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

โว โอว โว โอว....
ไม่อยากเลย ความจริงไม่อยากทำ
จำเป็นต้องบอกลา จำเป็นต้องให้เธอไปจากฉัน โว..โอ


มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

เจ็บวันนี้ดีกว่าเห็นเธอต้องทนทรมาน
เธอควรมีคืนวันทีสวยงาม
มันอาจจะเป็นความดีที่ฉันไม่อยากทำ
ฉันทำเพราะรักเธอ

ต้องทำเพราะรักเธอ"
