,name,link,lyrics
0,NO MAKEUP,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/NO%20MAKEUP_MEYOU,"
เธอไม่ต้องกลัวไปหรอกที่รัก
เพราะเธอน่ารักอยู่แล้ว

เธอไม่ต้องคิดอะไรให้มากนัก

เธอไม่ต้องกังวลหรอกที่รัก
เพราะเธอนั้นสวยอยู่แล้ว

โธ่ที่รักอย่าไปคิดกับอะไร

ให้มันมากนักเลย

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆการกระทำ ต่างหากทำเธอน่ารัก

เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว

แค่นั้นก็ทำให้ฉันแทบละลาย..ไปกับเธอ

เธอไม่ต้องกลัวไปหรอกที่รัก
เธอ hot as fuck อยู่แล้ว
เธออย่าไปคิดอะไรให้มากมาย

เธอไม่ต้องกังวลหรอกที่รัก
เพราะเธอนั้นสวยอยู่แล้ว

โธ่ที่รักอย่าไปคิดกับอะไร

ให้มันต้องวุ่นวาย

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆการกระทำ ต่างหากทำเธอน่ารัก

เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว

แค่นั้นก็ทำให้ฉันแทบละลาย..ไปกับเธอ

Rap

I think your face
When you wake up มันสวยที่สุด
I think your face
With no makeup มันดีที่สุด
ไม่มากเกินไปกำลังพอดี

เพราะทุกๆรอยยิ้มที่เธอมี
ทำฉันละลาย when you look in my eyes

มันรู้ได้เลยว่าฉันคงหยุด ที่เธอ

เพราะเธอเป็นคนที่ฉันอยาก จุด จุด จุด

และมีแค่เธอกับฉัน

เพราะฉะนั้นต้องไปให้สุด
ก็เพราะฉันรู้ว่าใต้เครื่องสำอางเหล่านั้น

มันอยู่ที่ใจและการกระทำ

และไม่มีใครรู้เท่าฉัน fosho 

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆการกระทำ ต่างหากทำเธอน่ารัก

เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว

แค่นั้นก็ทำให้ฉันแทบละลาย..ไปกับเธอ

Baby ที่เธอสวย
ไม่ใช่เพราะเครื่องสำอางหรอก
ทุกๆการกระทำ ต่างหากทำเธอน่ารัก

เพียงแค่เธอนั้นยิ้ม ก็พอแล้ว

แค่นั้นก็ทำให้ฉันแทบละลาย..ไปกับเธอ

Baby ที่เธอสวย
ทุกๆการกระทำ 

เพียงแค่เธอนั้นยิ้ม
แค่นั้นก็ทำให้ฉันแทบละลาย..ไปกับเธอ"
1,กำลังเหงา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กำลังเหงา_MEYOU,"
Hook
อาจเป็นเพราะดวงดาวหมู่นั้น
ที่ทำให้ฉันคิดถึงเธอในตอนนี้
อาจเป็นเพราะกำลังหนาว
อาจเพราะดาวทุกดวงยังส่องมาที่ฉัน
ในค่ำคืนที่เธอนั้นหายไป

Verse 
อยากกอดเธออีกสักครั้งจัง
อยากบอกเธอว่าคิดถึงจัง
ยังคงอยากมีเธอข้างๆกัน
ที่เดิมก่อนหลับตาฝัน

อยากคุยกับเธออีกครั้งจัง
อยากจูบเธออีกสักครั้งจัง
อยากได้ยินเธอบอกว่ารักกัน
อย่างที่เธอเคยได้บอกฉัน
ในวันนั้น

And then I say,
ในคืนที่ดาวมันเต็มฟ้า
ที่เคยมีเธออยู่ข้างๆฉัน 
ยังจำได้ดีอย่างกับเมื่อวาน
ทุกๆ ครั้งที่เธอคอยห้ามฉัน 
ให้เลิกทำเรื่องไม่ดี เป็นผู้เป็นคนซักที 
เรื่องร้ายเรื่องดี ทุกครั้งทุกที ทุกอย่างที่มี
ก็ยังมีเธออยู่ข้างๆฉัน แต่มันคงเป็นเรื่องของอดีต 
ไม่จำเป็นต้องพูดถึงมันอีก 
Even though thats the 
only thing I ever need 
Even though every god damn night 
I still see you in my sleep yea
แต่มันเป็นแค่ความคิด
ที่ลอยมาเมื่อใจมันไม่ห้ามฉัน 
แม้ข้างๆจะไม่มีเธอ 
แต่ไม่มีกฎข้อไหนที่บอกว่าห้ามฝัน

Hook

เธอหายไป มันหนาวไป
เธอหายไป มันหนาวไป
เธอหายไป เธอหายไป
มันหนาวไป เธอหายไป"
2,ถาม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถาม_MEYOU,"
verse 1
อย่าไปทรมาน
ติดอยู่กับกาลเวลา
คิดถึงแต่เรื่องเมื่อวาน
ทั้งที่ก็ผ่านมานาน

อย่าไปทรมาน
อย่าไปเปลืองน้ำตา
คิดไปก็ทรมาน
คิดไปก็เปลืองน้ำตา

pre
เพราะถึงยังไงเธอก็ไม่กลับมา
ปล่อยให้ฉันจมอยู่กับกาลเวลา

hook
หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอสบายดีหรือเปล่า
ยังอยู่ตรงนี้ 
และยังคิดถึงเธอคนเดียว มากเหลือเกิน

verse2
และฉันไม่รู้ว่ามันต้องทำอย่างไรในตอนนี้
ประมานว่าไม่ได้เศร้าแค่ร้องออกมาในบางที
คล้ายๆว่าฉันนั้นยังคงติดอยู่เมื่อวาน
ยังคงเฝ้ารอ ทั้งที่เรื่องราวก็ผ่านมาตั้งนาน

และฉันไม่รู้ว่ามันต้องทำอย่างไรในตอนที่
นึกถึงเรื่องราวอดีตก็ยังทำให้รู้สึกดี
คล้ายๆว่าฉันนั้นยังคงติดอยู่ที่เดิม
และในหัวใจ ยังไม่มีใครเข้ามาอยู่เพิ่มเติม

pre
เพราะถึงยังไงเธอก็ไม่กลับมา
ปล่อยให้ฉันจมอยู่กับกาลเวลา

hook
หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอสบายดีหรือเปล่า
ยังอยู่ตรงนี้ 
และยังคิดถึงเธอคนเดียว มากเหลือเกิน

solo

pre
เพราะถึงยังไงเธอก็ไม่กลับมา
ปล่อยให้ฉันจมอยู่กับกาลเวลา

hook
หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอสบายดีหรือเปล่า
ยังอยู่ตรงนี้ 
และยังคิดถึงเธอคนเดียว…
หากอยากถาม อยากรู้เธอนั้นเป็นเช่นไร
อยากรู้ว่าเธอยังรักฉันอยู่ไหมเธอ?
ตอนฉันทีในตอนนี้ ยังคิดถึงฉันหรือเปล่า"
3,ผ่านมานานแล้ว,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ผ่านมานานแล้ว_MEYOU,"
verse1
ผ่านมาตั้งนาน ตั้งแต่ที่เธอ
ปล่อยมือฉันและมอบหัวใจของเธอ
ให้กับเขาไป เธอรู้ไหมว่าทรมาน
และยังติดอยู่ตรงนั้น 
ตรงที่เธอ อยู่กับฉัน

ผ่านมาตั้งนาน ที่ไม่ได้เจอ
ยังอยากรู้เธอนั้นทำอะไร 
อยู่ตรงนั้นแล้วเป็นยังไง
เพราะว่าฉันยังทรมาน
และยังติดอยู่ตรงนั้น
ตรงที่เธอ อยู่กับฉัน

hook
ผ่านมานานแล้ว 
มันผ่านมาตั้งนานแล้ว 
แต่พอคิดทีไร 
ก็เหมือนว่าได้ย้อนเวลากลับไป
และยังรู้สึก ยังคิดถึงอยู่
อยากให้รู้ อยากให้เธอรู้ คิดถึงเธอ…

verse2
ผ่านมาตั้งนานที่ไม่ได้เจอ
ยังอยากรู้เธอนั้นเป็นเช่นไร
ปล่อยมือฉันไปแล้วทำให้ใจ
เธอดีขึ้นมาบ้างไหม?
เพราะว่าฉันยังทรมาน
และยังติดอยู่ตรงนั้น
ตรงที่เธอ อยู่กับฉัน

hook
ผ่านมานานแล้ว 
มันผ่านมาตั้งนานแล้ว 
แต่พอคิดทีไร 
ก็เหมือนว่าได้ย้อนเวลากลับไป
และยังรู้สึก ยังคิดถึงอยู่
อยากให้รู้ อยากให้เธอรู้ (ว่า)
ผ่านมานานแล้ว 
มันผ่านมาตั้งนานแล้ว 
แต่พอคิดทีไร 
ก็เหมือนว่าได้ย้อนเวลากลับไป
และยังรู้สึก ยังคิดถึงอยู่
อยากให้รู้ อยากให้เธอรู้ คิดถึงเธอ…

outro

อยากให้รู้ อยากให้เธอรู้ คิดถึงเธอ…"
4,พัทยา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/พัทยา_MEYOU,"
hook
ตกหลุมรักสาวพัทยา
ก็เธอช่างสวยเกินจะจินตนา
ตกหลุมรักสาวพัทยา
ก็เธอช่างน่ารักซะยิ่งกว่าดารา
ตกหลุมรักสาวพัทยา
ก็เธอช่างสวยเกินจะจินตนา
ตกหลุมรักสาวพัทยา
ก็เธอช่างน่ารักซะยิ่งกว่านางฟ้า

verse1
ได้มาอยู่ที่พัทยา
แค่เธอกับฉันแค่เพียงเท่านั้น
นอนมองดูแสงจันทรา
มีอะไรอีกไหม? ที่เธออยากพาไปทำที่พัทยา
เพราะฉันพร้อมจะไปนะ
เธอสวยซะยิ่งกว่านางฟ้า

และหากมีเธอคงหลับฝันดี
บอกตรงๆว่าใจยังเป็นแบบนี้ทุกที
ฉันมันเป็นคนไม่ดี
แต่เธอเองก็ยังคงให้อภัยทุกที

pre chorus
(ก็เธอหนะ)
สวยซะยิ่งกว่านางฟ้า
hot ซะยิ่งกว่าดารา
น่ารักซะยิ่งกว่า gaga (gaga)

(ก็ได้แต่)
ขอแค่เธอไม่หลอกกัน
จำได้ไหมที่บอกฉัน
เจอที่พัทยานะ

hook
ตกหลุมรักสาวพัทยา
ก็เธอช่างสวยเกินจะจินตนา
ตกหลุมรักสาวพัทยา
ก็เธอช่างน่ารักซะยิ่งกว่าดารา
ตกหลุมรักสาวพัทยา
ก็เธอช่างสวยเกินจะจินตนา
ตกหลุมรักสาวพัทยา
ก็เธอช่างน่ารักซะยิ่งกว่านางฟ้า

verse2
ไปกับเธอแล้วฟิวมันโคตรดี
พาเธอไปให้ไกลจากทุกที่
ขอสัญญาว่าปลอดภัย
อยู่กับเธอทั้งคืนไม่ไปไหน

มันจะมีแค่เพียงเราสองคน
ชอบเวลาที่เธอเล่นซุกซน
ทำไมเธอถึงสวยเกินไป ขนาดนี้…

pre chorus
(ก็เธอหนะ)
สวยซะยิ่งกว่านางฟ้า
hot ซะยิ่งกว่าดารา
น่ารักซะยิ่งกว่า gaga (gaga)

(ก็ได้แต่)
ขอแค่เธอไม่หลอกกัน
จำได้ไหมที่บอกฉัน
เจอที่พัทยานะ

hook
ตกหลุมรักสาวพัทยา
ก็เธอช่างสวยเกินจะจินตนา
ตกหลุมรักสาวพัทยา
ก็เธอช่างน่ารักซะยิ่งกว่าดารา
ตกหลุมรักสาวพัทยา
ก็เธอช่างสวยเกินจะจินตนา
ตกหลุมรักสาวพัทยา
ก็เธอช่างน่ารักซะยิ่งกว่านางฟ้า
x2

outro"
5,พูดจริง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/พูดจริง_MEYOU,"
Verse 1
ทรมานมานานเหลือเกิน
ก็พยายามที่จะเข้าใจ
คงเป็นเพราะรัก
คงเพราะแค่นั้น
ทุกๆครั้งที่เธอพูดมา
ที่พูดว่ารักกับฉันทุกครา
ก็คงเป็นแค่โกหก
เธอคงแค่ลวงหลอก

Pre
แต่ตอนนี้ คงต้องพูดตรงๆว่าฉัน
ทนไม่ไหว ในทุกอย่างของเธอที่รัก
เธอคงคิด ว่าฉันจะไม่ไปไหน

Hook
แต่ครั้งนี้พูดจริงนะ baby
แต่ครั้งนี้ไปจริงนะ baby
พร้อมจะลืมเรื่องราวเหล่านั้น
พร้อมจะลืมทุกอย่าง
ที่มีภาพเธอในนั้น
(x2)

Verse 2
แม้ว่าฉันต้องทรมาน
แต่มันก็คุ้มกว่าต้องทน
ต่อไปให้เธอทำร้าย
เพราะฉันแม่งโคตรเจ็บ
ฉันรับไม่ได้อีก

Pre
แต่ตอนนี้ คงต้องพูดตรงๆว่าฉัน
ทนไม่ไหว ในทุกอย่างของเธอที่รัก
เธอคงคิด ว่าฉันจะไม่ไปไหน

Hook
แต่ครั้งนี้พูดจริงนะ baby
แต่ครั้งนี้ไปจริงนะ baby
พร้อมจะลืมเรื่องราวเหล่านั้น
พร้อมจะลืมทุกอย่าง
ที่มีภาพเธอในนั้น
(x2)

Outro"
6,ภาวนา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ภาวนา_MEYOU,"
พร้อมเดินจากไป พร้อมแล้ว 
เตรียมใจเอาไว้ก่อนแล้ว แค่ยังทนไม่ไหว
พร้อมเดินจากไป พร้อมแล้ว 
เตรียมใจเอาไว้นานแล้ว ต่อจากนี้คงไม่มี

เธออยู่ตรงนี้ อยู่กับฉัน ที่ได้มีแค่เรื่องเราสองคน
แต่ต่อจากนี้...

คงทำได้เพียงแค่ภาวนา ภาวนาไปก่อน
ก็รู้ดีว่าถึงฝืนไปคงเท่านั้น
เพราะว่าความเป็นจริงไม่ใช่ความฝัน
คงทำได้เพียงแค่ภาวนา ภาวนาไปก่อน
ก็รู้ดีว่าถึงฝืนไปคงเท่านั้น
เพราะว่าความเป็นจริง เธอไม่ได้รักกัน

พร้อมภาวนา พร้อมแล้ว 
เตรียมใจเอาไว้ก่อนแล้ว แต่ยังทำไม่ได้

เธออยู่ตรงนี้ อยู่กับฉัน ที่ได้มีแค่เรื่องเราสองคน
แต่ต่อจากนี้...

คงทำได้เพียงแค่ภาวนา ภาวนาไปก่อน
ก็รู้ดีว่าถึงฝืนไปคงเท่านั้น
เพราะว่าความเป็นจริงไม่ใช่ความฝัน
คงทำได้เพียงแค่ภาวนา ภาวนาไปก่อน
ก็รู้ดีว่าถึงฝืนไปคงเท่านั้น
เพราะว่าความเป็นจริง เธอไม่ได้รักกัน

คงทำได้เพียงแค่ภาวนา ภาวนาไปก่อน"
7,รู้ตัวอีกที,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/รู้ตัวอีกที_MEYOU,"
(verse 1)
รู้ตัวอีกทีทุกอย่างก็หายไป
รู้ตัวอีกทีก็ตอนที่มันสายไป แต่ว่าฉัน
ฉันยังไม่ลืมหรอกยิ้มที่เธอให้
ฉันยังไม่ลืมหรอกแม้มันหายไป

(hook)
นั่งอยู่อย่างเหงาๆคนเดียว
ตรงที่เดิมที่เคยมีเธออยู่
นอนอยู่อย่างหนาวๆคนเดียว
ตรงที่เดิมที่เคยขอเธอกอด
นั่งอยู่อย่างเหงาๆ 
และแม้ว่าต้องเมาขนาดไหน 
เธอก็ไม่หายไป 
ติดอยู่ที่เดิมคนเดียว
แม้ว่ากาลเวลาล่วงเลยไป

(verse 2)
รู้ตัวอีกที baby เธอหายไป
รู้ตัวอีกที รู้แล้วว่าเสียใจ แต่ว่าฉัน 
ฉันยังไม่ลืมหรอกยิ้มที่เธอให้ กับฉันมา
ขอเพียงได้เจอเธออีกแค่สักครา

(outro)

ติดอยู่ที่เดิมคนเดียว
แม้ว่าในตอนนี้เธอหายไป…"
8,สร่าง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/สร่าง_MEYOU,"
* hook
I hate it when I'm sober
มันทำให้ภาพของฉันเบลอ
I hate it when I'm sober
ทุกครามันยังคิดถึงเธอ
| * |
ทุกคราก็ยังคิดถึงเธอ ยังละเมอ
ดั่งเธอไม่หายไปไหน
ทั้งที่ฉันเองก็รู้ดี ต้องเข้าใจ
ว่าทุกๆ อย่างเปลี่ยนไป
ขอกินอีกแก้วก็แล้วกัน เพื่อย้อมใจ
เพราะอยู่ตรงนี้ไม่มีเธอแล้ว อีกต่อไป  
ต้องเก็บไว้   
| * | * | hook
you know พาลำ lit, Hennessy ลิตร
ห่างไกลจาก sober ย้อมใจเพื่อลืมเธอ
นั่งที่บาร์กับเพื่อนชื่อ Jager อีกคน Jay Walker
มาช่วยปลอบใจผู้ชายคนนี้ที แนะนำ Martini
แต่เธอน่ะบอกว่า she น่ะ busy
และ Margarita เธอสวยเหมือน Senorita
แต่แล้วไม่นานเธอหายไป
หลังจากที่ผมกระพริบตา ah
Alcohol ทำให้ trippin (ye yeah)
แต่ก็ลืมเธอได้ชั่วคราว (ye yeah)
Every day happy hour make a double
 จะได้ไม่คิดถึงเธอก่อนฟ้าจะสาง
The night is over,
last call for alcohol
Tonigh fell like my life is over
  (ขออีกแก้วได้ป่ะ)
* * hook"
9,สับสน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/สับสน_MEYOU,"
** ไม่มีใครจริงใจสักคน
จนฉันสับสนไปหมดทั้งใจ (บนโลกนี้)
ไม่มีใครจริงใจเหมือนเธอเลยใช่ไหม
ยังไม่เจอใครที่รักฉันมากเท่ากับเธอ..

ใช้ชีวิตไปวัน ๆ ผู้คนก็ต่างผ่านเข้ามา
คิดถึงแค่เธอคนเดียว ยังไม่มีใครเข้าตา
ทุกคนล้วนมองว่าฉันชีวิตช่างน่าอิจฉา
แต่ถ้าใครได้ลองมาเป็น แล้วจะรู้ว่า

** ไม่มีใครจริงใจสักคน
จนฉันสับสนไปหมดทั้งใจ (บนโลกนี้)
ไม่มีใครจริงใจเหมือนเธอเลยใช่ไหม
ยังไม่เจอใครที่รักฉันมากเท่ากับเธอ..

คนนู้น คนนี้ ก็เอาแต่ลวงหลอก
คงคิดว่าฉันมันเป็นแค่คนหล่อ
แต่รู้บ้างไหมต้องการแค่ใครปลอบ
สุดท้ายแล้วฉันก็แค่ต้องการกอด

คนนู้น คนนี้ ก็เอาแต่บอกรัก
แต่เธอดันทักไปบอกกับทุกคน
รู้ไหมบางทีมันทำให้สับสน แต่ต้องอดทน

** ไม่มีใครจริงใจสักคน
จนฉันสับสนไปหมดทั้งใจ (บนโลกนี้)
ไม่มีใครจริงใจเหมือนเธอเลยใช่ไหม
ยังไม่เจอใครที่รักฉันมากเท่ากับเธอ..

** ไม่มีใครจริงใจสักคน
จนฉันสับสนไปหมดทั้งใจ (บนโลกนี้)
ไม่มีใครจริงใจเหมือนเธอเลยใช่ไหม
ยังไม่เจอใครที่รักฉันมากเท่ากับเธอ.."
