,name,link,lyrics
0,1 วัน กับ 10ปี,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/1%20วัน%20กับ%2010ปี_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
หนึ่งวันที่พบเธอ
สิบปีที่รักกัน
ความผูกพัน
ที่มีมันช่างมากมาย
แต่หนึ่งวันที่เธอจาก
กี่สิบปีที่ต้องเจ็บ
เหมือนหัวใจ
มันแตกมันสลาย
ฉันภาวนา
อยากให้เหมือนในหนัง
เหมือนในนิทาน
เจ้าหญิงและเจ้าชาย
ทะเลาะกัน
แต่สุดท้ายก็คืนดี
ลงเอยกันด้วยดี อีกสักครั้ง
เป็นไปไม่ได้
แต่ก็จะรอเธอเรื่อยไป
อาจหมดหวังก็ยังเต็มใจ
ที่จะรอ...

หนึ่งวันที่พบเธอ
กับสิบปีที่ต้องเจ็บ
ยอมฉันยอม
ยังดีกว่าไม่ได้รัก
ฉันภาวนา
อยากให้เหมือนในหนัง
เหมือนในนิทาน
เจ้าหญิงและเจ้าชาย
ทะเลาะกัน
แต่สุดท้ายก็คืนดี
ลงเอยกันด้วยดี อีกสักครั้ง
เป็นไปไม่ได้
แต่ก็จะรอเธอเรื่อยไป
อาจหมดหวังก็ยังเต็มใจ
ที่จะรอ...
อีกสักครั้ง
เป็นไปไม่ได้
แต่ก็จะรอเธอเรื่อยไป
อาจหมดหวังก็ยังเต็มใจ
ที่จะรอ...
จะให้ฉันต้องรอจนตาย
ก็จะรอ...
ก็จะรอ..."
1,Just One Night,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Just%20One%20Night_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
บอกตัวเองให้ออกมาออกมา
Late เกินไปมันจะวายอย่าชักช้า
อย่ามัวกลัวกับรักที่เพิ่งลา
แค่คิดว่าไม่แคร์อ่ะสุดท้ายเดี๋ยวก็หาย

ออกมาเจอเจอกับคนที่แปลกไป
ฉากกลางคืนมันเป็น Scene ที่สดใส
เก็บอาการเก็บความช้ำซ่อนเอาไว้
ก็ฉันนั้นไม่แคร์จะทำไมห๊า

อาจพบรักแท้ในค่ำคืนนี้
อาจเจอบางคนที่อยากจะ Have fun Oooh Oh

Why นี่แหละฉันที่เคยช้ำแต่ไม่ตาย
เจ็บแค่นั้นเรื่องแค่นี้เดี๋ยวก็หาย
ออกมาหากันหน่อย Kiss กันหน่อย
ยังอยู่รออยู่ม่ะมาอะอียะ Oh
Why รีบมาหารีบมา Dance กัน All night
เริ่มอีกครั้งในคืนนี้ยังไม่สาย
ปล่อยชีวิตให้มันถึงที่สุดลองอีกลองอีก
แค่ลองคิดว่า Just one night

อย่าเพิ่งคิดว่าจะรักหรือไม่รัก
ปล่อยตัวเองให้ใจมันได้พัก
ผ่านคืนนี้ถ้าหากใช่ก็แค่รัก
But I don't care จะทำไมห๊า

อาจพบรักแท้ในค่ำคืนนี้
อาจเจอบางคนที่อยากจะ Have fun Oooh Oh

Why นี่แหละฉันที่เคยช้ำแต่ไม่ตาย
เจ็บแค่นั้นเรื่องแค่นี้เดี๋ยวก็หาย
ออกมาหากันหน่อย Kiss กันหน่อย
ยังอยู่รออยู่ม่ะมาอะอียะ Oh
Why รีบมาหารีบมา Dance กัน All night
เริ่มอีกครั้งในคืนนี้ยังไม่สาย
ปล่อยชีวิตให้มันถึงที่สุดลองอีกลองอีก
แค่ลองคิดว่า Just one night

อาจพบรักแท้ในค่ำคืนนี้
อาจเจอบางคนที่อยากจะ Have fun Oooh Oh

Why นี่แหละฉันที่เคยช้ำแต่ไม่ตาย
เจ็บแค่นั้นเรื่องแค่นี้เดี๋ยวก็หาย
ออกมาหากันหน่อย Kiss กันหน่อย
ยังอยู่รออยู่ม่ะมาอะอียะ Oh
Why รีบมาหารีบมา Dance กัน All night
เริ่มอีกครั้งในคืนนี้ยังไม่สาย
ปล่อยชีวิตให้มันถึงที่สุดลองอีกลองอีก
แค่ลองคิดว่า Just one night"
2,My Colorful Day,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/My%20Colorful%20Day_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
ดนตรี..8..Bars6...7...8ก่อนนั้นฉันเคยมองคำว่ารักไว้เป็นอย่างนึงไม่ซึ้งไม่กินใจไม่มีสีสันเท่าไรและไม่เคยสนใจดอกไม้นั้นจะมีสีอะไรก็ไม่ต่างกันจะขาวหรือชมพูเพิ่งจะรู้ว่ามันต่างกันเมื่อฉันได้รักจึงรู้ความหมายที่อ่อนโยนของมันให้ฉันมีมุมมองใหม่เธอเปลี่ยนแปลงฉันให้ดูสดใสฉันไม่เคยเป็นอะไรอย่างนี้เธอเปลี่ยนแปลงสีข้างในใจฉันรักแล้วมันสุขใจเหลือเกินเธอทำให้เห็นความจริงว่ารักเป็นไงไม่เคยมีอะไรดีเท่าวันนี้my colorful dayดนตรี..8..Bars6...7...8ดอกไม้ที่ให้เธอในวันนี้ก็ดูเปลี่ยนไปเลือกสีที่โดนใจแทนความหมายในหัวใจที่ฉันมีให้เธอไม่เหมือนที่แล้วแล้วมาเพิ่งรู้และเข้าใจในความหมายของคำว่ารักเมื่อเธอเข้ามาชีวิตของฉันก็เปลี่ยนไปมากมายความรักในมุมมองใหม่เธอเปลี่ยนแปลงฉันให้ดูสดใสฉันไม่เคยเป็นอะไรอย่างนี้เธอเปลี่ยนแปลงสีข้างในใจฉันรักแล้วมันสุขใจเหลือเกินเธอทำให้เห็นความจริงว่ารักเป็นไงไม่เคยมีอะไรดีเท่าวันนี้my colorful daymy colorful dayเธอทำให้เห็นความจริงว่ารักเป็นไงไม่เคยมีอะไรดีเท่าวันนี้my colorful  day"
3,Same Same,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Same%20Same_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
ดนตรี..14..Bars12...13...14หรือว่าเธอจะยังสงสารฉันอยู่ที่เธอถามกันดูว่าฉันเป็นอย่างไรอาจจะยังอยากให้ตัวฉันทำใจใช่หรือเปล่าหรือเธออยากรู้ฉันยังเป็นอย่างเดิมหรือเปล่าเป็นคนเหงาที่ยังเฝ้ารอเธอใส่ใจหลับตาลงก็ยังคงถอนใจไม่รู้เลยว่ามีทาง ตัดใจยังไงก็ไม่ต้องสนถ้าฉันยังรออยู่อยากบอกให้รู้ไม่เป็นไรก็เท่าที่เห็นอาการที่เป็นอยู่มันยังอยู่ไหวก็ใจฉัน same sameมันยังรักเธอส่วนเธอนั้น same sameไม่เคยมีใจปล่อยให้ฉันซึมซึมรออย่างนี้ไปถ้าเธอทนไหวไม่คิดไม่แคร์อะไรมันคงต้อง same sameเธอจะมาเปลี่ยนใจของฉันยังไงมันคงยากเกินไปที่เธอจะเปลี่ยนแปลงเจตนาที่ใจของฉันแรงก็รักเกินที่จะอยากตัดขาดเธอไปก็ไม่ต้องสนถ้าฉันยังรออยู่อยากบอกให้รู้ไม่เป็นไรก็เท่าที่เห็นอาการที่เป็นอยู่มันยังอยู่ไหวก็ใจฉัน same sameมันยังรักเธอส่วนเธอนั้น same sameไม่เคยมีใจปล่อยให้ฉันซึมซึมรออย่างนี้ไปถ้าเธอทนไหวได้เห็นแววตาเดิมเดิมจากคนที่หน้า same sameที่ยังรักเธอส่วนเธอนั้น same sameเหมือนเดิมปล่อยให้ฉันซึมซึมรออยู่ที่เดิมถ้าเธอทนไหว อยากให้รู้ถึงแม้ว่าเธอไม่มองยังไงก็ same same"
4,ของตาย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ของตาย_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
ฉันจำเป็นต้องเชื่อเธอเหรอ
เธอรักแค่ฉันคนเดียวจริงเหรอ
ตรงนั้นเธอไม่มีใครจริงเหรอ
แต่เสียงของเธอมันฟ้องว่าหลอกกัน

คงเพราะฉันเองที่ยอมเสมอ
ทุกๆ ครั้งที่เธอเสนอ
เผลอใจไปทุกครั้งที่เจอกัน
ไอ้ฉันมันเป็นอะไรที่อ่อนไหว

รู้ก็รู้ว่าเธอนั้นร้ายกาจ
แต่ฉันก็กลัวว่าใจจะขาด
ที่ยอมปล่อยมือจากเธอ
ให้เธอจากไป ฉันรับไม่ได้

อย่างฉันมันแค่แก้เหงาให้เธอคลาย
คอยระบายความสุขชั่วข้ามคืน
แต่ฉันเองก็ไม่ฝืน
เต็มใจให้เธอมาทำร้ายซ้ำๆ ได้อยู่ดี

ต่อให้ฉันต้องเป็นของตาย ฉันก็จะยอม
แค่ให้ฉันได้เป็นของเธอ แค่นั้นฉันพร้อม
ไม่มีเธอเมื่อไรหัวใจฉันคงต้องตรอม
จากคนที่ไม่เคยต้องยอมแพ้ใคร
ให้เธอคนเดียวที่ฉัน Love โอ๊ะ...โอ...

คงเพราะฉันเองที่ยอมเสมอ
ทุกๆ ครั้งที่เธอเสนอ
เผลอใจไปทุกครั้งที่เจอกัน
ไอ้ฉันมันเป็นอะไรที่อ่อนไหว

รู้ก็รู้ว่าเธอนั้นร้ายกาจ
แต่ฉันก็กลัวว่าใจจะขาด
ที่ยอมปล่อยมือจากเธอ
ให้เธอจากไป ฉันรับไม่ได้

อย่างฉันมันแค่แก้เหงาให้เธอคลาย
คอยระบายความสุขชั่วข้ามคืน
แต่ฉันเองก็ไม่ฝืน
เต็มใจให้เธอมาทำร้ายซ้ำๆ ได้อยู่ดี

ต่อให้ฉันต้องเป็นของตาย ฉันก็จะยอม
แค่ให้ฉันได้เป็นของเธอ แค่นั้นฉันพร้อม
ไม่มีเธอเมื่อไรหัวใจฉันคงต้องตรอม
จากคนที่ไม่เคย ไม่ยอมแพ้ใคร
ให้เธอคนเดียวที่ฉัน Love โอ๊ะ...โอ..."
5,ของที่เธอไม่รัก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ของที่เธอไม่รัก_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
ของที่เธอไม่ได้รัก สักพักเธอคงจะขว้างทิ้ง
ต่างจากสิ่งที่รักจริง เธอกลับทิ้งไม่ลง

ของบางอย่างที่เธอรัก แม้จะนานสักเพียงไหน
เก่าจนแทบดูไม่ได้ เธอก็ยังชื่นชม
ของที่เธอไม่ได้รัก สักพักเธอคงจะขว้างทิ้ง
ต่างจากสิ่งที่รักจริง เธอกลับทิ้งไม่ลง

เธอยังคงไม่ลืมเขา เขาที่เธอนั้นฝังใจ
แม้จะนานสักเท่าไร ก็ยังคิดถึงเรื่อยมา
เธอก็คงจะเลือกเขา ถ้าเขาจะกลับมาหา
และฉันก็รู้ว่า ฉันต้องไปอยู่ดี

นึกหรือว่าจะไม่รู้ นึกหรือว่าจะไม่เห็น
รูปเก่าๆพร้อมลายเซ็น คนที่เธอมีใจ
ฉันที่อยู่ข้างๆเธอ แทบเป็นเงาข้างๆกาย
แต่ลึกๆของหัวใจ ไม่ได้อยู่ในสายตา

เธอยังคงไม่ลืมเขา เขาที่เธอนั้นฝังใจ
แม้จะนานสักเท่าไร ก็ยังคิดถึงเรื่อยมา
เธอก็คงจะเลือกเขา ถ้าเขาจะกลับมาหา
และฉันก็รู้ว่า ฉันต้องไปอยู่ดี
และฉันก็รู้ว่า ต้องเสียน้ำตาอยู่แล้ว
ฉันไม่ใช่ตัวจริง"
6,ของปลอม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ของปลอม_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
ของปลอม ๆ ไม่มีวันเป็นของจริง
ต่อให้ทุกสิ่ง ทุ่มเทเท่าไหร่ตาม
ความจริงก็รู้อยู่ ว่าใจของเขาไม่ต้อง
เป็นแค่ของปลอมที่ฝันหวาน ข้างเดียวตรงนี้ ตลอดมา

รู้ว่าเขามีเธอที่เป็นของจริง 
เมื่อเธอเป็นทุก ๆ สิ่ง คนเดียวที่ใจของเขาเฝ้าแต่หา
จะเทียบเคียงของจริงยังไง
หมดปัญญา หมดกำลังเหนื่อยล้าทั้งจิตใจ

ฉันรู้แล้ว ว่าเขาจะมีชีวิตที่สดใส
ฉันรู้แล้วว่าเขาจะเจอรักแท้ที่หวังเอาไว้
ฝันของเขากำลังเป็นจริง
ที่ว่าฝันของฉันกำลังจะตาย
บทสุดท้ายของปลอมอย่างฉันต้องมีวันนี้

เพราะเขารักแต่เธอ ให้เธอเป็นของจริงเท่านั้น
ฉัน อยากให้รู้ว่าเธอโชคดี 
จงดูแลเขาให้สมที่เธอได้ดี 
ให้สมกับที่ของปลอมยอมใจสลาย ขอแค่นี้"
7,ขอบใจนะ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอบใจนะ_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
คำร้อง ณรงค์วิทย์ เตชะธนะวัฒน์
ทำนอง ธีรภัค มณีโชติ
เรียบเรียง ธีรภัค มณีโชติ
ข้อความที่เธอเคยส่ง อะไรที่ทำให้ฉัน
แสดงถึงความเป็นห่วงและสนใจ
เพิ่งรู้ว่ามันลำบาก ไม่เป็นตัวเธอใช่ไหม
เหนื่อยไหมต้องทำอะไรอย่างนี้
อย่ายื้อให้เหนื่อยใจ หากเธอไม่เป็นตัวเอง
อย่าฝืนทนต่อไปอีกเลย เพื่อให้เรารักกัน
ขอบใจนะที่ครั้งหนึ่งเธอเคยยอมฝืนใจตัวเอง
ขอบใจนะฉันรู้ว่าเธอทำดีที่สุดแล้ว
อย่างน้อยครั้งหนึ่ง ที่พยายามทุ่มเท
อดทนให้กัน แค่นั้นก็ดีมากมาย
อย่าโทษว่าตัวเธอผิด อย่าคิดว่าเป็นเรื่องร้าย
อย่ากลัวถ้าเธอจะปล่อยมือฉันไป
กลับไปเป็นเธอคนเก่า เก็บความทรงจำนี้ไว้
ได้ไหม ฉันขอให้เป็นอย่างนั้น
อย่ายื้อให้เหนื่อยใจ หากเธอไม่เป็นตัวเอง
อย่าฝืนทนต่อไปอีกเลย เพื่อให้เรารักกัน
ขอบใจนะที่ครั้งหนึ่งเธอ เคยยอมฝืนใจตัวเอง
ขอบใจนะฉันรู้ว่าเธอ ทำดีที่สุดแล้ว
อย่างน้อยครั้งหนึ่ง ที่พยายามทุ่มเท
อดทนให้กัน แค่นั้นก็ดีมากมาย
ขอบใจนะที่ครั้งหนึ่งเธอเคยยอมฝืนใจตัวเอง
ขอบใจนะฉันรู้ว่าเธอทำดีที่สุดแล้ว
อย่างน้อยครั้งหนึ่ง ที่พยายามทุ่มเท
อดทนให้กัน แค่นั้นก็ดีมากมาย"
8,คนข้างหลัง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนข้างหลัง_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
เพลงประกอบละคร เพลิงพราย

ความจริงใจจากฉันเธอแค่รับไป
ไม่จำเป็นต้องมีสิ่งไหนมาให้ฉันเลย
ไม่ต้องเป็นกังวลหรือสนใจไม่ต้องคิดให้มากเลย
เพียงให้เธอรู้ไว้ว่ามีใครบางคน

คอยจะยืนข้างหลังเธอเสมอมา
และจะมีดวงตาเฝ้ามองเธออย่างสนใจ
หากเธอมีเวลาของความสุขก็ยินดีด้วยหัวใจ
วันที่มันร้ายร้ายอยากให้รู้

จะดูแลเธอเอง ถ้าเธอนั้นไม่เหลือใคร
ไม่ต้องการอะไรมากมายไปกว่านี้
แค่มีใจนึกถึงก็เพียงพอ
เมื่อเวลาเธอร้อนใจเพียงรู้ไว้ว่าฉันห่วงใย
อยากให้รู้ว่าทั้งหมดใจ รักเธอ

เพียงเธอมองกลับหลังมาสักครั้งหนึ่ง
ก็จะเป็นวันหนึ่งที่ฉันนั้นสุขหัวใจ
ไม่จำเป็นที่เธอต้องรักกัน ไม่จำเป็นต้องเข้าใจ
เพียงให้เธอรู้ไว้ ว่ามีฉัน

จะดูแลเธอเอง ถ้าเธอนั้นไม่เหลือใคร
ไม่ต้องการอะไรมากมายไปกว่านี้
แค่มีใจนึกถึงก็เพียงพอ
เมื่อเวลาเธอร้อนใจเพียงรู้ไว้ว่าฉันห่วงใย
อยากให้รู้ว่าทั้งหมดใจ รักเธอ

อยากรักเธอ แค่นั้นเอง"
9,คนเดิมที่แตกต่าง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนเดิมที่แตกต่าง_อ๊อฟ%20ปองศักดิ์%20รัตนพงษ์,"
คำร้อง : สีห์ ธาราสต
ทำนอง / เรียบเรียง : อภิไชย เย็นพูนสุข

เธอเหมือนเป็นเธอคนเดิม ใบหน้าเธอคือคนเดิม
มีใครจะมองข้างในว่าเธอไม่ใช่คนเดิม
แต่คงจะมีเพียงฉัน รู้สึกว่าคนคนนี้ไม่ใช่เธอ ไม่เหมือนเธอ...

คำพูดที่ฟังแตกต่าง ทีท่าที่ทำห่างๆ
ปิดบังอารมณ์ข้างในอะไรลึกๆ สักอย่าง
บางทีในใจอยากถาม ว่ายังจำกันได้ไหม
นี่ฉันไง ที่ไว้ใจ ที่รู้จักกัน

อย่าปล่อยให้ฉันยืนอยู่ตรงนี้ ข้างหน้าเธอ...
โดยที่ไม่รู้ว่าเธอเห็นฉัน..แค่เป็นใคร
อยากเพียงแค่รู้ว่าเธอรักฉัน หรือเตรียมทำลายหัวใจ
ก็เพียงไม่ค่อยแน่ใจว่านี่หรือเธอ

มองฉันสายตาประหลาด รอยยิ้มยิ่งดูประหลาด
จากคนที่เกินคุ้นเคยกลับทำให้ฉันหวาดๆ
มีเธอคนเดียวที่เหลือ ที่ทำให้ยังมีฉัน
ถ้าถึงวัน เธอทิ้งกัน คงรับมันไม่ไหว

อย่าปล่อยให้ฉันยืนอยู่ตรงนี้ ข้างหน้าเธอ...
โดยที่ไม่รู้ว่าเธอเห็นฉัน..แค่เป็นใคร
อยากเพียงแค่รู้ว่าเธอรักฉัน หรือเตรียมทำลายหัวใจ
ก็เพียงไม่ค่อยแน่ใจว่านี่หรือเธอ

เธอเหมือนเป็นเธอคนเดิม ใบหน้าเธอคือคนเดิม
มีใครจะมองข้างในว่าเธอไม่ใช่คนเดิม
แต่คงจะมีเพียงฉัน รู้สึกว่าคนๆ นี้ไม่ใช่เธอ
ไม่เหมือนเธอ ไม่ใช่คนเดิม....
ไม่เหมือนเธอ.... ไม่ใช่คนเดิม....."
