,name,link,lyrics
0,countdown to zero ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/countdown%20to%20zero_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
ห้า..สี่สาม นับถอยหลังด้วยความสุขใจ
รอวันนี้..มีความหวัง แม้นานแค่ไหน
สอง..หนึ่ง แล้วก็ถึงตัวเลขสุดท้าย

พอถึงเลขศูนย์ตรงนี้
กลายเป็นความเหน็บหนาวทันที ที่ตรงนี้ไม่มีใคร
มาถึงเส้นชัยแต่แพ้พ่าย
การรอคอยที่แสนยาวไกล หมดความหมาย
ที่รู้ตัวว่าสูญเปล่า สูญไป
เลขศูนย์...สูญเสียใจ เสียไป สูญเปล่า

ห้า..สี่สาม สอง..หนึ่ง
พอถึงศูนย์..เพิ่งเข้าใจ คือสูญเปล่า

เหมือนคล้ายคล้ายลอยคอกลางน้ำ
ต้องเดียวดายแหวกว่ายในความว่างเปล่า
เคว้งคว้างในความเหน็บหนาว
ฝันมานานความหวังที่เก็บไว้
เลือนลางจางหายไปกับตา เพิ่งรู้ว่าไม่มีอะไรอยู่เลย

พอถึงเลขศูนย์ตรงนี้
กลายเป็นความเหน็บหนาวทันที ที่ตรงนี้ไม่มีใคร
มาถึงเส้นชัยแต่แพ้พ่าย
การรอคอยที่แสนยาวไกล หมดความหมาย
ที่รู้ตัวว่าสูญเปล่า สูญไป
เลขศูนย์...สูญเสียใจ เสียไป สูญเปล่า"
1,กม.30 ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กม.30_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
เส้นทางนี้ มองไปไกลยังไม่มีปลายทาง เดินมานานแต่ไม่รู้สักอย่าง
ต้องเดินทาง อีกเท่าไหร่ อีกเท่าไร
ก็บางครั้ง ใจมันยังเคยคิดย้อนทางเดิม มีอะไรที่ต้องทำเพิ่มเติม กลับที่เดิมไปเริ่มใหม่ ไม่มีทาง
เปรียบกับชีวิตคน ต้องดิ้นรน อยู่บนหนทาง เวลาที่เหลือยังน้อยลงทุกวัน

* ไม่รู้ว่าจะเมื่อไร คือวันสุดท้ายของการก้าวเดิน
ชีวิตหมุนเร็วเหลือเกิน วันใดบังเอิญหัวใจสิ้นลม จะล้มลงตรงไหน

ที่ผ่านมา บางเวลาก็เคยมีใคร เดินจูงมือร่วมทางกันไป ช่างสุขใจ ยังไม่ลืม ไม่เคยลืม
เคยผิดหวัง ยังเคยทำให้เธอร้องไห้ ยังเคยโดนเขาทำช้ำใจ จากกันไป ยังเสียใจ ไม่เคยลืม
ถ้าหากได้ย้อนคืน ไปที่เดิม ไปเริ่มต้นใหม่ จะขอทำความเข้าใจให้มากกว่าเดิม

( ซ้ำ * )

( ซ้ำ * , * )"
2,กรรม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กรรม_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
ที่รัก มีอะไรในใจหรือเปล่า
ทำไมเธอดูซึมเซา เหม่อลอย ไม่ค่อยพูดจา
ทั้ง ๆ ที่ตัวฉัน ก็ไม่ได้ทำผิดอะไรเลยหนา
เธอมากลายเป็นเย็นชา หรืออะไรทำให้ใจเธอเปลี่ยน  แปลกไป

อยู่ดีๆ ก็บอกเราต่างกันมาก บางทีก็บอกเรายากเกินจะเข้าใจ 
เธอรู้ไหม ฉันก็เคยใช้คำเหล่านี้

เพราะฉันเคยทิ้งใคร นอกใจเขามาหาเธอ
เขาก็ต้องเจอกับความเย็นชาจากฉัน
วันนี้เธอ เธอมีอาการเหมือนฉันวันนั้น 
ทำให้รู้ได้ทันที ว่าเธอน่ะมีใครปิดบังไว้
เธอนอกใจ เวรกรรมทำไมมาเร็วอย่างนี้

ที่รัก คงหมดทางจะดึงเธอไว้ 
ใจเธอมันเปลี่ยนไป ฉันก็กลายเป็นแค่เพียงคนเก่า 
ส่วนตัวฉัน ก็คงต้องยอมรับความปวดร้าว
เคยทำกรรมไว้กับเขา กลายเป็นเธอ มาเอาคืนให้อย่างสาสม
อยู่ดีๆ ก็บอกเราต่างกันมาก บางทีก็บอกเรายากเกินจะเข้าใจ
 เธอรู้ไหม ฉันก็เคยใช้คำเหล่านี้

เพราะฉันเคยทิ้งใคร นอกใจเขามาหาเธอ
เขาก็ต้องเจอกับความเย็นชาจากฉัน
วันนี้เธอ เธอมีอาการเหมือนฉันวันนั้น 
ทำให้รู้ได้ทันที ว่าเธอน่ะมีใครปิดบังไว้
เธอนอกใจ เวรกรรมทำไมมาเร็วอย่างนี้..
( เวรกรรมมันมีจริงใช่ไหม )"
3,กระดกลิ้น ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กระดกลิ้น_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
เธอขอ ให้ฉันพูดอีกทีได้ไหม
ทั้งที่เพิ่งบอกรักเธอไป บอกไปแล้วตั้งกี่ที
เธอก็รู้ ฉันนั้นพูด ร.เรือไม่ชัด
กระดกลิ้นก็ไม่ค่อยถนัด มันทำให้ฉันอึดอัดใจ

วันเกิดเธอเพิ่งพูดไป วันวาเลนไทน์ก็บอกซ้ำ
แล้ววันนี้เธอก็ยังถามว่าพูดคำนั้นอีกได้ไหม

บอกกับเธอไปแล้วยังจำ ฉันเคยทำ
ที่เอ่ยคำรักครั้งแรกเลย
ช่างนานแค่ไหนในใจเหมือนดังเคย
ไม่เปลี่ยนแปลงไปเลยจากวันที่ฉันบอก
เย้...ลัลล้า... มีแต่เธออยู่เหมือนเคย
เย้...ลัลล้า... ก็เลยไม่เห็นต้องพูดบ่อยๆ

จริงๆแล้ว ที่ฉันพูด ร.เรือไม่ชัด
ต้องแกล้งทำเป็นไม่ค่อยถนัด
กลัวเธอจะเห็นว่าขัดใจ

วันเกิดเธอเพิ่งพูดไป วันวาเลนไทน์ก็บอกซ้ำ
แล้ววันนี้เธอก็ยังถามว่าพูดคำนั้นอีกได้ไหม

บอกกับเธอไปแล้วยังจำ ฉันเคยทำ
ที่เอ่ยคำรักครั้งแรกเลย
ช่างนานแค่ไหนในใจเหมือนดังเคย
ไม่เปลี่ยนแปลงไปเลยจากวันที่ฉันบอก
เย้...ลัลล้า... มีแต่เธออยู่เหมือนเคย
เย้...ลัลล้า... ก็เลยไม่เห็นต้องพูดบ่อยๆ

บอกกับเธอไปแล้วยังจำ ฉันเคยทำ
ที่เอ่ยคำรักครั้งแรกเลย
ช่างนานแค่ไหนในใจเหมือนดังเคย
ไม่เปลี่ยนแปลงไปเลยจากวันที่ฉันบอก
เย้...ลัลล้า... มีแต่เธออยู่เหมือนเคย
เย้...ลัลล้า... ก็เลยไม่เห็นต้องพูดบ่อยๆ"
4,กำลังเดินทางอยู่ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กำลังเดินทางอยู่_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
ฟ้าคืนนี้สวยเหลือเกิน
ดาวดวงน้อยระยิบระยับ
พร่างพราย
สายลมและแสงจันทร์
คงจะรู้ฉันชื่นใจ
กำลังจะไปเจอเธอ
เป็นคืนที่เลิศเลอดังฝัน
อีกไม่นานจะไปถึง
กำลังเดินทางอยู่
กำลังจะไปหา
สายลมพัดมา นำพาไปหากัน
กำลังเดินทางอยู่
ดวงดาวบอกทางฉัน
พร้อมด้วยแสงจันทร์
พาฉันไปให้เธอ
เดี๋ยวคงได้เจอ ได้พบกัน
เหลียวมองที่ข้างทาง
แนวใบไม้สะท้อน
กับแสงจันทร์ส่อง
งดงามแท้แท้
แลดูยิ่งเพลินยิ่งน่ามอง
คืนนี้เป็นคืนของฉัน
ตรงไปทางนั้นจะได้เจอ
กับเธอในคืนนี้
กำลังเดินทางอยู่
กำลังจะไปหา
สายลมพัดมา นำพาไปหากัน
กำลังเดินทางอยู่
ดวงดาวบอกทางฉัน
พร้อมด้วยแสงจันทร์
พาฉันไปให้เธอ
เดี๋ยวคงได้เจอ ได้พบกัน

กำลังเดินทางอยู่
กำลังจะไปหา
สายลมพัดมา นำพาไปหากัน
กำลังเดินทางอยู่
ดวงดาวบอกทางฉัน
พร้อมด้วยแสงจันทร์
พาฉันไปให้เธอ
เดี๋ยวคงได้เจอ ได้พบกัน"
5,แก้วตาขาร็อค ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แก้วตาขาร็อค_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
เจ้าทิ้งพี่ไปไม่แลสักคำ ทิ้งพี่ชาวนาตัวดำ ไปทำงานเมืองบางกอก
เบื่อคนทางนี้ ไปคลั่งดนตรีเพลงร็อค
เพลงลูกทุ่งมันบ้านนอก เจ้าบอกว่าเชยสิ้นดี

แว่วๆข่าวมาว่าเจ้าหลงไฟ แสงสีและศิวิไล เจ้าไปเที่ยวแทบทุกที่
เข้าผับเข้าบาร์ งานการก็ลาทั้งปี
ไปหลงดูวงดนตรี เล่นเพลงร็อคที่ชอบใจ

ไปยืนกรีดร้อง ไปเฝ้ามองที่หน้าเวที
วงร็อคหน้าตาดูดี แบบนี้ที่เธอคลั่งไคล้
ฟังคำพี่หนา พี่เตือนแก้วตาจากใจ
ว่าขาร็อคอันตราย ส่วนใหญ่มีเมียหลายคน

กลับบ้านเถิดหนา ท้องนายังคอย
พ่อแม่นั่งตาละห้อย รอคอยด้วยความหมองหม่น
พี่เป็นชาวนา จะขอตั้งตาฝึกฝน
อยากร้องเพลงร็อคด้วยคน เผื่อหน้ามลจะหวนกลับมา

กลับบ้านเถิดหนา ท้องนายังคอย
พ่อแม่นั่งตาละห้อย รอคอยด้วยความหมองหม่น
พี่เป็นชาวนา จะขอตั้งตาฝึกฝน
อยากร้องเพลงร็อคด้วยคน เผื่อหน้ามลจะหวนกลับมา"
6,โก๋แก่,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/โก๋แก่_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
หัวใจไม่เคยให้ใคร เก็บมานานเก็บเอาไว้รอสักวัน ให้คนที่ต้องการ หมดหัวใจ
รู้ตัวเราก็เริ่มแก่ แต่ก็ยังไม่เคยแพ้ใจสักคน เห็นมายังไม่โดน ไม่สนใคร

อยู่ๆมาก็ได้พบได้เจอ เธอคนนี้ไง
ถูกชะตาเลิกสงสัยใช่ซะที คนแบบนี้ที่เฝ้ารอ เฝ้ารอ

อายุเรามันก็มากอยู่ อาจเป็นเธอที่จะรู้ความสำคัญ ฉันรอมาตั้งนาน คนอย่างเธอ
เหตุบังเอิญไม่คิดฝันฉันเอง แอบไปได้ฟัง
สิ่งที่เธอพูดลับหลัง ให้เพื่อนฟัง คนอย่างฉันมันก็คือ ก็คือ

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย

เห็นฉันไม่มีหัวใจ แก่เกินไป ใช่จะรักใครไม่เป็น ยิ่งนานยิ่งยากเย็น โปรดเห็นใจ
เหตุบังเอิญไม่คิดฝันฉันเอง แอบไปได้ฟัง
สิ่งที่เธอพูดลับหลัง ให้เพื่อนฟัง แทบคลั่งเมื่อได้ยิน เมื่อได้ยิน

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย

(โก๋...) โก๋แก่ อยากกินหญ้าอ่อน มาออดอ้อนเอาใจใช้เล่ห์กล
แก่แต่ยังหน้าทน ไม่ได้เคยเจียมตนผู้คนนินทา อย่าหวังให้เสียเวลา หน้าไม่อาย"
7,ขบวนสุดท้าย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขบวนสุดท้าย_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
เหงา ที่มาเฝ้ายืนรอ ท้อ ที่ต้องเสียเวลา จะมาไหมเฝ้าคอยรถไฟ เที่ยวสุดท้าย
หวิวหวิว กลัวจะสายเกินไป คล้ายคล้าย ว่าจะไม่ทันการณ์
ผ่านชีวิตที่ควรถึงวัน ต้องเดินทาง ยังหวั่นใจ

* แต่ขบวนสุดท้าย ไม่เคยมี ชานชลาแห่งนี้ไม่มีวันสาย
หากคืนนี้ไม่มีรถไฟ ขอให้รอขบวนใหม่มา ถึงเวลารุ่งเช้า

ช้า ที่ตัดสินใจรอ ท้อ เป็นเรื่องธรรมดา แต่มันคุ้มค่าพอถ้าใจ ไม่ผิดหวัง
ชัดชัด ว่าจะเลือกทางใด ไหนไหน ก็จะต้องเดินทาง
หากจุดหมายแน่นอนเหมือนดัง ตั้งใจไว้ คงไม่ช้า

** ขบวนสุดท้าย ไม่เคยมี ชานชลาแห่งนี้ไม่มีวันสาย
หากคืนนี้ไม่มีรถไฟ ขอให้รอขบวนใหม่มา ถึงเวลารุ่งเช้า

การเดินทางต่อไปครั้งนี้ มีความหมายเท่าชีวิตเรา
มีขบวนใหม่มาทุกเช้า ทุกใจเราจริงจริงคอยไป ไม่ช้าเกิน

( ซ้ำ * , ** )"
8,เขาหรือผม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เขาหรือผม_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
ดูเขาลำบาก เธอจะรักเขาได้ยังไง
ดูเขาไม่ตรง เขามันโง้งมน่าอันตราย
ส่วนผมนุ่มนิ่มอ่อนโยน ถ้าใครได้โดนก็ติดใจ
ขอให้คิดดูแบบไหน ที่ใจเธอต้องการหนอ

ถ้าเธอมีเขา แต่ไม่มีผม ดูไม่เหมาะสมมีเขาเหมือนควาย
ถ้าเธอมีผม แต่ไม่มีเขา ดูช่างเป็นสาวผมสวยเหนือใคร
รู้หรือเปล่า รักเขาแล้วจะเป็นอย่างไร รักผมนี้มันดีจะตาย

ดูเขาให้ดี เขาแบบนี้น่ากลัวจะตาย
ดูผมซะก่อน ผมออดอ้อนผมปลิวสยาย
ส่วนเขาชอบทิ่มชอบแทง ชอบความรุนแรงเอาแต่ใจ
ขอให้คิดดูแบบไหน ที่ใจเธอต้องการหนอ

ถ้าเธอมีเขา แต่ไม่มีผม ดูไม่เหมาะสมมีเขาเหมือนควาย
ถ้าเธอมีผม แต่ไม่มีเขา ดูช่างเป็นสาวผมสวยเหนือใคร
รู้หรือเปล่า รักเขาแล้วจะเป็นอย่างไร รักผมนี้มันดีจะตาย

ถ้าเธอมีเขา แต่ไม่มีผม ดูไม่เหมาะสมมีเขาเหมือนควาย
ถ้าเธอมีผม แต่ไม่มีเขา ดูช่างเป็นสาวผมสวยเหนือใคร
รู้หรือเปล่า รักเขาแล้วจะเป็นอย่างไร รักผมนี้มันดีจะตาย"
9,คนฉลาด ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนฉลาด_ป้าง%20นครินทร์%20กิ่งศักดิ์,"
จากวันนั้นที่เราแยกจากกัน ฉันรู้ดีเป็นเพราะอะไร
แต่เธอนั้นยังคงเฝ้าบอกใคร ว่าตัวฉันคือคนบอกลา

* น่าสงสารเหลือเกิน เธอโดนทิ้งขว้าง ใครๆได้ฟังว่าฉันช่างโหดร้าย
จะมีใครรู้ความจริง สิ่งที่เธอพูดไป ขอถามย้ำให้แน่ใจอีกที

** อยากถามว่าใครทิ้งกันไปก่อนใคร อย่างน้อยเธอคงรู้ใจตัวเองดีกว่าฉัน
แม้ฉันเองที่พูดคำว่าเลิกกัน ถามว่าก่อนนั้นใครกันแปรเปลี่ยน

มันคงเหมือนที่คนฉลาดคาดไว้ เพราะใครๆก็เห็นใจเธอ
โง่อย่างฉันก็ต้องเป็นเหยื่อเสมอ ทั้งที่เธอเป็นคนเปลี่ยนใจ

( ซ้ำ * , ** )

การกระทำของเธอที่เปลี่ยนไป ฉันรู้ทัน
ฉันรู้ว่าเธอต้องการ จะกดดัน จะบีบคั้น ให้ฉันเลิกลา

อยากถามว่าใครทิ้งกันไปก่อนใคร อย่างน้อยเธอคงรู้ใจตัวเองดีกว่าฉัน
แม้ฉันเองที่พูดคำว่าเลิกกัน ถามว่าก่อนนั้นใครกันแปรเปลี่ยน"
