,name,link,lyrics
0,กอดหมอน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กอดหมอน_พอส,"
กอดหมอนนอนดูแต่ข้างฝา
เวลาก็ผ่านมานานแล้วตั้งหลายปี...ตั้งหลายปี
ต้องทนจมอยู่กับความเหงา
อยากจะมีคนควงอย่างใครเขา ซักที...ซักที

มีวิธีอย่างไรให้ใครซักคนเข้ามารักฉันที
ใครรู้ดีวิธีขั้นตอนแบบไหน

กลัวฉันกลัวมัวดักดานหลายปีเป็นอย่างนี้ทุกที
ขอคนมาบอกทางฉันที
มีฉันมีใจที่รักภักดีรอแบ่งใจที่มี
ขอคนมาเมตตาฉันหน่อย

จะทำอย่างไรหากไม่สน
เวลาก็เริ่มจะผ่านพ้นไปทุกที...ทุกที
หากมันยังเป็นอยู่อย่างนี้
เห็นทีต้องทนอยู่คนเดียว อีกแล้วซิ...อีกแล้วซิ

มีวิธีอย่างไรให้ใครซักคนเข้ามารักฉันที
ใครรู้ดีวิธีขั้นตอนแบบไหน

กลัวฉันกลัวมัวดักดานหลายปีเป็นอย่างนี้ทุกที
ขอคนมาบอกทางฉันที
มีฉันมีใจที่รักภักดีรอแบ่งใจที่มี
ขอคนมาเมตตาฉันหน่อย

เฮ้..โจโจ้  ไอ้เรื่องแค่นี้มันไม่ถึงตายหรอก
เราไม่ได้โม้โม้ ที่คุณคนสวยเขาชอบเดินควงกับคนที่โก้โก้
ขับรถวอลโว่ รูปหล่อกล้ามโต กับเราก็โนโน ก็ไม่เป็นไร
แค่รอสักวันให้ฟ้าสงสารและดลบันดาล ให้เป็นคู่ตุนาหงัน
ที่ยังไม่พบพาน รอนานชักรำคาญ
รอแล้วรอเล่านั่งเฝ้าแต่รอ เมื่อไหร่จะมา..น้อ...

มีวิธีอย่างไรให้ใครซักคนเข้ามารักฉันที
ใครรู้ดีวิธีขั้นตอนแบบไหน

กลัวฉันกลัวมัวดักดานหลายปีเป็นอย่างนี้ทุกที
ขอคนมาบอกทางฉันที
มีฉันมีใจที่รักภักดีรอแบ่งใจที่มี
ขอคนมาเมตตาฉันหน่อย

กลัวฉันกลัวมัวดักดานหลายปีเป็นอย่างนี้ทุกที
ขอคนมาบอกทางฉันที
มีฉันมีใจที่รักภักดีรอแบ่งใจที่มี
ขอคนมาเมตตาฉันหน่อย"
1,ข้อความ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ข้อความ_พอส,"
จะอยู่ไกลห่างสักเท่าไหร่ สิ่งหนึ่งที่ยึดใจเราอยู่ ไว้ไม่ให้เราห่างกัน
คือความห่วงใยที่เธอให้ฉัน คำพูดเหล่านั้น ที่เธอคอยส่งมา

ให้ฉันได้รับรู้ ให้ฉันนั้นได้มั่นใจ ไม่มีสิ่งไหนที่จะลึกซึ้งถึงคุณค่า
ผ่านมาจากถ้อยคำนั้น ผ่านมาจากสายตาฉัน และสิ่งๆนั้นบอกฉันให้รู้ตลอดมา

ฉันและเธอจะเดินไปด้วยกัน ไม่ว่าจะทุกข์หรือว่าจะสุขสันต์ ฉันจะมีเธอข้างกาย
วันเวลาจะนานสักเพียงไหน เพื่อนฉันคนนี้นั้นไม่มีวันห่าง และไม่มีวันจากไปไหน

ในวันที่ฉันไม่มีใคร เปิดอ่านข้อความเก่าๆ ช่างมีความหมายจากวันนั้น
คือความห่วงใยที่เธอให้ฉัน ข้อความเหล่านั้น ที่เธอคอยส่งมา

ให้ฉันได้รับรู้ ให้ฉันนั้นได้มั่นใจ ไม่มีสิ่งไหนที่จะลึกซึ้งถึงคุณค่า
ผ่านมาจากถ้อยคำนั้น ผ่านมาจากสายตาฉัน และสิ่งๆนั้นบอกฉันให้รู้ตลอดมา

ฉันและเธอจะเดินไปด้วยกัน ไม่ว่าจะทุกข์หรือว่าจะสุขสันต์ ฉันจะมีเธอข้างกาย
วันเวลาจะนานสักเพียงไหน เพื่อนฉันคนนี้นั้นไม่มีวันห่าง และไม่มีวันจากไปไหน

ให้ฉันได้รับรู้ ให้ฉันนั้นได้มั่นใจ ไม่มีสิ่งไหนที่จะลึกซึ้งถึงคุณค่า
ผ่านมาจากถ้อยคำนั้น ผ่านมาจากสายตาฉัน และสิ่งๆนั้นบอกฉันให้รู้ตลอดมา

ฉันและเธอจะเดินไปด้วยกัน ไม่ว่าจะทุกข์หรือว่าจะสุขสันต์ ฉันจะมีเธอข้างกาย
วันเวลาจะนานสักเพียงไหน เพื่อนฉันคนนี้นั้นไม่มีวันห่าง และไม่มีวันจากไปไหน"
2,คนไม่มีวาสนา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนไม่มีวาสนา_พอส,"
ฉันมันไม่มีวาสนา ขอเธอนั้นอย่า อย่ามาสนใจ
ทิ้งฉันไว้คนเดียว เหลียวแลฉันทำไม ฉันมันไม่คู่ควรกับเธอ
รักเรานั้นเป็นเหมือนเส้นขนาน ลากมาพบกันก็คงไม่เจอ
เส้นทางที่เธอเดิน สวยงามและเลิศเลอ ส่วนฉันมันเดินอยู่กลางทางที่มืดมน

* เกิดแล้วตายอีกกี่ครั้งยังไม่มีสิทธิ์ จะคิดว่าเราต่างเป็นคู่กัน
เกิดแล้วตายอีกกี่ครั้งยังไม่เทียมทัน เธอกับฉันต่างกันเหมือนฟ้าดิน

** ฉันมันไม่มีวาสนา ฝืนดวงชะตาก็คงไม่ได้เลย
เห็นเธอนั้นไปดี ฉันเองก็ดีใจ ฉันไม่หวังอะไรมากไปกว่านี้

( ซ้ำ * , ** )

เพราะฉันมันคนไม่มี วาสนา"
3,ความลับ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความลับ_พอส,"
มอง มองเธอมาแสนนาน
ฉันไม่กล้าต้องคอยหลบตาเธอเสมอ
กลัวว่าวันหนึ่งถ้าเธอรู้ว่าฉัน
ปิดบังความจริงอะไรเอาไว้

ความลับที่ฉันซ่อนไว้
ไม่เคยบอกใคร จะอดใจไม่ไหว

ยิ่งฉันใกล้เธอเท่าไหร่ ยิ่งอยากจะเผยใจ
เมื่อสบสายตาก็ยิ่งหวั่นไหว มันยากเหลือเกิน
จะเก็บซ่อนความรักเอาไว้
และความลับในใจของเธอ มีฉันอยู่บ้างไหม

โปรดบอกความในใจ ให้ฉันรู้ทีนะเธอ
เก็บเอาคำพูดของเธอ มาคิดมาก
แอบคิดไปเองอยู่อย่างนี้
ก็เธอ เธอช่างดีแสนดี คำว่ารักเธอ
จะต้องเก็บไว้อีกนานแค่ไหน

ความลับที่ฉันซ่อนไว้
ไม่เคยบอกใคร จะอดใจไม่ไหว

ยิ่งฉันใกล้เธอเท่าไหร่ ยิ่งอยากจะเผยใจ
เมื่อสบสายตาก็ยิ่งหวั่นไหว มันยากเหลือเกิน
จะเก็บซ่อนความรักเอาไว้
และความลับในใจของเธอ มีฉันอยู่บ้างไหม

ความลับที่ฉันซ่อนไว้
ไม่เคยบอกใคร จะอดใจไม่ไหว

ยิ่งฉันใกล้เธอเท่าไหร่ ยิ่งอยากจะเผยใจ
เมื่อสบสายตาก็ยิ่งหวั่นไหว มันยากเหลือเกิน
จะเก็บซ่อนความรักเอาไว้
และความลับในใจของเธอ มีฉันอยู่บ้างไหม

ยิ่งฉันใกล้เธอเท่าไหร่ ยิ่งอยากจะเผยใจ
เมื่อสบสายตาก็ยิ่งหวั่นไหว มันยากเหลือเกิน
จะเก็บซ่อนความรักเอาไว้
และความลับในใจของเธอ มีฉันอยู่บ้างไหม"
4,คือเหตุผล,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คือเหตุผล_พอส,"
เธอชอบมาถามว่าทำไม ฉันจึงรักเธอจัง
มีเพียงคำตอบเดียว ที่ตัวฉันนั้น มีจะให้เธอ
ดอกไม้ที่ดูว่างดงาม นั้นก็ยังไม่เท่าเธอ
ให้เธอเป็นคนคนเดียว ที่ตัวฉันจะรักตลอดไป

คนเดียวที่ฉันจะผูกพัน
คนเดียวเท่านั้นคือเธอ
เพราะสิ่งดีๆ ที่มีให้กับฉัน
มันมากมาย จนล้น
คือเหตุผล ที่ฉันไม่เปลี่ยนไป
รักนี้จะไม่เปลี่ยนแปลง
ฉันยินดีที่จะอยู่กับเธอเสมอไป
ตราบใดฟ้าที่ยังไม่เปลี่ยนสี
โลกนี้ยังมีสายลม
ฉันก็ยังจะรักเธอ
รักจะรักแต่เธอผู้เดียว (ผิวปาก)

เธอไม่ต้องถามว่าเมื่อไร ฉันหมดรักเธอ
เพราะฉันไม่มีคำตอบ ที่ความหมายนั้นแปลว่าเลิกกัน
น้ำที่ยังไม่เปลี่ยนสี คงต้องมีปลาว่ายวน
ผลของมันจะเป็นอยู่อย่างนี้ ไม่มีวันเปลี่ยนแปลง

คนเดียวที่ฉันจะผูกพัน
คนเดียวเท่านั้นคือเธอ
เพราะสิ่งดีๆ ที่มีให้กับฉัน
มันมากมาย จนล้น
คือเหตุผล ที่ฉันไม่เปลี่ยนไป
รักนี้จะไม่เปลี่ยนแปลง
ฉันยินดีที่จะอยู่กับเธอเสมอไป
ตราบใดฟ้าที่ยังไม่เปลี่ยนสี
โลกนี้ยังมีสายลม
ฉันก็ยังจะรักเธอ
รักจะรักแต่เธอผู้เดียว (ผิวปาก)"
5,แค่ได้เป็นคนสุดท้ายที่เธอคิดถึง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แค่ได้เป็นคนสุดท้ายที่เธอคิดถึง_พอส,"
ฉัน ฉันไม่กล้าจะฝันไปไกล
ก็ที่ตรงนั้น เป็นที่ที่เรียกว่าหัวใจ

และคงมีบางคนเขายืนอยู่
อยู่ในนั้นในใจของเธอ
และต่อให้ไม่มีใครนั้นยืนอยู่
ก็รู้ดี ว่าคงไม่ใช่ฉัน

* แค่ได้เป็นคนสุดท้ายที่เธอคิดถึง
ได้เข้าไปอยู่ในนั้นซึ่งฉันไม่ควรได้เข้าไป
แค่เท่านี้ก็ดีพอกับใจของฉัน
แค่ได้เป็นคนสุดท้ายที่เธอมองเห็น
ได้อยู่ในสายตาที่เยือกเย็น
แค่เท่านี้ก็เป็นความสุขมากมายเกินกว่าฝัน

รู้ รู้ว่าดาวช่างแสนไกล
และคนอย่างฉัน ฉันไม่กล้าจะบินขึ้นไป

** แต่คงมีบางคนเขายืนอยู่
อยู่บนนั้นบนดาวคู่เธอ
และต่อให้ไม่มีใครขึ้นไปสู่
ก็รู้ดี ว่ายังไม่ใช่ฉัน

( ซ้ำ * )

( ซ้ำ ** , * )

อยู่ตรงนี้ก็มีความสุข ใต้ดวงดาว เหมือนกัน"
6,จะรักเธอคนเดียว ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จะรักเธอคนเดียว_พอส,"
ในวันนั้นมีแต่ความเหงา เป็นวันที่เรายังไม่เข้าใจ
ว่ารักแท้จริงเป็นอย่างไร ได้แต่เก็บไว้ ไว้เพียงคนเดียว

และวันนี้เธอมาให้ความหมาย ว่ารักแท้จริงเป็นเช่นไร
ที่ยังไม่เคยได้จากคนไหน ได้แต่เก็บไว้ให้เธอคนเดียว

สุดที่จะรัก สุดที่จะตามหา รักเธอนั้นมีค่ามากกว่าสิ่งใด
อยากบอกว่าเธอนี้ สุดจะมีความหมาย
แหละยอมทุ่มเทให้ทั้งใจ เก็บไว้ให้เธอคนเดียว
จะรักเธอคนเดียว จะรักเธอคนเดียว
จะไม่เหลียวไม่มองใครอีกแล้ว

ในวันนี้มีเธอเป็นความหวัง ในวันนี้มีเธอเป็นพลัง
ที่ทำให้ใจเราไม่อ้างว้าง และจะเก็บไว้ให้เธอคนเดียว

สุดที่จะรัก สุดที่จะตามหา รักเธอนั้นมีค่ามากกว่าสิ่งใด
อยากบอกว่าเธอนี้ สุดจะมีความหมาย
แหละยอมทุ่มเทให้ทั้งใจ เก็บไว้ให้เธอคนเดียว
จะรักเธอคนเดียว จะรักเธอคนเดียว
จะไม่เหลียวไม่มองใครอีกแล้ว"
7,ใจเย็นไว้ (Be Cool),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ใจเย็นไว้%20(Be%20Cool)_พอส,"
เมื่อคืนวันร้อน  ก็มัวแต่ทำงานยุ่งแทบทั้งคืนกระวนกระวายไม่มีเวลาจะโทรไปหาเธอแต่เธอโทรมาและบอกว่าฉันกำลังจะทิ้งไปจะทำยังไงให้เธอมั่นใจเข้าใจในตัวฉัน(ก็)ฉันเองก็ทำอะไรให้เธอทุกอย่างทุกที ที่ทำตามใจสบายอยู่แล้วรักเธอ ไม่เลย ไม่เคยจะคิดเป็นอื่นก็เพราะเธอ แค่เพียงสบตาก็น่ากลัวแล้วขอเธอให้ลองเปิดใจเชื่อฉันดูหน่อยก็บอกกัน ให้เธอใจเย็นไว้นานานา นานานา นานานา ...........จะเอาแต่ใจก็เธอไม่เคยจะคิดจะฟังฉันเลยก็รักเธอ จนหมดหัวใจก็มีแต่งาน และมีแต่เธอก็เพียงแค่เท่านั้นน่ะอย่าคิดเลย ไม่เคยเลยที่จะลืมเธอ(ก็)ฉันเองก็ทำอะไรให้เธอทุกอย่างทุกที ที่ทำตามใจสบายอยู่แล้วรักเธอ ไม่เลย ไม่เคยจะคิดเป็นอื่นก็เพราะเธอ แค่เพียงสบตาก็น่ากลัวแล้ว(ก็)ฉันเองก็ทำอะไรให้เธอทุกอย่างทุกที ที่ทำตามใจสบายอยู่แล้วรักเธอ ไม่เลย ไม่เคยจะคิดเป็นอื่นก็เพราะเธอ แค่เพียงสบตาก็น่ากลัวแล้ว(ก็)ฉันเองก็ทำอะไรให้เธอทุกอย่างทุกที ที่ทำตามใจสบายอยู่แล้วรักเธอ ไม่เลย ไม่เคยจะคิดเป็นอื่นก็เพราะเธอ แค่เพียงสบตาก็น่ากลัวแล้วอย่าคิดเลย ไม่เคยจะลืมเธอ"
8,ช่วยบอกได้ไหม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ช่วยบอกได้ไหม_พอส,"
ที่นี่ที่ฉันคอยเธออยู่ เฝ้ารอเธอมานานแล้วเธอรู้ไหม
ทุกทียังมั่นคงไม่เปลี่ยน ยังไงก็ยังทนไหว ยังไงก็ยังรอไหว

แต่ว่าในวันนี้ฉันเริ่มอยากรู้ สิ่งหนึ่งในใจวนเวียนคิดอยู่
อยากให้เธอบอก ไม่อยากจะหลอกตัวเองอีกแล้ว

ช่วยบอกได้ไหมจริงๆเธอคิดเช่นไร มันคือความรักแบบไหนที่เธอต้องการ
ฉันเป็นได้แค่เพื่อนเธอหรือมากกว่านั้น และฉันยังควรรอเธอทุกวัน อีกไหม

เมื่อก่อนก็ไม่เคยรู้สึก อยากที่จะมีคำถามเธอสักที
รักเธอหมดทั้งใจที่มี หัวใจดวงหนึ่งดวงนี้ไม่คิดจะมีข้อแม้

แต่ว่าในวันนี้ฉันเริ่มอยากรู้ สิ่งหนึ่งในใจวนเวียนคิดอยู่
อยากให้เธอบอก ไม่อยากจะหลอกตัวเองอีกแล้ว

ช่วยบอกได้ไหมจริงๆเธอคิดเช่นไร มันคือความรักแบบไหนที่เธอต้องการ
ฉันเป็นได้แค่เพื่อนเธอหรือมากกว่านั้น และฉันยังควรรอเธอทุกวัน อีกไหม

ฉันอยากจะขอให้เธอเห็นใจ เพราะว่าวันนี้ฉันทนไม่ไหว ขอเธอได้ไหม ช่วยบอกกับฉันที

ช่วยบอกได้ไหมจริงๆเธอคิดเช่นไร มันคือความรักแบบไหนที่เธอต้องการ
ฉันเป็นได้แค่เพื่อนเธอหรือมากกว่านั้น และให้เธอบอกกับฉันสักคำ
สิ่งที่ฉันได้อยากจะรู้มานาน และฉันยังควรรอเธอทุกวัน อีกไหม"
9,ดาว ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ดาว_พอส,"
หากคืนนี้มีดาวอยู่ล้านดวง ฉันขอได้ไหมสักดวงหนึ่งช่วยฟังฉันที
เพราะว่าคืนนี้ฉันมีเรื่องร้อนใจ อยากอธิฐานและขอดวงดาวให้ช่วยฉันสักที

เนื่องจากตอนนี้ฉันรู้สึกจิตใจมันอ่อนไหว อยากจะรู้ว่าเขาเป็นยังไงจากคำพูดวันนี้

เพราะฉันเพิ่งบอกรักไป และเขาก็รับฟังทุกอย่างทุกถ้อยคำ เหมือนความฝัน
แต่ฉันเองก็ไม่อาจแน่ใจ ว่าพรุ่งนี้เรื่องของเราจะสุขหรือแสนเศร้า
จึงวอนขอดาวให้ช่วยบอกที

หากตัวเขาใจมีใจให้ฉันจริง ฉันขอได้ไหมให้ทุกสิ่งเป็นจริงเรื่อยไป
ต่อจากวันนี้เขามีแต่ฉันในหัวใจ จะอธิฐานและขอดวงดาวให้ช่วยฉันสักที

เนื่องจากตอนนี้ฉันรู้สึกจิตใจมันอ่อนไหว อยากจะรู้ว่าเขาเป็นยังไงจากคำพูดวันนี้

เพราะฉันเพิ่งบอกรักไป และเขาก็รับฟังทุกอย่างทุกถ้อยคำ เหมือนความฝัน
แต่ฉันเองก็ไม่อาจแน่ใจ ว่าพรุ่งนี้เรื่องของเราจะสุขหรือแสนเศร้า
จึงวอนขอดาวให้ช่วยบอก

ช่วยบอกให้ฉันรู้ ให้มั่นใจ การรอคอยมันยากเกินทนไหว
ได้โปรดช่วยบอกฉันและตอบหน่อยได้ไหม ว่าพรุ่งนี้เขากับฉันนั้นจะเป็นยังไง

เพราะฉันเพิ่งบอกรักไป และเขาก็รับฟังทุกอย่างทุกถ้อยคำ เหมือนความฝัน
แต่ฉันเองก็ไม่อาจแน่ใจ ว่าพรุ่งนี้เรื่องของเราจะสุขหรือแสนเศร้า
จึงวอนขอดาวให้ช่วยบอกที"
