,name,link,lyrics
0,14cm,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/14cm_โพลี่แคท,"
เมื่อก่อนเคยคิด จะตกทำไมหนักหนา
แต่ก็เปลี่ยนใจ อยากให้ตกทุกเวลา
ตั้งแต่ที่ฝนนั้นโปรยและทำให้เธอ เดินทางเข้ามา
อยู่ในอ้อมแขนของฉัน
.
และก็เคยคิด ไม่ชอบแจ็คเก็ตตัวนี้
จะใส่ยังไง แบบไหนก็ดูไม่ดี
จนเธอได้คว้าไปคลุมบนตัวของเธอ ก็ไม่มีที่ติ
อยากขอบคุณมันนะ ที่ทำให้ใกล้เธอเหลือเกิน
และฉันเขิน ถ้าเธอรู้ ว่า..
.
ห่างกันประมาณ 14 เซนติเมตร แต่คิดไป far away
ฉันกลัวว่าเธอจะหาว่าความคิดฉันดูไม่ดี
But it’s real ครั้งแรกที่มองตาเธอ
ฉันฝันละเมอถึงงานแต่งเรา
But it’s real ครั้งแรกที่มองตากัน
เธอคิดเหมือนฉันบ้างหรือเปล่า
.
อยากขอบคุณมันนะ ที่ทำให้ใกล้เธอเหลือเกิน
และฉันเขิน ถ้าเธอรู้ ว่า..

ห่างกันประมาณ 14 เซนติเมตร แต่คิดไป far away
ฉันกลัวว่าเธอจะหาว่าความคิดฉันดูไม่ดี
But it’s real ครั้งแรกที่มองตาเธอ
ฉันฝันละเมอถึงงานแต่งเรา
But it’s real ครั้งแรกที่มองตากัน
เธอคิดเหมือนฉันบ้างหรือเปล่า
.
(14 เซนติเมตร แต่คิดไป far away)
(ฉันคิดไป far away.. far away)
(14 เซนติเมตร แต่คิดไป far away)
(ฉันคิดไป far away.. far away)
(14 เซนติเมตร แต่คิดไป far away)
(ฉันคิดไป far away.. far away)
(14 เซนติเมตร แต่คิดไป far away)"
1,Only You,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Only%20You_โพลี่แคท,"
ไม่ว่าหันไปมองทางไหน
ก็เห็นแต่เธอ

รู้ความจริงบ้างไหมว่าฉัน
แอบรักเธอมาเนิ่นนาน
เริ่มตั้งแต่เมื่อเราพบกัน
ก็ใฝ่ฝันเรื่อยมา
หลับตาลงครั้งใด
ก็เห็นภาพเธอร่ำไป
ตื่นขึ้นมาเมื่อใด
ก็เพ้อถึงเธอเท่านั้น
ไม่ว่าหันไปมองทางไหน
ก็เห็นแต่เธอ

ขอเพียงแค่ได้เห็นหน้าเธอ
ได้พบพูดคุยทุกวัน
ขอเพียงแค่ได้ยินเสียงเธอ
ก็พอเป็นสุขใจ
หลับตาลงครั้งใด
ก็เห็นภาพเธอร่ำไป
ตื่นขึ้นมาเมื่อใด
ก็เพ้อถึงเธอเท่านั้น
ไม่ว่าหันไปมองทางไหน
ก็เห็นแต่เธอ
เหมือนมีแต่เธอ

Only You ก็อยากให้รู้
ว่าคิดถึงเธอทุกวัน
Only You มองตาจึงรู้
ว่าฉันเฝ้าคอยใครกัน
เธอเท่านั้นเธอเท่านั้น
คนเดียวและคนสำคัญ
Only You ก็อยากให้รู้
ว่าคิดถึงเธอทุกวัน
Only You มองตาจึงรู้
ว่าฉันเฝ้าคอยใครกัน
เธอเท่านั้นเธอเท่านั้น
คนเดียวและคนสำคัญ
สำหรับฉัน

Only You
Only You

ขอเพียงแค่ได้เห็น หน้าเธอ
ได้พบพูดคุยทุกวัน
ขอเพียงแค่ได้ยินเสียงเธอ
ก็พอเป็นสุขใจ
หลับตาลงครั้งใด
ก็เห็นภาพเธอร่ำไป
ตื่นขึ้นมาเมื่อใด
ก็เพ้อถึงเธอเท่านั้น
ไม่ว่าหันไปมองทางไหน
ก็เห็นแต่เธอ
เหมือนมีแต่เธอ

Only You ก็อยากให้รู้
ว่าคิดถึงเธอทุกวัน
Only You มองตาจึงรู้
ว่าฉันเฝ้าคอยใครกัน
เธอเท่านั้นเธอเท่านั้น
คนเดียวและคนสำคัญ
Only You ก็อยากให้รู้
ว่าคิดถึงเธอทุกวัน

Only You มองตาจึงรู้
ว่าฉันเฝ้าคอยใครกัน
เธอเท่านั้นเธอเท่านั้น
คนเดียวและคนสำคัญ
สำหรับฉัน

Only You ก็อยากให้รู้
ว่าคิดถึงเธอทุกวัน"
2,ข่าวดี,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ข่าวดี_โพลี่แคท,"
มีบ้านเล็กๆ หลังหนึ่ง ตรงระเบียงเธอจะเอาสีขาวทาลงบนนั้น
ปลูกต้นไม้มากมาย ได้เอนกายกับคนที่เธอรัก อยากมีอยู่ไหม

เมื่อถึงวันฮันนีมูน ยังอยากจะไปที่เดิม ที่เคยฝันไว้หรือเปล่า

* รอฟังข่าวดีจากเธอเสมอ
รอดูงานเลี้ยงที่เธอวางเอาไว้
ขอให้มันได้เป็นจริงเถอะ
ความฝันและทุกๆ อย่างที่ตั้งใจ
แค่อยากจะเห็นความสุขของเธอไกลๆ
คนๆ นี้ ยังรอฟังข่าวดี ของเธออยู่
ไม่ต้องเชิญฉันไปหรอก ฉันไม่เป็นไร

บอกกันไว้ครั้งนึง ชีวิตนี้คงมีความสุขดี
ถ้ามีตัวเล็ก เจริญอาหารเหมือนเธอ และได้ยิ้มสวยงามมากจากเธอ
คงจะน่ารัก

เป็นหญิงและชายอย่างละคน ยังอยากให้เป็นชื่อเดิม ที่เคยตั้งไว้หรือเปล่า

รอฟังข่าวดีจากเธอเสมอ
รอดูงานเลี้ยงที่เธอวางเอาไว้
ขอให้มันได้เป็นจริงเถอะ
ความฝันและทุกๆ อย่างที่ตั้งใจ
แค่อยากจะเห็นความสุขของเธอไกลๆ

รอฟังข่าวดีจากเธอเสมอ
รอดูงานเลี้ยงที่เธอวางเอาไว้
ขอให้มันได้เป็นจริงเถอะ
ความฝันและทุกๆ อย่างที่ตั้งใจ
แค่อยากจะเห็นความสุขของเธอไกลๆ

คนๆ นี้ ยังรอฟังข่าวดี ของเธออยู่
แค่อยากจะเห็นความสุขของเธอไกลๆ

คนๆ นี้ ยังรอฟังข่าวดี ของเธออยู่
ไม่ต้องเชิญฉันไปหรอก ฉันไม่เป็นไร
"
3,คอนเสิร์ต,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คอนเสิร์ต_โพลี่แคท,"
ในตอนที่เขาขอเสียงคนไม่มีใคร
ไม่ยอมให้ความร่วมมือกับเขาเพราะในใจ
ไม่อยากยอมรับว่าเสียเธอไปแล้ว

เคยบอกว่าไว้เรามาดูวงนี้ด้วยกัน
กาปฏิทินรอคอนเสิร์ตเริ่มเมื่อถึงวัน
จะใส่เสื้อชุดที่เหมือนกันอย่างตัวนี้

เมื่อวงเริ่มร้องว่ารักเธอ
มันยิ่งรักเธอมากกว่าเดิม
เมื่อวงเริ่มร้องคิดถึงเธอ
มันยิ่งคิดถึงมากเหลือเกิน
ถ้ายังมีเธอ in my arms จะตะโกนบอกรักให้ดังกว่ากีตาร์เลยคอยดู
แต่ตอนนี้เธอไม่อยู่
ตอนที่วงเริ่มแสดง

จะไม่ยืนชิดเคียงกับใคร i’ll keep my distance
เพราะฉันจะเว้นที่ข้าง ๆ ให้จินตนาการ
โบกมือไปพร้อมกัน ในใจมันพร้อมจำ
ว่าเธออยู่ตรงนี้ กระโดดตรงนี้ ไม่ได้หนีไปไหน รักยังอยู่

ตะโกนร้องโน้ตเพี้ยน ๆ ไปโดยไม่สนใคร
ไม่ห่วงว่าเคยซ้อมมาอย่างดีเลิศเพียงใด
ยังไงคนซ้อมมาด้วยกันก็ไม่อยู่ฟัง

แต่ยังเตรียมขวดน้ำเล็ก ๆ พร้อมหวังว่าถ้ามี
คนดีคนนั้นดูวงที่เธอชอบพอดี
จะดับกระหายโดยยื่นมันไปให้เธอ

จะไม่ยืนชิดเคียงกับใคร i’ll keep my distance
เพราะฉันจะเว้นที่ข้าง ๆ ให้จินตนาการ
โบกมือไปพร้อมกัน ในใจมันพร้อมจำ
ว่าเธออยู่ตรงนี้ กระโดดตรงนี้ ไม่ได้หนีไปไหน รักยังอยู่
ว่าเธออยู่กับฉัน กระโดดกับฉัน และฟังเพลงเหล่านั้นไปด้วยกัน"
4,จะเอาอะไร ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จะเอาอะไร_โพลี่แคท,"
ทุ่มใจให้รัก ไม่เคยหยุดพัก เหยียบเต็มร้อย ไม่คิดจะเตรียมตัวเสียใจ
อย่างกระทันหัน เธอบอกลาฉัน ดับความฝัน ปลุกฉันให้มาเจอ

* เธอเอาคำว่าความรัก ไปจากใจของฉัน เอาคำว่าความหวังออกไปจากทุกวัน
อะไรเคยให้ไว้ เธอขอคืนได้ไหม อยากจะถามไป ว่าเธอ

** จะเอาอะไรไปอีก ยังคิดว่าเหลือเท่าไหร่
ในโลกของฉันทั้งใบ หมดตัวไม่เหลือ แม้ใจจะเอาอะไร

เรื่องราวเพลงรัก ที่ใครบอกไว้ เธอไม่อาจเอารักไปจากหัวใจ
อยากบอกว่าไม่จริง นอกจากโดนทิ้ง สิ่งสุดท้าย เธอก็เอามันไป

( ซ้ำ * , ** )

รักที่มีให้กัน ในวันที่เคยหวาน เพียงหมดความต้องการ
เก็บคืนทุกทุกอย่าง แล้วก็เดินจากไป มันทนแทบไม่ไหว เธอรู้ไหม

( ซ้ำ ** , ** , ** )"
5,เจ้าหนู,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เจ้าหนู_โพลี่แคท,"
รู้แล้วว่าเธอได้แววตาที่ แสนดี
มาตั้งแต่ตอนที่เธอเด็ก
ในวันนี้เราคนมันออกมาดูอัลบั้มรูปเธอเมื่อก่อนมันคือตอนที่ฉันและเธอเรายังไม่ได้พบกัน

รูปนี้ที่เธอยืนยิ้มตอนนั้นเธอคงไม่รู้ว่า
ว่าเธอจะโตขึ้นมากุมหัวใจคนหนึ่งคน
ถ้าฝากไปบอกกับเจ้าหนูคนคนนี้ได้
จะขอพูดไปว่าในสุดท้าย

เธอจะพบกับรักจริงที่ยิ่งใหญ่กว่าครั้งไหน
ระหว่างนั้นเก็บหัวใจอย่าเพิ่งให้ใครทั้งนั้น
มีคนหนึ่งกำลังตามหารอให้มาเจอกัน
เมื่อเดินทางถึงวันนี้ ขอให้เป็นฉันคนนี้

Please let me be, Let me be the one
ให้ฉันคนนี้  ดูแลเธอทุกวัน
เป็นฉันคนนี้  ที่จะบอกว่าฉันรักเธอคนดี
Please let me be, Let me be the one
ให้ฉันคนนี้  เคียงข้างเธอทุกวัน
เป็นฉันคนนี้  ที่จะบอกว่าฉันรักเธอคนดี

อายุของสาวน้อยที่อยู่ในรูปนี้
ประมาณ 14 ฉันขอบอก
ว่าตอนนั้นถ้าเธอกำลังมีแฟน จะไม่ใช่คนที่ดีที่สุด
เพราะตอนนี้คนที่ว่าเขากำลังนั่งอยู่ข้างเธอ

รูปเธอในชุดเจ้าหญิงตอนนั้นเธอคงไม่รู้ไม่เห็น
ว่าเธอจะโตขึ้นเป็นเจ้าหญิงของฉันจริงๆ￼￼￼
ถ้าฝากไปบอกกับเจ้าหนูคนคนนี้ได้
จะขอพูดไปว่าในสุดท้าย"
6,ซิ่ง (Friday On The High Way),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ซิ่ง%20(Friday%20On%20The%20High%20Way)_โพลี่แคท,"
คิดถึงกัน อย่ารอไว้
ได้เจอกัน แค่บนหน้าจอมันพอไหม
และจะไม่มีฟ้าผ่าครั้งไหน
ที่มันจะรุนและแรงเกิน การที่เรามองตา บอกได้เลย ว่าไม่ No

และเรารู้ดี แสงไฟคืนนี้ ต้องสว่างกว่าคืนไหน

ไม่มีใครเร็วกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's friday love on the high way I meet you
เปิดเพลงให้ดังยิ่งกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's friday love on the high way I meet you

อะไรจะเกิดในคืนนี้ ไม่นับว่าเป็นความผิดเอาเลยจะยกเว้น
และชุดฉันใส่ในคืนนี้ ไม่รู้ว่าเธอจะชอบหรือเปล่า
แต่ว่าเธอดูดีในชุดโปรดที่เธอใส่

และเรารู้ดี แสงไฟคืนนี้ ต้องสว่างกว่าคืนไหน

ไม่มีใครเร็วกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's friday love on the high way I meet you
เปิดเพลงให้ดังยิ่งกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's friday love on the high way I meet you

ไม่มีใครเร็วกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's friday love on the high way I meet you
เปิดเพลงให้ดังยิ่งกว่านี้ วันนี้ที่ฉันได้มีเธออยู่
It's friday love on the high way I meet you"
7,ถ้าเธอคิดจะลืมเขา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถ้าเธอคิดจะลืมเขา_โพลี่แคท,"
* ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
เช็ดน้ำตาที่อ่อนล้า อย่าเอามาทำร้ายใจอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าน้ำตาทำให้ลืมรักลง ในโลกนี้คงมีแต่คนร้องไห้ อย่ามัวแต่เสียใจ อย่ามัวแต่เสียใจ

อยากให้เธอรู้ ให้เธอลองคิดว่าชีวิต ไม่ได้มีเพื่อใคร
จะขังตัวเองประชดทำไมให้ได้อะไรขึ้นมา เมื่อเขาไม่เคยจะมองเห็นค่า

( ซ้ำ * )

อยากให้เธอรู้ ให้เธอลองคิดว่าชีวิต ไม่ได้มีเพื่อใคร
เท่ารักคำเดียว ทำเธอแทบตาย ความรักมันไม่ได้เป็นทุกอย่าง อย่าใช้หัวใจกับทุกทุกอย่าง

ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
เช็ดน้ำตาที่อ่อนล้า อย่าเอามาทำร้ายใจอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าน้ำตาทำให้ลืมรักลง ในโลกนี้คงมีแต่คนร้องไห้

กี่การตอกย้ำไม่ใช่ทางออก กี่ความเจ็บซ้ำเธอถึงจะพอ
กี่การตอกย้ำไม่ใช่ทางออก กี่ความเจ็บซ้ำเธอถึงจะพอ

ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย
ถ้าเธอคิดจะลืมเขา เธออย่าฟังแต่เพลงเศร้าอีกเลย"
8,ปืน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ปืน_โพลี่แคท,"
มันเป็นความจริงที่ต้องรับให้ได้ทีเธอและใจอ่อนแอเหลือเกินอะไรรุนแรงก็ไม่เห็นเป็นไรนะเธอรู้ไหมฉันแพ้เพียงหนึ่งจินตนาการระหว่างเธอกำลังเอาความรักคืนดั่งปืนลั่นไก โน ที่รักฉันวอนให้เธอเข้าใจที่ทำให้ตาย คือเธอจากฉันไป ไม่ใช่ปืนยิ่งเธออยู่ไกลหัวใจ ยิ่งต้องเจ็บร้ายแรงฉันขอให้รักกันอย่างนี้นาน ๆ รำคาญหรือเปล่าอย่าเคืองได้ไหม ที่รบที่เร้ากลัวจะไม่เข้าใจที่ทำให้ตาย คือเธอจากฉันไป ไม่ใช่ปืนยิ่งเธออยู่ไกลหัวใจ เฮ้เฮยิ่งต้องเจ็บร้ายแรง โอ้โฮโฮโฮ้ โฮยิ่งเธออยู่ไกลหัวใจ เฮ้เฮยิ่งต้องเจ็บร้ายแรง โอ้โฮโฮโฮ้ โฮฉันขอให้รักกันอย่างนี้นาน ๆ รำคาญหรือเปล่าอย่าเคืองได้ไหม ที่รบที่เร้ากลัวจะไม่เข้าใจที่ทำให้ตาย คือเธอจากฉันไป ไม่ใช่ปืนถ้าจะทำให้ตาย ไม่ต้องปืน แค่เธออยู่ไกลหัวใจ"
9,เป็นเพราะฝน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เป็นเพราะฝน_โพลี่แคท,"
บอกฉันดีกว่า ว่าความรักจริงจริงไม่ต้องเลย ที่ใช้เวลา เนิ่นและนาน เรียนรู้
เพราะดูที่ตอนแยกทาง มันไม่นาน
เมื่อเธอหายไปเหลือเพียง น้ำตา ตกลงมากับฝนให้คนได้ขาดใจ

* จากฟ้าหยดลงพื้น จากตาอาบหน้าให้ชื้น เมื่อไหร่เธอจะย้อนคืนมาหา

** รักในครั้งนี้ยังไม่จบลงใช่ไหม ไม่ว่าอะไร เปียกปอน ฉันภาวนา
ให้เป็นเพราะฝนอย่าให้ต้องเปียกเพราะน้ำตา ในเพลงผิดหวังที่เรา ได้เปิดมันฟังด้วยกัน
อย่าปล่อยให้เป็นแบบนั้น ได้โปรด

ฟังเสียงของเธอ แข่งกับฟ้าคำรามรู้สึก ช่างคล้ายกันตรง เจตนา ทำร้าย
ให้ใจฉันไม่สบาย ทั้งคู่
และเสียงที่ฉันได้ฟัง เมื่อครู่ มันชวนให้ฉันนั้นคิดว่าเธอจะจากไป

( ซ้ำ * , ** )

( ซ้ำ ** )

ถ้าหากต้องเสียน้ำตา ให้กี่เรื่องราวช่างมัน อย่าเป็นเรื่องเธอกับฉัน ได้โปรด"
