,name,link,lyrics
0,Butterfly ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Butterfly_ปาล์มมี่,"
ผีเสื้อตัวหนึ่งไม่สวยงามเท่าไหร่ บางส่วนของปีกก็ขาดหายไป
และแรงโน้มถ่วงไม่เคยช่วยอะไร แต่ผีเสื้อยังบินไปตามหัวใจ

และฉันเฝ้ามองมันอยู่อย่างนั้น สะท้อนตัวฉันที่เป็นอย่างนี้
ชีวิตที่ฉันเผชิญและมีอยู่

วงล้อมมืดมนที่หมุนฉันอยู่ กรงล้อมกว้างใหญ่ที่ฉันไม่รู้
ความสมบูรณ์แบบอาจเป็นคำตอบ คือแผลในใจที่ช่างลวงหลอก

* ผีเสื้อเฝ้ามองฉันอยู่อย่างนั้น กับคำถามมากมายในตาของมัน
สุดท้ายมันมองที่ปีกแล้วบอกกับฉันว่า

** เราต่างมีพรุ่งนี้ที่รอเราอยู่เหมือนกัน และวันนี้ที่รั้งเราไว้เช่นกัน
ด้วยอดีตปัจจุบัน ที่แตกต่างกัน
บาดแผลมากมายที่เรานั้นมี สุขทุกข์มากคราวเป็นเพียงสายลม
ที่จะผ่านเข้ามา และจากเธอไปไม่นาน

( ซ้ำ * , ** )"
1,Ooh,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Ooh_ปาล์มมี่,"
เธอ เธออีกแล้ว
ที่มารบมากวนหัวใจ
จะไปไหนเจอใครมากมาย
ทำไมมันมอง หาแต่เธอ

ไม่ว่าอยู่ อยู่ที่ไหน
ใจดวงนี้ยังคงละเมอ
หลับตาฝันก็ยังพบเธอ
ก็มีแต่เธอ โอ๊ะโอ

* ฉันเป็นอะไรไม่รู้
ยั้งใจไม่ค่อยอยู่
ooh แปลกจริงๆ
ooh คิดถึงเธออีกแล้ว
แปลกจริง คิดถึงเธอจัง

เรื่องอื่น ไม่ค่อยสน
ไม่อยากรู้เรื่องคนทั่วไป
อยากจะรู้เรื่องเธอนั่นไง
จะทำยังไง โอ๊ะโอ

( ซ้ำ * )

( ซ้ำ * )

( ซ้ำ * )

( ซ้ำ * )

ooh คิดถึงเธออีกแล้ว
แปลกจริง คิดถึงเธอจัง"
2,Private sky ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Private%20sky_ปาล์มมี่,"
ฉันได้พบสายรุ้งอัศจรรย์ ที่งดงามเกินกว่า ผู้ใดจะเคยได้เห็น
มันมีสีหลากหลายร่วมร้อยพัน และทอดยาวเกินตา ครอบคลุมทุกอย่างบนฟ้า
อยู่บนฟ้า อยู่บนฟ้า อยู่บนฟ้า

แต่แล้วเรื่องรุ้งวันนั้นที่ฉันเจอ เมื่อเวลาเลยผ่าน ก็เป็นเพียงสิ่งที่เคยเห็น
เช่นที่ฉันได้เจอและพบเธอ นั่นคือสิ่งมหัศจรรย์ที่เกิดไปแล้ว
เกิดไปแล้ว เกิดไปแล้ว เกิดไปแล้ว

ฉันช่างมีคำถามที่ยากเย็น ว่าอะไรคือสิ่ง ที่ฉันต้องการในตอนนี้
เมื่อเธอนั้นคือผืนดินที่ฉันยืน และเขาคือรุ้งงาม กว้างไกลอันใหม่บนฟ้า
อยู่บนฟ้า อยู่บนฟ้า อยู่บนฟ้า

ดวงอาทิตย์ ไม่อาจมีสองดวง มันจะเผาไหม้ทุกสิ่ง
ดวงพระจันทร์ ไม่อาจมีสองดวง เพราะว่าน้ำจะท่วม และจมทุกอย่าง
ดวงอาทิตย์ ไม่อาจมีสองดวง มันจะเผาไหม้ทุกสิ่ง
ดวงพระจันทร์ ไม่อาจมีสองดวง เพราะว่าน้ำจะท่วม และจมทุกอย่าง แม้เรา"
3,Shy boy ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Shy%20boy_ปาล์มมี่,"
เหมือนทุกที ที่งงนิดหน่อย ก็เหมือนว่าเรา บังเอิญเจอกันบ่อยบ่อย เป็นเรื่องบังเอิญเล็กน้อย
แต่ทำไมทุกทีเลย ก็ไม่เข้าใจ เมื่อฉันและเธอ บังเอิญสบตาเมื่อไหร่ เธอต้องหลบตาฉันไป มันยังไง

* รู้ไหมทุกครั้งที่เราสองใกล้กัน เธอคุยกับฉันต้องดูเขินทุกที
อะไรในใจที่ทำให้เธอเป็นอย่างนี้ โอ๊ะ ตอบฉันหน่อย หรือว่าเธออายบอกที

** ทำไมต้องยากขนาดนั้น จะมัวแต่อายทำไม อย่าคิดให้มากมาย ไม่ใจร้ายเหมือนเหมือนคนอื่น
และคิดว่ามันไม่ต้องขนาดนั้น อยากให้สบายสบาย ลองเปิดหัวใจ
ถ้าความรักของเราตรงกัน มันก็แค่หัวใจบอกว่าใช่

เฮ้ เดี๋ยวก่อน อย่าคิดไปไกล ทั้งที่เรายังไม่ได้คุยกันเท่าไหร่ เธอจะคิดมากไปไหน

( ซ้ำ * , ** )

ทำไมต้องยากขนาดนั้น จะมัวแต่อายทำไม อย่าคิดให้มากมาย ไม่ใจร้ายเหมือนเหมือนคนอื่น
และคิดว่ามันไม่ต้องขนาดนั้น อยากให้สบายสบาย ลองเปิดหัวใจ
ถ้าความรักเราไม่ตรงกัน มันก็แค่หัวใจบอกว่าไม่"
4,Stay [อยู่ตรงนี้] ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Stay%20[อยู่ตรงนี้]_ปาล์มมี่,"
อาจมีฝนที่หล่นมา ชั่วคราว
และเมฆขาวที่ผ่านมา เพียงชั่วคืน
เจอกับลมก็ปลิวไป ไม่มีใครรื้อฟื้น
ไม่ได้เป็นความยั่งยืน เสมอไป

แต่กับเธอที่ผ่านมา ชั่วคราว
และเรื่องราวที่เปลี่ยนไป ชั่วข้ามคืน
กับอะไรที่เป็นไป ก็ยังไม่เคยลืม
เหมือนว่ามันเป็นส่วนหนึ่งของหัวใจ

* เราไม่เคยจะรักกัน มีแต่วันที่อ่อนไหว
ผ่านเลยไปและไม่เคย จะกลับมา
เป็นแค่ความประทับใจ ที่ยังคง แน่นหนา
มีแต่ฝนมีแต่ฟ้า ที่เข้าใจ

** ใต้ต้นไม้ที่ไม่มี ร่มเงา
กิ่งก้านนั้นไม่ได้สูงสักเท่าไหร่
แต่รากลึกลงในดิน หยั่งลึกลงในใจ
มีความหมายที่มากมายตลอดมา

( ซ้ำ * , ** )

หยั่งรากลึกลงในดิน หยั่งลึกลงในใจ
มีความหมายที่มากมายตลอดมา"
5,กระโดดขึ้นฟ้า,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กระโดดขึ้นฟ้า_ปาล์มมี่,"
เวลาของคนอ่อนแอ
มีแค่เพียงข้ามคืน
เคว้งคว้างหรือว่าทนฝืน
เพื่อให้ตื่นจากฝัน

เวลาของความผิดหวัง
ไม่ได้มีทั้งวัน
ลืมตาแล้วมาด้วยกัน
เธอทำได้ใช่ไหม

กระโดดขึ้นไปชูมือให้สูงที่สุด
หยุดความสับสนที่ทนเก็บไว้
กระโดดขึ้นฟ้ากระโจนให้สูงขึ้นไป
อย่าให้ความทุกข์มันดึงฉุดไว้
แล้วไปด้วยกัน

ฉันรู้ว่าความผิดหวัง
มันน่ะเป็นเช่นไร
ฉันรู้ว่าความอ่อนไหว
มันทำให้อ่อนล้า

ฉันรู้ว่าเธออ่อนแอ
เลยต้องมีน้ำตา
ทิ้งไว้แล้วเดินออกมา
เธอทำได้ใช่ไหม"
6,กลัว ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กลัว_ปาล์มมี่,"
จมอยู่กับตัวเอง ติดอยู่กับเวลา ทำไมเธอไม่มา เธอหายไปนานเหลือเกิน
ยังมีคนที่คอยอยู่ วันและคืนเฝ้าหมองเหม่อ ใครทำให้เธอห่างเหิน

ผ่านไปแต่ละวัน ก็ยังหวั่นในใจ ว่ามันเกิดอะไร กับรักที่เธอให้มา
เธอยังรักฉันรึปล่าว เธอมีใครสำคัญกว่า เพียงแค่คิดยังปวดร้าว

เพราะว่าใจกลัว กลัวว่าเธอจะทิ้งกัน จากไปลืมคนที่เคยบอกรักกัน
ลืมทุกๆอย่าง มันอ่อนล้าและสับสน

จะต้องทำยังไง บอกกับเธอยังไง ความอึดอัดในใจ ที่ฉันทนมาตั้งนาน
คนดีๆที่เคยห่วง นานวันไปยิ่งไกลห่าง เพียงคิดน้ำตาก็ไหล

เพราะว่าใจกลัว กลัวว่าเธอจะทิ้งกัน จากไปลืมคนที่เคยบอกรักกัน
ลืมทุกๆอย่าง มันอ่อนล้าและสับสน"
7,กา กา กา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กา%20กา%20กา_ปาล์มมี่,"
จะมัวกังวลกันไปทำไม ปล่อยใจลอยไปให้สุขสบาย
ลืมความวุ่นวาย ไปอยู่กับแร้งอยู่กับกา
ก็อยู่คนเดียวให้มันสบาย ไม่รู้ไม่ชี้ไม่คิดไม่แคร์อะไร
มาคล้องแขนโยกย้าย กระโดดออกมา ออกมา เต้นกัน

มาทำอะไรให้มันร่าเริง มาทำชีวิตให้มีชีวา
ยืดแขนยืดขา มาเต้นแร้งเต้นกา
มาเลย บรรเลง ละเลง ไปด้วยกัน
ไม่ต้องไปคิดอะไรให้มากมาย
Coz when you said goodbye
มันอยากตะโกนออกไปว่า กา กา กา กา กา

He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา

กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา
กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา

กา กา กา กา กา
He He He He He
Ha Ha Ha Ha Ha

ก็อยู่อย่างนี้โดยไม่มีเขา ก็อย่าไปเหงาทำใจให้ว่าง
In to the sky ไปอยู่กับแร้ง อยู่กับกา
ก็อยู่คนเดียวให้มันสบาย ไม่รู้ไม่ชี้ไม่คิดไม่แคร์อะไร
มาคล้องแขนโยกย้าย กระโดดออกมา ออกมาเต้นกัน

มาทำอะไรให้มันร่าเริง มาทำชีวิตให้มีชีวา
ยืดแขนยืดขา มาเต้นแร้งเต้นกา
ยุกยิกยึกยักย๊อกแย๊กยึกยือ กุ๊กกิ๊กดุ๊กดิ๊กกระดุ๊กกระดึ๊กดือ
บ้า บ้า บ้า บ้า บ้า บ้า บ้า บ้า
มันอยากตะโกนออกไปว่า กา กา กา กา กา

He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา

กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา
กา ก้า กา ก้า กา ก่า กา ก้า กา ก่า กา
ออกมาเต้นแร้ง ออกมาเต้นกา ออกมา

กา กา กา กา กา
He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา

กา กา กา กา กา
He He He He He
Ha Ha Ha Ha Ha
กา กา กา กา กา กา"
8,กุญแจที่หายไป ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กุญแจที่หายไป_ปาล์มมี่,"
ฉันคอยเอาแต่กลัว ไม่คบใคร ปิดตัวเอง
หลายคนดี แต่ฉันไม่ไว้ใจ...
เพราะมองใครต่อใคร ที่รักมา จบลงไป
ฉันกลัวทนไม่ไหว ที่รักเอง

มีหัวใจไม่เคยได้ใช้...
จนเหมือนคนที่ไร้...จิตใจ
ปิดตายทุกอย่างเสมอมา...
เธอเหมือนเป็นกุญแจที่หาย...
เป็นเหมือนคนที่ไขประตูให้ฉัน
เปิดใจดวงนี้ เปิดมันด้วยรัก...จากเธอ....

ถ้าฉันดีไม่พอ ไม่เหมือนใครอย่างเธอเจอ
เข้าใจกันใช่ไหม ที่ฉันเป็น...

มีหัวใจไม่เคยได้ใช้...
จนเหมือนคนที่ไร้...จิตใจ
ปิดตายทุกอย่างเสมอมา...
เธอเหมือนเป็นกุญแจที่หาย...
เป็นเหมือนคนที่ไขประตูให้ฉัน
เปิดใจดวงนี้ เปิดมันด้วยรัก...จากเธอ....

"
9,ขวัญเอยขวัญมา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขวัญเอยขวัญมา_ปาล์มมี่,"
ค่ำคืนมืดมนลงครั้งใด ทำฉันหัวใจไหวหวั่น
คำสัญญาที่ให้กัน นั้นไม่จางหายไป 
เก็บคืนวันที่เคยอ้อนออด คงไว้ในอ้อมกอด
แม้ว่าเราต้องห่างกันแสนไกล

สูดลมหายใจ กล่อมหัวใจ ปลอบขวัญให้คืนกลับมา
ใครหนอใคร จำพรากพา ขวัญไปอยู่ที่ใด
อยากมีกันเหมือนดังวันก่อน คำรักชวนใจอ่อน
เพ้อรำพันครวญคร่ำ เรียกหาเธอ

ขวัญเจ้าเอยขวัญมาใยหนอล่องลอยหลุดไป 
อยู่ที่ไหนช่วยบอกได้ไหมใจ ใยถึงไม่คืนกลับมา 
ฝากไว้ให้เธอนานแล้วไม่เจอ วอนช่วยพากลับมา

ยังคงหายใจ มีหัวใจ แต่เหมือนทำไมว่างเปล่า 
สุดแสนไกลปลายแสงดาว หวังว่าเธอได้ยิน 
อุ่นไอความรักในวันเก่า ยังย้อนเป็นดังเงา 
เฝ้ารอวันเธอกลับมาสักที

เฝ้ารอเธอจนหัวใจแทบขาด ลมเพลมพัดพาเราพราก  ยังรออยู่ตรงนี้ไม่ห่าง...."
