,name,link,lyrics
0,14 อีกครั้ง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/14%20อีกครั้ง_เสก%20โลโซ,"
ดนตรี...
ครั้งแรกที่เรา
ได้เจอะกันวันนั้น
เธอเป็นเหมือนฝันที่ฉันตามหา
เมื่อฉันมองเธอ
เธอประสานสายตาต่อตา ฮือ..
.จากรอยยิ้มที่เธอส่งมา
จากเวลาที่เราใกล้กัน
จับมือเธอไว้ข้างใจฉัน
แค่นาที
...เธอทำให้ฉันรู้สึก
เหมือนตอน14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆข้างในมันหวั่นมันไหว
แปลกๆเธอรู้ไหม
ฉันเหมือน14อีกครั้ง
..อารมณ์เเบบนี้
มันหายไปสักพัก
เคยมีคนรักก็โดนเขาหักอก
เจ็บปวดแทบตายที่ข้างใน
ยังช้ำฟกไม่หาย ฮือ..
จากรอยยิ้มที่เธอส่งมา
จากเวลาที่เราใกล้กัน
จับมือเธอไว้ข้างใจฉัน แค่นาที
เธอทำให้ฉันรู้สึกเหมือนตอน14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน14 อีกครั้ง
...musiccomp...
จากรอยยิ้มที่เธอส่งมา
จากเวลาที่เราใกล้กัน
จับมือเธอไว้ข้างใจฉัน แค่นาที
.เธอทำให้ฉันรู้สึกเหมือนตอน14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน14 อีกครั้ง
เธอทำให้ฉันรู้สึกเหมือนตอน14
ตอนที่ฉันมีแฟนคนแรก
ลึกๆข้างในมันหวั่นมันไหวแปลกๆ
เธอรู้ไหมฉันเหมือน14 อีกครั้ง
เธอรู้ไหมฉันเหมือน14 อีกครั้ง
เธอรู้ไหมฉันเหมือน14 อีกครั้ง.."
1,9:40,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/9:40_เสก%20โลโซ,"
ตื่นตอนเช้า เก้าโมงสี่สิบ
หยิบหนังสือพิมพ์ขึ้นมาอ่าน
ข่าวพาดหัว นั้นทำให้ใจหวั่น
เตือนให้ฉันต้องระวัง

เปิดหน้ากลาง เพื่อดูรายละเอียด
อยากจะรู้เรื่องราวเป็นเช่นไร
อ่านแล้วท้อ ยิ่งไม่สบายใจ
ทำไมเราต้องรบกัน

เนื้อความใน บอกไฟกำลังลุก มีคนปลุกระดม
เขาพาคนปล้นปืนเอาไปใช้ ทำลายไทยด้วยกัน
เหมือนโดนเหยียบเข้าไป กลางใจฉัน
มันร้องลั่นว่า...ไม่ยอม

เปิดไปตรงที่หน้าบันเทิง เผื่อจะ feel ดีขึ้นมาหน่อย
อาจจะเจอ เจอเธอที่เฝ้าคอย ใจดวงน้อยมันต้องการ

เพราะข้างใน บอกไฟกำลังลุก เธอมาปลุกระดม
แม้มีคนปล้นเธอเอาไปใช้ ทำลายชายด้วยกัน
เหมือนโดนเหยียบ(เสียบ)เข้าไปกลางใจฉัน
มันร้องลั่นว่า...ไม่ยอม

เพราะข้างใน บอกไฟกำลังลุก เธอมาปลุกระดม
แม้มีคนปล้นเธอเอาไปใช้ ทำลายชายด้วยกัน
เหมือนโดนเหยียบ(เสียบ)เข้าไปกลางใจฉัน
มันร้องลั่นว่า...ไม่ยอม

ไม่ยอม

ก่อนเข้านอนเที่ยงคืนสี่สิบ หยิบรูปเธอขึ้นมาดู"
2,Missed Call ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Missed%20Call_เสก%20โลโซ,"
เธอคงแค่ลืม
ลืมว่าเรา เคยรักกัน
ลืมไปว่าฉัน นั้นยังรัก เธอ
ไอ้ใจ เจ้ากรรม
ก็เอาแต่พร่ำ เพ้อ
คิดถึงแต่เธอ ไม่ลืมหู ลืมตา
ไม่ เป็นอันนอนอันกิน
ไม่สน คนนินทา
จะว่าบ้า ก็ช่างเขา
แค่ น้อยใจที่เธอ
ไม่น่ามาหลอก กัน
คงเห็น ว่าฉัน
มันเป็นแค่ของ ตาย
จะโทรไปก็กลัว
เธอจะไม่รับ สาย
กดทิ้งไป หรือทิ้งไว้
เป็น MISSED CALL

มองที่ท้องฟ้า
ก็จะเจอแค่เมฆดำ
ใจมันไม่จำ
ไม่รู้จะพูด ยังไง
โดนมาหลายที
มีแต่คำว่าเสียใจ
ใครหนอใคร
ช่วยกันได้ก็บอกมา
ไม่ เป็นอันนอนอันกิน
ไม่สน คนนินทา
จะว่าบ้า ก็ช่างเขา
แค่ น้อยใจที่เธอ
ไม่น่ามาหลอก กัน
คงเห็น ว่าฉัน
มันเป็นแค่ของ ตาย
จะโทรไปก็กลัว
เธอจะไม่รับ สาย
กดทิ้งไป หรือทิ้งไว้
เป็น MISSED CALL

แค่ น้อยใจที่เธอ
ไม่น่ามาหลอก กัน
คงเห็น ว่าฉัน
มันเป็นแค่ของ ตาย
จะโทรไปก็กลัว
เธอจะไม่รับ สาย
กดทิ้งไป หรือทิ้งไว้
เป็น MISSED CALL

เย๊...น้อยใจที่เธอ
ไม่น่ามาหลอก กัน
คงเห็น ว่าฉัน
มันเป็นแค่ของ ตาย
จะโทรไปก็กลัว
เธอจะไม่รับ สาย
กดทิ้งไป หรือทิ้งไว้...
เป็น MISSED CALL
ดนตรี 4 Bars...3...
4...แจด แจด แจ
แด่ แดด แจด แจ
แด้แดแด้แดด แจด แจ
แด่ แดด แจด แจ
แด่แดแด่แดด แจด แจ
แด่ แดด แจด แจ
แด้แดแด้แดด แจด แจ
แด่ แดด แจด แจ
แด่แดแด่แดด แจด แจ
แด่ แดด แจด แจ
แด้แดแด้แดด แจด แจ
แด่ แดด แจด แจว"
3,กล้าที่จะฝัน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กล้าที่จะฝัน_เสก%20โลโซ,"
ความฝันอาจยังห่างไกล
ก้าวไปไม่มีหวั่น
ฉันยังคงเป็นฉัน มุ่งมั่นทรนง
มั่นคงไม่เปลี่ยนแปลง

อยากจะบอกให้รู้ฉันไม่เคยกลัว
ที่จะฝัน ที่จะฟันฝ่า
อยากจะบอกให้รู้ฉันคือผู้กล้า
กล้าที่จะฝัน กล้าที่จะฝ่าฟัน

เธอฉันต่างมีจุดยืน
กล้ำกลืนหรือสดชื่นมีหมด
พลังใจมีไม่เคยลด อดทนทรนง
มั่นคงไม่เปลี่ยนแปลง

อยากจะบอกให้รู้ฉันไม่เคยกลัว
ที่จะฝัน ที่จะฟันฝ่า
อยากจะบอกให้รู้ฉันคือผู้กล้า
กล้าที่จะฝัน กล้าที่จะฝ่าฟัน

แม้จะเป็นอย่างไร แม้จะหนักแค่ไหน
ฉันจะสู้ต่อไป ไม่มีหวั่นไหว
ขอมีเพียงแค่เธอ ฉันจะสู้เสมอ
แม้หนทางยาวไกล ฉันไม่มีถอยไม่กลัวตาย

อยากจะบอกให้รู้ฉันไม่เคยกลัว
ที่จะฝัน ที่จะฟันฝ่า
อยากจะบอกให้รู้ฉันคือผู้กล้า
กล้าที่จะฝัน กล้าที่จะฝ่าฟัน"
4,ก้อนเนื้อข้างซ้าย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ก้อนเนื้อข้างซ้าย_เสก%20โลโซ,"
ฉันเหงาเหลือเกิน
ตั้งแต่วันที่เธอจากฉันไป
เหมือนยังไม่นาน เพราะรับมันไม่ได้จริงๆ
ที่เธอมาบอกลา โดยที่ฉันไม่ได้ตั้งตัว
ไม่เคยจะเตรียมรับอะไรอย่างนี้

ก็เลยต้องช้ำใจ เจ็บเหลือเกิน
เมื่อเธอเดินจากกัน ไม่ทันรับมือ
ก้อนเนื้อข้างซ้ายพัง เกินคำเขาลือ
แล้วชีวิตคืออะไรต่อจากนี้

ไม่คิดว่าคนที่เคยไว้ใจจะมาหักหลัง
ทำกันได้ลง ฉันคงไม่มีค่าพอ
เพราะเธอมาบอกลา โดยที่ฉันไม่ได้ตั้งตัว
ไม่เคยจะเตรียมรับอะไรอย่างนี้

ก็เลยต้องช้ำใจ เจ็บเหลือเกิน
เมื่อเธอเดินจากกัน ไม่ทันรับมือ
ก้อนเนื้อข้างซ้ายพัง เกินคำเขาลือ
แล้วชีวิตคืออะไรต่อจากนี้

รู้ฉันรู้ ฉันไม่ค่อยดีเท่าไร
แต่ก็มีใจเหมือนคนอื่นเขาเหมือนกัน

ก็เลยต้องช้ำใจ เจ็บเหลือเกิน
เมื่อเธอเดินจากกัน ไม่ทันรับมือ
ก้อนเนื้อข้างซ้ายพัง เกินคำเขาลือ
แล้วชีวิตคืออะไรต่อจากนี้
แล้วชีวิตคือยังไงต่อจากนี้"
5,เก็บดาวมาให้เธอ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เก็บดาวมาให้เธอ_เสก%20โลโซ,"
จะทำอย่างไร
ให้เธอ เข้าใจ ฉัน
จะทำอย่างไร
ให้เธอ ได้รู้ ว่า
เรา รักกัน ก็ได้
แต่ว่ากาย ของฉัน มีเขาครอง
เป็นเจ้าของ หมดทั้งตัว
อยากจะเก็บดาว
มากอง ให้เธอ ไว้
เด็ดเอาดอกไม้
มาวาง ไว้ข้าง เตียง
มัน เป็นเพียง อารมณ์
ที่ได้พา เราบิน สู่ฟ้าไกล
เราสองคน ไม่รู้ตัว
ฉันไม่รู้ว่าเธอ
นั้นคิด อย่างไร
รู้ไหมว่าหัวใจ
ของฉัน ไม่เข้มแข็ง
แค่เพียงมอง ตาเธอ
ใต้แสง เงาจันทร์
หยุดฝัน ถึงวัน ข้างหน้า
ช่วงเวลา ที่ฉัน มีเธอ

จื่อดือดึดจือ
จึ๊ดจือ จึดจือดึด
จื่อดือดึดจ๊า
จั๊ดจา จัดจ๊าด่า

อยากจะเก็บดาว
มากอง ให้เธอ ไว้
เด็ดเอาดอกไม้
มาวาง ไว้ข้าง เตียง
มัน เป็นเพียง อารมณ์
ที่ได้พา เราบิน สู่ฟ้าไกล
เราสองคน ไม่รู้ตัว
ฉันไม่รู้ว่าเธอ
นั้นคิด อย่างไร
รู้ไหมว่าหัวใจ
ของฉัน ไม่เข้มแข็ง
แค่เพียงมอง ตาเธอ
ใต้แสง เงาจันทร์
หยุดฝัน ถึงวัน ข้างหน้า
ช่วงเวลา ที่ฉัน มีเธอ
ฉันไม่รู้ว่าเธอ
นั้นคิด อย่างไร
รู้ไหมว่าหัวใจ
ของฉัน ไม่เข้มแข็ง
แค่เพียงมอง ตาเธอ
ใต้แสง เงาจันทร์
หยุดฝัน ถึงวัน ข้างหน้า
ช่วงเวลา ที่ฉัน มีเธอ"
6,เกลียดตัวเอง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เกลียดตัวเอง_เสก%20โลโซ,"
เจ็บนักครั้งนี้ใจที่มีฉันแทบพัง
เธอมาทิ้งขว้างอย่างรุนแรง
ให้ใจเธอไปไม่แม้เคยคิดระแวง
ผ่านมาเธอแกล้งมีใจ

กว่าจะรู้ก็สายไป หักห้ามใจไว้ไม่ทัน
เมื่อไม่รัก..ไม่รักกัน ช่วยฆ่าฉันทีได้ไหม
ฉันอยากไป ฉันอยากไป ฉันอยากไปไกลจากเธอ
อยากจะไปไม่ขอเจอ เจอะหน้าเธอคนใจร้าย ฉันอยากตาย

เกลียดตัวเราเองที่คอยทำดีเรื่อยมา
คอยเป็นเหมือนหมารับใช้เธอ
ชาติหน้าฉันท์ใดขออย่าตามมาพบเจอ
ลาทีนะเออลาจากไกล

กว่าจะรู้ก็สายไป หักห้ามใจไว้ไม่ทัน
เมื่อไม่รัก..ไม่รักกัน ช่วยฆ่าฉันทีได้ไหม
ฉันอยากไป ฉันอยากไป ฉันอยากไปไกลจากเธอ
อยากจะไปไม่ขอเจอ เจอะหน้าเธอคนใจร้าย ฉันอยากตาย

เกลียดตัวเราเองที่คอยทำดีเรื่อยมา
คอยเป็นเหมือนหมารับใช้เธอ
ชาติหน้าฉันท์ใดขออย่าตามมาพบเจอ
ลาทีนะเออลาจากไกล

กว่าจะรู้ก็สายไป หักห้ามใจไว้ไม่ทัน
เมื่อไม่รัก..ไม่รักกัน ช่วยฆ่าฉันทีได้ไหม
ฉันอยากไป ฉันอยากไป ฉันอยากไปไกลจากเธอ
อยากจะไปไม่ขอเจอ เจอะหน้าเธอคนใจร้าย ฉันอยากตาย

ฉันอยากตาย..ฉันอยากตาย..ฉันอยากตาย"
7,ขาร็อคขาเลาะ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขาร็อคขาเลาะ_เสก%20โลโซ,"
สาวเอ้ยบ้านน้องอยู่ไส
มันเป็นจั๋งได๋ คือมาน่าฮักแท้หนอ
มาเว้าอีหยัง กับน้องกะเดื๊ยะกะด้อ
ทำไมไม่บอกให้พ่อมาขอน้องเลย

น้องผู้สาวขาเลาะใช่ไหมจ๊ะ
ช่วยบอกหน่อยนะ ว่าน้องอายุเท่าไร
เอ๊ะพูดอะไรช่างหยาบคาย หยาบคาย
ไม่ได้ไม่ได้ อย่าถามอายุน้องเลย

พี่ถามหน่อยว่ามีแฟนรึยัง
อยากตอบดังๆ ว่ายังไม่มี๊ไม่มี
เป็นไปได้ไหมถ้าหากว่าตัวของพี่
อยากซื้อลำไยไหนี้ไม่ทราบกิโลเท่าไร

ผู้บ่าวขาร็อคอย่ามาหลอกน้องสิ
ได้ข่าวว่าเมียพี่นี้ โห๊ดโหด
ก็หย่ากันไปนานแล้ว
อยากบอกตอนนี้พี่โสด
ผู้สาวขาเลาะได้โปรด
รับไว้พิจารณา สิได้บ่

สาวเอ้ยบ้านน้องอยู่ไส
มันเป็นจั๋งได๋ คือมาน่าฮักแท้หนอ
มาเว้าอีหยัง กับน้องกะเดื๊ยะกะด้อ
ทำไมไม่บอกให้พ่อมาขอน้องเลย

น้องผู้สาวขาเลาะใช่ไหมจ๊ะ
บอกพี่หน่อยนะ ว่าน้องอายุเท่าไร
เอ๊ะพูดอะไรช่างหยาบคาย หยาบคาย
ไม่ได้ไม่ได้ อย่าถามอายุน้องเลย

พี่ถามหน่อยว่ามีแฟนรึยัง
อยากตอบดังๆ ว่ายังไม่มี๊ไม่มี
เป็นไปได้ไหมถ้าหากว่าตัวของพี่
อยากซื้อลำไยไหนี้ไม่ทราบกิโลเท่าไร

ผู้บ่าวขาร็อคอย่ามาหลอกน้องสิ
ได้ข่าวว่าเมียพี่นี้ โห๊ดโหด
ก็หย่ากันไปนานแล้ว
อยากบอกตอนนี้พี่โสด
ผู้สาวขาเลาะได้โปรด
รับไว้พิจารณา"
8,ควบคุมหัวใจตัวเองไม่ได้ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ควบคุมหัวใจตัวเองไม่ได้_เสก%20โลโซ,"
ถามหัวใจตัวเอง ว่าทำไม ว่าเมื่อไรจะหยุด รักใครเสียที
เดี๋ยวรักคนโน้น เดี๋ยวรักคนนี้ ใจไม่รักดี ไม่รู้จะเอายังไง

* ได้แต่บอก ว่าอยากเจอรักแท้สักที จะมีบ้างไหมใครสักคน
ได้แต่หักห้ามใจ ไม่ให้มันสับสน รักใครสักคน ที่เขาจริงใจ

** ควบคุมหัวใจตัวเอง ไม่ได้จริงจริง เธอมีบางสิ่งที่ทำ ให้ฉันหวั่นไหว
ควบคุมหัวใจตัวเอง ไม่ได้ไม่รู้ทำไม มันสั่นเหมือนคนเป็นไข้ เมื่อไรที่จ้องตา

ดาวเจ้ารู้หรือเปล่า ว่าฉันไม่เคยบอกใคร บางทีน้ำตาไหล แค่คิดถึงเธอ
รู้ว่าเขาไม่ชอบแต่กลับไปมอบหัวใจพร่ำเพ้อ บางทีก็ออเออ ว่าเธอก็คงมีใจ

( ซ้ำ * , ** )

( ซ้ำ ** )"
9,คิดได้ยังไง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดได้ยังไง_เสก%20โลโซ,"
พอได้ยินข่าว  ว่าเธอมีคนใหม่
ฉันแทบขาดใจ ไม่คิดว่าจะเป็นจริง
ให้เธอทุกอย่าง  ได้ทุก ๆ สิ่ง
แต่แท้จริงไม่เคยได้ใจของเธอ

แอบมีเขาซ่อนไว้  ที่ตรงภายในตลอด
กอดกับฉันแต่ไม่รู้  คิดถึงใคร

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

ทั้งเขาและเธอ  เป็นเหมือนหัวใจ
รักมากแค่ไหน  เสียใจยิ่งมากกว่านั้น
คนที่ไว้ใจ  ไม่น่าทำกัน
ซักวันจะรู้เมื่อเจอเข้าเอง

แอบมีเขาซ่อนไว้  ที่ตรงภายในตลอด
กอดกับฉันแต่ไม่รู้  คิดถึงใคร

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

ไม่เคยรู้จริง ๆ เธอไม่รักกันเลย
ไม่เคย  แม้จะคิดระแวง
ไปกับใครคนอื่น  ก็เจ็บช้ำรุนแรง
กับเขาคนที่เป็นเพื่อนฉัน  เธอคิดได้ยังไง

โอ้  เธอคิดได้อย่างไร  เธอ เธอคิดได้ยังไง
โอ๊ย  เธอคิดได้ยังไง"
