,name,link,lyrics
0,150 c.c. ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/150%20c.c._ซิลลี่%20ฟูลส์,"
คืนนี้สดใส งดงามจนจับใจ เป็นใครก็สั่นไหว มันทำให้ไฟในใจสว่าง
ดาวที่บนฟ้า งดงามจนติดตา ดวงดาวส่องแสงมา นำพาให้ฉันมุ่งไป

เธอนั้นหลับใหล ส่วนฉันก็ขับไป บนเส้นทางที่คดเคี้ยว แต่ใจเป็นหนึ่งเดียวเร่งไป

* เร่งจนใจมันสะท้านทะยานเร่งไป แม้กายทนไม่ไหว แต่ใจมันยังพร้อมสู้ต่อไป

( ซ้ำ * )

ไม่รู้ว่าจะเป็นเช่นไร ชีวิตวกวนหมุนเวียนเปลี่ยนไป
แต่รู้ว่ามีเพียงหัวใจที่ทะยานเร่งไปไม่มีวันท้อ

( ซ้ำ * , * , * )"
1,20 ตุลา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/20%20ตุลา_ซิลลี่%20ฟูลส์,"
เพราะแรงกดดันของคำบอกลา ฉันจึงต้องมาร้องเพลง
ถ้าใครได้ยินถ้าใครได้ฟัง นี่คือเสียงเพลงสุดท้ายฉันเอง

เหตุเพราะฝนในเดือนตุลา ที่พาฉันไป
ในโลกที่แสนวังเวง เมื่อฉันกำลังคุกเข่า
เพื่อขอทำให้รักเรา เป็นอย่างเธอฝัน

แต่เธอนั้นหันมองที่ฉัน ปิดกล่องแหวนที่กำลังส่งไป
ร้องไห้ใต้ฝนที่โปรยเข้ามา ก่อนเธอนั้นจะไม่สบตา
และเอ่ยมาเพียงคำเดียวว่าเสียใจ

เฉยเกินกว่าชา ไหลรินออกมา น้ำตาที่มีข้างใน
ช้ำเกินแสดง หัวใจหมดแรง เมื่อเธอไร้ซึ่งเหตุผลข้อใด

ก่อนหน้าฝนในเดือนตุลา เธอพาฉันไป
ในโลกที่สวยดังเพลง และพูดคำให้ฉันจำ
เหมือนคำให้สัญญา ว่าอย่าไปจากเธอ

แต่เธอนั้นจ้องมองที่ฉัน ปิดกล่องแหวนที่กำลังส่งไป
ร้องไห้ใต้ฝนที่โปรยเข้ามา ก่อนเธอนั้นจะไม่สบตา
และเอ่ยมาเพียงคำเดียวว่าเสียใจ

ดังกระสุน ฝังกลางอกฉัน ผ่านกล่องแหวนที่ยื่นมือส่งไป
ไร้ซึ่งซุ่มเสียงที่ยิงจากตา ต้องพาร่างตัวเองกลับมา
เพื่อบอกลาผ่านเพลงนี้ก่อนสิ้นใจ

หากคนไหนบังเอิญมาได้ยินและได้ฟัง
ฝากเพลงนี้ให้คนสองคนฟังดังๆ
คนที่เขานั้นยังไม่รู้ว่าชีวิตที่เขาให้มาได้พัง
บอกว่ารักเขาฝากขอโทษเขาที่ฉันห้ามตัวเองไม่ทัน

เธอคนนั้นจ้องมองที่ฉัน ปิดกล่องแหวนที่กำลังส่งไป
ร้องไห้ใต้ฝนที่โปรยเข้ามา ก่อนเธอนั้นจะไม่สบตา
และเอ่ยมาเพียงคำเดียวว่าเสียใจ

ดังกระสุน ฝังกลางอกฉัน ผ่านกล่องแหวนที่ยื่นมือส่งไป
ไร้ซึ่งซุ่มเสียงที่ยิงจากตา ต้องพาร่างตัวเองกลับมา
เพื่อบอกลาผ่านเพลงนี้ก่อนสิ้นใจ

และสุดท้ายเรื่องราวเหล่านั้น หากไม่ถึงเธอคนที่ตั้งใจ
เมื่อไร้สิ้นแสงในเดือนตุลาหากว่าฉันไม่คืนกลับมา
โปรดจงรู้หนึ่งชีวิตจบสิ้นไป

ตอนนั้น ตัวฉัน กับแหวนวงนั้น ที่ตรงนั้น"
2,21 เดย์ (21 Days),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/21%20เดย์%20(21%20Days)_ซิลลี่%20ฟูลส์,"
Twenty-one days in May.I never wanted to see this day.The day you were taken away.My saddest day, your last day.Twenty-one days in May.Twenty-one days in May.Close your eyes, my love.Close your eyes, my Angel.Your words still ringing clear.Your voice still calling through the years.I only wish that you were here.You were there by my side.From the time I was a child.A guiding hand and loving eyes.Your soft shoulder when I cried.Your soft shoulder when I cried.Just helped me through.Twenty-one day in May.I never wanted to see this day.The day you were taken away.My saddest day, your last day.Twenty-one days in May.To my lover.The reason for what I see.But it's been years and I still grieve.Close your eyes, my love.Close your eyes, my Angel.I miss you.Twenty-one day in May.I never wanted to see this day.The day you were taken away.My saddest day, your last day.Twenty-one days.Twenty-one day in May.I never wanted to see this day.The day you were taken away.My saddest day, your last day.Twenty-one days."
3,Orange,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Orange_ซิลลี่%20ฟูลส์,"
ฉันนั่งทำใจอยู่นาน ว่าจะถามใคร เรื่องของหัวใจ
สุดท้ายที่เจออยู่ข้างกาย มีเเต่เเมวฉัน ที่เป็นเพื่อนใจ
เเต่ละคำปรึกษาเรื่องเธอที่ทิ้งฉันไป 
ออเร้นจ์ก็พูดออกมาเพียงว่า

เหมียว 
เหมียว (ตกลงมันเเปลว่าไง)
เหมียว 
เหมียว (ก็ยังคงไม่เข้าใจ)

เธอก็ไปแล้ว ฉันควรพอได้เเล้ว 
กับเรื่องเดิมๆปัญหาเดิมๆ ชีวิตต้องเดินต่อ 
เธออยากพอเเค่นี้ ก็เพื่อนฉันไม่เตือนเเบบนี้
กรีดเล็บลงไป ข่วนหมอนลงไป พองขนให้ลุยต่อ

เเหละพอฉันหยุดถามด้วยความที่ไม่เข้าใจ
ออเร้นจ์ก็ยังบอกมามันว่า

เหมียว 
เหมียว (ตกลงมันเเปลว่าไง)
เหมียว 
เหมียว (ก็ยังคงไม่เข้าใจ)

มันคล้ายเธอคนที่ทิ้งไป 
หน้าสวยไม่เชื่อง เเละเล่นใหญ่ 
เลยถามมันไปก็เผื่อจะเข้าใจเธอ
ปวดหัวเรื่องเดียวยังไม่พอ 
ต้องท้อเพราะเเกไอ้เพื่อนใจ 
ได้ไหม หยุดได้ไหม ไอ้คำว่า เหมียว

solo 

เเต่ละคำปรึกษาเรื่องเธอที่ทิ้งฉันไป 
ออเร้นจ์ก็พูดออกมาเพียงว่า
เหมียว 
เหมียว  (ตกลงมันเเปลว่าไง)
เหมียว 
เหมียว (ก็ยังคงไม่เข้าใจ)

เหมียว 
เหมียว  
เหมียว  
เหมียว (ตกลงมันเเปลว่าไง)
เหมียว 
เหมียว 
เหมียว 
เหมียว (ก็ยังคงไม่เข้าใจ )"
4,แกล้ง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แกล้ง_ซิลลี่%20ฟูลส์,"
แกล้งทิ้งตัวลงนอนได้ไหม แกล้งจับมือฉันไว้ เหมือนเคย
แกล้งบอกว่าเธอรักมากมาย แม้ไม่ให้ความหมายกับฉันเลย

จดจำวันคืนที่รักช่างสดใส โปรดลืมจงลืมเขาไปเสียก่อน
อย่ารีบบอกลา อย่าจากฉันไปก่อน จะให้ฉันทำตัวเช่นไร
หากว่าใจยังทำไม่ไหว
แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน หน่อย

แกล้งพูดเพียงแต่คำหวานๆ อย่างที่ฉันต้องการ
อย่างที่ฉันนั้นเคยมี แกล้งจ้องมองที่ตาคู่นี้
ช่วยแกล้งบอกฉันที จะไม่แกล้งอีกต่อไป
จดจำวันคืนที่รักช่างสดใส โปรดลืมจงลืมเขาไปเสียก่อน
อย่ารีบบอกลา อย่าจากฉันไปก่อน จะให้ฉันทำตัวเช่นไร
หากว่าใจยังทำไม่ไหว
แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน ได้ไหม

มันทนไม่ไหวที่จะปล่อยเธอไป ให้ไปกับคนนั้น
โปรดอยู่ใกล้ๆ ฉัน อย่างน้อยแกล้งรักกันใหม่
ได้โปรดจงอย่าไป
จดจำวันคืนที่รักช่างสดใส โปรดลืมจงลืมเขาไปเสียก่อน
อย่ารีบบอกลา อย่าจากฉันไปก่อน จะให้ฉันทำตัวเช่นไร
หากว่าใจยังทำไม่ไหว
แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน

แม้น้ำตาจะรินและไหล แผลหัวใจจะลึกสักเพียงเท่าใด
และแม้ฉันไม่อาจหยุดเธอไว้ แต่ก่อนจะจากไป
ช่วยแกล้งบอกรักฉัน ได้ไหม"
5,ไกล ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ไกล_ซิลลี่%20ฟูลส์,"
คนเดียวลำพังท่ามกลางตึกอันเรียงราย
รอยเท้าบนทางไกลที่เราจากมา
ทุกครั้งที่คิดภาพยังติดในดวงตา
กี่ครั้งที่นึกถึงก็เป็นสุขใจ

ไกลแสนห่างไกล เหงาจับใจ
คิดถึงบ้านเรา อยากห่มเงาความรัก

ให้แสงดาวในคืนนี้ ส่องถึงคนที่คอยเราอยู่
บอกเขาให้เขารับรู้ ว่ายังคิดถึงอยู่สุดหัวใจ

วันคืนยังคงเดินเลยผ่านเป็นนานปี
และชีวิตยังคงเจอเรื่องที่เหนื่อยล้า
ทุกครั้งที่ท้อก็ได้เพียงแค่หลับตา
ภาพความหลังจะคืนมาช่วยให้อุ่นใจ

ไกลแสนห่างไกล เหงาจับใจ
คิดถึงบ้านเรา อยากห่มเงาความรัก

ให้แสงดาวในคืนนี้ ส่องถึงคนที่คอยเราอยู่
บอกเขาให้เขารับรู้ ว่ายังรักยังห่วง
ให้แสงดาวในคืนนี้ ส่องถึงคนที่คอยเราอยู่
บอกเขาให้เขารับรู้ ว่ายังคิดถึงอยู่สุดหัวใจ

อีกนานเท่าไรไม่รู้ ที่ต้องทนกับวันอ่อนล้า
รู้เพียงแต่สัญญาจะเร็วช้า เราต้องกลับไป

ไกลแสนห่างไกล เหงาจับใจ
คิดถึงบ้านเรา อยากห่มเงาความรัก

ให้แสงดาวในคืนนี้ ส่องถึงคนที่คอยเราอยู่
บอกเขาให้เขารับรู้ ว่ายังรักยังห่วง
ให้แสงดาวในคืนนี้ ส่องถึงคนที่คอยเราอยู่
บอกเขาให้เขารับรู้ ว่ายังคิดถึงอยู่สุดหัวใจ"
6,ขี้หึง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขี้หึง_ซิลลี่%20ฟูลส์,"
ยิ้มให้กับฉันหน่อย แค่หึงเล็กน้อยแค่คอยรัก ได้โปรดอย่าโกรธฉัน ขนาดนั้น อีกนานคงขาดใจ
และไม่ใช่ไม่ไว้ใจ ใจฉันร้อน หากใครมองนัก ก็เธอดันน่ารัก ขนาดนั้น ให้มองอยู่ได้ไง

ช่วยเอียงมาหาหน่อย ฉันเฝ้าคอย ที่จะบอกรัก ได้โปรดอย่าโกรธฉัน ที่ทำไปนั้น จะไม่ทำอีกต่อไป
บางทีฉันก็ยั้งไม่อยู่ บางทีฉันก็รู้ แต่ทนไม่ไหว บางทีฉันใจร้อนเกินไป โปรดจงเข้าใจ ที่เป็นไปนะ

* เป็นไปด้วยรัก แต่อาจจะขี้หึงเกินไป
แต่ใจทั้งใจมีแต่เธอคนเดียว รักเธอคนเดียว ไม่ยอมให้ใครมาเปลี่ยนไป

( ซ้ำ * )

อยากให้เธอได้รู้ เฝ้าดูแล้วเข้าใจก่อน หากใครทำใจฉันสั่นคลอน เธอจะรู้สึกหึงและห่วงไหม

( ซ้ำ * , * , * , * )"
7,คนที่ฆ่าฉัน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนที่ฆ่าฉัน_ซิลลี่%20ฟูลส์,"
รอฉันหน่อย ฉันตามไม่ค่อยทัน
ที่เธอนั้น ได้เปลี่ยนไป
ถึงพูดไม่บ่อย แต่ขอพูดหน่อยแล้วกัน
เรื่องที่ฉันไม่เข้าใจ

ดั่งมี ใบมีดทิ่มแทง ช้าๆ
มันแทงลงไป ไม่มี ไม่มีเรี่ยวแรง
ไม่อาจแกล้ง ว่าไม่เป็นไร

อยู่ๆ ก็มีแต่น้ำตา
จิตใจก็เริ่มอ่อนล้ามลายหายไป
ช่วยบอกกันทีได้ไหม
ฉันทำสิ่งใดถึงต้องมาเจ็บช้ำ

มองฉันหน่อย
เธอนั้นคอยหลบตาฉัน
จากวันวาน ที่ผ่านไป
เธอยิ้มไม่บ่อย
ส่วนฉันเริ่มจะเหนื่อยล้า
กับปัญหาที่ฝังใจ

ดั่งมีใบมีทิ่มแทง ช้าๆ
มันแทงลงไป ไม่มี ไม่มีเรี่ยวแรง
ไม่อาจแกล้ง ว่าไม่เป็นไร

อยู่ๆ ก็มีแต่น้ำตา
จิตใจก็เริ่มอ่อนล้ามลายหายไป
ช่วยบอกกันทีได้ไหม
ฉันทำสิ่งใดถึงต้องมาเจ็บช้ำ

กลับกลายเป็นเธอที่แทงฉัน
ไม่ใช่ผู้คนอื่นหมื่นล้าน
กลับกลายเป็นเธอ
ที่ทำให้ใจเจ็บช้ำ คนที่ฆ่าฉัน"
8,คิดถึง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดถึง_ซิลลี่%20ฟูลส์,"
รู้มั้ยว่ามีคนที่เฝ้าคอย เหม่อลอยในความผิดหวัง อีกครั้งพอทำพลาดไป
เขานึกถึงวันเก่าๆก็เลยถาม เคยมีเธอที่เขาเฝ้ารอ แต่แล้วเธอก็จากไป

อยากกลับคืนวันให้เป็นดังเก่า อยากกลับคืนวันให้เป็นของเรา

รู้มั้ยว่าเวลาที่ฝนมา รู้มั้ยว่าเวลาที่ฟ้ามันร้อง หม่นหมองมันตรอมหัวใจ
พอนึกถึงวันเก่าๆก็เลยถาม เคยมีเธอที่ฉันเฝ้ารอ สุดท้ายเธอก็จากไป

อยากกลับคืนวันให้เป็นดังเก่า อยากกลับคืนวันให้เป็นของเรา

ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย
ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย

จะทำไงกับความผิดพลั้ง และเผลอ ในใจฉันมีแต่เธอ
อยากกลับคืนวันให้เป็นดังเก่า อยากกลับคืนวันให้เป็นของเรา

ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย
ก็ฉันคิดถึงเธอ มันคิดถึง ไม่รู้ว่าจะทำเช่นไร
ก็ฉันคิดถึงเธอ มันคิดถึง แล้วเธอจะรู้บ้างมั้ย

เธอจะรู้บ้างมั้ย
เธอจะรู้บ้างมั้ย

เธอจะรู้บ้างมั้ย
ก็ฉันคิดถึงเธอ มันคิดถึง
ก็ฉันคิดถึงเธอ มันคิดถึง"
9,คุณกร่าง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คุณกร่าง_ซิลลี่%20ฟูลส์,"
act เธอ act เธอ act ใส่ ไม่ยิ้มไม่สนใจ ไม่แคร์กันเลยใช่ไหม คนที่คบกันมา
แค่ทักซักนิดไม่ตายหรอก อย่างน้อยก็พูดจา ก็คุยดีดีได้น้า ไม่ต้อง act มากไป

* ก็คนมันเคยผูกพัน เนิ่นนานอยู่ มองให้เป็นศัตรู

** ทำไมคนเราใจร้าย ไปให้ดีรู้ไหม คอให้เชิดเข้าไว้ อย่าชนอะไรแล้วกัน
หมั่นไส้ จนจะทนไม่ไหว ดูเธอแล้วเธอมั่นใจ อย่าตกกระไดแล้วกัน

ไม่กล้าว่าอะไรหรอก อย่างฉันไม่คู่ควร ไม่ได้กวนแค่เตือนหน่อยน้า ว่าอย่า act มากไป

( ซ้ำ * , ** )

act เธอ act เธอ act ใส่ ไม่ยิ้มไม่สนใจ ไม่แคร์กันเลยใช่ไหม ได้

ไปให้ดีรู้ไหม คอให้เชิดเข้าไว้ อย่าชนอะไรแล้วกัน
หมั่นไส้ จนจะทนไม่ไหว ดูเธอแล้วเธอมั่นใจ อย่าตกกระไดแล้วกัน
หมั่นไส้ จนจะทนไม่ไหว ดูเธอแล้วเธอมั่นใจ อย่าตกตึกตายแล้วกัน"
