,name,link,lyrics
0,ใกล้ตัว (Behalf),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ใกล้ตัว%20(Behalf)_สมเกียรติ,"
แน่นอนว่าใจฉันปวดร้าว
ต้องการใครสักคนในตอนนี้
ความจริงที่ฉันเจอเกินจะรับไหว
มองไปทางใดมองไปก็ไม่มีใครเหลือ

สักคนที่เข้ามาคอยเข้าใจ
คนตั้งมากมายแต่ทำไมโดดเดี่ยวขนาดนี้
ไขว่คว้าใครสักคน
ทั้งที่มีคนคนนึง อยู่ข้างกาย

เขายังรออยู่
แม้ว่าเคยผิดพลั้งแค่ไหน
ก็ยังจะพร้อมอภัย
พร้อมเข้ามากอดในวันที่เสียใจ
เขายังคงอยู่
พร้อมจะเดินกับฉันตอนนี้
ยิ่งไปกว่านั้น
คือยังมีกันและกันเหมือนเดิม

จากที่ฉันเคยมองว่าคนใกล้
ตัวหายไป ทำให้ฉันเข้าใจในตอนนี้
ว่าฉันคิดไปเองที่มองว่าไม่มีใครเหลือ
สักคนที่เข้ามาคอยเข้าใจ
คนตั้งมากมาย
และยังโหยหาใครสักคน

เขายังรออยู่
แม้ว่าเคยผิดพลั้งแค่ไหน
ก็ยังจะพร้อมอภัย
พร้อมเข้ามากอดในวันที่เสียใจ
เขายังคงอยู่
พร้อมจะเดินกับฉันตอนนี้
ยิ่งไปกว่านั้น
คือยังมีกันและกันเหมือนเดิม

เขายังรออยู่
แม้ว่าเคยผิดพลั้งแค่ไหน
ก็ยังจะพร้อมอภัย
พร้อมเข้ามากอดในวันที่เสียใจ
เขายังคงอยู่
พร้อมจะเดินกับฉันตอนนี้
ยิ่งไปกว่านั้น
คือยังมีกันและกันเหมือนเดิม"
1,ขอเถอะปีนี้,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอเถอะปีนี้_สมเกียรติ,"
แค่อยากที่จะรู้ว่าใครคือคนนั้นกัน เฝ้ารอ (โอ้) 
ต้องการได้เจอะเจอกับเธอคนที่แสนดี ที่เฝ้าคอย 

* อยากให้เธอรู้ยังรอเธออยู่ทุกเวลา เฝ้าแต่ภาวนา 
หลบอยู่ตรงไหนทำไมไม่ปรากฎกายมา บอกหน่อย 

** ตราบใดฟ้ายังรอตะวันสาดส่อง อยู่ตรงนี้ 
จะรอทุกนาทีเพราะรู้ว่ามีความหมาย 
หากฟากฟ้ายังรอให้พบเจอกัน ในวันไหน 
ก็ยังไม่รู้ว่ามันเมื่อไหร่ ที่จะได้พบเจอกันสักที 
ปีนี้ขอให้เจอ 

ถ้าหากเธอคนนั้นก็รอใครอยู่เหมือนกัน ก็คงดี 
กอดคอคุยจูงมือเดินเคียงสองเรา ก็ยิ่งดี 

( * , ** ) 

ไม่รู้ว่าเมื่อไหร่ จะได้เจอสักที ปีนี้ขอให้เจอ"
2,ขอวอน 1 ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอวอน%201_สมเกียรติ,"
ขอใครซักคน ให้คิดถึง ให้ฉันรัก ให้ฉันหลง ให้ฉันพบเจอ
ขอวอนแค่ใคร ให้คิดถึง ให้ฉันรัก ให้ฉันหลง ให้ฉันพบเจอ ให้ฉันรัก ให้ฉันหลง ให้ฉันได้เจอ

ขอ วอน ดาวที่คอยส่อง ลมที่พัดโชยมา พาให้ฉันได้ยิน
ว่าเสียงเพลง ที่หมู่นกได้กล่อมเกลา คืนนี้ช่างพร่างพราว อย่าจากไปโดยพลัน

* อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้
ได้ร่วมสุข ซักที สักครั้งหนึ่ง

** ขอใครซักคน ให้คิดถึง ให้ฉันรักให้ฉันหลง ให้ฉันพบเจอ
ขอวอนแค่ใคร ให้คิดถึง ให้ฉันรักให้ฉันหลง ให้ฉันพบเจอ

พื้น ทราย ยามนภาส่อง หยาดละอองพริ้งพราว มันช่างน่าเอ็นดู
หากแสงดาว สกาวเช่นดังดอกไม้ เธอที่ช่างพร่างพราว อย่าจากไปโดยพลัน

( ซ้ำ * , ** )

( ซ้ำ ** )

ขอใครซักคน ให้คิดถึง ให้ฉันรัก ให้ฉันหลง ให้ฉันพบเจอ
ขอวอนแค่ใคร ให้คิดถึง ให้ฉันได้รัก ให้ฉันได้หลง ให้ฉันได้พบเจอ
ให้ฉันได้รัก ให้ฉันได้หลง ให้ฉันได้เจอ"
3,ขอวอน 2 (Together II) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอวอน%202%20(Together%20II)_สมเกียรติ,"
ขอวอนดาวที่คอยส่อง

ลมที่พัดโชยมาพาให้ฉันได้ยิน
ว่าเสียงเพลงที่หมู่นกได้กล่อมเกลา
คืนที่ช่างพร่างพราวอย่าจากไปโดยพลัน

อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน
ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้ ได้ร่วมสุขซักที

ขอบคุณโลกนี้ ที่ส่งคนในฝันให้กับฉัน
ขอบคุณอีกครั้ง ที่ทำให้พบรักที่ยิ่งใหญ่
ฉันไม่เคยพบเจอใคร ที่เข้ามาทั้งหัวใจ
เธอคือคนคนนั้น ที่อยู่คู่เคียงข้างกัน
แค่มีเธอที่เข้าใจ ฉันไม่เคยต้องการใคร
แค่เธอเท่านั้น

ผืนทรายยามนภาส่อง
หยาดละอองพริ้งเพรามันช่างน่าเอ็นดู
หากแสงดาวสกาวเหมือนดังดอกไม้
เธอที่ช่างพร่างพราวอย่าจากไปโดยพลัน

อยู่ด้วยกันให้นาน ให้เราอยู่ใกล้กัน
ส่งสัมผัสถึงกัน จวบจนข้ามคืนนี้ ได้ร่วมสุขซักที

ขอบคุณโลกนี้ ที่ส่งคนในฝันให้กับฉัน
ขอบคุณอีกครั้ง ที่ทำให้พบรักที่ยิ่งใหญ่
ฉันไม่เคยพบเจอใคร ที่เข้ามาทั้งหัวใจ
เธอคือคนคนนั้น ที่อยู่คู่เคียงข้างกัน
แค่มีเธอที่เข้าใจ ฉันไม่เคยต้องการใคร
แค่เธอเท่านั้น

ขอบคุณโลกนี้ ที่ส่งคนในฝันให้กับฉัน
ขอบคุณอีกครั้ง ที่ทำให้พบรักที่ยิ่งใหญ่
ฉันไม่เคยพบเจอใคร ที่เข้ามาทั้งหัวใจ
เธอคือคนคนนั้น ที่อยู่คู่เคียงข้างกัน
แค่มีเธอที่เข้าใจ ฉันไม่เคยต้องการใคร
แค่เธอเท่านั้น"
4,คนที่ยังไม่พร้อม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนที่ยังไม่พร้อม_สมเกียรติ,"
ในหนึ่งวันมีคนกี่คนรักกัน
รักก่อตัวก่อร่างเป็นความสัมพันธ์
รักเอยไปที่ใดก็เจอ

แต่วันที่ฉันเปิดใจให้รักเข้ามา
แต่รักกลับทิ้งร่องรอยเป็นคราบน้ำตา
รักเอยไม่ใช่เรื่องง่าย
ฉันเองยังไม่พร้อมจะเจอ

ทั้งๆ ที่ฉันต้องการ
และจนสุดท้ายก็พ่ายแพ้กับความรัก

บอกตรงๆ ว่าฉันเอง
ยังไม่พร้อมที่จะเอาใจใส่
และฉันเองยังไม่พร้อมที่จะรักกับใคร
บอกเลยว่าตัวฉัน อาจไม่ได้ดั่งใจ
ก่อนดูแลใคร ฉันขอดูแลตัวเองก่อน

คนหนึ่งคนที่รักและคอยเข้าใจ
จะรับตัวฉันและมองเข้าไปข้างใน
ทุกอย่างโดยที่ฉันไม่เปลี่ยน
ฉันเองยังไม่พบและเจอ

ทั้งๆ ที่ฉันต้องการ
และจนสุดท้ายก็พ่ายแพ้กับความรัก

บอกตรงๆ ว่าฉันเอง
ยังไม่พร้อมที่จะเอาใจใส่
และฉันเองยังไม่พร้อมที่จะรักกับใคร
บอกเลยว่าตัวฉัน อาจไม่ได้ดั่งใจ
ก่อนดูแลใคร ฉันขอดูแลตัวเองก่อน

ทั้งๆ ที่ใครต้องการ
และจนสุดท้ายก็พ่ายแพ้กับความรัก

บอกตรงๆ ว่าฉันเอง
ยังไม่พร้อมที่จะเอาใจใส่
และฉันเองยังไม่พร้อมที่จะรักกับใคร
บอกเลยว่าตัวฉัน อาจไม่ได้ดั่งใจ
ก่อนดูแลใคร ฉันขอดูแลตัวเองก่อน

"
5,คำหวาน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คำหวาน_สมเกียรติ,"
น่าผิดหวัง คิดว่าจะได้ดีกว่านั้นที่เธอทำ 
แต่ดูแล้วก็ไม่เท่าไหร่
แค่หลอกกัน เธอพูดเธอทำอย่างนั้นไปวันวัน
ให้ความหวังแล้วไม่มีอะไร

*สุดท้ายเป็นไง ฉันไม่เหลือใคร
ทั้งหมดทุกอย่างเธอหลอกด้วยคำหวาน...หวาน

**ให้หวั่นไหว ไว้ใจ ไว้ใจ โดยไม่ห่วงตัวเอง
หลอกฉัน ทุกๆอย่าง ทิ้งให้ฉันไว้ใจ
ทิ้งให้ฉันเชื่อใจ คนอย่างเธอ

มากกว่านั้น จะเอาดวงดาวมาให้ฉันเธอยืนยัน
ให้ความหวังแล้วไม่มีอะไร
ฉันปิดตา เอาคำสัญญาที่เธอให้มาเป็นประกัน
ผิดที่ฉันไม่โทษใคร
(*),(**)
Solo

***หลอกกัน ให้หวั่นไหว ไว้ใจ ไว้ใจ
โดยไม่ห่วงตัวเอง
หลอกฉัน ทุกๆอย่าง ทิ้งให้ฉันไว้ใจ
ทิ้งให้ฉันเชื่อใจ คนอย่างเธอ โอ้ว
หลอกฉัน ด้วยคำสัญญา ทิ้งให้ฉันเชื่อใจ
สุดท้ายก็ไว้ใจ ผิดคน"
6,คิดถึง (Regards),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดถึง%20(Regards)_สมเกียรติ,"
ภายในใจ
แม้อยากจะบอกว่ารักเพียงใด
เธอคงไม่รู้
และฉันไม่อาจจะกอดเธอไว้
ให้เธอรู้สึก

ความจริงที่เรานั้นผ่านมามากมาย
ทำให้ฉันคิดถึงทุกวันที่อยู่กันด้วย
รัก หากจะขอเพียงช่วงหนึ่ง
กลับไปเหมือนเดิมทุกอย่าง

โปรดตื่นมาแล้วยิ้มอีกครั้ง
อยากจะรั้งให้เธออยู่
แต่ก็รู้ว่าเธอต้องจาก

แค่ทนไม่ไหว
ถ้าหากว่าคนที่รักหายไป
เพราะฉันไม่รู้
ว่าวันพรุ่งนี้จะเป็นยังไง
เมื่อเธอไม่อยู่

ความจริงที่เรานั้นผ่านมามากมาย
ทำให้ฉันคิดถึงทุกวันที่อยู่กันด้วย
รัก หากจะขอเพียงช่วงหนึ่ง
กลับไปเหมือนเดิมทุกอย่าง

โปรดตื่นมาแล้วยิ้มอีกครั้ง
อยากจะรั้งให้เธออยู่
แต่ก็รู้ว่าเธอต้องจาก

หากจะขอเพียงช่วงหนึ่ง
กลับไปเหมือนเดิมทุกอย่าง

โปรดตื่นมาแล้วยิ้มอีกครั้ง
อยากจะรั้งให้เธออยู่
แต่ก็รู้ว่าเธอต้องจาก"
7,คิดถึงขนาด,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดถึงขนาด_สมเกียรติ,"
* คิดถึงขนาด ล้มลงทั้งยืน 
ให้คิดถึงเรื่องอื่น เท่านี้ มันเท่าไม่ได้
คิดถึงเมื่อไหร่ ความเหงาก็มา AHH!
คิดไกลกว่านั้น คิดเกินกว่าเพื่อนกัน 

วันที่ได้เจอช่างน้อยเกิน 
วันที่อ่อนไหวคือทุกวัน 
อยู่ด้วยกันมากกว่านี้ได้ไหม 
ปล่อยให้ใจเติมความหมาย จากวันนั้นจนวันนี้

( ซ้ำ * )

รู้ใจตั้งนานไม่รู้ตัว 
รู้ว่ามันคิดเองไม่ได้ 
อยู่ด้วยกันต่อจากนี้ได้ไหม
ปล่อยให้ใจตั้งความหมาย จากวันนั้นจนวันนี้ 

( ซ้ำ * )

คิดไกลกว่านั้น คิดเกินกว่าเพื่อน (กว่านั้น)
ทุกวัน ทุกคืน 
ให้คิดถึงเรื่องอื่น เท่านี้มันทำไม่ได้
คิดถึงเมื่อไหร่ความเหงาก็มา 
คิดไกลกว่านั้น เพราะเราเป็นเพื่อนกัน "
8,โคตรดี (BFF) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/โคตรดี%20(BFF)_สมเกียรติ,"
แล้วใครจะเข้าใจได้เท่าฉันของเธอ
เพราะเราเป็นเพื่อนกันมานานแล้วเธอ ฮู วู เพื่อน
เพื่อนมีให้ระบายอย่าเก็บมันไว้เลย
ช่างมันไปเที่ยวกันปลดปล่อยมันบ้างเธอ
ฮู วู เพื่อน ฮู วู เพื่อน

มีแต่เรา มีแต่เรา มีแค่เรา โคตรจะดี
เพียงแค่เธอ มากับฉัน ไปด้วยกัน โคตรจะดี

แค่มีกันข้างกายอะไรก็ไม่กลัว
เชื่อใจไม่ทิ้งกันกอดคอกันก้าวไป
ฮู วู เพื่อน ฮู วู เพื่อน

มีแต่เรา มีแต่เรา มีแค่เรา โคตรจะดี
เพียงแค่เธอ มากับฉัน ไปด้วยกัน โคตรจะดี

มีแต่เรา มีแต่เรา มีแค่เรา โคตรจะดี
เป็นด้วยกัน ตายด้วยกัน นี่แหละมันโคตรจะดี"
9,ช่างมัน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ช่างมัน_สมเกียรติ,"
ทั้งทั้งที่เรา อ่อนแอเสียจนว่างเปล่า ทั้งทั้งที่เรา อ่อนแอเสียจนหยัดยืน แทบไม่ไหว

* ถึงโกรธที่เป็นอย่างนี้อยู่ได้ กี่ครั้งกับเรื่องบ้าบ้าอย่างเดิม อีกกี่ครั้งที่เจอกับคนที่เบลอ
ถึงเกลียดแต่เราก็ยังต้องเจอ และจะเป็นเช่นนี้เสมอ

** ถ้าหากว่ามากไป ให้ทิ้งไป อย่าไปสนถ้อยคำของคนที่ทำให้เรานั้นต้องมาเจ็บ
แล้วไง ไม่สนใจ อย่าไปเสียเวลาไม่ต้องมาทน เพราะเราไม่ควรจะแบกรับไว้ ช่างใคร

ทั้งทั้งที่เรา ไม่เคยคิดร้ายใครก่อน ถึงแม้อย่างนั้น ก็โดนเสียจนเกือบยืน แทบไม่ไหว

( ซ้ำ * , ** )


( ซ้ำ ** )"
