,name,link,lyrics
0,Secretive (บอกไม่ได้),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Secretive%20(บอกไม่ได้)_สควีซแอนนิมอล,"
เธอเข้าใจใช่ไหม ที่ฉันไม่บอกเธอเข้าใจใช่ไหมว่าฉันนั้นคิดถึงเธอ มากมายเท่าไหร่ฉันพูดไม่ได้เมื่อรักที่มีนั้นต้องปิดบังแม้อาจมีบางครั้ง ที่เหมือนเป็นไปได้ฉันไม่อาจหนีความจริงของใจฉันต้องผิดหวัง คนเดียวเรื่อยไปเมื่อรักที่มีนั้นต้องปิดบังแม้อาจมีบางครั้ง ที่เหมือนเป็นไปได้วันนี้ที่เธอได้เจอกับฉันคงเป็นได้แค่ฝัน เพราะเรารักกันไม่ได้ฉันไม่อาจหนี ความจริงของใจฉันต้องผิดหวัง คนเดียวเรื่อยไป"
1,ก่อนหน้านี้,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ก่อนหน้านี้_สควีซแอนนิมอล,"
อยากนึกถึงช่วงเวลาที่ยังไม่มีใครอยู่ ในตอนนั้น ที่ใจไม่เคยรู้สึกเหงา แต่คิดๆ ไปเท่าไรมันยังไม่มีคำตอบ ว่าทำไม ใจมันไม่นิ่งเหมือนเก่า  เมื่อไม่มีเขา เหลือแค่เรา แค่คิดขึ้นมาน้ำตาก็จะไหล ใจฉันคงทนรับมันไม่ได้  อยากจะรู้นักทำไมใจคนเราต้องหาคำตอบ กับความรัก ที่มันไม่มีความหมาย อยากจะรู้นักทำไมใจคนเราไม่ลืมเรื่องเก่า แค่ลืมเขาไป จะได้ไหม  แค่คิดขึ้นมาน้ำตาก็จะไหล ใจฉันคงทนรับมันไม่ได้  โลกนี้เมื่อไม่มีเธอแล้วมันช่างดูแตกต่าง มันอ้างว้าง เหมือนใจล่องลอยอยู่ในฝัน แอบคิดไปเองคนเดียว ว่าเธอไม่ลืมคืนวัน ยังมีฉันและใจยังรับรู้ว่า  เมื่อไม่มีเขา มันแสนว่างเปล่า แค่คิดขึ้นมาน้ำตาก็จะไหล ใจฉันคงทนรับมันไม่ไหว  อยากจะรู้นักทำไมใจคนเราต้องหาคำตอบ กับความรัก ที่มันไม่มีความหมาย อยากจะรู้นักทำไมใจคนเราไม่ลืมเรื่องเก่า แค่ลืมเขาไป จะได้ไหม  แค่คิดขึ้นมาน้ำตาก็จะไหล ใจฉันคงทนรับมันไม่ได้  อยากจะรู้นัก อยากจะรู้นัก อยากจะรู้นัก อยากจะรู้นัก อยากจะรู้นัก อยากจะรู้นัก"
2,ครึ่งสายตา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ครึ่งสายตา_สควีซแอนนิมอล,"
อาจจะเข้าใจ ว่าใครที่เป็นอย่างนี้อยู่บอกให้รู้ตัว ว่าเธอทำใจฉันหวั่นไหวอาจจะเข้าใจ ขอวอนเธอจงช่วยหันหน่อยอย่าให้ฉันคอย แล้วเธอก็คงไม่สุขใจเธอเป็นคนเดียวทำสิ่งที่ฉันไม่มีที่ขาดไปเธอทำให้ใจฉันค้นหาเพียงเสี้ยวนาทีที่มีเธอนั้นอยู่ในครึ่งสายตาฉันรู้ว่า...โอ้..(อยากบอกว่า) เธอ คือ คนที่ฉันใฝ่ฝันและทำให้ใจ ฉัน ลอยละล่องล่องลอยล่องไปหา...ล่องไปหา...อยู่ตรงนี้ไง ฉันทำให้เธอหวั่นไหวอยู่บอกให้รู้ตัว ว่าเธอทำใจฉันหวั่นไหวอาจจะเข้าใจ ขอวอนเธอจงช่วยหันหน่อยอย่าให้ฉันคอย แล้วเธอก็คงไม่สุขใจเธอเป็นคนเดียวทำสิ่งที่ฉันไม่มีที่ขาดไปเธอทำให้ใจฉันค้นหาเพียงเสี้ยวนาทีที่มีเธอนั้นอยู่ในครึ่งสายตาฉันรู้ว่า...ทุกคราที่มีเธออยู่ในอยู่ข้างในครึ่งสายตาไม่มีอะไรสะกดใจส่งให้ใจฉันล่องลอยโอ้..(อยากบอกว่า) เธอ คือ คนที่ฉันใฝ่ฝันและทำให้ใจ ฉัน ลอยละล่องล่องลอยล่องไปหา...ล่องไปหา...เธอเป็นคนเดียวทำสิ่งที่ฉันไม่มีที่ขาดไปเธอทำให้ใจฉันค้นหาเพียงเสี้ยวนาทีที่มีเธอนั้นอยู่ในครึ่งสายตาฉันรู้ว่า...โอ้..(อยากบอกว่า) เธอ คือ คนที่ฉันใฝ่ฝันและทำให้ใจ ฉัน ลอยละล่องล่องลอยล่องไปหา...ล่องไปหา...โอ้..(อยากบอกว่า) เธอ คือ คนที่ฉันใฝ่ฝันและทำให้ใจ ฉัน ลอยละล่องล่องลอยล่องไปหา...ล่องไปหา...ทำไมเธอไม่มองที่ฉัน"
3,คำบางคำ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คำบางคำ_สควีซแอนนิมอล,"
ฉันคิดถึงเธออีกแล้ว
และยิ่งมากขึ้นทุกที
เพิ่งรู้ว่ารักเธอขนาดนี้
เพิ่งรู้ทั้งหมดใจที่มี

รักกันอย่างเมื่อวันก่อน
ฉันรอคอยวันให้เธอย้อนกลับมาอย่างวันนั้น

คงจะมีบางคำที่ฉันเพิ่งบอกเธอไป
แล้วเธอโกรธฉัน
คงต้องมีบางวันที่รักเราถูกลืมไป
ช่วยยกโทษให้ฉันที ให้ฉันที ให้ฉันที

และคงไม่ยากเท่าไร
ถ้าวันนี้จะบอก บอกไป
ว่าเธอคือที่สุด ในดวงใจ
กลับมาได้ไหม

รักกันอย่างเมื่อวันก่อน
ฉันรอคอยวันให้เธอย้อนกลับมาอย่างวันนั้น

คงจะมีบางคำที่ฉันเพิ่งบอกเธอไป
แล้วเธอโกรธฉัน
คงต้องมีบางวันที่รักเราถูกลืมไป
ช่วยยกโทษให้ฉันที"
4,จนวันสุดท้าย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จนวันสุดท้าย_สควีซแอนนิมอล,"
อาจมีบางวันที่เราต้องห่างไกล ให้เธอรู้เอาไว้ในใจของฉันจะไม่เปลี่ยน
เนิ่นนานเท่าไรให้เธอรู้ไว้ว่าแค่เพียง รู้ไว้แค่เพียงว่าเธอยังมีฉัน

* ฉันจะคงย้ำในคำตอบ ว่านานแค่ไหนฉันจะบอก ว่าฉันนั้นรักรักเธอ และจะรักอย่างนี้เรื่อยไป

** รักเธอจนวันสุดท้ายที่ยังลืมตา จะรักเธอแม้นานแค่ไหนให้เธอกลับมา
จะขอรออย่างนี้ฉันจะรอให้เธอ กลับมา ไม่หวั่นแม้วันและเวลานั้นแสนจะนาน

และหากวันใดที่ใจเธอเหนื่อยล้า วันและเวลาดูช้าเหลือเกิน
จะให้เพลงนี้ไว้แทนจิตใจ ไม่ว่านานเท่าไรดวงใจของฉันไม่เปลี่ยน

( ซ้ำ * , ** )

วันเวลาที่ล่วงเลยไป เธอคนเดียวที่ฉันให้ใจ เมื่อฉันนั้นรักรักเธอ และจะรักอย่างนี้เรื่อยไป
จะรักเธอจนถึงวันที่เธอยังมีฉัน จะรักเธอให้ถึงวันที่ฉันไม่เปลี่ยน รักเธอ รักเธอจนวันนั้น"
5,บอกไม่ได้ (Secretive) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/บอกไม่ได้%20(Secretive)_สควีซแอนนิมอล,"
เธอเข้าใจใช่ไหม ที่ฉันไม่บอก เธอเข้าใจใช่ไหม
ว่าฉันนั้นคิดถึงเธอ มากมายเท่าไร ฉันพูดไม่ได้
เมื่อรักที่มีนั้นต้องปิดบัง
แม้อาจมีบางครั้ง ที่เหมือนเป็นไปได้
ฉันไม่อาจหนี ความจริงของใจ
ฉันต้องผิดหวัง คนเดียวเรื่อยไป
เมื่อรักที่มีนั้นต้องปิดบัง
แม้อาจมีบางครั้ง ที่เหมือนเป็นไปได้
วันนี้ที่เธอได้เจอกับฉัน คงเป็นได้แค่ฝัน
เพราะเรารักกันไม่ได้
ฉันไม่อาจหนี ความจริงของใจ
ฉันต้องผิดหวัง คนเดียวเรื่อยไป"
6,แบบนี้ (Truly Me) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แบบนี้%20(Truly%20Me)_สควีซแอนนิมอล,"
ที่เธอเข้ามาคงเป็นภาพลวงให้สับสน
จึงฝืนตัวไม่ยอมให้หลงกลภาพลวง
สมองไม่เดินเหมือนเป็นอัมพฤกษ์อยู่ข้าใน
หลบซ่อนภายใต้ความเหงาความเดียวดาย
ครั้งก่อนยังคงหลอกหลอนให้มีแค่เธอ
ทิ้งความเหงาข้างในใจไม่ลืม

หลงทางเหมือนคนไม่มีสมองเข้าใจ
พยายามไม่ให้รักเธอ แต่เธอเป็นแบบนี้
ฉันรักที่ตัวของเธอเป็นแบบนี้
ความงามที่ลวงดวงดาวให้เปลี่ยนสี
ความจริงแล้วใจของเราเป็นแบบนี้
ฉันยอมเปลี่ยนตัวเองเพื่อเธอ

เพิ่มความวุ่นวายยังหาตัวเองไม่ค่อยเจอ
สิ่งที่ทำมันช่างฝืนและหลอกตัว
สมองไม่เดินเหมือนเป็นอัมพฤกษ์อยู่ข้างใน
บอกตัวเองเพิ่มชีวิตชีวา

ครั้งก่อนยังคงหลอกหลอนให้มีแค่เธอ
ทิ้งความเหงาข้างในใจไม่ลืม
หลงทางเหมือนคนไม่มีสมองเข้าใจ
พยายามไม่ให้รักเธอ แต่เธอเป็นแบบนี้

ฉันรักที่ตัวของเธอเป็นแบบนี้
ความงามที่ลวงดวงดาวให้เปลี่ยนสี
ความจริงแล้วใจของเราเป็นแบบนี้
ฉันยอมเปลี่ยนตัวเองเพื่อเธอ

ฉันรักที่ตัวของเธอเป็นแบบนี้
ความงามที่ลวงดวงดาวให้เปลี่ยนสี
ความจริงแล้วใจของเราเป็นแบบนี้
เจอเธอทุกทีใจเราเป็นแบบนี้
เธอคนที่ฉันเฝ้ารอ

ฉันรักที่ตัวของเธอเป็นแบบนี้
ความงามที่ลวงดวงดาวให้เปลี่ยนสี
ความจริงแล้วใจของเราเป็นแบบนี้
ฉันยอมเปลี่ยนตัวเองเพื่อเธอ

"
7,พรุ่งนี้ที่ดีกว่า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/พรุ่งนี้ที่ดีกว่า_สควีซแอนนิมอล,"
จะหาเสียงหัวใจที่เธอทำมันแตกร้าวต้องใช้เวลา เคยรักกันเท่าไร ยังไงในตอนสุดท้าย ก็คงต้องลืม ลืม ลืม ลืม ฉันขอเวลาอยู่กับตัวเอง เพราะว่าวันนี้ยังไม่พร้อมจะเจอกับใคร  ขออยู่อย่างเหงาๆ ไปคนเดียวจะได้ไหม มันต้องมีวันที่ฉันพร้อม จะโดดเดี่ยวฉันก็ยอมรับได้ ฉันขออยู่อย่างเหงาๆ อยู่คนเดียวคงไม่ตาย มันคงต้องพอกันสักที มันคงจะดี ถ้าวันนี้ได้พักหัวใจสักวัน  เหมือนตอนนี้ใจมันไม่มีทางออก หาฉันยังคงหา หาคำตอบ มันไม่ยอมเข้าใจ ยังไงก็ไม่เปลี่ยน รักยังไงก็ไม่เปลี่ยน  ยังจำเวลาที่หยุดไป และยังไม่รู่เมื่อไรที่ใจจะลืมเรื่องเหล่านั้น คอยฉันคงทำได้แค่คอย คอยวันพรุ่งนี้จะเกิดกับฉัน ฉันย้ำและพร่ำบอกกับตัวเอง ในวันนี้ยังไม่พร้อมจะเจอกับรัก  ขออยู่อย่างเหงาๆ ไปคนเดียวจะได้ไหม มันต้องมีวันที่ฉันพร้อม จะโดดเดี่ยวฉันก็ยอมรับได้ ฉันขออยู่อย่างเหงาๆ อยู่คนเดียวคงไม่ตาย มันคงต้องพอกันสักที มันคงจะดี ถ้าวันนี้ได้พักหัวใจสักวัน  ขออยู่อย่างเหงาๆ ไปคนเดียวจะได้ไหม มันต้องมีวันที่ฉันพร้อม จะโดดเดี่ยวฉันก็ยอมรับได้ ฉันขออยู่อย่างเหงาๆ อยู่คนเดียวคงไม่ตาย มันคงต้องพอกันสักที มันคงจะดี ถ้าวันนี้ได้พักหัวใจสักวัน"
8,ฟังสิ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ฟังสิ_สควีซแอนนิมอล,"
ไปหยุดกันก่อนกับสิ่งที่เธอกระทำทำ ฟังกันได้ไหม ฟังฉันก่อน
ฉันอยากจะบอกกับสิ่งที่เผลอลืมไป ของเธอใช่รึเปล่า
ให้หยุดกันก่อนกับสิ่งที่เธอกระทำ ฟังกันได้ไหม ฟังฉันก่อน
ฉันอยากจะบอกกับสิ่งที่เธอลืมไป เธอจะเชื่อไหม

ให้เธอหยุดยั้ง เธอหยุดยั้ง เธอหยุดยั้ง ให้เธอมาฟังสิ ฟังสิ
ให้เธอหยุดยั้ง เธอหยุดยั้ง เธอหยุดยั้ง ให้เธอมาฟังสิ ฟังสิ

ใครบ่นใครเบื่ออย่าปล่อยร้องข้างใน อย่าสนใจ ฟังทางนี้ก่อน
ประติดประต่อความสุขที่เหลือในใจ เธอจะเชื่อไหม
สงคราม แตกต่าง ที่มันไม่มีสิ้นสุด จะรับฟังคำบอกจากคนที่เหลือเท่าไหร่

เห็นรอยยิ้มคนแล้วมันเป็นสุขใจ ส่งคืนรอยยิ้มให้เขาไป ให้รักเข้าสู่ทุกใจ
ฉันเห็นรอยยิ้มคนแล้วมันเป็นสุขใจ ความรักนั้นอยู่ไม่ไกล ให้รักเข้าสู่ทุกใจ

ให้เธอหยุดยั้ง เธอหยุดยั้ง เธอหยุดยั้ง ให้เธอมาฟังสิ ฟังสิ
ให้เธอหยุดยั้ง เธอหยุดยั้ง เธอหยุดยั้ง ให้เธอมาฟังสิ ฟังสิ
ให้เธอหยุดยั้ง เธอหยุดยั้ง เธอหยุดยั้ง ให้เธอมาฟังสิ ฟังสิ
ให้เธอหยุดยั้ง เธอหยุดยั้ง เธอหยุดยั้ง ให้เธอมาฟังสิ ฟังสิ

( ซ้ำ * , * )"
9,มอเตอร์ไซค์ (Motorcycle),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/มอเตอร์ไซค์%20(Motorcycle)_สควีซแอนนิมอล,"
เนื้อเพลง มอเตอร์ไซค์ (Motorcycle)

คำร้อง/ทำนอง วิน ศิริวงศ์
เรีนบเรียง สควีซแอนนิมอล

ตอนนี้ฉันก็ยังหายใจ
เวลาก็ยังคงหมุนไป แต่ข้างใน ยังไม่ไปไหน
จะเดินทางเพื่อจะตามหาฝัน
แต่ตัวฉันยังไม่รู้จุดหมายว่าหัวใจ ต้องการอะไรนะ

อยากมีมอเตอร์ไซค์ จะพุ่งออกไปได้ถึงจุดหมาย
ออกเดินทางตามหาสิ่งใหม่
อยากลองหนีไป ให้หลุดออกไปจากความวุ่นวาย
ให้หัวใจได้ตามค้นหา
(หนี หนี ไปกับมอเตอร์ไซค์)
(หนี หนี ไปกับมอเตอร์ไซค์ มอเตอร์ไซค์)
(หนี หนี ไปกับมอเตอร์ไซค์)
(หนี หนี ไปกับมอเตอร์ไซค์)
(หนี หนี ไปกับมอเตอร์ไซค์ มอเตอร์ไซค์)

อยากมีมอเตอร์ไซค์ จะพุ่งออกไปให้ถึงจุดหมาย
ออกเดินทางตามหาสิ่งใหม่
อยากลองหนีไป ให้หลุดออกไปจากความวุ่นวาย
ให้หัวใจได้ตามค้นหา

คงต้องแค่ลองดู สิ่งที่เราไม่รู้ให้เราได้เข้าใจ
คงจะถึงเวลา สิ่งที่เราตามหาให้เราได้เข้าใจ

อยากมีมอเตอร์ไซค์ จะพุ่งออกไปให้ถึงจุดหมาย
ออกเดินทางตามหาสิ่งใหม่
อยากลองหนีไป หลุดออกไปจากความวุ่นวาย
ให้หัวใจได้ตามค้นหา ตามค้นหา ตามค้นหา"
