,name,link,lyrics
0,Everyday is Sunday,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Everyday%20is%20Sunday_Season%20Five,"
ทั่วดินแดนที่ไปเหมือนไกลห่าง แต่หากต้องการจะไป
สุดทะเลภูผาและพื้นทราย ก็สวยไม่ต่างกัน

ยังมีจุดหมายตั้งมากมาย อย่าให้กลายเป็นเพียงแค่ความฝัน
อยู่ที่ใจ จะใกล้จะไกลไม่สำคัญ ไปด้วยกันก็สุขใจ

จะวันอาทิตย์หรือวันไหน ก็ไปไม่ลำบาก
ขอ ขอให้เธอคิดมุมใหม่
มีแค่เพียงแต่เธอและตัวฉันก็ไปได้
อาทิตย์ จันทร์ ถึง ศุกร์
วันไหนก็สนุก แค่ไปตามหัวใจ

Whoo Everyday is Sunday
Whoo Everyday is Sunday

ท่องไปตามถนนที่ทอดยาว เก็บเรื่องราวเอาไว้
ออกไปลองไปเจอพบเพื่อนใหม่ เก็บไว้เพื่อแบ่งปัน
ชีวิตต้องใช้ให้คุ้มค่า ออกไปหาสิ่งที่สร้างสรรค์
ชวนกันไป ถึงไหนก็ถึงกัน เพียงเท่านั้นก็สุขใจ

จะวันอาทิตย์หรือวันไหน ก็ไปไม่ลำบาก
ขอ ขอให้เธอคิดมุมใหม่
มีแค่เพียงแต่เธอและตัวฉันก็ไปได้
อาทิตย์ จันทร์ ถึง ศุกร์
วันไหนก็สนุก แค่ไปตามหัวใจ

Whoo Everyday is Sunday
Whoo Everyday is Sunday"
1,I Will Never Go,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/I%20Will%20Never%20Go_Season%20Five,"
แม้เราไม่ได้พบกัน อาจจะนานกี่วันกี่เดือนกี่ปีก็รอนะ
ขอเพียงให้เธอเชื่อใจ ไม่มีวันใดที่ใจจะแปรเปลี่ยนไปแน่นอน
หนทางยังอีกไม่ไกล หากว่าเราจะเดินตามหาความฝันไปด้วยกัน
ขอเธอไม่ให้หวั่นไหว อยากให้เธอมั่นใจกับสิ่งที่รอ

I will never go
อาจจะนานแต่อยากให้เธอได้รู้
Girl I miss you so รอได้ไหม
I’m in love with you
เรื่องในใจอยากบอกให้เธอได้รู้
Hope your love me too

ถึงเราจะอยู่แสนไกล ก็ไม่เป็นไรถ้าใจข้างในไม่เคยจะหวั่นไหว
ฉันเองก็ยังเหมือนเดิม ไม่เคยมีใครเข้ามาเพิ่มเติมแทนเธอในหัวใจ
ขอเพียงให้เธอได้รู้ ที่อยู่ในใจของฉันคือเธอคนเดียวนะคนดี
แม้เธอจะอยู่ที่ไหน อยากให้เธอมั่นใจอยากให้เธอรอ

I will never go
อาจจะนานแต่อยากให้เธอได้รู้
Girl I miss you so รอได้ไหม
I’m in love with you
เรื่องในใจอยากบอกให้เธอได้รู้
Hope your love me too

I will never go
อาจจะนานแต่อยากให้เธอได้รู้
Girl I miss you so รอได้ไหม
I’m in love with you
เรื่องในใจอยากบอกให้เธอได้รู้
Hope your love me too

You will be the only one I love.
You will be the only one I love.
You will be the only one I love.
You will be the only one I love."
2,One Way Love,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/One%20Way%20Love_Season%20Five,"
รัก รัก ฉันนั้นมุ่งไปทางเดียว
ไม่มีทางให้รักเลี้ยวปลายทางเดียวก็คือใจเธอ
ต่อให้ทางไกล แม้วุ่นวายและคดเคี้ยว
ฉันจะเอารักไปเกี่ยว ไว้ข้างๆ ใจเธอ

ทุกวันไม่เคยจะคิดเรื่องอื่นสักนิดคิดแต่เรื่องเธอ
ทุกคืนฉันเอาแต่เพ้อพาเธอไปในฝัน
หัวใจทิ้งตัวไปแล้ว ฉันคงไม่แคล้วรักเธอคนนั้น
ถ้าเธอไม่เกี่ยงช่วยรับใจไปได้ไหม

ก็ถนนหัวใจของฉันนั้นคือ One way love
ไม่มีป้ายให้ย้อน U-turn กลับมา

รัก รัก ฉันนั้นมุ่งไปทางเดียว
ไม่มีทางให้รักเลี้ยวปลายทางเดียวก็คือใจเธอ
ต่อให้ทางไกล แม้วุ่นวายและคดเคี้ยว
ฉันจะเอารักไปเกี่ยว ไว้ข้างๆ ใจเธอ

เส้นทางที่จะไปพบใจเธอจะคดจะโค้งเยอะมั้ย
ฉันขอเบอร์โทรเอาไว้ได้ไหมเพื่อถามทาง
Baby ฉันอยากให้รู้ I dream of you my shining star
ใช่เลยเธอคือนางฟ้าบนสรวงสวรรค์

ก็ถนนหัวใจของฉันนั้นคือ One way love
ไม่มีป้ายให้ย้อน U-turn กลับมา

รัก รัก ฉันนั้นมุ่งไปทางเดียว
ไม่มีทางให้รักเลี้ยวปลายทางเดียวก็คือใจเธอ
ต่อให้ทางไกล แม้วุ่นวายและคดเคี้ยว
ฉันจะเอารักไปเกี่ยว ไว้ข้างๆ ใจเธอ

Feat. P’Mac, Ladies and P’Koh

รัก รัก ฉันนั้นมุ่งไปทางเดียว
ไม่มีทางให้รักเลี้ยวปลายทางเดียวก็คือใจเธอ
ต่อให้ทางไกล แม้วุ่นวายและคดเคี้ยว
ฉันจะเอารักไปเกี่ยว ไว้ข้างๆ ใจเธอ

รัก รัก ฉันนั้นมุ่งไปทางเดียว
ไม่มีทางให้รักเลี้ยวปลายทางเดียวก็คือใจเธอ
ต่อให้ทางไกล แม้วุ่นวายและคดเคี้ยว
ฉันจะเอารักไปเกี่ยว ไว้ข้างๆ ใจเธอ

When you smile, makes me smile,
season five will never make you cry,
When you smile, makes me smile.
ก็ฉันรัก รักเธอทั้งหัวใจ"
3,กลืน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กลืน_Season%20Five,"
หัวใจ รู้ดีว่าไม่อาจฝืน แม้ว่าต้องกล้ำกลืนต้องฝืนใจ
แต่ก็ยอมให้เธอทำร้ายรู้ตัว ว่ามันเป็นเรื่องที่น่าอาย
บอกเธอกี่ครั้งว่าจะไป แต่ก็ทำไม่ได้สักที

* ปฏิเสธใจตัวเองไม่เก่ง ปฏิเสธใจตัวเองไม่ได้
ก็ต้องยอมรับ ต้องยอมกลืน คำบอกลาที่เคยพูดไว้
ปฏิเสธใจตัวเองไม่เก่งปฏิเสธใจตัวเองทำไม่ไหว
แค่เธอพูดจาดีดีให้กันก็เพียงเท่านั้น ก็ยอมจะกลืน
กลืนน้ำลายตัวเอง

หัวใจ ถ้ามันทำได้แบบนั้น แบบที่พูดไปทำได้จริง มันก็คงไม่เหนื่อยใจ
หัวใจ ฉันมันต้องเริ่มที่ตรงไหน ที่จะไม่ต้องลืม ลืมว่าตัวเอง พูดอะไรไป

( ซ้ำ * )

( ซ้ำ * )"
4,กับคนเก่าเธอทำแบบนี้หรือเปล่า,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กับคนเก่าเธอทำแบบนี้หรือเปล่า_Season%20Five,"
เมื่อก่อนไม่เคยอยากถาม เรื่องอะไรที่เธอผ่านมา 
ฉันว่ามันไม่มีความหมายอะไร
อดีตก็เเค่ความหลังเพราะฉันยังมีเธอใกล้ๆ
เเต่เธอเปลี่ยนไป  ความสงสัยเลยเข้ามา

เคยบอกว่าเธอ จบกับเขาไม่ค่อยดี
ปัญหาคือเขาไม่มีเวลา
เเต่ในวันนี้ฉันว่าเธอเองมากกว่า 
ถามตรงๆได้ไหม

กับคนเก่าเธอทำเเบบนี้หรือเปล่า
มันบ่อยเกินไปที่เธอทิ้งกันให้เหงา 
จนเหมือนเป็นเรื่องที่ธรรมดากับเธอ
อ้างไม่มีเวลาเสมอ เมื่อจะพบกัน
กับคนเก่าเธอลืมเเบบนี้หรือเปล่า
วันเกิดวันวาเลนไทน์หรือวันที่เราเคยฉลองครบรอบกัน
มันไม่มีอีกเเล้ว หรือว่ามันจะเป็นวี่เเววที่ต้องเลิกกัน 
ก่อนเจอกับฉันตัวจริงเธอนั้นเป็นยังไง 

เล่าบอกให้เขาดูร้าย เพื่อให้เธอได้เป็นคนดี 
หรือนี่เป็นวิธีหลอกฉันมานาน
เริ่มเบื่อจะคบกับฉัน
หรือฉันเป็นเเค่เพียงทางผ่าน
ค่อยๆห่างกันคำถามนั้นเลยเข้ามา 

ที่บอกว่าเธอ จบกับเขาไม่ค่อยดี
ปัญหาคือเขาไม่มีเวลา
เเต่ในวันนี้ฉันว่าเธอเองมากกว่า 
ถามตรงๆได้ไหม

กับคนเก่าเธอทำเเบบนี้หรือเปล่า
มันบ่อยเกินไปที่เธอทิ้งกันให้เหงา 
จนเหมือนเป็นเรื่องที่ธรรมดากับเธอ
อ้างไม่มีเวลาเสมอ เมื่อจะพบกัน
กับคนเก่าเธอลืมเเบบนี้หรือเปล่า
วันเกิดวันวาเลนไทน์หรือวันที่เราเคยฉลองครบรอบกัน
มันไม่มีอีกเเล้ว หรือว่ามันจะเป็นวี่เเววที่ต้องเลิกกัน 
ก่อนเจอกับฉันตัวจริงเธอนั้นเป็นยังไง 

หากจบกับฉันจะบอกคนใหม่เธอยังไง"
5,คนบ้า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนบ้า_Season%20Five,"
บางครั้งที่ฉันทำไม่ดีไม่ถูกใจเธอ อยากให้รู้ว่าฉันไม่เคยจะตั้งใจ
เป็นเพราะอารมณ์ เลยพูดเกินไป แต่ในใจรู้สึกเลยว่าไม่ดี
รู้ก็ทั้งรู้เธอไม่ควรให้อภัยกัน เรื่องวันนั้นฉันทำร้ายใจเธอสิ้นดี

* คำพูดแก้ตัว วันนี้ไม่มี แค่สิ่งเดียวที่อยากขอให้เธอรู้

** บางครั้งคนผิดก็ไม่รู้ตัวเองผิด บางทีก็สิ้นคิด ก็พูดเรื่องไม่เข้าท่า
ก็เหมือนคนบ้าที่ไม่รู้ตัวเองบ้า อย่าถือสาคนที่รักเธอได้ไหม
และฉันก็เสียใจกับเรื่องที่ได้ทำ แต่ว่าความรักฉันไม่เคยน้อยลงไป
สวรรค์รู้ดีว่าฉันไม่ตั้งใจ อยากจะขอโทษอีกทีจะได้ไหม กับเรื่องที่ฉันทำ

ฉันก็แค่หวังอยากให้เราได้เข้าใจกัน และจะทำทุกทางให้มันดีกว่านี้

( ซ้ำ * , ** )

( ขอให้เธอนั้นเชื่ออีกสักครั้ง ให้ฉันได้รักเธออีกครั้ง )

บางครั้งคนผิดก็ไม่รู้ตัวเองผิด บางทีก็สิ้นคิด ก็พูดเรื่องไม่เข้าท่า
ก็เหมือนคนบ้าที่ไม่รู้ตัวเองบ้า อย่าถือสาคนที่รักเธอได้ไหม
และฉันก็เสียใจกับเรื่องที่ได้ทำ แต่ว่าความรักฉันไม่เคยน้อยลงไป
สวรรค์รู้ดีว่าฉันไม่ตั้งใจ อยากจะขอโทษอีกทีจะได้ไหม กับเรื่องที่ฉันทำ"
6,คะแนนความประพฤติ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คะแนนความประพฤติ_Season%20Five,"
ไม่เอาไหนเลย ไม่ค่อยมีเวลาจะให้เธอ
แค่จะนัดเจอ สายก็เป็นประจำทุกที

ไม่มีสักคำใดๆ จะเถียงเลย ชอบทำตัวให้เธอไม่ประทับใจ
อยากจะง้อก็พูดไม่เป็น ไม่หวานหรอกเท่าที่เห็น โปรดอภัย

อดใจรออีกนิดนึง เธออย่าพึ่งน้อยใจ
ฉันขอเวลาปรับปรุงอีกสักที
จะเปลี่ยนแปลงตัวเสียใหม่ เป็นคนที่แสนดี
คะแนนความประพฤติวันนี้ อาจยังไม่ดีเท่าไหร่
เรื่องเดียวให้มั่นใจ คือรักที่ให้เธอยังเหมือนเดิม

ไม่ค่อยไหวเลย เผลอลืมวันเกิดเธอซะทุกปี
ก็พอรู้ดี ฉันคงทำเธอเอือมระอา

ไม่มีสักคำใดๆ จะเถียงเลย ชอบทำตัวให้เธอไม่ประทับใจ
อยากจะง้อก็พูดไม่เป็น ไม่หวานหรอกเท่าที่เห็น โปรดอภัย

อดใจรออีกนิดนึง เธออย่าพึ่งน้อยใจ
ฉันขอเวลาปรับปรุงอีกสักที
จะเปลี่ยนแปลงตัวเสียใหม่ เป็นคนที่แสนดี
คะแนนความประพฤติวันนี้ อาจยังไม่ดีเท่าไหร่
เรื่องเดียวให้มั่นใจ คือรักที่ให้เธอยังเหมือนเดิม

ไม่มีสักคำใดๆ จะเถียงเลย ชอบทำตัวให้เธอไม่ประทับใจ
อยากจะง้อก็พูดไม่เป็น ไม่หวานหรอกเท่าที่เห็น โปรดอภัย

อดใจรออีกนิดนึง เธออย่าพึ่งน้อยใจ
ฉันขอเวลาปรับปรุงอีกสักที
จะเปลี่ยนแปลงตัวเสียใหม่ เป็นคนที่แสนดี
คะแนนความประพฤติวันนี้ อาจยังไม่ดีเท่าไหร่
เรื่องเดียวให้มั่นใจ คือรักที่ให้เธอยังเหมือนเดิม

ยังคงจะเหมือนเดิม ก็อยากเป็นคนดีของเธอ
เรื่องเดียวให้มั่นใจ คือรัก ที่ให้เธอ ยังเหมือนเดิม"
7,แค่คนที่แอบรัก,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แค่คนที่แอบรัก_Season%20Five,"
ขนาดตัวฉันเอง ก็ยังแปลกใจ
ว่าในส่วนลึก มีเธอได้ยังไง
และเธอเข้ามาตอนไหน
ไม่ทันเอะใจ พอรู้ก็หวั่นไหว จนหัวใจละลาย

ลอยไปกับเธอคนนี้ ทุกทีที่เจอกับเธอคนนี้
หัวใจข้างในมันรู้สึกดี
ฉันมีอะไรจะบอกเธอ
แต่เหมือนเวลาที่เจอ
ฉันไม่เคยพูดไปได้อย่างนั้น

มันทำได้แค่แอบรัก และทักเธอด้วยสายตา
อย่างมากก็ส่งยิ้ม เมื่อเธอนั้นหันมา
เป็นแค่คนแอบรัก ที่เฝ้ารอเวลา
เวลาที่จะเฉลยคำนั้นในแววตา ว่าฉันรักเธอ

แปลกใจที่เราได้มาเจอกัน ฉันรักเธอ
และฉันก็ไม่ยอมมีใคร ว่าฉันรักเธอ
แค่เพียงคนเดียวเท่านั้น I love you

ถ้าบอกให้รู้เลย เธอคงแปลกใจ
ว่าไปแอบรักตัวเธอได้ยังไง
ก็เลยต้องทนเก็บไว้ ข้างในจิตใจ
ทำเหมือนไม่หวั่น และพร้อมจะละลาย

เป็นไปกับเธอคนนี้ ทุกทีที่เจอกับเธอคนนี้
หัวใจข้างในมันรู้สึกดี
ฉันมีอะไรจะบอกเธอ
แต่เหมือนเวลาที่เจอ
ฉันไม่เคยพูดไปได้อย่างนั้น

มันทำได้แค่แอบรัก และทักเธอด้วยสายตา
อย่างมากก็ส่งยิ้ม เมื่อเธอนั้นหันมา
เป็นแค่คนแอบรัก ที่เฝ้ารอเวลา
เวลาที่จะเฉลยคำนั้นในแววตา ว่าฉันรักเธอ

แปลกใจที่เราได้มาเจอกัน ฉันรักเธอ
และฉันก็ไม่ยอมมีใคร ว่าฉันรักเธอ
แค่เพียงคนเดียวเท่านั้น I love you

มันทำได้แค่แอบรัก และทักเธอด้วยสายตา
อย่างมากก็ส่งยิ้ม เมื่อเธอนั้นหันมา
เป็นแค่คนแอบรัก ที่เฝ้ารอเวลา
เวลาที่จะเฉลยคำนั้นในแววตา

มันทำได้แค่แอบรัก และทักเธอด้วยสายตา
อย่างมากก็ส่งยิ้ม เมื่อเธอนั้นหันมา
เป็นแค่คนแอบรัก ที่เฝ้ารอเวลา
เวลาที่จะเฉลยคำนั้นในแววตา ว่าฉันรักเธอ

แปลกใจที่เราได้มาเจอกัน ฉันรักเธอ
และฉันก็ไม่ยอมมีใคร ว่าฉันรักเธอ
แค่เพียงคนเดียวเท่านั้น I love you"
8,แค่ตัวเลือก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แค่ตัวเลือก_Season%20Five,"
เดินกับเธอดังคนรักกัน
และยิ้มให้กันดังคนรู้ใจ
ทุกความจริงใจที่ให้เธอไป
มันคงกลับมาแค่ครึ่งเดียว

ก็เข้าใจเธอมีเขาอยู่
และพอจะรู้ควรยืนที่ใด
ไม่ว่าพรุ่งนี้เธอจะรักใคร
สุดท้ายฉันพร้อมยินดี

แค่เวลานี้ที่ฉันมีเธอ
ถึงแม้ว่าใครจะมองว่าตัวฉันโง่
จะยังไงก็ไม่สน ให้ฉันเป็นคนอะไรก็ได้
ฉันยอม เพื่อเธอ

รู้ว่าฉันนั้นเป็นได้แค่ตัวเลือก
เป็นคนที่อยู่เมื่อเธอนั้นเบื่อ
เมื่อตอนที่เธอรู้สึกว่าเหงา
ฉันก็ไม่มีวันจะเอื้อมไปเทียบกับตัวเขา
คนๆ นั้นที่เธอทุ่มเทให้หมดใจ

แม้ข้างในใจยังหวังอยู่
ว่าเธอจะแคร์และมองเห็นใจ
และฉันจะลืมมันไปให้ได้
ไม่ทำให้เธอกังวล

แค่เวลานี้ที่ฉันมีเธอ
ถึงแม้ว่าใครจะมองว่าตัวฉันโง่
ก็ไม่สน ให้ฉันเป็นคนอะไรก็ได้
ฉันยอม เพื่อเธอ

รู้ว่าฉันนั้นเป็นได้แค่ตัวเลือก
เป็นคนที่อยู่เมื่อเธอนั้นเบื่อ
เมื่อตอนที่เธอรู้สึกว่าเหงา
และฉัน ก็ไม่มีวันจะเอื้อมไปเทียบกับตัวเขา
คนๆ นั้นที่เธอทุ่มเทให้หมดใจ

อาจจะเจ็บลึกเกินทนไหว
และอาจจะช้ำจนต้องร้องไห้
แต่ความรักนั้นเหนือสิ่งอื่นใด
จะเป็นยังไงก็ตาม จะอยู่ตรงนี้
แค่ได้รักเธอก็พอ คือเรื่องเดียวที่ฉันต้องการ

และรู้ ฉันไม่มีวันจะเทียบได้เลยกับตัวเขา
คนๆ นั้นที่เธอแอบห่วง
คนๆ นั้นที่เธอยังแคร์
คนที่แม้จะเป็นยังไง เธอก็รัก"
9,งี่เง่า,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/งี่เง่า_Season%20Five,"
ก็บังเอิญว่าโลกใบนี้มันมีแค่เธอ อยู่เพียงคนเดียว
จะยอมให้ใครมาเหลียวมามอง ได้อย่างไร

ที่ฉันนั้นต้องคอยตามคอยถามว่าเธออยู่ไหน
ก็เป็นเธอคนที่ฉันหวงไม่ห่วงได้ไง

ที่ฉันงี่เง่าทุกครั้งที่เห็นเธอไปกับใคร
แค่แสดงความเป็นเจ้าของแค่เรียกร้องให้เธอมาสนใจ

รู้ (เธอก็รู้) ว่าเอา (รู้ว่าฉัน) แต่ใจ (เอาแต่ใจ) 
ไม่มีวันไหนที่ฉันไม่คิดถึงเธอเลย
ก็ (เธอเท่านั้น) มันยัง (ทำให้ฉัน) ไม่เคย (เป็นแบบนี้) 
รักใครมากเท่าเธอ

** ก็บังเอิญว่าโลกใบนี้มันมีแค่เธอ อยู่เพียงคนเดียว
จะยอมให้ใครมาเหลียวมามอง ได้อย่างไร

มันก็เลยจะมีเป็นบางอารมณ์ ที่มันแสดงว่าฉันระแวง 
และทำให้เธอคิดว่าฉันนั้นวุ่นวาย

ถ้าต้องเสียเธอไปและฉันก็คงจะเป็นจะตาย
เพราะไม่มีเธอแล้วฉันก็คงอยู่ไม่ไหว

อย่าถือสาฉันเลยคนดีที่เป็นอย่างนี้ก็เพราะมันรัก

Damn damn damn damn just show me a little bit
Damn damn damn damn im gonna love you better
Damn damn damn damn ฉันขอร้องเธอได้ไหม

ถ้าต้องเสียเธอไปและฉันก็คงจะเป็นจะตาย
เพราะไม่มีเธอแล้วฉันก็คงอยู่ไม่ไหว

ฉันรู้และฉันเข้าใจ ว่าเธอรำคาญ
แต่ก็เก็บอาการขี้หวงไม่ได้สักที

ช่วยฉันได้ไหมเมื่อไรที่เห็นฉันเป็นแบบนี้
ทำให้รู้ว่าคนคนนี้เป็นคนที่เธอยังเห็นว่าสำคัญ

รู้ (เธอก็รู้) ว่าเอา (รู้ว่าฉัน) แต่ใจ (เอาแต่ใจ) 
ไม่มีวันไหนที่ฉันไม่คิดถึงเธอเลย
ก็ (เธอเท่านั้น) มันยัง (ทำให้ฉัน) ไม่เคย (เป็นแบบนี้) 
รักใครมากเท่านี้

(**)"
