,name,link,lyrics
0,Break down ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Break%20down_Slot%20machine,"
เห็นเธอพูด แต่สิ่งนั้น เธอรู้มันไม่จริง ในทุกทุกสิ่ง ที่เธอทำให้ผิดหวังซ้ำเรื่อยมา
ความเป็นจริง กับ ความฝันเธอนั้นไม่เข้าใจ
เป็นตัวเธอที่ยังคงเหมือนเดิม ไม่เคยไม่คิดไม่เคยแคร์อะไร

* มองดาวบนฟ้า อยากยืนบนนั้น
ตื่นจากความฝัน แล้ว

** break down break down
oh stop now oh stop now

ทุกคนพูด ว่าสักวัน เธอนั้นจะเสียใจ และสุดท้ายเธอคง ไม่เหลือใคร จะเห็นความจริง

( ซ้ำ * , ** )


( ซ้ำ * , ** )

break break break break break down break break break break break down
break break break break break down break break break break break break down"
1,Give It All To You,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Give%20It%20All%20To%20You_Slot%20Machine,"
Wanna get you back down
Wanna get you back too
I deliver to me, I deliver to you
Don't wanna hold you back down
Don't wanna push on through
I'm still living with me, I'm still living with you

Wanna touch you right now
Wanna care about you, 
I deliver to me, I deliver to you
Did you wanna know about me
I wanna know about you
And it's only beginnig
I'm loving the feeling

So what I wanna say. What I wanna know
What I have to do, I give it all to you
But you've gotta say. What you wanna know
What I've gotta do, To give it all to you

Wanna touch you right now
Wanna care about you, 
I still liveing with me, I still liveing with you
Don't you hold me back down
Don't you pull me on through
I'm still loving this feeling
That's only beginning

So what I wanna say. What I wanna know
What I have to do, I give it all to you
But you've gotta say. What you wanna know
What I've gotta do, To give it all to you

So what I wanna say. What I wanna know
What I have to do, I give it all to you
But you've gotta say. What you wanna know
What I've gotta do, To give it all to you

To give it all to you
I give it all to you"
2,"I Know, I Know","https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/I%20Know,%20I%20Know_Slot%20Machine","
Should anyone be anything? And,
Should anyone ever believe in me?
I was afraid of taking a walk into the darkest night again
I’m gonna go learn how to feel life, live life again

I know, I know
I know, I know we shouldn’t fear
I know, I know
I know, I know it isn’t real
What does it take to give it away
It’s always been love

Will anyone drown?
Can anyone make the water fall?
The gathering clouds
And they feed life, feel alive

I know, I know
I know, I know we shouldn’t fear
I know, I know
I know, I know it isn’t real
What does it take to carry the pain
It’s always been love

Lay down, then you realise
It’s always perfect in the sky
We smile, and we feel alive

We shouldn’t fear
It isn’t real
What does it take to give it away
It’s always been love

I know, I know
I know, I know it isn’t real
I know, I know
I know, I know we shouldn’t fear
What does it take to carry the pain
It’s always been love"
3,Say What You Want,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Say%20What%20You%20Want_Slot%20Machine,"
Did anyone pass you by
Lookin’ for a chance to meet
Someone told a lie to make you cry

Change can never be replaced, oh
I know that I let you down again

Say what you want to say
Just like yesterday
I wanna know you and hold you like I used to
Don’t walk away
I don’t wanna feel the shame
As long as forever
Take my heart and start it again

Everyday passes by as every night I feel the pain
Was anyone else in mind that made you smile

Change can never be replaced, oh
I know that I let you down, but I need you now

Say what you want to say
Just like yesterday
I wanna know you and hold you like I used to
Don’t walk away
I don’t wanna feel the shame
As long as forever
Take my heart and start it again

Say what you want to say
Just like yesterday
I wanna know you and hold you like I used to
Don’t walk away
I don’t wanna feel the shame
As long as forever
Take my heart, restart it and

Say what you want to say
Just like yesterday
I wanna know you and hold you like I used to
Don’t feel this way
I know we can be the same
I’ll love you forever
Take my heart and start it again"
4,Sky Burning Stars,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Sky%20Burning%20Stars_Slot%20Machine,"
Fly as a bird, soaring high above the clouds
That's how my heart is feeling now
Flying above, with our heads in the clouds
Just you and I never coming down

We've got time to waste,
got time to make our dreams alive
I've got love for you
that's strong enough to last a lifetime

Baby don't stop
Baby don't stop, yeah
Baby don't stop
whatever's gonna stop us now
Let it go (let it go), let it go, let it go!

Sky burning stars,
shooting light through the clouds
Just you and I that's how we are

We've got time to waste,
got time to make our dreams alive
I've got love for you
that's strong enough to last a lifetime

Baby don't stop
B-Baby don't stop, yeah
Baby don't stop
whatever's gonna stop us now
Let it go (let it go), let it go, let it go!

Baby don't stop
B-Baby don't stop, yeah
Baby don't stop
whatever's gonna stop us now
Let it go (let it go),
let it go, let it go go GO!

We ran away with the night
We took the last satellite
There's nothing weighing us down
We seem so far as we're
floating on our satellite

The moon is all but a pin
And Mars is drawing us in
Are you feeling that,
surely we have gone to far
Take us down

Baby don't stop
B-Baby don't stop, yeah
Baby don't stop
whatever's gonna stop us now
Let it go (let it go), let it go, let it go!

Baby don't stop
B-B-Baby don't stop, yeah
Baby don't stop
whatever's gonna stop us now
Let it go (let it go),
let it go, let it go go GO!"
5,Spin The World,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Spin%20The%20World_Slot%20Machine,"
When I see your face, we go turn you down 
When I cut you out, and it feels like I’mma shout 2, 3, HEY! 
When I see your face, we go crazy now 
When I hit the ground and the shit goes down with BAM BOOM POW! 

And we speed our life away 
And we spin the world 
Take me downtown, take me downtown 

When I see the lights, shooting out of sound 
Then it fucks me up and I turn around and I shout 2, 3, HEY! 
What I want tonight, we go crazy now 
And it feels so right when the crowd goes BAM BOOM POW! 

And we speed our life away 
And we spin the world 
Take me downtown, take me downtown 

Take me downtown, break me downtown, hate me downtown, make me downtown 
Take me downtown, break me downtown, hate me downtown, meet me downtown 

And we speed our life away 
And we spin the world 
Take me downtown, take me downtown 
And we speed our life away 
And we spin the world 
Take me downtown, take me downtown"
6,Sweet Bird,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Sweet%20Bird_Slot%20Machine,"
Maybe I’m not the one with a reason 
Maybe you are the one who can see the good in me 
What I can’t see 
Don’t run away, run away when you wake up 
I’m gonna pray, gonna pray you’re forever by my side 
Baby, have you found 
If you turn back time 
Would you take a flower that fell 
I don’t wanna lay them down 
Do you wanna help me cry 
I don’t wanna make a sound 

So save a smile 
Sail into the stars 
And free yourself 
Baby it’s time to fly, sweet bird 

Maybe I don’t agree there’s a reason 
In a world where the deeds of the evil feed inside 
Praying on the weakest minds 
I know, I know golden silver 
I know, I know I will treasure you inside 

So save a smile 
Sail into the stars 
And free yourself 
Baby it’s time to fly, sweet bird 

So save your smile 
And sail into the sun 
Free yourself 
Baby it’s time to fly, sweet bird"
7,Vaccine ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Vaccine_Slot%20machine,"
อยากร้องเพลง เพลงที่ทำให้เธอหายเศร้า ทุกข์ที่แสนยาวนาน อยากให้จางหายไป
หากเศร้าใจ โปรดเก็บสิ่งสำคัญในห้องหัวใจ แล้วให้รักพาไป ไกลเท่าที่ต้องการ

* จันทร์ที่คอยส่องแสง นั้นทำให้ฉันเห็นและเข้าใจ ดาวช่างส่องสดใส ช่วยทำให้ใจของเธอมีหวัง

หากได้ยิน เพลงที่ไหลรินมาไกลแสนไกล ขอเธอจงมั่นใจ หากมีทุกข์ใดเข้ามา
หยาดน้ำตา อาจไม่ได้นำมาแค่ความเศร้า แม้เหลือเพียงความว่างเปล่า ตัวเรานั้นยังอยู่

( ซ้ำ * )

** ทุกข์และสุขเหล่านั้น ช่วยให้เข้มแข็งและมีพลัง
ชีวิตก้าวเดินต่อไป ให้เรารับรู้เข้าใจความหมาย"
8,ค้น (Khon),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ค้น%20(Khon)_Slot%20Machine,"
พร้อมจะหมดวัน ฉันยังไม่เดินไป
เหมือนมันหมดแรง ใจถูกทำร้ายเกินกว่า
แสงจะดับลง ไม่ตรงต่อไป ความมืดมิดก็คลานเข้ามา
ไม่เหลืออะไร แค่คำว่าไว้ใจ แต่ฉันทำไม่ได้

ค้นในหัวใจ ลึกลงข้างใน รู้มันต้องมี
ค้นในหัวใจ ลึกลงข้างใน ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที

ก็ยังรอความรัก ให้มันเป็นดังฝน ที่โปรยลงมา
ให้มันมาช่วยล้าง ช่วยรักษาใจ ที่แตกสลาย

ค้นในหัวใจ ลึกลงข้างใน รู้มันต้องมี
ค้นในหัวใจ ลึกลงข้างใน ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที

แหงนมอง ฟ้าดูไกลสุดแสนไกล
เหลือเพียงความหวังไม่จางหายไป
เก็บไว้ เพื่อจะรอ จนวันสุดท้าย
(รู้มันต้องมี ยังอยู่ตรงนี้)

ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที

ค้นในหัวใจ ลึกลงข้างใน รู้มันต้องมี
ค้นในหัวใจ ลึกลงข้างใน ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที"
9,ค้น,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ค้น_Slot%20Machine,"
พร้อมจะหมดวัน ฉันยังไม่เดิน ไป
เหมือนมันหมดแรง ใจถูกทำร้ายเกินกว่า
แสงจะดับลง ไม่ตรงต่อไป ความมืดมิดก็คลานเข้ามา
ไม่เหลืออะไร แค่คำว่าไว้ใจ แต่ฉันทำไม่ได้

ค้นในหัวใจ ลึกลงข้างใน รู้มันต้องมี
ค้นในหัวใจ ลึกลงข้างใน ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที

ก็ยังรอความรัก ให้มันเป็นดังฝน ที่โปรยลงมา
ให้มันมาช่วยล้าง ช่วยรักษาใจ ที่แตกสลาย

ค้นในหัวใจ ลึกลงข้างใน รู้มันต้องมี
ค้นในหัวใจ ลึกลงข้างใน ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที

แหงนมอง ฟ้าดูไกลสุดแสนไกล
เหลือเพียงความหวังไม่จางหายไป
เก็บไว้ เพื่อจะรอ จนวันสุดท้าย

รู้มันต้องมี ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที

ค้นในหัวใจ ลึกลงข้างใน รู้มันต้องมี
ค้นในหัวใจ ลึกลงข้างใน ยังอยู่ตรงนี้
ขอความผูกพัน ของใครสักคน มาเปลี่ยนแปลงฉันที"
