,name,link,lyrics
0,Love Is Now รักอยู่ตรงหน้า,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Love%20Is%20Now%20รักอยู่ตรงหน้า_เดอะ%20ทอยส์,"
ตื่นแต่เช้า จับโทรศัพท์ 
นั่งพิมพ์ชื่อของเธอ
ดูตอนนี้ เธอทำอะไร 
ส่องมันไปทั้งวัน
เธอ check in อยู่ที่ไหน 
กด love ไป get หรือเปล่า 
บอกคำหวาน หยอดทุกวัน 
เผลอ tag ชื่อที่หัวใจใน IG

ทำได้เพียงแค่ คุยกันหน้าจอ 
ทำได้เพียงแค่ ส่ง LINE หาเธอ 
ทั้งที่ใจก็อยากเจอสักครา
แต่ไม่กล้าเผชิญสักที 

ลองออกไปเจอ 
สบตาเธอ แม้ช่วงเวลาสั้นๆ 
หยุดความคิด บนมือถือ 
ที่รู้จักกันผ่านปลายนิ้วมือ 
แค่บอกคำนั้นว่ารักกัน 
ตอนที่อยู่ด้วยกัน 
และแม้คำนั้นมันช่างสั้น 
แต่ความสุขนั้นยาวนานเหลือเกิน 

ได้มองตาก็รู้จักเธอมากกว่ามอง IG 
คุยกันไม่กี่คำ ก็ดีกว่า chat เป็นปี 
จะ facebook facetime  ก็สู้ face เธอไม่ได้ 
ก็เพิ่งจะรู้ว่าความสุขมันอยู่ตรงนี้ที่ได้เจอ"
1,Toy,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Toy_เดอะ%20ทอยส์,"
ทำได้แค่เพียงมองดูเธอค่อยๆเดินจากไปอย่างช้าๆ
ก็ไม่ได้คิดว่าเธอทำผิดก็เรื่องแบบนี้มันธรรมดา

เธอไม่ต้องที่จะอธิบาย
ถึงฉันรู้เธอก็ต้องไป
เป็นได้แค่นี้จริงๆแค่คนคนเดียวที่รักเธอที่สุด

* กระจกใบนี้มันไม่มีราคาใด
อย่าพยายามมองเข้าไป
ถูกแล้วที่เขาควรจะเดินไป
โกรธตัวเองทุกครั้งที่ส่อง
(กระจกใบนี้)

( ซ้ำ * )
( ซ้ำ * , * , * , * )"
2,ก่อนฤดูฝน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ก่อนฤดูฝน_เดอะ%20ทอยส์,"
** เพียงแค่ฝนตกลงที่หน้าต่างในบางครา
เพียงแค่ฝนตกลงในวันหยุดในตอนเช้า
มันก็อาจจะมีนิดเดียว ที่คิดถึงเธอ
มันก็อาจจะเป็นครั้งเดียว ที่บอกรักเธอ

เพียงแค่ ฉันเองก็ไม่รู้ว่าในทุกๆวันที่มีแต่เธอยังคงละเมอและเพ้อทุกครั้งที่มองขึ้นไป 
บนท้องฟ้าหยดน้ำค้างตกกระทบในตาฉัน
แล้วในวันนี้พรุ่งนี้จะเป็นยังไงจะเดินจะกินจะนอนจะยอมให้วันเวลาเดินไปเท่าไร 
แต่สุดท้ายแดดยามเช้าก็ไม่สดใส 

( ซ้ำ ** )

แต่สุดท้ายกาลเวลาก็บอกฉัน
ว่าเธอนั้นไม่ใช่ทุกอย่าง
และฉันก็ไม่ต้องการเธอในตอนนี้
ก็มีแค่เพียงฝน มาอยู่กับฉันมาแทนที่เธอในวันที่ฉันต้องการแค่

( ซ้ำ ** , ** )"
3,ขอโทษที่เป็นแบบนี้,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอโทษที่เป็นแบบนี้_เดอะ%20ทอยส์,"
เป็นแค่คนๆ หนึ่ง ที่แสนธรรมดา
ไม่เห็นเป็นอย่างใครเขาที่มีทุกอย่างพร้อม

มีไหมดาวสักดวง หากฉันอยากขอพร
ช่วยฉันทีเถอะทำให้ฉันได้แสนวิเศษกับเขา

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้
ขอโทษที่ไม่พิเศษ เป็นแค่คนๆ เดียวที่ รักเธอ
ผิดที่ฉันนั้นดูแลเธอไม่ได้

บางเวลาที่เธอ ไม่ต้องการจะเจอ
ฉันเข้าใจว่าบางทีฉันก็น่ารำคาญ baby

มีไหมดาวสักดวง หากฉันอยากขอพร
ช่วยฉันทีเถอะทำให้ฉันได้แสนวิเศษกับเขา

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้
ขอโทษที่ไม่พิเศษ เป็นแค่คนๆ เดียวที่ รักเธอ
ผิดที่ฉันนั้นดูแลเธอไม่ได้

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้

ขอโทษที่ไม่เคยดี ที่ไม่เคยจะทำให้เธอสบาย
อย่างใครๆ ที่เขาทำได้
ขอโทษที่ไม่พิเศษ เป็นแค่คนๆ เดียวที่ รักเธอ
และไม่ว่าจะถึงเมื่อไร รักเธอ"
4,จดหมาย,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จดหมาย_เดอะ%20ทอยส์,"
You just made my day and everything turns right.
I'm not moving on
Just wanna sit to lookin' your brown eyes
And babe it's you girl.
You tell me 'bout the situation i should really turn back
And it's fine to know that you think we just friend.
เพียงแต่ว่าไอฉันนั้นมันดันคิดไปไกล
เพียงแต่ว่าไอฉันนั้นเองที่อาจเผลอไป
เพียงแต่เขาคนนั้นของเธอก็ดีเกินไป
ผิดเองและที่ฉันเองและที่คิดมากไป

หยิบปากกาอันนึงขึ้นเขียนจดหมายไปหา
แต่ว่าใจก็ยังไม่กล้ากลัวว่าเธอไม่ให้อภัย
(ถ้าฉัน)คิดถึงเธอ(ถ้าฉัน)บอกรักเธอและเธอมาเห็นมันคงโกรธกันมากมาย
เก็บปากกาอันนั้นไว้เลยใส่กระเป๋าเอาไว้
อย่าให้ใครมาได้ยินเสียงคำในหัวใจ
แค่ฉัน ได้รัก เธอแค่นั้นก็พอ หนึ่งชีวิตก็ดีเท่าไร

หยิบปากกาอันนึงขึ้นเขียนจดหมายไปหา
แต่ว่าใจก็ยังไม่กล้ากลัวว่าเธอไม่ให้อภัย
(ถ้าฉัน)คิดถึงเธอ(ถ้าฉัน)บอกรักเธอและเธอมาเห็นมันคงโกรธกันมากมาย
เก็บปากกาอันนั้นไว้เลยใส่กระเป๋าเอาไว้
อย่าให้ใครมาได้ยินเสียงคำในหัวใจ
แค่ฉัน ได้รัก เธอแค่นั้นก็พอ หนึ่งชีวิตก็ดีเท่าไร"
5,จะทำให้เธอ Blink,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จะทำให้เธอ%20Blink_เดอะ%20ทอยส์,"
เมฆตอนเช้าดูไม่สดใส
เหมือนใกล้เข้าหน้าหนาว
เธออยู่ไหนเป็นไงบอกที

ยังเป็นห่วงเสมอ ไม่ว่าเธอ ไม่สนใจ ไม่เป็นไร แค่
ขอให้ฉันดูแลเธอใกล้ๆ

* จะเป็นของขวัญในตอนวันเกิด
จะเป็นดอกไม้ดีๆ ให้เธอ 
จะทำทุกทาง จะดูแลเธอไปทุกนาที 
และมีบ้างไหมเวลาเธออ่อนแรงหากในวันที่เธอล้มลง
จะทำให้เธอ
หากเธอต้องการอะไร
แม้เธอไม่สนใจ

** จะทำให้เธอ…Blink Blink Blink Blink Blink Blink Blink

( ซ้ำ ** , ** , ** , ** )

( ซ้ำ * )"
6,ท้าเล,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ท้าเล_เดอะ%20ทอยส์,"
อยากจะวิ่งหนีไปในทะเล แบบไม่ต้องมีเธอในสักวัน
แค่อยากจะวิ่งหนีไปในทะเล แบบไม่ต้องมีเธอในสักวัน

Get something eat อยู่นะ darlin'
I don’t know what I’m here for ในตอนนี้
So, what did you say?
What did you say?
What did you say?

เธอบอกว่าฉันชอบนะฉันชอบเกเร
ทั้งๆที่ฉันนั้นไม่เคยจะเสเพล
เรื่องนี้ฉันTake, imma say you don’t say
I never เกเร ขนาดเดินยังเดินเซ

คิดถึงที่นอน คิดถึงพี่บอล คิดถึงลูกเกดแต่ไม่คิดถึงYou(x2)

อยากจะวิ่งหนีไปในทะเล แบบไม่ต้องมีเธอในสักวัน
แค่อยากจะวิ่งหนีไปในทะเล แบบไม่ต้องมีเธอในสักวัน

La La La La Oh
La La La La La La La La La La La(x2)

Trippin like shit, in the deepness of it
ใช้มาแล้วทั้งชีวิต Ain’t got nobody feel me 
 อยู่ในทะเลแอบไปกินไอศกรีมติดเกาะแบบCast away แล้วก็จบลงด้วยlean 

ฉันคงไม่ได้มีเวลานอนให้เธอหมดแล้วตั้งวันจันทร์ถึงวันศุกร์ แทบไม่มีหยุด ชีวิตนี้คงไม่ได้เป็นสุขดี

La La La La Oh
La La La La La La La La La La La(x4)"
7,ทิ้งแต่เก็บ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ทิ้งแต่เก็บ_เดอะ%20ทอยส์,"
มองดูรอบตัว มีของมากมาย
ทิ้งไปเท่าไร ก็ไม่เคยจะหมดเลย
ตกอยู่ชิ้นหนึ่ง ใครใจร้ายจังเลย
ทิ้งไว้ที่เดิม หรือทิ้งที่ไหนดี
แค่อยากจะขอเก็บไว้ที่เก่า
และไม่บอกใครให้มันเป็นเรื่องราว
จะไม่เปลี่ยนไปจะนานนานเท่าไร
จะเก็บและทิ้งเรื่องดีๆเอาไว้
แค่อยากจะขอเก็บไว้ที่เดิม
ไม่ต้องเพิ่มเติมให้มันเป็นเรื่องราว
และไม่เปลี่ยนใจจะนานนานเท่าไร
จะเก็บและทิ้งเรื่องดีๆเอาไว้
แค่อยากจะขอเก็บไว้ที่เก่า
และไม่บอกใครให้มันเป็นเรื่องราว
จะไม่เปลี่ยนไปจะนานนานเท่าไร
จะเก็บและทิ้งเรื่องดีๆเอาไว้
แค่อยากจะขอเก็บไว้ที่เดิม
ไม่ต้องเพิ่มเติมให้มันเป็นเรื่องเป็นราว
และไม่เปลี่ยนใจจะนานแสนนานเท่าไหร่
เกือบลืมไปแล้วมีความสุขแค่ไหน"
8,ฝันฤดูร้อน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ฝันฤดูร้อน_เดอะ%20ทอยส์,"
* ได้อยู่ตรงนี้ก็ดีอยู่แล้ว
จะแดดร้อนๆ ในตอนเช้าๆ
ได้อยู่กับเธอก็ดีอยู่แล้ว
จะแดดร้อนๆ ก็ไม่ไปไหน
ล่องลอยในจักรวาลเธอและฉันดวงดารา
ไม่รู้เรื่องจริงหรือฝัน ผิดที่ฉันภาวนาจะอยู่กับเธอ


Verse1(Rap):
แดดแรงๆในตอนเช้า ส่องลงมาจากบนนั้น บอกกับฉันกับว่าการเดินมันอันตราย
บนถนนยังอีกไกล ในเวลาที่หวั่นไหว
บอกกับฉันว่าการเดินทางไม่สวยเท่าไร
แต่แล้วโลกทั้งใบก็เปลี่ยนไป
เพียงแค่ฉันนั้นอยู่กับเธอใน
บนท้องฟ้าก็สดใส ราวกับเพียงแค่ฝันไป
แค่ได้จับมือเธอ ฉันไม่กลัวอะไร


Verse2(Rap): มันผิดที่ฉันเองเพียงแค่ฝันไปฉันนั้นคิดไกล
ไม่รู้ทำไมที่ต้องเพ้อไปเพียงโลกทั้งใบดับสลายไป

ไม่มีถนนไม่มีเธอเดินไม่มีแสงไฟดับและหายไป
คิดเอาไว้แล้วว่าทั้งหมดฝันไป
ไม่เป็นไรแค่นั้นก็ดีเท่าไร


( ซ้ำ * , * )"
9,พูดไม่ออก,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/พูดไม่ออก_เดอะ%20ทอยส์,"
* ฉันคงจะตกหลุมรัก เธออีก
I just wonder,บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออกแต่รู้ว่าไม่ค่อยดีหรอก
ตกหลุมรัก เธออีก
I just wonder,บางที
แต่ว่าเธอน่ะใจร้าย แบบนี้
ฉันก็พูดไม่ออกแต่รู้ว่าไม่ค่อยดีหรอก

ฉันไม่คิดในชีวิตจะมาหลงรัก
ไม่มีสิทธิ์คิดอะไรแบบนั้นหรอก
รู้ฉันรู้มันยากจะบอก เธอฉันไม่ควรเอาแต่ใจ ถ้าเธอคิดจะไป

แค่เธอยิ้ม มองลงมา ฉันก็เพ้อไปทุกทีทุกเวลา 
เธอไม่เหมือนใครแต่ฉันคนธรรมดาแต่ถ้าจะเก็บเธอไว้ใครก็คงจะเวทนา

ซ้ำ (*)

แอบดูตอนที่เขา ส่งข้อความ มาบอกเธอ
อย่างทำอย่างนี้ ทำอย่างนั้น ฉันก็ได้แต่
แอบดูตอนที่เขา ส่งข้อความ มาบอกเธอ
อย่างทำอย่างนี้ ทำอย่างนั้น ฉันก็ได้แต่มอง

ซ้ำ (*)"
