,name,link,lyrics
0,กลัว ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กลัว_Tattoo%20Colour,"
และในตอนนี้ ก็ยังไม่เข้าใจ
เพื่อนฉันคนนี้ ว่าเธอคิดยังไง
ถ้าฉันรัก จะผิดไหม
ถ้าบอกรัก กลัวเธอจะเปลี่ยนไป
ฉันต้องทำไง คงต้องทำใจ เก็บมันไว้...

กลัวเธอหลบสายตา กลัวเธอหลบหน้ากัน
กลัวเธอจะโกรธฉัน กลัวเธอไม่สนใจ
กลัวเธอไม่พูดจา กลัวเธอจะหนีไป
กลัวเธอจะใจร้าย กลัวเธอจะอายใครใคร
ที่ฉัน...ไปรักเธอ

ถ้าเธอเกิด...รู้ ว่าฉันนั้นมีใจ
ก็แอบมี...หวัง ถ้าเธอไม่มีใคร
แต่จะรัก จะผิดไหม
ถ้าบอกรัก กลัวเธอจะเปลี่ยนไป
ฉันต้องทำไง คงต้องทำใจ เก็บมันไว้...

กลัวเธอหลบสายตา กลัวเธอหลบหน้ากัน
กลัวเธอจะโกรธฉัน กลัวเธอไม่สนใจ
กลัวเธอไม่พูดจา กลัวเธอจะหนีไป
กลัวเธอจะใจร้าย กลัวเธอจะอายใครใคร
ที่ฉัน...ไปรักเธอ

ไม่รู้ว่าเมื่อไหร่ ไม่รู้ว่าหัวใจ
แอบไปคิดถึงเธอเมื่อตอนไหน รักเธอเมื่อไหร่
แต่กลัวว่าต้องเสียใจ หากเธอยังไม่เข้าใจ
ต้องเก็บไว้ อย่าให้ใครได้รู้...

กลัวเธอหลบสายตา กลัวเธอหลบหน้ากัน
(กลัวถ้าเธอคิดเป็นอย่างไร)
กลัวเธอจะโกรธฉัน กลัวเธอไม่สนใจ
(คนที่แอบรักอยู่ในใจ)
กลัวเธอไม่พูดจา กลัวเธอจะหนีไป
(คนที่ตัวเขานั้นหวั่นไหว)
กลัวเธอจะใจร้าย กลัวเธอจะอายใครใคร ที่ฉัน...ไปรักเธอ...
(ต่อคนคนนี้...ที่รักเธอ...ที่จะไปรัก...)"
1,เกาะร้าง ห่างรัก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เกาะร้าง%20ห่างรัก_Tattoo%20Colour,"
อยู่กลางทะเล  มีน้ำกับทราย
มองไปทางใด  ไม่เคยเห็นใครมา
ติดเกาะอย่างนี้มานาน
บางวันลงน้ำหาปลา
จุดไฟต้องหาไม้มาขูดกัน

ตกตอนกลางคืน  ยิงหนาวจับใจ
อยู่ริมกองไฟ  ข่มใจให้พักผ่อน
บางวันฉันเหงาฉันเพลีย
อยากจะจิบเบบียร์ก่อนนอน
บางวันฉันร้อน  วิ่ง ลงหาดทราย

เกาะร้างเกาะนี้ฉันอยู่ลำพังมานานเกินใจทนไหว
รอเรือสักลำมาพาฉัน แล่นออกไป

แต่จะมีใครหรือเปล่า ที่เห็นว่ายังมีเงาน่าสงสัย
เกาะร้างยังมีคนอยู่ ยังหายใจ
และยังมีฉันอยู่ตรงนี้
บนเกาะที่น่าเบื่อ  ก็หวังว่าจะมี เรือสักลำไหม
ที่รู้และพาฉันออกไปให้ได้
ก็อยากจะเฝ้ารอต่อไป

เกาะร้างเกาะนี้ฉันอยู่ลำพังมานานเกินใจทนไหว
รอเรือสักลำมาพาฉัน แล่นออกไป

แต่จะมีใครหรือเปล่า ที่เห็นว่ายังมีเงาน่าสงสัย
เกาะร้างยังมีคนอยู่ ยังหายใจ
และยังมีฉันอยู่ตรงนี้
บนเกาะที่น่าเบื่อ  ก็หวังว่าจะมี เรือสักลำไหม
ที่รู้และพาฉันออกไปให้ได้
ก็อยากจะเฝ้ารอต่อไป

บนเกาะที่น่าเบื่อ ไม่เห็นสักลำเลยเรืออยู่ที่ไหน
ชีวิตฉันคงจะออก ไปไม่ได้
ต้องอยู่อย่างนี้ตลอดไป
ต้องอยู่อย่างนี้ตลอดไป
ต้องอยู่ อย่างนี้อีกนานไหม  โวว..."
2,โกหก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/โกหก_Tattoo%20Colour,"
ทุกถ้อยคำ พูดจา อ่อนหวาน
ช่างเย้ายวนใจ
อ่อนไหว คำหวาน
ให้เราหลงใหล ปักใจ อยู่นาน
ถ้อยคำที่ใช้ เมื่อใจต้องการ
.ทุกเวลา ต้องการ สิ่งไหน
อยากใช้รีบมา ที่รัก ได้ไหม
ก็ยอมทั้งนั้น ต้องการ อะไร
ก็จากวันนั้น ไม่เคย ใส่ใจ
บอกว่ารัก
รักรักฉันโกหกทั้งนั้น
วันนี้ทุกอย่างฉันรู้ ทันเธอ
กลับเอาถ้อยคำทำร้ายใจ
ครั้งนี้ฉันรู้ตัวเกือบจะสาย
ความหมายที่เธอว่ารัก
เป็นเพียงแค่การหลอกใช้กัน
ฉันจะทนไม่ไหวแล้ว
.ฉันรักเธอ กว่าใคร ผ่านมา
ก็แค่หัวใจ ที่ฉัน ใฝ่หา
แต่เธอรู้ไหม ไม่เคย กลับมา
และคำสุดท้าย คือคำบอกลา
บอกว่ารัก
รักรักฉันโกหกทั้งนั้น
วันนี้ทุกอย่างฉันรู้ ทันเธอ
กลับเอาถ้อยคำทำร้ายใจ
ครั้งนี้ฉันรู้ตัวเกือบจะสาย
ความหมายที่เธอว่ารัก
เป็นเพียงแค่การหลอกใช้กัน
ฉันจะทนไม่ไหวแล้ว
.ฉันรักเธอ กว่าใคร ผ่านมา
ก็แค่หัวใจ ที่ฉัน ใฝ่หา
แต่เธอรู้ไหม ไม่เคย กลับมา
และคำสุดท้าย คือคำบอกลา
บอกว่ารัก
รักรักฉันโกหกทั้งนั้น
วันนี้ทุกอย่างฉันรู้ ทันเธอ
กลับเอาถ้อยคำทำร้ายใจ
ครั้งนี้ฉันรู้ตัวเกือบจะสาย
ความหมายที่เธอว่ารัก
เป็นเพียงแค่การหลอกใช้กัน
คำว่ารักกัน
เธอกลับมาทำร้ายฉัน
คำว่ารักกัน
เธอกลับเอาคำนั้นทิ่มแทงหัวใจ"
3,ขาหมู ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขาหมู_Tattoo%20Colour,"
เกลียดละครแต่ก็ดูมันทุกตอน
เกลียดคนใจร้อนแต่ก็ชอบมวย
เกลียดคนรวยนักชอบดูถูกฉัน
แต่เมือคืนพึ่งฝันว่าถูกหวย

เกลียดใครก็ได้เจอมันทุกวัน
เกลียดคนผิดนัดแต่ฉันก็เคย
เกลียดชังตอนแฮงค์
ปวดหัวตอนเช้า
ตกเย็นเหล้าไม่หยุดเลย

* ชีวิตคนสับสนวุ่นวาย
เพราะหัวใจ มันคล้ายมีบางอย่าง
ถึงฉันเกลียด แต่ฉันก็ต้องการ
ไม่ว่าใครๆ

** เกลียดความรัก ที่ทำให้เราต้องเสียใจ
แต่ยังค้น ยังคอยจะหามันเรื่อยไป
เจ็บไม่จำทั้งๆ ที่รู้ สุดท้ายที่รออยู่คืออะไร
โอ โอ๊ โอ๋ โอว
เกลียดความรัก ที่ทำให้เราต้องร้องไห้
แต่ยังเหงาถ้าไม่มีเขาก็ไม่ได้
อยู่คนเดียวมันยังไม่พอ
ต้องขอใครสักคน เข้ามาทำ ให้ใจเจ็บช้ำ
ไม่เข้า ใจ

เกลียดการพนัน แต่ก็เคยเป็นเจ้ามือ
รำคาญมือถือ แต่ฉันก็มี
เกลียดชังความอ้วน ใครๆ ก็รู้
แต่ยังสั่งขาหมูกินอยู่ดี

เกลียดการมองคนที่หน้าตา
แต่พอเจอดาราขอลายเซ็น
เกลียดคนยัวะเยียะ อึดอัดทุกครั้ง
แต่พออยู่ในผับ ฉันก็ต้องเต้น

( ซ้ำ * , ** )

( ซ้ำ ** )"
4,คนสวย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนสวย_Tattoo%20Colour,"
เธองามจับตาเหมือนฝันบรรเจิดลงมา
ยามปรากฎกายหวือหวาราวกับภาพมายา
ดลหลอกตา เหมือนเป็นคำสาป
คนมากมายคอยติดตาม หลงจนหัวใจต้องเจ็บช้ำ

เป็นการแสดงที่แฝงความเจ็บลงไป
เธอทำให้คนหลงใหลเธอในภาพมายา
ดลหลอกตา เหมือนเป็นคำสั่ง
ความสวยงามคอยปิดบัง ฝังในหัวใจที่โหดร้าย

อีกไม่นานแค่ผ่านเวลาในพริบตา
ดั่งเปลวไฟหมดความสดใสยามนิทรา
เมื่อความสวยงามได้โรยราหายไป
ใครจะสนในคนไม่เคยมีหัวใจ
จากวันนั้นจะคืนกลับมา คงจะช้าเกินไป

ถ้ามีสิ่งใดคงไว้ชั่วนิรันดร์ บางทีอาจมีวันนั้น
วันที่น้ำตารินออกมา เหมือนเป็นคำสาป
ความสวยงามพลันจากลา เหลือเพียงหัวใจที่โหดร้าย

อีกไม่นานแค่ผ่านเวลาในพริบตา
ดั่งเปลวไฟหมดความสดใสยามนิทรา
เมื่อความสวยงามได้โรยราหายไป
ใครจะสนในคนไม่เคยมีหัวใจ
จากวันนั้นจะคืนกลับมา คงจะช้าเกินไป

อีกไม่นานแค่ผ่านเวลาในพริบตา
ดั่งเปลวไฟหมดความสดใสยามนิทรา
เมื่อความสวยงามได้โรยราหายไป
ใครจะสนในคนไม่เคยมีหัวใจ
จากวันนั้นจะคืนกลับมา คงจะช้าเกินไป

คิดดูให้ดีนะ เมื่อความสวยงามได้โรยราหายไป
ใครจะสนในคนไม่เคยมีหัวใจ
จากวันนั้นจะคืนกลับมา คงจะช้าเกินไป"
5,คิดถึงก่อน..ชนะ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คิดถึงก่อน..ชนะ_Tattoo%20Colour,"
กี่โมงแล้ว เกือบจะดีสอง
ใจยังเรียกร้อง เพราะอะไร
ก็ดึกแล้ว อาจต้องตื่นเช้า
ว่าแต่เธอเหงาใจอยู่ไหม

แค่หลับตา ลงครั้งใด
ราวกับขึ้นไปบนสวรรค์

เหม่อมองท้องฟ้า ทั้งหมู่ดาว
ก็ยังทำให้ฉันคิดถึงเธอแต่เธอ
คืนนี้ยังมีแสงดวงจันทร์อยู่เสมอ
ส่องให้เธอไม่ว่าไกลเท่าไหร่
ถึงแม้ไม่อยู่ตรงนี้ ด้วยกัน
แต่เหมือนว่ามีเธอนั้น ใกล้ ๆ
คิดถึงก่อน แล้วค่อยนอนหลับไป

หลับตาแล้ว เธอจะมีฉัน
เรามาหลับฝัน พร้อมกันไหม
อยู่ในฝัน ฉันจะตามหา
แล้วฉันจะพาเธอเอามาอยู่ใกล้ ๆ

จับมือเธอ เพียงครั้งใด
ราวกับขึ้นไปบนสวรรค์

เหม่อมองท้องฟ้า ทั้งหมู่ดาว
ก็ยังทำให้ฉันคิดถึงเธอแต่เธอ
คืนนี้ยังมีแสงดวงจันทร์อยู่เสมอ
ส่องให้เธอไม่ว่าไกลเท่าไหร่
ถึงแม้ไม่อยู่ตรงนี้ ด้วยกัน
แต่เหมือนว่ามีเธอนั้น ใกล้ ๆ
คิดถึงก่อน แล้วค่อยนอนหลับไป

จะอยู่ตรงนี้ แค่มีเธอนั้น
ก็จะคิดถึงก่อน แล้วค่อยนอนหลับไป

จะอยู่ตรงนี้ แค่มีเธอนั้น
ก็จะคิดถึงก่อน แล้วค่อยนอนหลับไป"
6,คืนนี้สบาย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คืนนี้สบาย_Tattoo%20Colour,"
ดึกๆ ดื่นๆ ทำไมมายืนอยู่คนเดียว ไม่รู้หรือว่ามันเปลี่ยวและน่ากลัว
ดึกๆ ดื่นๆ ทำไมมายืนอยู่ลำพัง ตรงนี้ที่แสงของไฟสลัว

ฉันได้ยินข่าวว่าจะมีคนร้ายท่าทางดูดี
ผ่านไปมาเมื่อยามราตรีเธอระวังเอาไว้
ที่ได้ยินมามันจะออกมามองหาคนเดียวดาย
อยู่คนเดียวนั้นอันตรายเธอจะทำอย่างไร

* งั้นไปด้วยกันมั้ย ให้ฉันมารับไปส่ง
งั้นไปด้วยกันมั้ย เพราะค่ำคืนอันตราย
งั้นไปด้วยกันนะ ฉันจะพาผ่านความเหงาความเดียวดาย
ให้ฉันดูแลเธอ ไม่ต้องกลัวอะไร

ดึกๆ ดื่นๆ นี่เธอออกมากับใครหนอ
ปล่อยให้รอไว้ได้ยังไง มีใครดูแลรึเปล่า
ดึกๆ ดื่นๆ เธอคงไม่ยืนอยู่จนเช้า
หากเธอเหงาฉันก็จะรออย่างนี้

** ฉันได้ยินข่าวว่าจะมีคนร้ายท่าทางเกเร
อาจจะเมาแล้วเดินโซเซเธอระวังเอาไว้
ที่ได้ยินมามันจะออกมาคุยท่าทางโวยวาย
อยู่คนเดียวนั้นอันตรายเธอจะทำอย่างไร

( ซ้ำ * )

(Rap) ทั้งหมดทราบ เพิ่งฟังข่าวเมื่อเช้านี้เอง
เขาบอกมีคนร้ายจะรวมกลุ่มออกลาดตระเวน
ระวังตัว มันน่ากลัว นะสาวสวย
เธอใส่ dress ตัวเล็ก หุ่น sex ระวังจะเคล็ดนะสาวหมวย
จะสาว office หรือนักศึกษามาเป็นคณะ
พวกพี่มากันทั้งวง ไปส่งให้ครบทุกคนได้สบายละ
หมั่นไส้พวกคนรวย อย่าเข้าไปใกล้
ตบปากมันซักทีเดี๋ยวคืนนี้พี่มีรางวัลให้
โปรดระวังอย่าให้มันหลอกง่ายๆ
สัญญาว่ากลับด้วยกันนะ รับรองว่ามีแต่ได้กับได้

( ซ้ำ ** )

( ซ้ำ * )

( ซ้ำ * )"
7,เคียงข้างคุณ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เคียงข้างคุณ_Tattoo%20colour,"
อาจจะเป็นแค่หนึ่งนาที อาจจะนานนับห่างเป็นปี อยากให้คุณพบสิ่งดีดี เมื่ออยู่เคียงข้างกัน
อาจเป็นวันที่สุขสดใส อาจมีความหมองหม่นในใจ อยากให้คุณรู้สึกอุ่นใจ ที่อยู่เคียงข้างคุณ

* คนเราจะอยู่ได้อย่างไร ความสุข ก็คงหมดความหมาย
ขอเพียงสักคนที่เข้าใจ เหนื่อยล้าหรือจะท้อสักเท่าไหร่ อยากให้รู้ว่ามีฉันคอยห่วงใย

หากเวลานั้นเปลี่ยนแปลงไป กับอนาคตอีกยาวไกล ไม่ว่าคุณนั้นอยู่ตรงไหน จะอยู่เคียงข้างคุณ

( ซ้ำ * )

อาจเป็นวันที่สุขสดใส อาจมีความหมองหม่นในใจ อยากให้คุณรู้สึกอุ่นใจ ที่อยู่เคียงข้างคุณ
หากเวลานั้นเปลี่ยนแปลงไป กับอนาคตอีกยาวไกล ไม่ว่าคุณนั้นอยู่ตรงไหน จะอยู่เคียงข้างคุณ
เราจะอยู่เคียงข้างกัน จะอยู่เคียงข้างคุณ จะอยู่เคียงข้างคุณ"
8,แค่นั้นจริงจริง ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แค่นั้นจริงจริง_Tattoo%20colour,"
ใครต่อใคร ต่างคอยเสาะหา ถ้อยคำต่างต่างนานา ร้อยเรียงให้เป็นวาจาที่สวยงาม จับใจ
ใครต่อใคร ต่างคอยสะสม หน้าตาเป็นรองคารม ร้อยพันต่างต่างคำคมที่สวยงาม ไม่เหมือนใคร

ต่างจากฉัน ที่หาทางออก คำคำไหนจะเป็นคำตอบ
เบื่อจะคิดให้วุ่นวาย คำแบบไหนจะสำคัญเรื่องของมัน ฉันไม่สน

เพราะแต่ละคำที่พูดมา ออกจากปากและสายตาช่วงเวลาที่อ่อนไหว
มันอาจจะเป็นคำซ้ำซ้ำ แต่ก็จริงใจทุกคำ ลมหายใจฉันให้เธอไว้
แต่ละคำที่ชัดเจน ออกจากปากของฉันเอง มีให้เธอจนหมดใจ
นั่นก็คือคำว่ารัก ฉันรักเธอเท่านั้นจริงจริง แค่นั้นจริงจริง

ใครต่อใคร จะเป็นแบบไหน ใช้คำเก่งกาจยังไง ฉันมีคำหนึ่งในใจที่สวยงาม ให้เธอไป

นั่นคือฉัน ที่หาทางออก คำคำไหนจะเป็นคำตอบ
เบื่อจะคิดให้วุ่นวาย คำแบบไหนจะสำคัญเรื่องของมัน ฉันไม่สน

( ซ้ำ * )



( ซ้ำ * )"
9,จากกันด้วยดี ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จากกันด้วยดี_Tattoo%20colour,"
กี่ที ที่เรา สองคน ต้องปวดใจ เรื่องราว มากมาย ร้องไห้ เพราะอะไร

* หรือฉันนั้นควรจะเสี่ยง ต้องเสี่ยงให้เธอจากไปช้าช้า
คล้ายคล้ายว่ามันจะจบ ต้องจบลงไปที่มีความหมาย ตลอดมา

จากกันด้วยดีเถอะ คำสัญญา นานเท่านาน เก็บเอาไว้
จากกันด้วยดีถอะ คำสัญญา คงต้องลา จากกันไป โอ้ว
ทิ้งไว้ตรงนี้เถอะ คำสัญญา จะทรมาน สักเพียงไหน จบลงตรงนี้ จากกันด้วยดีเถอะ

ที่จริง ก็รู้ตัว ฉันกลัว การจากลา แต่ความ ความเสียใจ ยิ่งนานยิ่งทำร้าย จนอ่อนล้า

( ซ้ำ * )

แม้ว่าเราจะรักกัน ฝันที่เคยผ่านกันมา แม้มีคำสัญญา ว่าจะรักจนวันสุดท้าย
แต่ช่วงเวลาที่เหลืออยู่ รู้ตัวดีเราคงแบกรับไม่ไหว เก็บความรักใส่กลับคืนในหัวใจ
ถึงวันต้องร่ำลา

** คำสัญญา นานเท่านาน เก็บเอาไว้
จากกันด้วยดีถอะ คำสัญญา คงต้องลา จากกันไป โอ้ว
ทิ้งไว้ตรงนี้เถอะ คำสัญญา จะทรมาน สักเพียงไหน จบลงตรงนี้ จากกันด้วยดีเถอะ

( ซ้ำ ** )"
