,name,link,lyrics
0,Friend Zone,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Friend%20Zone_Three%20Man%20Down,"
เก็บเอาไว้ในใจเสมอไม่เคยบอก
เก็บเอาไว้ข้างในลึกๆหัวใจ
ไม่เคยบอกไปให้เธอได้รู้ถึงความใน
เพราะเรามันเป็นเพื่อนกันไง

อยากจะลาออกจากการเป็นเพื่อนเธอ
อยากจะเดินกุมมือไม่ใช่มองหน้าเธอ
คงทนอยู่วงการนี้อีกไม่ไหว (ขอลาออกก่อนได้ไหม)
แต่ว่าสิ่งตามมามันอาจเลวร้าย
ฉันจึงทนๆไปไม่อยากให้เธอหาย
ทำหน้าที่เพื่อนที่ดีต่อไป (ขอบคุณครับ)

ก็ยอมแพ้ทุกที ฉันเป็นเพื่อนที่แสนดี
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป
เพราะฉันคือคนที่ยืนข้างเธอ แต่ไม่เคยได้หัวใจ
คนโง่แบบฉันมันยังมีอยู่ไหม

ผ่านมานานก็หลายปีแล้ว ไม่เคยบอก
มีคนเข้ามาจีบเธอมากมาย
แต่ว่าเธอก็ไม่เคย ยืนอยู่ตรงนี้
ไม่เลือกใคร และเราก็ยังเป็นเพื่อนกันไง

อยากจะลาออกจากการเป็นเพื่อนเธอ
อยากจะเดินกุมมือไม่ใช่มองหน้าเธอ
คงทนอยู่วงการนี้อีกไม่ไหว (ขอลาออกก่อนได้ไหม)
แต่ว่าสิ่งตามมามันอาจเลวร้าย
ฉันจึงทนๆไปไม่อยากให้เธอหาย
ทำหน้าที่เพื่อนที่ดีต่อไป ขอบคุณครับ

ก็ยอมแพ้ทุกที ฉันเป็นเพื่อนที่แสนดี
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป
เพราะฉันคือคนที่ยืนข้างเธอ แต่ไม่เคยได้หัวใจ
คนโง่แบบฉันมันยังมีอยู่ไหม

อยากจะลาออกจากการเป็นเพื่อนเธอ
อยากจะเดินกุมมือไม่ใช่มองหน้าเธอ
คงทนอยู่วงการนี้อีกไม่ไหว (ขอลาออกก่อนได้ไหม)
แต่ว่าสิ่งตามมามันอาจเลวร้าย
ฉันจึงทนๆไปไม่อยากให้เธอหาย
ทำหน้าที่เพื่อนที่ดีต่อไป ขอบคุณครับ

ก็ยอมแพ้ทุกที ฉันเป็นเพื่อนที่แสนดี
อยู่ใกล้แค่นี้แต่ไม่กล้าพูดไป
เพราะฉันคือคนที่ยืนข้างเธอ แต่ไม่เคยได้หัวใจ
คนโง่แบบฉันมันยังมีอยู่ไหม

ก็ขอร้องคนดี ฉันเป็นมากกว่านี้
จะไม่มีวันทำให้เธอเสียใจ
ให้ฉันเป็นคนที่ ยืนข้างเธอ
โอบกอดเธอเอาไว้ ให้คน ๆนั้นเป็นตัวฉันได้ไหม"
1,Hey Josh (พรุ่งนี้ต้องลืมเธอ),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Hey%20Josh%20(พรุ่งนี้ต้องลืมเธอ)_Three%20Man%20Down,"
เหลือเพียงแค่ฉันเองวันนี้ที่เจ็บและทรมานกับภาพฝันวันเก่าจากวันนั้นที่เธอมาทิ้งกันเอาไว้ก็ไม่เคยลบได้เลยไม่รู้ว่าจะจำทำไม ทั้งที่ตัวเธอนั้นหนีไปไกลทุกภาพทุกคำนั้นฝังเอาไว้ ไม่รู้ว่าเพราะอะไรสุดท้ายไม่มีวิธีใด ๆ หรือว่าฉันไม่เกตไม่เข้าใจเมื่อความรักวันเก่าไม่เคยจางหายในตอนสุดท้ายคงทำได้แค่ภาวนาบอกกับตัวเอง ในวันพรุ่งนี้ต้องลืมเธอแล้วเรื่องเดียวที่ฉันต้องทำ ในวันพรุ่งนี้ต้องลืมเธอแล้วคล้ายว่าที่ฉันเป็นวันนี้เป็นเรื่องที่ธรรมดาที่ใครเขาเจอกันถ้าแค่คิดมันก็คงเข้าใจ ได้ง่ายแต่พอจริง ๆ ก็ยาก เกินไปไม่รู้ว่าจะจำทำไม ทั้งที่ตัวเธอนั้นหนีไปไกลทุกภาพทุกคำนั้นฝังเอาไว้ ไม่รู้ว่าเพราะอะไร เพราะอะไรสุดท้ายไม่มีวิธีใด ๆ หรือว่าฉันไม่เกตไม่เข้าใจเมื่อความรักวันเก่าไม่เคยจางหายในตอนสุดท้ายคงทำได้แค่ภาวนาบอกกับตัวเอง ในวันพรุ่งนี้ต้องลืมเธอแล้วเรื่องเดียวที่ฉันต้องทำ ในวันพรุ่งนี้ต้องลืมเธอแล้วสุดท้ายไม่มีวิธีใด ๆ หรือว่าฉันไม่เกตไม่เข้าใจเมื่อความรักวันเก่าไม่เคยจางหายในตอนสุดท้ายคงทำได้แค่ภาวนาบอกกับตัวเอง ในวันพรุ่งนี้ต้องลืมเธอแล้วเรื่องเดียวที่ฉันต้องทำ ให้ได้พรุ่งนี้ต้องลืมเธอแล้วแม้จะยากจะเย็นจะเข็ญใจแค่ไหนพรุ่งนี้ไม่มีเธอแล้ว"
2,ของที่เธอไม่ต้องการ (Wasted),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ของที่เธอไม่ต้องการ%20(Wasted)_Three%20Man%20Down,"
เธอเคาะประตู ตอนเที่ยงคืนในใจคงหวังให้ฉันตื่นเธอเอาข้าวของมากองกับพื้นและสิ่งที่บอกกับฉัน คือในวันนี้ตัวเธอจะลาจากไปกับเขา ไม่มีความลังเลใด ๆ ในใจและในวันพรุ่งนี้ตัวฉันต้องอยู่ให้ไหวโดยที่ไม่มีเธอ เหลือแค่ฉัน โอ้ ลาก่อนที่รักเธอ เธอ เธอ เตรียมใจมาแล้วและ พร้อมที่จะจากไป โดยไม่ต้องแคร์อะไรแต่ว่าฉันนั้น คงจะทนไม่ไหวถ้าหากความรักจากไปอยากจะขอให้เธออยู่ ก่อนได้ไหมและเหมือนว่าผ่านเที่ยงคืนมานานคงเหลือแค่ฉันที่ทรมานอยู่กับข้าวของที่เธอไม่ต้องการเปรียบเช่นเดียวกับฉัน ที่เธอต้องการลาจากไปกับเขา ไม่มีความลังเลใด ๆ ในใจและในวันพรุ่งนี้ตัวฉันต้องอยู่ให้ไหวโดยที่ไม่มีเธอ เหลือแค่ฉัน โอ้ ลาก่อนที่รักเธอ เธอ เธอ เตรียมใจมาแล้วและพร้อมที่จะจากไป โดยไม่ต้องแคร์อะไรแต่ว่าฉันนั้น คงจะทนไม่ไหวถ้าหากความรักจากไปอยากจะขอให้เธออยู่ ก่อนได้ไหมเพราะว่าเธอ เธอ เธอ เตรียมใจมาแล้วและพร้อมที่จะจากไป โดยไม่ต้องแคร์อะไรแต่ว่าฉันนั้น คงจะทนไม่ไหวถ้าหากความรักจากไปอยากจะขอให้เธออยู่ ก่อนได้ไหม"
3,ความคิดถึงที่ฉันได้เคยส่งไปในคืนที่ฝนโปรยลงมา,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความคิดถึงที่ฉันได้เคยส่งไปในคืนที่ฝนโปรยลงมา_Three%20Man%20Down,"
(คิดแต่ไม่ถึงเธอ)
(ในคืนที่ฝนโปรยลงมา)

ฝนตกอีกแล้ว
คืนนี้คงหนาวกว่าคืนไหน ๆ
ตัวฉันก็ใช้ชีวิตไป แค่ผ่าน ๆ ไป 
เท่านั้น เท่านั้น 

ก็คิด แต่ไม่ถึง
คิด คิด แต่ไม่ถึงเธอ
คิด แต่ไม่ถึง 
คิด คิด แต่ไม่ถึงเธอ

ตัวฉันก็เลยกดเบอร์โทรไป 
แบบไม่ตั้งใจ เท่านั้น เท่านั้น
อยากรู้เพียง

ว่าความคิดถึงของเธอกับฉัน มันเท่ากันหรือเปล่า 
ถามจริง ๆ ว่าใจเธอเปลี่ยนไปหรือเปล่า
ฉันไม่คิดไปเองใช่ไหม 
ถ้าหากตรงนั้นไม่มีใคร 
ฉันพร้อม ฉันพร้อมจะไป 
ในคืนที่ฝนโปรยลงมา

ยังนึกถึงวันนั้น 
วันที่เราหัวเราะกัน 
ไม่เคยลืมรอยยิ้มเธอสักครั้ง
(อากาศชื้นนะคืนนี้ ระวังหนาวนะแบบนี้)

จำได้ไหม วันที่เราทะเลาะกัน
เธอยังอภัยให้ฉันอยู่ทุกครั้ง 
ทุกความทรงจำยังทำให้ฉัน

คิด แต่ไม่ถึง 
แบบไม่ตั้งใจ เท่านั้น
อยากรู้เพียง
แค่อยากจะรู้ว่าตรงที่เธอยืนนั้น 
มีฝนตกไหม สบายดีไหม 
เธอกลัวฟ้าร้องหรือเปล่า
ถ้าหากตรงนั้นไม่มีใคร 
ฉันพร้อม ฉันพร้อมจะไป 

ส่งไปได้เพียงในความทรงจำ
ที่มีเราเรื่อยมา แค่นึกภาพตอนนั้น
ฉันก็มีน้ำตา
รู้บ้างไหมว่าเจ็บแค่ไหน 
ถ้าเธอยิ้ม ฉันก็ดีใจ
แค่ตรงนี้ฉันไม่มีใคร
ส่งไปไม่เคยถึงเธอเลย 

ว่าความคิดถึงของเธอกับฉัน 
ที่เธอยืนนั้นมีฝนตกไหม 
ถามจริง ๆ ว่าใจเธอเปลี่ยนไปหรือเปล่า 
ฉันไม่คิดไปเอง
ถ้าหากตรงนั้นไม่มีใคร
ฉันพร้อม ฉันพร้อมจะไป

ส่งไปได้เพียงในความทรงจำที่มีเรา
มีเขาใช่ไหม
แค่นึกภาพตอนนั้น ฉันก็มีน้ำตา
รู้บ้างไหม
ถ้าเธอยิ้มฉันก็ดีใจ
แค่ตรงนี้ฉันไม่มีใคร 
ส่งไปไม่เคยถึงเธอเลย

(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)

ถ้าเธอยิ้ม ฉันก็ดีใจ
ความคิดถึงที่ฉันได้เคยส่งไป
ในคืนที่ฝนโปรยลงมา 

(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)
(คิดแต่ไม่ถึง คิด คิด แต่ไม่ถึงเธอ)

ถ้าเธอยิ้ม ฉันก็ดีใจ
ความคิดถึงที่ฉันได้เคยส่งไป
ในคืนที่ฝนโปรยลงมา"
4,คุยคนเดียวเก่ง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คุยคนเดียวเก่ง_Three%20Man%20Down,"
คืนนี้ทนไม่ไหว ถึงห้ามใจสักแค่ไหน
เป็นฉันเองที่ร้อนใจ เลยพลั้งมือกดทักไป
สุดท้ายเธอไม่สนใจ และฉันเองต้องเสียใจ แบบนี้ทุกที

แชทนี้มันหนักขวา แต่ฉันยังไม่อ่อนล้า
ยังทักไปหาเรื่องคุย เป็นอย่างไร ยังห่วงใย
สุดท้ายเธอไม่สนใจ และฉันเองต้องเสียใจ แบบนี้ทุกที

เพราะทุก ๆ ครั้งที่เธออ่านมันฉันก็ชื่นใจ
ยิ่งพอได้เห็นตอนเธอตอบมาเหมือนน้ำตาจะไหล
แค่เธอยังรู้ฉันอยู่ตรงนี้มันก็พอแล้วหัวใจ

ให้คุยคนเดียวก็ไม่เป็นไร
ได้คุยคนเดียวกับเธอก็ดีเท่าไหร่
เพราะฉันนั้นคุยคนเดียวเก่ง
หวังให้สักวันเธอคุยเก่ง

เธอคงจะคุยไม่เก่งเลยไม่ตอบฉัน
เธอคงจะคุยไม่เก่งเลยไม่สนใจกัน
เธอคงจะคุยไม่เก่งเธอเลยไม่รักกัน

เพราะทุก ๆ ครั้งที่เธออ่านมันฉันก็ชื่นใจ
ยิ่งพอได้เห็นตอนเธอตอบมาเหมือนน้ำตาจะไหล
แค่เธอยังรู้ฉันอยู่ตรงนี้มันก็พอแล้วหัวใจ

ให้คุยคนเดียวก็ไม่เป็นไร
ได้คุยคนเดียวกับเธอก็ดีเท่าไหร่
เพราะฉันนั้นคุยคนเดียวเก่ง
หวังให้สักวันเธอคุยเก่ง"
5,เดาไม่เก่ง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เดาไม่เก่ง_Three%20Man%20Down,"
ฉันจะรู้ได้ไง ว่าเธอนั้นคิดยังไง
ในเมืองที่กว้างใหญ่ ใจเธออยู่ที่ใคร
ช่วยพูดออกมาสักที 
ว่าเธอนั้นคิดเช่นไร
อยู่ตรงนี้ มีแค่ตัวหรือหัวใจ

เพราะฉันนั้นเดาไม่เก่ง
และฉันคงดูไม่ออก
ว่าเธอจะมาหลอก
หรือว่าเธอจะรักฉันได้
ฉันหวังให้เธอรักกัน    
ไม่อยากให้เป็นแค่ฝัน
เพราะว่าฉัน มีแต่เธอทั้งหัวใจ

มองตาของฉันได้ไหม
ช่วยมองให้ลึกลงไป
เธอคงเห็นใช่ไหม
ฉันมีแต่เธอข้างใน
ช่วยพูดออกมาสักที 
ว่าเธอนั้นคิดเช่นไร
อยู่ตรงนี้ มีแค่ตัวหรือหัวใจ"
6,ถ้าเธอรักฉันจริง,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถ้าเธอรักฉันจริง_Three%20Man%20Down,"
ฉันรู้ดีว่าทุกทีที่เธอมองมาที่ฉัน
เธอพร้อมจะทำทุกทาง ก็แค่ให้เราอยู่ด้วยกัน
สายตาและมือของเธอช่างดูอ่อนโยนต่อฉัน..
แต่ฉันไม่อยากให้เธอต้องเสียใจ

เพราะว่า.. ฉันไม่เคยลืม
ฉันไม่เคยลืมเขาไปสักวัน
ยังคิดถึงเขา ยังคิดถึงเขา ทั้งที่เธออยู่กับฉัน
ฉันใจร้ายแบบนี้ก็..อย่าทนเลยคนดี
อยากให้เธอไปเจอคนที่ดี

* ถ้าเธอรักฉันจริง ได้โปรดทิ้งฉันไป
ได้โปรดเดินหนีฉันไปให้ไกล
อย่ากอดฉันไว้เลย อย่าอยู่กับฉันเลย
คนลืมแฟนเก่าไม่ได้แบบฉัน
ไม่ควรได้รับความ(รักจากใคร)

ทุก ๆ ที ที่ฉันพยายามมองหน้าเธอ
แต่สุดท้ายมันก็เบลอกลายเป็นเขา
เสียงของเธอบอกรักฉันในทุกคืน
ตื่นขึ้นมาฉันก็ลืม ฉันคิดถึงแต่เขา

ภาวนาเพียงให้ลืม แต่สุดท้ายก็ไม่ลืม
ยังคิดถึงแต่รักวันเก่า ๆ
ฉันผิดเอง เป็นฉัน

* ถ้าเธอรักฉันจริง ได้โปรดทิ้งฉันไป
ได้โปรดเดินหนีฉันไปให้ไกล
อย่ากอดฉันไว้เลย อย่าอยู่กับฉันเลย
คนลืมแฟนเก่าไม่ได้แบบฉัน
ไม่ควรได้รับความ(รักจากใคร)

**   เพราะว่าทุกทีที่ฉันมองหน้า
เธอมันก็เบลอ เป็นเขา
ฉันยังคงมีแตเขา ในใจฉันยังคงมีแต่เขา
เพราะว่าทุกทีที่ฉันกอดเธอเหงา ฉันแค่เหงา
ไม่อยากให้เธอต้องปวดร้าว
รีบไปจากฉันเถอะเธอ

* ถ้าเธอรักฉันจริง ได้โปรดทิ้งฉันไป
ได้โปรดเดินหนีฉันไปให้ไกล
อย่ากอดฉันไว้เลย อย่าอยู่กับฉันเลย
คนลืมแฟนเก่าไม่ได้แบบฉัน
ไม่ควรได้รับความ(รักจากใคร)

* ถ้าเธอรักฉันจริง ได้โปรดทิ้งฉันไป
ได้โปรดเดินหนีฉันไปให้ไกล
อย่ากอดฉันไว้เลย อย่าอยู่กับฉันเลย
คนลืมแฟนเก่าไม่ได้แบบฉัน
ไม่ควรได้รับความ(รักจากใคร)

**   เพราะว่าทุกทีที่ฉันมองหน้า
เธอมันก็เบลอ เป็นเขา
ฉันยังคงมีแตเขา ในใจฉันยังคงมีแต่เขา
เพราะว่าทุกทีที่ฉันกอดเธอเหงา ฉันแค่เหงา
ไม่อยากให้เธอต้องปวดร้าว
รีบไปจากฉันเถอะเธอ"
7,ทีมรอเธอ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ทีมรอเธอ_Three%20Man%20Down,"
เคยลืมใครไม่ได้บ้างไหม
ตอนกลางคืนใจมันชอบไหว
อยากลองทักไป แต่กลัวเขาไม่ตอบกลับมา
ได้แต่จ้องมองบนหน้าจออย่างนั้น
ตอนเจอกันทำได้แค่ฝัน
อยากลองทักทาย แต่ทำได้แค่ผ่านผ่านตา

เพราะรู้ดี ว่าคงไม่มี เลยสักข้อใดข้อนึง 
ที่ทำให้เธอมามองมาสนใจ
ที่ฉันมี ก็แค่หัวใจ
แต่ว่ามันจะเพียงพอไหม ที่จะให้เธอมองมา

ได้แต่มองเธอ ไม่รู้ว่าเธอจะหันมาเมื่อไหร่
ได้แต่คอยเธอ แต่เธอไม่รู้ แล้วฉันจะคอยทำไม
ชอบเธอจริงๆแต่ยังไม่รู้จะบอกเธอเมื่อใด
ได้แต่คอย คอย คอย
ได้แต่คอย คอย คอย
เพราะฉัน เพราะฉัน คือทีมที่รอเธอ

ถ้าฉันทักไปคงดี ถ้าบอกว่าชอบไปคงดี
ถ้าเรารักกันคงดี สุดท้ายฉันยอมแพ้อยู่ดี
ฉันยังรอ รอ เธอมานาน
นาน นาน นานเหลือเกิน
ยังเป็นทีมรอเธออยู่เสมอ"
8,ไปเถอะเธอ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ไปเถอะเธอ_Three%20Man%20Down,"
ไปเถอะเธอ ไปที่ที่ดีกว่า หากอยู่กับฉันเสียเวลา
สุดท้ายไม่นานฉันคงเข้าใจ
ไปเถอะเธอ ทิ้งฉันไว้ดีกว่า อย่ามัวแต่เสียน้ำตา
เรื่องของเรา ปล่อยมันเอาไว้

เพราะว่าที่ผ่านมา จนวันนี้
ฉันรู้ตัวดี ว่ายังดีไม่พอ
เมื่อเธอเลือกแล้ว ก็ควรต้องเดินจากไป
อย่าห่วงฉัน เจ็บแค่ไหนฉันจะทนไว้

เพราะชีวิตเธอรออยู่ ที่หลังประตูบานนั้น
ฉันคงไม่อาจจะรั้งเธอเอาไว้

ไม่ต้องรู้สึกผิดกับเรื่องนี้หรอกที่รัก
เพราะว่าคนเราเปลี่ยนไปได้ทุกวัน
เมื่อความรักไม่มีเหตุผลคนแพ้ก็ต้องทน
อยู่และดูเขารักกัน ให้ไหว"
9,ฝนตกไหม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ฝนตกไหม_Three%20Man%20Down,"
(ในคืนที่ฝนโปรยลงมา)

ฝนตกอีกแล้ว คืนนี้คงหนาวกว่าคืนไหนไหน
ตัวฉันก็ใช้ชีวิตไป แค่ผ่านผ่านไป เท่านั้น เท่านั้น

ก็คิดถึงเธอ อยากรู้ว่าเธอน่ะเป็นเช่นไร
ตัวฉันก็เลยกดเบอร์โทรไป แบบไม่ตั้งใจ เท่านั้น เท่านั้น

แค่อยากจะรู้ว่าตรงที่เธอยืนนั้น มีฝนตกไหม สบายดีไหม
เธอกลัวฟ้าร้องหรือเปล่า
ถ้าหากตรงนั้นไม่มีใคร ฉันพร้อม ฉันพร้อมจะไป 
ในคืนที่ฝนโปรยลงมา

อากาศชื้นนะคืนนี้ ระวังหนาวนะแบบนี้
ก่อนเข้านอนเป่าผมให้ดี ฉันกลัวเธอจะไม่สบาย
ที่โทรมาหาเธอ กดมาแบบไม่ได้ตั้งใจ
ไม่ได้คิดอะไร แค่กลัวเธอไม่สบาย (เท่านั้น เท่านั้น)

แค่อยากจะรู้ว่าตรงที่เธอยืนนั้น มีฝนตกไหมสบายดีไหม
เธอกลัวฟ้าร้องหรือเปล่า
ถ้าหากตรงนั้นไม่มีใคร ฉันพร้อม ฉันพร้อมจะไป 

แต่ฉันก็รู้ดีว่าข้างข้างเธอนั้น 
มีเขาใช่ไหม และคนคนนั้น ดูแลเธอดีหรือเปล่า
ถ้าเธอยิ้มฉันก็ดีใจ แค่ตรงนี้ฉันไม่มีใคร
ในคืนที่ฝนโปรยลงมา"
