,name,link,lyrics
0,Deja Vu (เดจาวู),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Deja%20Vu%20(เดจาวู)_UrboyTJ,"
เอาไงอะเบเบ้ ตอนเห็นคุณเดินไปกับเค้าทำไงอะเบเบ้ ไอคนคนนั้นไม่ใช่เราอยากจะบอกว่า sorry ที่อยู่ดี ๆ ก็ดันไม่ว่าดีสายตามันก็มองไปเห็นอะไรที่มันก็ดูจะไม่เข­้าทีถึงจะบอกว่าเขามันแย่และเลว ก็คงไม่เชื่อผมใช่ปะคุณทำเพื่อเขาทุก ๆ อย่างละคิดว่าเขารักคุณป­ะตอนคุณทะเลาะกับเขา คุณเหงา คุณก็โทรมาแต่ตอนคุณดีกับเขาละผมเป็นตัวอะไร หรือแค่ไอ้ลูกหมาพอมีอะไรกับเขาเธอก็มาอะไรกับฉันตอนคุณต้องการเขาแต่เขาไม่เคยต้องการคุณเหตุการณ์มันก็ซ้ำ ๆ เหมือนเดิมแต่คุณไม่เคยเข้าใจ so I'm going crazy motherfxxkerก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะมันก็เลวซะยิ่งกว่าเลวคุณควรจะมีทางเลือกใ­หม่So lemme be ur number one ที่คุณน่ะไว้วางใจก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะอยู่กับเขาแล้วมันไม่ทำให้คุณได้รู้สึกดีjust come here baby หยุดมันซะทีนะเธอเบเบ้ถ้าเค้าทำร้ายคุณหนักจนคุณหนะ crazyก็กลับมาหาผม ทิ้งรักขม ๆ เอาไว้ซะทีเซ่He tease u, ไม่เหมือนที่ผมนะ treat uIn this game imma king and u da queen girlU know that my ladyไอ้เขาคนนั้นต้องการแค่ร่างกายของคุณส่วนผมคนนี้ต้องแค่หัวใจของคุณ girlให้คุณไปคิดดูก่อนละกันคิดให้ดี ก่อนจะเลือกผมหรือมันพอมีอะไรกับเขาเธอก็มาอะไรกับฉันตอนคุณต้องการเขาแต่เขาไม่เคยต้องการคุณเหตุการณ์มันก็ซ้ำ ๆ เหมือนเดิมแต่คุณไม่เคยเข้าใจ so I'm going crazy motherfuckerก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะมันก็เลวซะยิ่งกว่าเลวคุณควรจะมีทางเลือกใ­หม่So lemme be ur number one ที่คุณน่ะไว้วางใจก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะ ก็เอาเดะอยู่กับเขาแล้วมันไม่ทำให้คุณได้รู้สึกดีjust come here baby หยุดมันซะทีนะเธอ"
1,FLEX,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/FLEX_UrboyTJ,"
HOOK
ใครจะมองว่า flex ก็ไม่เห็นจะเป็นอะไร
นี้ชีวิตของกู มันไม่ใช่ชีวิตของใคร
I just wanna flex คงไม่ทำให้ใครต้องตาย
ใครจะว่าอะไร it’s alright, okay...
I just wanna flex x3
ใครจะว่าอะไร it’s alright, okay...

VERSE1 
ก็ใช้ชีวิตไม่เหมือนใคร ก็ทำในสิ่งที่มั่นใจ
ก็โทษทีที่มันภูมิใจ ก็ทำไมต้องมาหมั่นไส้ 
ที่บอกรองเท้าของกูมันแพง แต่กูก็มีสตางค์
เพราะกูทำงานเพลงทุกวัน  ไม่ได้หนักที่ใคร 
เวลามันเป็นทอง นาฬิกาเลยแพง
they be like damn, this is so nice…

HOOK
ใครจะมองว่า flex ก็ไม่เห็นจะเป็นอะไร
นี้ชีวิตของกู มันไม่ใช่ชีวิตของใคร
I just wanna flex คงไม่ทำให้ใครต้องตาย
ใครจะว่าอะไร it’s alright, okay...
I just wanna flex x3
ใครจะว่าอะไร it’s alright, okay...

VERSE 2
haters gonna hate, when my drip’s hot
ไม่ได้กิ๊กก๊อก, ตอนกู whipped up
rollie on my wrist, screaming tick tock
I be on the top , ไม่มีพลิกล็อค
ลองให้คิดนิด ก่อนจะคิด knock
I be on my grind, never gonna stop
ใครจะว่าอะไร, I don’t give a what
And I’ll be flexing flexing and never stop

HOOK
ใครจะมองว่า flex ก็ไม่เห็นจะเป็นอะไร
นี้ชีวิตของกู มันไม่ใช่ชีวิตของใคร
I just wanna flex คงไม่ทำให้ใครต้องตาย
ใครจะว่าอะไร it’s alright, okay...
I just wanna flex x3
ใครจะว่าอะไร it’s alright, okay..."
2,Sad One,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Sad%20One_URBOYTJ,"
HOOK
Don't want you to lose your mind
but I gotta go tonight
and I don't wanna waste your time
So you gotta let go and I gotta take off

VERSE 1
You don't wanna be alone
And I don't wanna be involved
I don't wanna make you mine
I don't wanna take your time
I don't wanna fall in love 
You say I'm a bad one
But baby I'm a sad one
So can you leave me be
I'm not what you need
Baby, I'mma loner
You know we rockstar living
Got my head spinning
Pull up in designer how the whole squad winning
This the life I chose baby, and I gotta let you know

HOOK,

VERSE 2
You know I can't go another night
We both know the energy’s a lie
I know I got issues
I know I might miss you
I had love but it wasn’t enough for you 
Sideways, quit looking at me sideways
I hate that this ain’t what you thought babe
There’s two sides to every story
So I just gotta let you go
Don’t know what you keep holding on
When I'd rather be gone

HOOK,

BRIDGE
You say I'mma bad one
But baby I'mma sad one
You say I'mma bad one
But baby I'mma sad one"
3,SELFMADE,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/SELFMADE_URBOYTJ,"
I’m the way I am
Nothing’s gonna bring me down.
I’m never gonna break.
You tried your best, putting me to rest,
But you’ve lost.
I’m the way I am
You can never make me change.
Love me or hate me,
Won’t you take me for who I am.

VERSE 1
คือแบบว่าเธอก็รู้ว่านี้มันตัวฉัน
แน่นอนว่าฉันมันแสบ และชอบทำตัวรั้น
ไม่ชอบหยุดอยู่กับที่ เลยชอบทำตัวล้ำ
ฉันใช้ชีวิตทุกวันแบบเต็มที่ไม่มีมัวยั้ง 
เพราะฉันคือตัวฉัน และฉันไม่มีหรอกความกลัวนั้น 
และสิ่งน่ากลัวที่สุดสำหรับตัวฉันมันคือตัวฉัน
เมื่อก่อนฉันเคยตัดสินคนด้วยกำลังมาเป็นตัววัด
แต่ตอนนี้ความรู้สึกก็บอกแล้ว ใครที่ฉันควรรัก
กับสิ่งที่เป็นตัวเอง ฉันไม่เคยโลเล
อย่าพยายามมาเปลี่ยน ฉันบอกเลย No way
การเป็นตัวของตัวเอง ฉันคิดว่าโคตรเท่
และสิ่งที่เป็นในทุกวันนี้ ก็แบบว่าโอเค
ฉันใช้ชีวิตเหมือนรถวิ่งอยู่บนโทลเวย์ 
ผ่านเรื่องราวมากมาย จนหลายๆอย่างมันปนเป 
บางทีเจอลมพายุก็มีเสียหลักและโซเซ 
แต่ฉันรู้สึกดีทุกครั้งที่เวลาแหกปากแล้วคนเฮ 

HOOK,

VERSE 2
เธออาจจะเกลียดที่ฉันพูดไม่ค่อยคิด
เกลียดอารมณ์ร้อนๆ เกลียดในความติส
เกลียดที่ฉันทำผิดและไม่รับผิด
แถมยังเกลียดที่ทำเหมือนอันธพาลอีก
เธออาจจะเกลียดที่ฉันเป็นคนเอาแต่ใจ
บางทีฉันขี้โมโห และดูไม่แคร์ใครๆ
บางครั้งก็ดูเหมือนปากไม่ค่อยจะตรงกับใจ
แต่จะให้เลิกเป็นฉัน มันก็คงจะทำไม่ได้ 
เคยอยากให้คนมายอมรับ
เคยพยายามจะเปลี่ยนตัวเองให้คนมายอมรัก
ยิ่งพยายามก็ยิ่งสงสัย ทำไมต้องยอมวะ
ในเมื่อก็รู้ว่าโคตรไม่มีประโยชน์กับตัวฉัน
และฉันอาจดูขี้โม้แต่สำหรับเธอฉันไม่หลอก
ลองมองเข้ามาข้างใน เธออย่าไปฟังที่ใครบอก
แค่รักที่ฉันเป็นฉัน เธอไม่ต้องกลัวว่าไม่เหมาะ
เพราะฉันจะเป็นตัวฉันแบบนี้และไม่มีวันโดนไล่ออก

HOOK,"
4,กอดได้ไหม,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/กอดได้ไหม_URBOYTJ,"
VERSE
ไม่ได้มาเรียกร้องอะไร
แค่ต้องการมาใช้คำลา
บอกคนนั้นให้รอหน่อยนะ
ขอเวลาไม่นาน
สิ่งที่เราได้สร้างกันมา
ที่มันพังคงถึงเวลา
ไม่อยากฟังก็ฟังหน่อยนะ
ใช้เวลาไม่นาน

PRE
รู้บ้างไหมว่าฉันโคตรอบอุ่น
ตอนเวลาที่เธอนั้นโอบกอด
ไม่ต้องพูดอะไรฉันก็ยิ้มได้
แค่มีเธออยู่ข้างกัน
แต่วันนี้ฉันแค่มาลา
ไม่ได้มาเพื่อจะทำตัววุ่นวาย

HOOK
กอดกันหน่อยได้ไหม
ให้วันเวลาเก่าๆ, ให้วันที่เคยมีเรา
ก่อนที่เธอจะเป็นของใคร
Hold me one last time
กอดกันหน่อยได้ไหม
ถ้าเค้าไม่ว่าอะไร
แค่ขอให้เค้าเข้าใจ Baby,
ก่อนที่จะเสียเธอไปจริงๆ

VERSE 2
ไม่อาจที่จะย้อนคืนไป
เธอก็ไปไม่ย้อนคืนมา
แค่ยินดีที่ได้มาหา
แล้วจะไปให้ไกล

PRE, HOOK,

BRIDGE
ก็รู้ดีว่าฉันคงไม่มีสิทธิ์
ให้คิดแค่ในใจจะดีกว่า
รู้ดีว่าต้องทำไง
แต่ฝืนหัวใจไม่ได้
ยอมเป็นตัววายร้าย
อยากกอดในวันที่สาย
ถ้าขอเธอได้จะจำจนวันสุดท้าย

HOOK,"
5,ขี้แพ้,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขี้แพ้_UrboyTJ,"
I'm just a ขี้แพ้
ไอ้ขี้แพ้ ที่ต้องเสียเธอให้กับใคร
ไม่เคยจะ Win This love war
I'm a Loser รอเธอเดินหันหลังและจากไป
And Damn is Hearts lack
เจ็บปวดและทรมาน
เหมือนจะเป็นจะตาย
That what it's feel like shit

ไม่ว่าจะทำสักแค่ไหน
ไม่ว่าจะทำมันยังไง
เธอเองก็เลือกจะจากไป Damn
ได้แต่มาคุยกับตัวเอง
โดดเดี่ยวในทางที่เลือกเอง ผมเป็น

แค่ไอ้ขี้แพ้ อ่อนแอให้เธอได้เห็น
ทั้งที่ไม่อยากเป็น แต่ฉันต้องทำเช่นไร
เป็นแค่ไอขี้แพ้ ดูแลตัวเองไม่ไหว
ก็ต้องเสียเธอไป และไม่มีวันกลับมา

I'm so weak อ่อนแอทุกครั้งที่มันได้ยินชื่อของเธอ
กะ weak ก็ตอนที่ได้รู้ว่าเธออยู่กับเขา
Receive harder นี่คือเหตุผลที่เขียน
This once to richer
Cause I'm Loser ที่ Lose เธอ
I'm a Fucking Sucker

ทำไมเธอไป มันยังไม่เข้าใจ
มีคำถามที่ค้างอยู่ในใจ
เธอช่วยกลับมาตอบเหตุผล
ให้คนขี้แพ้คนนี้จะได้ไหม
ถึงดูแลเธอไม่ไหว แต่ก็ให้เธอไปทั้งหัวใจ
I'm now a Loser alone tonight nada right

เป็นแค่ไอ้ขี้แพ้ อ่อนแอให้เธอได้เห็น
ทั้งที่ไม่อยากเป็น แต่ฉันต้องทำเช่นไร
เป็นแค่ไอขี้แพ้ ดูแลตัวเองไม่ไหว
ก็ต้องเสียเธอไป และไม่มีวันกลับมา

เป็นแค่ไอ้ขี้แพ้ อ่อนแอให้เธอได้เห็น
ทั้งที่ไม่อยากเป็น แต่ฉันต้องทำเช่นไร
เป็นแค่ไอขี้แพ้ ดูแลตัวเองไม่ไหว
ก็ต้องเสียเธอไป และไม่มีวันกลับมา

ทำไมเธอไป มันยังไม่เข้าใจ
มีคำถามที่ค้างอยู่ในใจ
เธอช่วยกลับมาตอบเหตุผล
ให้คนขี้แพ้คนนี้จะได้ไหม
ถึงดูแลเธอไม่ไหว แต่ก็ให้เธอไปทั้งหัวใจ
I'm now a Loser alone tonight nada right"
6,เค้าก่อน (Rebound),https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เค้าก่อน%20(Rebound)_UrboyTJ,"
อยากให้เธอไปคุยเธอไปคุยกับเค้าก่อนอยากให้เธอไปเจอเธอไปเจอกับเค้าก่อนเธอจะทำอะไรก็ไปทำกับเค้าก่อนจะรอเธอตรงนี้ไม่หนีไปไหนแน่นอนก็พอจะเข้าใจเธอเป็นของเค้าก่อนก็ไม่เคยสงสัยเธอหนะรักเค้าก่อนรักที่เธอให้เค้าคงเป็นรักแท้แน่นอนแต่ถ้าหากเธอเหงาเมื่อตอนเธอจะเข้านอน ค่อยโทรมาผมเขียน message หาทุก ๆ คนให้ช่วยผมทีความเหงาครอบงำ จนผมหน้ามืดตามัวแบบนี้แค่ความคิดถึงที่มันไม่ถึง มันติดตรงนี้และจะบอกเธอไป มันก็ติดที่เค้า คงไม่ถึงสักทีและให้ทำไงอะ ทำไงอะ I dont know what to doเพราะตอนที่เห็นคุณอยู่กับเค้า มันปวด ยังไงไม่รู้I miss u baby คิดถึงเธอตลอดเวลาEven when จะตื่นมาหรือหลับตาอยากให้เธอไปคุยเธอไปคุยกับเค้าก่อนอยากให้เธอไปเจอเธอไปเจอกับเค้าก่อนเธอจะทำอะไรก็ไปทำกับเค้าก่อนจะรอเธอตรงนี้ไม่หนีไปไหนแน่นอนก็พอจะเข้าใจเธอเป็นของเค้าก่อนก็ไม่เคยสงสัยเธอหนะรักเค้าก่อนรักที่เธอให้เค้าคงเป็นรักแท้แน่นอนแต่ถ้าหากเธอเหงาเมื่อตอนเธอจะเข้านอน ค่อยโทรมาอย่าบอกฉันว่าเธอไม่รัก อย่าบอกฉันว่าเธอมีเขาอย่าบอกฉันว่าเธอไม่เหงา ไม่ต้องพูดไรเลยได้ไหมค่ำคืนอันยาวนาน ที่ผมต้องเผชิญกับมันถัาคุณหนะว่างอยู่ ขอแค่มีคุณมาอยู่ด้วยกันEven just a call โทรมาหาเมื่อตอนคุณเหงาตอนคุณหนะไม่มีเขา ผมว่างให้คุณตลอดทั้งวันผมเองก็รู้ว่ามันไม่ดี. ที่คุณแอบมาเจอกันบ่อย ๆแต่ว่าเค้าคงจะไม่รู้ ถ้ารู้ผมคงจะโดนต่อยไม่เป็นไร dont worry ไปอยู่กับเค้าให้เต็มที่เดี๋ยวผมรอคุณอยู่ตรงนึ้ ไม่หนีไปไหนหรอก babyอยากให้เธอไปคุยเธอไปคุยกับเค้าก่อนอยากให้เธอไปเจอเธอไปเจอกับเค้าก่อนเธอจะทำอะไรก็ไปทำกับเค้าก่อนจะรอเธอตรงนี้ไม่หนีไปไหนแน่นอนก็พอจะเข้าใจเธอเป็นของเค้าก่อนก็ไม่เคยสงสัยเธอหนะรักเค้าก่อนรักที่เธอให้เค้าคงเป็นรักแท้แน่นอนแต่ถ้าหากเธอเหงาเมื่อตอนเธอจะเข้านอน ค่อยโทรมาอย่าบอกฉันว่าเธอไม่รัก อย่าบอกฉันว่าเธอมีเขาอย่าบอกฉันว่าเธอไม่เหงา ไม่ต้องพูดไรเลยได้ไหม"
7,ช่วยไม่ได้,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ช่วยไม่ได้_URBOYTJ,"
VERSE 1
เธอใส่ใจคนอยู่เป็นร้อย
คนถูกใจเธออยู่นับพัน
ช่วยไม่ได้ ช่วยไม่ได้ ช่วยไม่ได้
ที่จะรวมฉัน
เธอดูดีในแบบของเธอ
แค่ได้เจอฉันก็เผลอสั่น
ช่วยไม่ได้ ช่วยไม่ได้ ช่วยไม่ได้
ที่ใครรุมรักเธอ

PRE
เอาจริงแค่ได้มอง ก็ตายแล้วตายอีกอ่ะ
ไม่ให้มีเจ้าของอ่ะ ไม่ให้ใครจีบอ่ะ
ไม่อยากให้มีแฟนอ่ะ ไม่งั้นฉันคงแย่อ่ะ
ช่วยอยู่ให้ฉันมองไปตลอด Like this

HOOK
อยู่คนเดียวงี้ดีจะตาย 
อย่าเพิ่งมีใครให้ตายเชื่อเหอะ
แค่เธอนะบอกว่าเธอยังเหงา ฉันก็สบายใจ
อยู่คนเดียวด้วยกันก็พอ
ไม่ได้ขอให้เธอมาใกล้
อยู่เป็นความหวังของใครต่อใคร ให้ไปนานๆ

VERSE2
ก็เธอดีจนมีภาระ
เป็นที่รักของทุกๆคน
ช่วยไม่ได้ ช่วยไม่ได้ ช่วยไม่ได้
ที่จะหลงรัก
ก็เพราะงั้นฉันเลยยิ่งหวง
เธอมาทำให้ฉันไหวหวั่น
ช่วยไม่ได้ ช่วยไม่ได้ ช่วยไม่ได้
Oh baby

PRE, HOOK,

BRIDGE
มาอยู่กับฉันก็ได้ไม่ต้องมีแฟนหรอก
มีข้งมีคู่อะไร ไม่ต้องไปแชร์หรอก
อย่าดื้อได้มั้ย ทำไมไม่เชื่อที่แม่บอก
ไม่ต้องไปหวานกับใคร เธอไม่ใช่แครอท
ถึงไม่ใช่แฟนแต่จะไม่เหงาอย่างแน่นอน
ถ้าไม่อย่างงั้นเอาฉันไปคุยด้วยแทนก่อน
คนเดียวไม่ตายหรอก เธอไม่ต้องมีแฟนหรอก 
จะได้ป่าว

HOOK,"
8,ซุปเปอร์ไซย่า,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ซุปเปอร์ไซย่า_URBOYTJ,"
HOOK
อยากใส่ Converse ละเข้าไปเตะหน้ามึง
ถีบสองตีนละกูก็เก๊กท่านึง
ฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง
อยากใส่ Jordan วิ่งเข้าไปเตะหน้ามึง
กระโดดถีบสองตีน แล้วกูก็เก๊กท่านึ่ง
อยากฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง 
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง ไอเหี้ย

VERSE TJ
กูหนะโหดสัสยิ่งกว่าซุปเปอร์ไซย่า
ใครหน้าไหน กูก็จะไม่ไว้หน้า
ฆ่ามึงตาย แบบยิ่งกว่ายาฆ่าหญ้า
ฝากรอยตีนเอาไว้ที่บนใบหน้า
กูปล่อยพลังคลื่นเต่าเหมือนกับโกคู
เบสกูกระแทก จนกระโหลกพวกมึงยุบ
เงินและทอง ของที่แพงๆ มึงยังหามาได้ไม่เท่ากู
Dark สัสเลย นึกว่า DC
หลีกไป เวลามึง See me
ใครบอกว่ากูไม่มีดี
กู Headshot ละบอกว่า GG
บนตีนกู Nike 
เหยียบหน้ามึงเละเหมือนกับตอนกูย่ำขี้
บอกว่า กูเป็นอย่างนั้นเป็นอย่างนี้ถ้าไม่รู้จักกูดี
ช่วยเลิกเห่ากันซักที

HOOK
อยากใส่ Air Force วิ่งเข้าไปเตะหน้ามึง
กระโดดถีบสองตีน แล้วกูก็เก๊กท่านึ่ง
อยากฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึ่ง 
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง ไอเหี้ย
อยากใส่ Converse ละเข้าไปเตะหน้ามึง
ถีบสองตีนละกูก็เก๊กท่านึง
ฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง

VERSE MAIYARAP
อยากจะเตะหน้ามึงแบบว่าจังๆอะ ขอแบบเสียงดังๆ ฟังละแบบแน่นๆ 
แหม่ ถ้ามึงล้มแล้วหน้ามึงแนบกับพื้นนะ 
หื้ม จะประเคนส้นตีนให้แบบแม่นๆ 
เห็นมึงโชว์เฟี้ยว อยากเดี่ยวอ่ะ อย่าแพล่ม 
เห็นมึงโชว์พาว ราวกับหมาจะมาแง่ม 
ไรม์คมๆคุณภาพดีๆ ไม่เหมาะกับหน้า... 
ของคนอย่างแม่ง
อยากใส่ Jordan ไปย่ำหน้ามึงจัง 
เจอกันต่อหน้ามึงอย่าให้เพื่อนมึงบัง 
ตัวกูเล็กกว่าแต่ล่อหน้ามึงพัง 
เห้ยๆ อย่าเงียบดิก็กูคิดถึงมึงจัง 
เห็นมึงอยากเกิด เดี๊ยวกูจะเป่าให้ดับ 
ขอแค่ทีเดียวสัญญาจะเอาให้หลับ 
แบบว่าคาตีนกูไม่มีซีนให้สับ 
มึงอยากหลับเพราะคู่ไหนก็เลือกเอาไอ้สัส

HOOK
อยากใส่ Converse ละเข้าไปเตะหน้ามึง
ถีบสองตีนละกูก็เก๊กท่านึง
ฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง
อยากใส่ ช้างดาว วิ่งเข้าไปเตะหน้ามึง
กระโดดถีบสองตีน แล้วกูก็เก๊กท่านึ่ง
อยากฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง 
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง ไอเหี้ย

BRIDGE TJ
อย่าให้กูต้องเดือดเวลาที่เลือดมันขึ้นบนหน้า 
เพราะว่ากูซ่ายิ่งกว่าโซดา 
ถ้ายังไม่เชื่อมึงลองเข้ามา 
ตอนนี้กูร่างซุปเปอร์ไซย่า
จะฝากส้นตีนไว้ที่หน้า 
ส่วนมึงเป็นได้แค่เศษสวะ
สุดท้ายต้องทิ้งไปลงขยะ
แล้วกูไม่สนมึงมาจากไหน  
ละใครจะพาพวกมึงเข้ามา
เพราะเวลาเดียวที่มึงจะไป 
คือเวลาที่มึงโดนกูฆ่า
พวกมึงหัวเราะที่กูดูแปลก
กูขำที่พวกมึงธรรมดา
ไม่ต้องฟ้องแม่แล้วนอนร้องไห้ 
เดี๋ยวช่วยเอาตีนไปซับน้ำตา ไอสัส

HOOK
อยากใส่ Converse ละเข้าไปเตะหน้ามึง
ถีบสองตีนละกูก็เก๊กท่านึง
ฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง
อยากใส่ ช้างดาว วิ่งเข้าไปเตะหน้ามึง
กระโดดถีบสองตีน แล้วกูก็เก๊กท่านึ่ง
อยากฝากรอยตีนเอาไว้ที่แก้มมึงข้างนึง 
ยั๊วะเลยไอ้สัส มึงทำกูเป็นอีกร่างนึง ไอเหี้ย

OUTRO
อยากใส่ Nike ละเข้าไปเตะหน้ามึง
หมั่นไส้สัส มาทำเป็นดึงหน้าตึง
สไตล์กูเปรี้ยวจัด มันทำให้มึงหน้าบึ้ง
ยั๊วเลยไอสัส มึงทำกูเป็นอีกร่างนึง ไอเหี้ย"
9,ถามคำ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถามคำ_URBOYTJ,"
HOOK
ถ้าเธอไม่ได้รักกับเขา เราจะได้รักกันไหม
เป็นคำถามที่ยังข้องใจ
เธอไม่รักเพราะมีเขา หรือว่าฉันไม่ใช่
เรื่องเดียวที่อยากรู้

PRE
แต่มันก็คงจะสายถ้าจะให้ฉันพูดออกไป
ก็เธอหนะมีเขาฉันก็ควรที่จะเข้าใจ
ก็แบบว่ามันยังคิดอยู่ อยากให้เธอลองคิดดู
ก็เผื่อว่าวันพรุ่งนี้เธอจะเปลี่ยนใจ
ตอนนี้คงทำได้เพียงแค่รอและมันก็คงต้องยอมก่อน
ก็แล้วจะให้ฉันทำยังไง
ก็แบบว่าถ้าเธอเหงาขึ้นมาเวลาที่ไม่มีใคร
ให้ฉันไปหาเธอได้ไหม

VERSE 1
ถ้าเกิดว่ามีความลับที่ฉันยังไม่อยากจะบอก
ถ้าเกิดว่ามีคำถามที่ไม่อยากได้ยินคำตอบ
ถ้าเกิดว่าไม่มีเค้า เธอจะมองฉันดูกระจอกไหม
ก็แบบว่าเอาจริงๆ ไม่อยากจะได้ยินคำปลอบใจ
ละถามว่ารักเธอไหม ฉันก็คงจะตอบว่ามากแหละ
แต่ถามว่าเกลียดเธอไหม บางทีมันก็ตอบยากแหละ
ก็แบบว่ามันไม่ทราบเลยที่จริงเธอคิดอะไรอยู่
บางทีก็ให้ความหวัง ชอบมาเล่นอะไรก็ไม่รู้

HOOK
ถ้าเธอไม่ได้รักกับเขา เราจะได้รักกันไหม
เป็นคำถามที่ยังข้องใจ
เธอไม่รักเพราะมีเขา หรือว่าฉันไม่ใช่
เรื่องเดียวที่อยากรู้
ถ้าเธอไม่ได้รักกับเขา เธอจะมองฉันบ้างไหม
ถ้าหากเราไม่เจอช้าไป
ถ้าหากไม่ใช่เขา จะเป็นฉันได้ไหม
หรือความจริงไม่ว่ายังไง 
เธอก็ไม่รักฉันอยู่ดี

VERSE 2
ที่ทักไปหาทุกวัน จะให้ฉันทำยังไงได้หละ
ถ้าเกิดว่าไม่มีเขาอะไรอะไรมันคงจะง่ายนะ
ก็แบบว่า ตอบได้มะ ว่าเป็นที่ฉันหรือเขา
ตอนนี้มันค้างคา ก็แบบว่าฉันไม่อยากจะเดาเลย
บางทีเธออยู่กับเค้าก็คิดว่าทำไมไม่ใช่เราวะ
ที่จริงก็รู้คำตอบ แต่ความจริงแล้วมันก็เศร้านะ
ช่างแม่งไม่อยากจะเล่าละ โซดาผสมกับเหล้านะ
ถ้าเกิดคืนนี้ฉันเมา โทรไปหาเธอไม่ต้องเดานะ
เธอคงจะอยู่กับเค้าอะ

HOOK
ถ้าเธอไม่ได้รักกับเขา เราจะได้รักกันไหม
เป็นคำถามที่ยังข้องใจ
เธอไม่รักเพราะมีเขา หรือว่าฉันไม่ใช่
เรื่องเดียวที่อยากรู้
ถ้าเธอไม่ได้รักกับเขา เธอจะมองฉันบ้างไหม
ถ้าหากเราไม่เจอช้าไป
ถ้าหากไม่ใช่เขา จะเป็นฉันได้ไหม
หรือความจริงไม่ว่ายังไง 
เธอก็ไม่รักฉันอยู่ดี

PRE
แต่มันก็คงจะสายถ้าจะให้ฉันพูดออกไป
ก็เธอหนะมีเขาฉันก็ควรที่จะเข้าใจ
ก็แบบว่ามันยังคิดอยู่ อยากให้เธอลองคิดดู
ก็เผื่อว่าวันพรุ่งนี้เธอจะเปลี่ยนใจ
ตอนนี้คงทำได้เพียงแค่รอและมันก็คงต้องยอมก่อน
ก็แล้วจะให้ฉันทำยังไง
ก็แบบว่าถ้าเธอเหงาขึ้นมาเวลาที่ไม่มีใคร
ให้ฉันไปหาเธอได้ไหม"
