,name,link,lyrics
0,จี๊ป (Jeep) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/จี๊ป%20(Jeep)_วัชราวลี,"
ในวันที่ฝน เปลี่ยนเป็นเมฆขาว
อากาศเช้าเช้าสวยงามกว่าใคร
มือเธอและฉัน จับจูงกันไป เดินด้วยกันนะ 
เราผ่านเรื่องราวอะไรอะไรมากมาย
อาจมีทั้งร้ายและดีเข้ามาในบางครั้ง
แต่ขอแค่เธอ ขอแค่เธอ 

* ยังจำได้ไหม ตอนที่เธอท้อ
ตอนที่เธอล้า หัวใจแทบหมดแรง 
คำพูดของฉัน บอกเธอวันนั้น ให้เธอ โปรดเข้มแข็ง 
เมื่อเธอทุกข์ใจ ให้ลองเอาเท้าจุ่มน้ำ
ปล่อยความทุกข์ลอยไปกับทะเลและฟ้าสีคราม
จากวันนั้น ฉันและเธอ 

** จุดเริ่มต้นความรัก นั้นล้วนมาจากใจ
อาจไม่มีเหตุผล แต่ฉันรู้ว่ามันใช่ 
เธอเติมเต็มให้ฉัน รับรู้ได้ด้วยหัวใจ ที่สุขล้น 
จะจดจำวันนี้ ทุกนาทีผ่านไป
ต่อให้นานแค่ไหน ไกลจนถึงสวรรค์เบื้องบน 
ให้รักของเรา อยู่ตลอดกาล

( ซ้ำ * , ** )

( ซ้ำ ** )"
1,ถนนบนต้นไม้ใหญ่ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถนนบนต้นไม้ใหญ่_วัชราวลี,"
ตัวอยู่ที่ตรงนี้หัวใจเธออยู่ตรงไหน
บนทางเดินนี้ตอนนี้ดูไกลออกไป
สายลมคอยปลิวผ่าน

* เส้นทางเก่า รถคันเก่า
กับถนนที่มันยังคงทอดยาว
ถ้าวิ่งเข้าไปเจอทางที่ตัน
ก็ลองขึ้นไปบนนั้นบนต้นไม้ใหญ่

** ออกเดินทางอีกครั้งเปิดหัวใจอีกครั้ง
วิ่งขึ้นไปบนนั้นแม้มันอาจดูไกล
แต่ต้องมีสักวันที่หัวใจเธอนั้นพบคนที่ถูกใจ
โปรดส่งมือให้ฉัน โปรดยื่นมือให้ฉัน
จะจับเธอไว้อย่างนั้นขอให้เธอจงมั่นใจ
ไม่ต้องกลัวจะล้มปีนขึ้นไปเถอะนะ
ฉันจะเป็นต้นไม้ใหญ่ให้เธอ

เพียง เพียงแค่เธอยิ้มก้าวเดินได้อีกสักหน
บนทางเดินนี้มีฉันยืนคอยอีกคน
ขอเธอจงมั่นใจ

( ซ้ำ * , ** )

( ซ้ำ ** )"
2,ทราย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ทราย_วัชราวลี,"
เธอเชื่อไหมความรักเหมือนทำให้เราหลับตา
ปล่อยหัวใจช้าช้าล่องลอยข้ามคืนแห่งฝัน
หมอกดูคล้อยลอยผ่าน ใจดวงนี้ก็มีแต่เธอทั้งนั้น
ทุกทุกคำรำพันเอ่ยผ่านใจ

ให้เธอรู้ ให้เธอรู้ อยากให้เธอรู้ คือความรัก

จะกอดเธอไปจนเช้า แสงดาวกระทบที่ข้างฉัน
ให้ไออุ่นกายเราผูกกัน ฉันนั้นรักเธอเหลือเกิน
จะกอดเธออยู่อย่างนี้ ข้ามคืนผ่านพ้นราตรีนี้
จวบจนสิ้นแสงแห่งชีวี ก็ยังรักเธอเหลือเกิน

ต่อไปจากนี้ทุกคืนที่เธอตื่นมา
จะมีมือฉันคนนี้นั่งกุมหัวใจเอาไว้
ไกลสุดฟ้าแสนไกล ใจดวงนี้ก็จะไม่ลอยไปไหน
ขอให้เธอเชื่อใจ ฉัน

ให้เธอรู้ ( ว่าเธอมีค่าแค่ไหน ) ให้เธอรู้ ( ทั้งชีวิตหัวใจ )
อยากให้เธอรู้ ( จะมอบให้เธอเท่านั้น ) คือความรัก

( ซ้ำ * )

( ซ้ำ * )"
3,ทะเลลิฟท์ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ทะเลลิฟท์_วัชราวลี,"
อยากจะดึง เธอคืนมา จะต้องทำยังไง
เนื่องจากวันนั้น ฉันทำมันพัง
จนทำให้เธอมีใคร
มันผิดที่ฉัน ไม่เอาใจใส่
และทิ้งหัวใจจนเธอเดียวดาย

ก็เคยได้ยิน ว่าในตำนาน นิทานเวลา
ถ้าหากว่าใครต้องการให้รัก ที่มีคืนมา
ต้องผ่านภูเขา และลิฟท์น้ำตา
ใจกลางทะเลที่ลึก

แค่อยากให้รัก ที่ผ่านไปแล้ว หวนคืน
เลยอยากจะฝืน จึงออกเดินทาง เอารักคืนกลับมา

ทะเลลิฟท์ หนใด ทะเลมีลิฟท์ อยู่หนใด
มีจริงใช่ไหมหัวใจฉันไม่รู้ดี
มันอาจเป็นเพียงที่ๆ มันแสนไกล
แต่ฉันไม่ยอมจะปล่อยเธอจากไป
แลกมาด้วยอะไร แค่ไหนฉันก็พร้อม จะทำ

ก็เคยได้ยิน ว่าในตำนาน นิทานเวลา
ถ้าหากว่าใครต้องการให้รัก ที่มีคืนมา
ต้องผ่านภูเขา และลิฟท์น้ำตา
ใจกลางทะเลที่ลึก

แค่อยากให้รัก ที่ผ่านไปแล้ว หวนคืน
เลยอยากจะฝืน จึงออกเดินทาง เอารักคืนกลับมา

ทะเลลิฟท์ หนใด ทะเลมีลิฟท์ อยู่หนใด
มีจริงใช่ไหมหัวใจฉันไม่รู้ดี
มันอาจเป็นเพียงที่ๆ มันแสนไกล
แต่ฉันไม่ยอมจะปล่อยเธอจากไป
แลกมาด้วยอะไร แค่ไหนฉันก็พร้อม จะทำ

ทะเลลิฟท์ หนใด ทะเลมีลิฟท์ อยู่หนใด
มีจริงใช่ไหมหัวใจฉันไม่รู้ดี
มันอาจเป็นเพียงที่ๆ มันแสนไกล
แต่ฉันไม่ยอมจะปล่อยเธอจากไป
แลกมาด้วยอะไร แค่ไหนฉันก็พร้อม จะทำ"
4,น้อย ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/น้อย_วัชราวลี,"
ฉันไม่เคยดัง และยังคงเดิม
ตอนนี้ รึว่าตอนไหน

ฉันก็คนหนึ่ง แต่รักฉันยิ่งใหญ่
ใหญ่กว่าใคร เธอคงรู้ดี

ยังคงมีแค่เธอและต่อไป
ยังจะมีแค่เธอจนสุดท้าย
กายแตกสลาย
จนวันที่ฉันหมดลมจากไป
เชื่อเถอะความรักไม่เคยห่างหาย

มันสถิตอยู่ในใจชายคนนี้
มันไม่อาจที่จะลบ ล้างเรื่องราวดีๆ
หัวใจฉัน จะมีแต่เธอเท่านั้น

เธอมาเติมให้ชีวิตมีการเปลี่ยนผัน
เธอมาทำให้เวลาแห่งรัก สวยงามทุกวัน
หัวใจฉัน จะมีแต่เธอ

ฉันไม่เคยดัง และยังคงเดิม
ตอนนี้ รึว่าตอนไหน

ฉันก็คนหนึ่ง แต่รักฉันยิ่งใหญ่
ใหญ่กว่าใคร เธอคงรู้ดี

ยังคงมีแค่เธอและต่อไป
ยังจะมีแค่เธอจนสุดท้าย
กายแตกสลาย
จนวันที่ฉันหมดลมจากไป
เชื่อเถอะความรักไม่เคยห่างหาย

มันสถิตอยู่ในใจชายคนนี้
มันไม่อาจที่จะลบ ล้างเรื่องราวดีๆ
หัวใจฉัน จะมีแต่เธอเท่านั้น

เธอมาเติมให้ชีวิตมีการเปลี่ยนผัน
เธอมาทำให้เวลาแห่งรัก สวยงามทุกวัน
หัวใจฉัน

ยังคงมีแค่เธอและต่อไป
ยังจะมีแค่เธอจนสุดท้าย กายแตกสลาย
จนวันที่ฉันหมดลมจากไป
เชื่อเถอะความรักไม่เคยห่างหาย

มันสถิตอยู่ในใจชายคนนี้
มันไม่อาจที่จะลบ ล้างเรื่องราวดีๆ
หัวใจฉัน จะมีแต่เธอเท่านั้น

เธอมาเติมให้ชีวิตมีการเปลี่ยนผัน
เธอมาทำให้เวลาแห่งรัก สวยงามทุกวัน
หัวใจฉัน"
5,เป็นเซเลบมันเจ็บปวด,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เป็นเซเลบมันเจ็บปวด_วัชราวลี,"
ฉันมีคำถามในใจ ที่เธอยืน 
ว่าจริงๆแล้วมันคุ้มกันแค่ไหน
วันที่เธอพลาดลงไป 
มีกี่คน ที่คอยที่จะยืนข้างเธอไม่จากไป

เธอก็คือมนุษย์ที่ดัง ใครๆก็ตั้งความหวังไว้
เขาทั้งหลายคงลืมไป ว่าเธอก็เป็นแค่คนคนนึง

you are the light 
you are the sun
you are the moon
you are the rain
เธอก็เป็นแค่มนุษย์คนเดิม
ยังมีความไม่แน่นอน ถูกไหม
ใครก็เคยผิดกันทั้งนั้น

เช้าวันนี้พร้อมจะเจอ กับบทเรียน 
ว่ามีทั้งคนชังและดีกับเรา
ยิ้มให้ชีวิตและเงา บอกตัวเอง 
ให้แคร์คนที่เขารักเราแค่เท่านั้น"
6,ผมคือเวลา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ผมคือเวลา_วัชราวลี,"
ฟ้าค่อยๆ มืดลง
คล้ายอารมณ์อ่อนไหว
เห็นสายตาที่ท้อเหนื่อยจนล้าหัวใจ
อดทนไว้หัวใจเธอ

คิดว่าในคืนหนึ่ง
เธอคงได้เฝ้าคอยแต่คิดถึง
เขาหรือใครคนนั้นด้วยแววตาที่สะอื้น
อดทนไว้นะที่รัก

ลองหลับตาสักครั้งให้ใจของฉัน
ได้บินเข้าถึง ณ ที่นั้นนั้น
ฉันหวังว่าเธอจะลองเปิดรับ
จะดึงมือเธอเข้ามากอดไว้ที่ฉัน
อิงและเอนกายแนบซบกัน ค่อยๆ ผ่าน

คงไม่นานเท่าไหร่
ใจที่ช้ำชาและหวั่นไหว
จะได้เวลาที่พร้อมออกเดินทางเริ่มใหม่
อดทนไว้นะที่รัก

ลองหลับตาสักครั้งให้ใจของฉัน
ได้บินเข้าถึง ณ ที่นั้นนั้น
ฉันหวังว่าเธอจะลองเปิดรับ
จะดึงมือเธอเข้ามากอดไว้ที่ฉัน
อิงและเอนกายแนบซบกัน
ค่อยๆ ผ่าน ในคืนนี้

ลองหลับตาสักครั้งให้ใจของฉัน
ได้บินเข้าถึง ณ ที่นั้นนั้น
ฉันหวังว่าเธอจะลองเปิดรับ
จะดึงมือเธอเข้ามากอดไว้ที่ฉัน
อิงและเอนกายแนบซบกัน
ค่อยๆ ผ่าน มันไปด้วยกัน"
7,ฟอร์เวิร์ด (Forward) ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ฟอร์เวิร์ด%20(Forward)_วัชราวลี,"
มือของเธอนั้นจะอุ่นไหม
ฝนแถวนั้นจะยังตกไหม
มืดสว่างอากาศก็ร้อนตั้งมากมาย
ใจดวงนี้คิดถึงเธอ

เธอคงยังมีความสุขนะ
ถ้าลดไปฉันพร้อมแบ่งนะ
ยื่นให้เธอส่งใจของฉันที่มีค่า
ฝากไปให้พร้อมความห่วงใย

หอบเอาความรักที่มีในใจ
ที่เต็มด้วยความรู้สึก
ความคิดถึงไม่เหงา มีแต่อุ่นหัวใจ
ไปให้เธอนะคนดี ได้อุ่นเอนข้างกาย
ขอให้เธอเก็บเอาไว้

และต่อจากนั้น
ลองเอาดวงใจของเธอที่มีความสุข
หมดความทุกข์ เลิกเหงามีแต่อุ่นหัวใจ
ยื่นให้คนที่เดินเคียง ได้อุ่นเอนข้างกาย
ชีวิตช่างดูมีความหมาย

มองในใจจะเจอรอยยิ้ม
ยิ้มที่มาจากการใส่ใจ
ฟ้าอากาศจะเปลี่ยนจะผันซักเท่าใด
สุขของฉันไม่จืดจาง

หอบเอาความรักที่มีในใจ
ที่เต็มด้วยความรู้สึก
ความคิดถึงไม่เหงา มีแต่อุ่นหัวใจ
ไปให้เธอนะคนดี ได้อุ่นเอนข้างกาย
ขอให้เธอเก็บเอาไว้

และต่อจากนั้น
ลองเอาดวงใจของเธอที่มีความสุข
หมดความทุกข์ เลิกเหงามีแต่อุ่นหัวใจ
ยื่นให้คนที่เดินเคียง ได้อุ่นเอนข้างกาย
ชีวิตช่างดูมีความหมาย ที่มากกว่านั้น

หอบเอาความรักที่มีในใจ
ที่เต็มด้วยความรู้สึก
ความคิดถึงไม่เหงา มีแต่อุ่นหัวใจ
ไปให้เธอนะคนดี ได้อุ่นเอนข้างกาย
ขอให้เธอเก็บเอาไว้

และต่อจากนั้น
ลองเอาดวงใจของเธอที่มีความสุข
หมดความทุกข์ เลิกเหงามีแต่อุ่นหัวใจ
ยื่นให้คนที่เดินเคียง ได้อุ่นเอนข้างกาย
ชีวิตช่างดูมีความหมาย ที่มากกว่านั้น"
8,แฟ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/แฟ_วัชราวลี,"
เพลงประกอบโฆษณา กาแฟเขาช่อง

รักแท้ ไม่ใช่เพียงจะมองกันแค่หน้าตา
ไม่ใช่รอเวลาเพียงลมพัดมา
ก็จะได้พบรักที่แท้ข้างใน
มันต้องมีอารมณ์ที่อุ่นใจ
ยืนมือสัมผัส แล้วอุ่นกาย
มันต้องมีมวล ความรัก
กระจายอยู่ในทุกส่วน

รักแท้ แบบของฉัน ก็คือจะทำเพื่อเธอ
เติมความหอม ละมุน ในความรักเธอ
ให้เธอรู้ว่ารักที่แท้แค่ไหน
พร้อมให้ไออุ่นตอนตื่นนอน
ฉันจะคอยกอดเธอตลอดไป
ขอแค่เพียงเธอ เปิดใจมองมาที่ฉัน

เธอจะพบ รักจริง อยู่ตรงนี้ ไม่ไกล
จับซิเธอ หัวใจฉัน ได้ยินไหม
ขอหัวใจเธอนะ พร้อมทุกคำสัญญา
จะรักก็เพียงแค่เธอ เท่านั้น

รักแท้ แบบของฉัน ก็คือจะทำเพื่อเธอ
เติมความหอม ละมุน ในความรักเธอ
ให้เธอรู้ว่ารักที่แท้แค่ไหน
พร้อมให้ไออุ่นตอนตื่นนอน
ฉันจะคอยกอดเธอตลอดไป
ขอแค่เพียงเธอ เปิดใจมองมาที่ฉัน

เธอจะพบ รักจริง อยู่ตรงนี้ ไม่ไกล
จับซิเธอ หัวใจฉัน ได้ยินไหม
ขอหัวใจเธอนะ พร้อมทุกคำสัญญา
จะรักก็เพียงแค่เธอ เท่านั้น

เธอจะพบ รักจริง อยู่ตรงนี้ ไม่ไกล
จับซิเธอ หัวใจฉัน ได้ยินไหม
ขอหัวใจเธอนะ พร้อมทุกคำสัญญา
จะรักก็เพียงแค่เธอ เท่านั้น"
9,ไม่ชอบอาบน้ำ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ไม่ชอบอาบน้ำ_วัชราวลี,"
ถ้าวันหนึ่งเธอโตขึ้นมา
ได้เปิดอ่านข้อความจากฉัน
อยากรู้ว่าเธอนั้น แข็งแรงและอ่อนหวาน 
เหมือนเก่าอยู่หรือเปล่า

ไม่รู้เธอจะทนได้ไหม
โลกเดิมที่โหดร้ายปวดร้าว
ความรักเธอตอนนั้น คงเดินได้อย่างยาว
แต่ฉันอาจอยู่ไม่ถึง

จึงอยากจะถาม เธอเป็นอย่างไร
ตุ๊กตาที่ฉันซื้อให้ เธอยังกอดอยู่ใช่ไหม
ไม่ชอบอาบน้ำ แต่ขอให้ฟันต้องแปรง เรื่อยไป
ฉันคิดถึงเธอ ฮู้ววว"
