,name,link,lyrics
0,3 ผ่าน,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/3%20ผ่าน_นนท์%20ธนนท์%20จำเริญ,"
ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน ให้ผ่าน ให้ผ่าน ให้ผ่าน

จี๊ดอกตกตะลึงตาค้าง ดูปากคอคิ้วคาง แหมใครช่างเสกสรรค์
ลืมตัวล่ะหัวใจละลาย เปิดโหวตตอนไหน คงโหวตกันสนั่น
ไม่ต้องกลูต้า ไม่ต้องคอลลาเจน เนื้อๆ เน้นๆ โอ๊ย ผ่าน

ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน ให้ผ่าน ให้ผ่าน ให้ผ่าน

เลิศสุด หยุดแอบมองไม่ไหว แค่ท่าทีเอียงอาย ยังเก็บเอาไปฝัน
มาแรง แซงโค้งทุกราย เข้ารอบต่อไป ไม่ต้อง Audition
ยังโสดไหมนี่ พี่พอมีสิทธิ์ไหม ถ้ายังไม่มีใครน่ะ โอ๊ย ผ่าน

ขอไอดีให้พี่ได้ไหม พี่อยาก Goodnight ผ่านไลน์ทุกวัน
รับแอดเฟซพี่หน่อยได้ไหม พี่อยากกดไลค์ ถูกใจแจ่มจันทร์
เอาไอจีน้องให้พี่ก็ได้ พี่อยากฝากใจ ไม่ฝากร้าน

ขอไอดีให้พี่ได้ไหม พี่อยาก Goodnight ผ่านไลน์ทุกวัน
รับแอดเฟซพี่หน่อยได้ไหม พี่อยากกดไลค์ ถูกใจแจ่มจันทร์
เอาไอจีน้องให้พี่ก็ได้ พี่อยากฝากใจ ไม่ฝากร้าน

ปลื้มปริ่มอิ่มกว่ากินบิ๊กไบท์ พี่รักเธอทันใด ไม่ต้องมัวคิดนาน
ร้องเพลง ไม่เก่งไม่มายด์ จะสัปดาห์ไหนก็ไม่ให้ออกจากบ้าน
เธอมีออรา ถูกชะตาจริงนี่ ถ้าเธอเป็นแฟนพี่ละ โอ๊ย ผ่าน

ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน

ไม่ต้องเป็น Commentator ก็บอกได้ว่าเธอน่ะโดน โดนใจ
สวยแบบไม่ต้องพึ่ง App ใดๆ สวยเด็ดเน็ตไอดอลยังอาย
เหมารถมาเท Like เอาไปสามผ่าน ให้ผ่าน ให้ผ่าน ให้ผ่าน

ให้ผ่าน ให้ผ่าน ให้ผ่าน
ให้ผ่าน ให้ผ่าน ให้ผ่าน สามผ่าน"
1,เกินมาตรฐาน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เกินมาตรฐาน_นนท์%20ธนนท์%20จำเริญ,"
ไม่ต้องหาคำตอบ คงไม่มีหวังจะพบทางออก ไม่ต้องให้ใครเขามาคอยบอก คนที่จะรักฉันคงไม่มี
แล้วเธอก็เข้ามา ล่องลอยจากฟ้ามอบรักดีดี ก็ไม่เคยคิดว่าฉันจะมี คนดีอย่างนี้เข้ามารักกัน

* ถึงมองไม่เห็นรักเธอด้วยตา แต่รับรู้ด้วยใจฉัน รักที่เธอให้กัน มันสำคัญเหนืออื่นใด

** อย่างกับความฝันทั้งที่กำลังตื่น ก็ในวันนี้มีเธอนั้นใกล้ใกล้
ใจเธอที่แสนอบอุ่น รักฉันไม่มีเบื่อหน่าย ทำให้ฉันรู้สึดี
เธอคือความฝันตอนฉันกำลังตื่น ได้ยืนตรงนี้มีเธออยู่ข้างกาย
เกินมาตรฐานในใจ ที่เคยฝันไว้ตั้งมากมาย ก็เธอดีเกินมาตรฐาน

รักกันด้วยหัวใจ ดูแลห่วงใยกันทุกเวลา อยากบอกกับฟ้าที่เธอลงมา ขอบคุณมากนะให้เราเจอกัน

( ซ้ำ * , ** )

อย่างกับความฝันทั้งที่กำลังตื่น ก็ในวันนี้มีเธอนั้นใกล้ใกล้
ใจเธอที่แสนอบอุ่น รักฉันไม่มีเบื่อหน่าย ทำให้ฉันรู้สึดี
เธอคือความฝันตอนฉันกำลังตื่น ได้ยืนตรงนี้มีเธออยู่ข้างกาย
เกินมาตรฐานในใจ ที่เคยฝันไว้ตั้งมากมาย ก็เธอดีเกิน ก็เธอดีเกิน ก็เธอดีเกินมาตรฐาน"
2,ความรักกำลังก่อตัว,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความรักกำลังก่อตัว_นนท์%20ธนนท์%20จำเริญ,"
เพียงได้คุย เพียงได้สบสายตา วันเวลาอันตรธานหายไป
ทุกอย่างต้องหยุดทันทีเมื่อฉันพบเธอ ชัดแค่เธอทุกอย่างเบลอจากใจ
เจอกี่ครั้งที่เราได้ใกล้กัน เธอและฉันเหมือนมีแรงฉุดไว้
แต่ไม่มีใครยอมจะพูดคำลา คล้ายว่ามันจะเป็นวันสุดท้าย

อาจเป็นเธอและฉันนั้น fall in love baby มีอะไรเชื่อมเราบางอย่าง
ทีละเล็ก ละน้อย ค่อยๆ เป็นภาพลางๆ บวกความรักนั้นกำลังก่อตัว อยู่ในใจฉันและเธอเข้าแล้ว 

เก็บความรู้สึกไว้ สักวันก็คงได้บอกรักเธอ
คงไม่นาน คงจะมีเวลาดีดี ให้สองเรา you will be my love.

จะกี่ครั้งที่เราได้พูดคุย เหมือนว่าเราไม่พบกันนานแค่ไหน
ไม่อยากจะหยุดฟังเสียงของเธอ เพราะเธอเหมือนเสียงเพลงที่ถูกใจ
ฉันอยากรู้เมื่อไหร่ความรักนั้น จะทำฉันและเธอทนไม่ไหว
อยากบอกให้เธอฟังให้รู้กันไป เดี๋ยวนานกลัวเธอจะเปลี่ยนใจ

อาจเป็นเธอและฉันนั้น fall in love baby มีอะไรเชื่อมเราบางอย่าง
ทีละเล็ก ละน้อย ค่อยๆ เป็นภาพลางๆ บวกความรักนั้นกำลังก่อตัว อยู่ในใจฉันและเธอเข้าแล้ว 

เก็บความรู้สึกไว้ สักวันก็คงได้บอกรักเธอ
คงไม่นาน คงจะมีเวลาดีดี ให้สองเรา you will be my love.

เก็บความรู้สึกไว้ สักวันก็คงได้บอกรักเธอ
คงไม่นาน คงจะมีเวลาดีดีให้สองเรา you will be my love baby.

You know you make me feel brand new ... 
อยากให้ไปถึงวันที่สองเรารักกัน ... 

เก็บความรู้สึกไว้ สักวันก็คงได้บอกรักเธอ
คงไม่นาน คงจะมีเวลาดีดีให้สองเรา will you be my love baby. 

เก็บความรู้สึกไว้ สักวันก็คงได้บอกรักเธอ รักเธอ รักเธอ baby
คงไม่นาน คงจะมีเวลาดีดีให้สองเรา you will be my love , baby

เก็บความรู้สึกไว้ สักวันก็คงได้บอกรักเธอ 
คงไม่นาน คงจะมีเวลาดีดีให้สองเรา you will be my love baby"
3,คือรักยั่งยืน ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คือรักยั่งยืน_นนท์%20ธนนท์%20จำเริญ,"
ครั้งแรกที่พบเธอ ก็รู้ว่าเธอคือความหมาย และใจเธอเองคงรู้หัวใจฉัน
ขอเป็นคนของเธอ สุขทุกข์เราไปด้วยกัน ช่วยกันดูแลและช่วยกันแบ่งปัน

* ท้องฟ้าสดใสเมื่อบนโลกนี้มีเธออยู่ ต้นไม้ดอกไม้รอบกายช่างสวยงาม

** ขอ ฉันขอรักเธอ เสมอไม่มีวันเปลี่ยน วันและคืนเดินเคียงบนเส้นทางด้วยกัน
ไปฉันพร้อมจะไป แค่ใจของเรามีกัน ตราบใดฟ้ามีตะวัน เธอและฉันมั่นใจ
นี่คือรัก ยั่งยืน ที่มีให้กัน

จะเป็นสายลมแห่งความห่วงใย จะเป็นอากาศดีดีเธอได้ หายใจทุกวัน
เรามาทำอะไรดีดีให้โลกนี้ เรามาเติมชีวิตที่ดีให้แก่กัน ทั้งเธอและฉันแบ่งปันรอยยิ้มให้อิ่มใจ

( ซ้ำ * , ** )

ขอ ฉันขอรักเธอ เสมอไม่มีวันเปลี่ยน วันและคืนเดินเคียงบนเส้นทางด้วยกัน
ไปฉันพร้อมจะไป แค่ใจของเรามีกัน ตราบใดฟ้ามีตะวัน เธอและฉันมั่นใจ
นี่คือรัก ยั่งยืน และเป็นความรัก ที่ยั่งยืน ตลอดไป"
4,เจ็บที่ยังรู้สึก,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เจ็บที่ยังรู้สึก_นนท์%20ธนนท์%20จำเริญ,"
เคยมั่นใจ ว่าฉันไม่เคยหวั่นไหวเรื่องเธอ
เคยมั่นใจ ว่าลบเธอได้จากใจจริงๆ
ต่อให้บังเอิญมายืนที่เดิม
ที่ๆ มีเราในวันเก่าๆ
ก็ไม่หวั่นอะไร

แต่ความจริงมันตอกย้ำ
เมื่อเจอเธอ ต้องกลายเป็นคนอ่อนแอ

เจ็บที่ยังรู้สึก เจ็บที่ยังเสียใจ
เจ็บที่ยังรัก ยังมีแต่เธอ
อยากดูแลแต่เธอเรื่อยไป
เจ็บที่นานสักเท่าไร
จากมั่นใจว่าเคยแข็งแรง
แต่สุดท้าย พบเธอถึงได้เข้าใจ
ว่าฉันไม่เคยหยุดรักเธอ

เคยแน่ใจ ว่าฉันเป็นคนเข้มแข็งมากพอ
เคยแน่ใจ ว่าฉันทำได้อย่างนั้นจริงๆ
จะไม่มีวันที่เดินกลับไป
และไม่มีทางไปเป็นอย่างเก่า
พูดไว้อยู่ในใจ

แต่ความจริงมันตอกย้ำ
เมื่อเจอเธอ ต้องกลายเป็นคนอ่อนแอ

เจ็บที่ยังรู้สึก เจ็บที่ยังเสียใจ
เจ็บที่ยังรัก ยังมีแต่เธอ
อยากดูแลแต่เธอเรื่อยไป
เจ็บที่นานสักเท่าไร
จากมั่นใจว่าเคยแข็งแรง
แต่สุดท้าย พบเธอถึงได้เข้าใจ
ว่าฉันไม่เคยหยุดรักเธอ

เจ็บที่ยังรู้สึก เจ็บที่ยังเสียใจ
เจ็บที่ยังรัก ยังมีแต่เธอ
อยากดูแลแต่เธอเรื่อยไป
เจ็บที่นานสักเท่าไร
จากมั่นใจว่าเคยแข็งแรง
แต่สุดท้าย พบเธอถึงได้เข้าใจ

เจ็บที่ยังรู้สึก เจ็บที่ยังเสียใจ
เจ็บที่ยังรัก ยังมีแต่เธอ
อยากดูแลแต่เธอเรื่อยไป
เจ็บที่นานสักเท่าไร
จากมั่นใจว่าเคยแข็งแรง
แต่สุดท้าย พบเธอถึงได้เข้าใจ
ว่าฉันไม่เคยหยุดรักเธอ"
5,ใช่เธอใช่เลย,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ใช่เธอใช่เลย_นนท์%20ธนนท์%20จำเริญ,"
แค่ได้พบเธอ  แค่เจอสายตา ก็พอรู้ว่า รักเธอเข้าแล้ว
ก็ไม่รู้ตัว แบบไม่มีวี่แวว หากเธอรู้แล้ว คิดเหมือนกันไหม

* ใจละเมอ มันเป็นของเธอง่ายๆ ทำยังไง ก็มีแต่เธอคนนี้
แพ้ใจให้เธอทุกนาที อย่างไม่มีข้อแม้

** อยากบอกว่าใช่เธอ อยากบอกว่าใช่เลย อยากบอกว่าไม่เคยเจอใครแบบนี้
อย่าปล่อยให้ฉันรอคนเดียวอยู่อย่างนี้ อยากจะให้เธอหันมาสักนาที หันมามองใจฉันสักครั้ง

แอบไปร้อนตัว แอบไปร้อนใจ กลัวเธอรักใครที่ไม่ใช่ฉัน
อยากอยู่ใกล้เธอ  อยากเป็นคนสำคัญ หากเรารักกัน ฉันคงสุขใจ

( ซ้ำ * / ** )"
6,ถ้าไม่รักเธอ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ถ้าไม่รักเธอ_นนท์%20ธนนท์%20จำเริญ,"
ถ้ายังไม่พบเธอ คงไม่รู้ความอุ่นใจเป็นเช่นไร เกือบจะทิ้งมันไป คำว่ารักฝังใจ เจ็บเท่าไรในวันที่ผ่าน
เพราะเธอได้เข้ามา เปลี่ยนฉันที่เป็นอย่างวันนั้น ให้วันนี้มีใจ ที่จะรักได้ใหม่อีกครั้ง

* ก็เธอมาเปลี่ยนแปลงโลกให้สดใส ก็เธอที่ทำทุกอย่างให้ฉันกล้ายอมจะเปิด ใจ ให้เธอ

ถ้าไม่ได้รักเธอ ก็ไม่อยากจะรักใคร
ยอมให้เธอทั้งหมดใจ เธอแค่เพียงคนเดียวที่ ฉันต้องการ
จากนี้ไป ขอให้เธอนั้นมั่นใจ จะเป็นคนที่ดีให้เธออุ่นใจ รักใครก็ไม่ดี เท่ารักเธอ

เส้นทางอีกร้อยพัน จับมือฉันนานนานอย่าไปไหน
ถ้าเธอทิ้งกันไป ฉันคงทนไม่ไหว ถ้าอีกครั้ง ที่ต้องเสียใจ

( ซ้ำ * )

แค่ขอมีเธอ เรื่อยไปอย่างนี้ แค่เธอคนเดียว รัก ฉันรักเธอเท่านั้น หัวใจของฉันมีแต่เธอ

ถ้าไม่ได้รักเธอ ก็ไม่อยากจะรักใคร
ยอมให้เธอทั้งหมดใจ เธอแค่เพียงคนเดียวที่ ฉันต้องการ
จากนี้ไป ขอให้เธอนั้นมั่นใจ จะเป็นคนที่ดีให้เธออุ่นใจ รักใครก็ไม่ดี เท่ารักเธอ
เพราะคนคนนี้ นั้นรักเธอ"
7,ธรรมดาที่แสนพิเศษ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ธรรมดาที่แสนพิเศษ_นนท์%20ธนนท์%20จำเริญ,"
อาจดูเหมือนแค่ภาพซ้ำซ้ำไม่เคยเปลี่ยนไป
แต่รู้ไหมทุกครั้งที่ฉันได้มองตาคู่นี้
รอยยิ้มคุ้นเคยที่เธอมี แต่งเติมคืนวันดีดี
ทำให้ทุกนาทีเป็นวันที่สวยงาม

* อาจจะเหมือนแค่เรื่องเล็กๆไม่มีอะไร
แต่รู้ไหมว่าฉันรับรู้ว่าเธอใส่ใจฉัน
ในทุกเรื่องราวที่เรียบง่าย ไม่ธรรมดาแค่นั้น
เธอคือเรื่องดีดีที่เกินอธิบาย

** มันเป็นความรักที่มากเกินความเข้าใจ
ถึงธรรมดาแค่ไหน มันซ่อนอะไรอยู่ในนั้น
เธอทำให้ฉันพบช่วงเวลาพิเศษทุกทุกวัน
เมื่อไรที่ฉันได้อยู่ข้างข้างเธอ
(เมื่อไรที่ฉันได้อยู่ข้างข้างเธอ)

(ซ้ำ */**/**/**)"
8,นี่คือรักแท้ใช่ไหม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/นี่คือรักแท้ใช่ไหม_นนท์%20ธนนท์%20จำเริญ,"
ไม่มีถ้อยคำ ที่มากมาย มีเพียงเสียงลมหายใจ แผ่วเบาเบา หัวใจของฉัน หยุดเต้นเมื่อฉันมองหน้าเธอ
ไร้คำอธิบายหรือเหตุผล จะมีใครเข้าใจหัวใจของฉัน โปรดมาช่วยอธิบาย ช่วยมาอธิบายได้ไหม

* เธอทำให้ฉันอบอุ่นและหวั่นไหว นี่คือความลับที่ฉันซ่อนลึกในใจ
ไม่รู้เมื่อไรจะถึงวันนั้น ที่ฉันจะกล้าบอกเธอ
นี่คือความรักที่ใครใครบอกใช่ไหม ที่ทำให้ใจของฉันล่องลอยไปไกล
ไกลแสนไกล จนถึงปลายฟ้า นี่คือรักแท้ใช่ไหม

ฉันเคยคิดว่าเข้าใจตัวเอง ของฉันได้มากพอ แต่ไม่เลย ทุกทีที่ฉัน อยู่ใกล้เธอฉันไม่เข้าใจ
คล้ายทำนองของเพลงที่อ่อนหวาน แต่ไม่มีเนื้อเพลงเรียบเรียงมาร้อง อยากจะร้องตามหัวใจ
ว่ามันหวั่นไหวเพราะเธอเสมอ

( ซ้ำ * )

โลกที่ดูกว้างใหญ่ ก็ใหญ่ไม่เท่ารักในใจของฉัน มันคงจะมีสักวัน ที่เธอต้องได้รับรู้

เธอทำให้ฉันอบอุ่นและหวั่นไหว นี่คือความลับที่ฉันซ่อนลึกในใจ
ไม่รู้เมื่อไรจะถึงวันนั้น ที่ฉันจะกล้าบอกเธอ
นี่คือความรักที่ใครใครบอกใช่ไหม ที่ทำให้ใจของฉันล่องลอยไปไกล
ไกลแสนไกล จนถึงปลายฟ้า นี่คือรักแท้ใช่ไหม เธอจะรักฉัน ด้วยไหม"
9,เปลี่ยนเป็นรัก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/เปลี่ยนเป็นรัก_นนท์%20ธนนท์%20จำเริญ,"
เลิกดีกว่า ก็เลิกซะดีกว่า ที่ได้คบมาแบบเพื่อนก็น่าจะพอ
เห็นเห็นกันอยู่ รู้ว่าเธอเองก็รอ ใช่หรือเปล่า

* พอ จะ มีแนวทางเหมือนกันไหม ใจของฉันและเธอตรงกันไหม

** เปลี่ยนเป็นรักกันได้ไหมเธอ เปลี่ยนให้ฉันเป็นแฟนเธอได้หรือเปล่า
ไม่อยากเดินเหงาเหงา มีเธอแล้วมันอุ่นหัวใจ
เปลี่ยนเป็นคู่ใจกันดีกว่า อยากเป็นมากกว่าเพื่อนโอเคไหม
เธอยินดีเมื่อไหร่ แค่ส่งสัญญาณมาก็พอ

คิดดูก่อน ก็คิดให้ดีก่อน ถ้าไม่สะดวกตอนนี้มัดจำไว้ก่อน
ไม่ต้องรีบหรอก ฉันนั้นยินดีจะรอ ขอให้บอก

( ซ้ำ * , ** )

( ซ้ำ * , ** )

เธอโอเคเมื่อไหร่ มองตานิดนึง บอกรักเลยก็ดี"
