,name,link,lyrics
0,Bodyslam ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/Bodyslam_บอดี้สแลม,"
ถามใคร ใครก็บอกให้ถอนตัว ถามใคร ใครก็เตือนให้เรานั้นถอยไป
ฝันไกลให้ระวังจะเสียใจ ช่างใคร จะเป็นยังไงก็เป็นกัน

ถามใจ ใจก็บอกว่าต้องลอง เพราะคนเราต่างมองอะไรไม่เหมือนกัน
หัวใจเราต่างหากที่สำคัญ ช่างมัน ก็เป็นอะไรให้เป็นไป

* แม้ยับเยิน บาดเจ็บสักเท่าไร ยังยืนยัน

นี่แหละคือชีวิตที่ต้องการ แค่ได้ทำสิ่งนั้นที่ใจฝัน
ต่อให้เอาชีวิตเป็นเดิมพัน เราจะสร้างความฝันด้วยตัวเราเอง

หนทาง ทางที่ใจเราเลือกเดิน ถึงไกลจะไปยังไงต้องวัดกัน
สักทีมันก็ดีเข้าซักวัน มั่นใจ ก็เป็นอะไรก็เป็นไป

( ซ้ำ * )

นี่แหละคือชีวิตที่ต้องการ แค่ได้ทำสิ่งนั้นที่ใจฝัน
ต่อให้เอาชีวิตเป็นเดิมพัน เราจะสร้างความฝันด้วยตัวเอง เราเอง

แม้ต้องเหนื่อยและแม้ต้องเจ็บ จะล้มลงอีก ก็ยังจะสู้ไป ยังเต็มใจ

นี่แหละคือชีวิตที่ต้องการ แค่ได้ทำสิ่งนั้นที่ใจฝัน
ต่อให้เอาชีวิตเป็นเดิมพัน เราจะสร้างความฝันให้กลายเป็นจริง

นี่แหละคือชีวิตที่ต้องการ แค่ได้ทำสิ่งนั้นที่ใจฝัน
ต่อให้เอาชีวิตเป็นเดิมพัน เราจะสร้างวันนั้นด้วยตัวเอง

นี่แหละคือชีวิต นี่แหละคือชีวิต นี่แหละคือชีวิต
นี่แหละคือชีวิต นี่แหละคือชีวิต นี่แหละคือชีวิต เราจะสร้างความฝันด้วยตัวเราเอง"
1,ขอบคุณน้ำตา ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอบคุณน้ำตา_บอดี้สแลม,"
ตะวันที่ดูร้อนแรงมันคงไม่แรงเท่าไร
เมื่อฉันเองยังเดินต่อให้รู้ให้เป็นไป
ในคืนที่ไร้แสงไฟจะก้าวต่อดีไหม
เมื่อฟ้าเริ่มแปรเปลี่ยนหมดทางไป

หากไม่เคยต้องเจ็บไม่เคยรู้สึก
ก็ควรระวังกับทางที่เดิน
ที่ล้มลงคราวก่อนสอนเราให้รู้

ต้องขอบคุณน้ำตาที่สอนให้จำในบทเรียน
น้ำตาที่ไหลรินในวันที่หัวใจอ่อนล้า
วันนี้เพิ่งรู้คุณค่าในช่วงเวลาได้เคยเจ็บ
เคยหวังและไม่เป็นดั่งใจ เรียนรู้และก้าวไป

จนวันที่เคยได้รอ รอใครสักคนที่เดิน
ก็คล้ายวันเวลาเปลี่ยนเชื่องช้าไม่ทันใจ
จนวันแห่งการล่ำลาเมื่อฉันกอดเธอไว้
มีพบต้องมีพรากจากกันไป

หากไม่เคยมาก่อนไม่เคยรู้สึก
ว่าการรักใครก็ควรต้องรอ
เมื่อหัวใจคนเปลี่ยนสอนเราให้รู้

ต้องขอบคุณน้ำตาที่สอนให้จำในบทเรียน
น้ำตาที่ไหลรินในวันที่หัวใจอ่อนล้า
วันนี้เพิ่งรู้คุณค่าในช่วงเวลาได้เคยเจ็บ
เคยหวังและไม่เป็นดั่งใจ

พร้อมจะเดินออกไป พร้อมรอยยิ้ม..
รู้ดีพรุ่งนี้ยังแสนไกล..รอต้องทนให้ไหว
ฉันเคยล้มเคยแพ้..
ไม่รักก็ไม่เข้าใจโลกทุกวันเปลี่ยนไป
เหมือนหัวใจใครสักคน ฉันเลยได้เรียนรู้
ว่ารักใช่เพียงแค่รอ

น้ำตาคอยสอนให้จำในบทเรียน
น้ำตาที่ไหลรินในวันที่หัวใจอ่อนล้า
วันนี้เธอไม่กลับมา คือ ช่วงเวลาที่เคยเจ็บ
เคยหวังและไม่เป็นดั่งใจ

แด่รักที่จากไป...ในช่วงเวลาที่เคยเจ็บผิดหวัง
ฉันคอยบอกหัวใจ
เรียนรู้และก้าวไป...แด่รัก..รักที่จากไป"
2,ขอบฟ้า ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ขอบฟ้า_บอดี้สแลม,"
ได้แต่เหลียวมองไปสุดฟ้าไกล
มันช่างน่าเสียดายที่เราไปไม่ถึงขอบฟ้า

จบเสียที ที่เธอต้องทนทรมานเดินบนทางที่เราสองคนหวังกัน ไปยังฝันสุดฟ้า
ปิดฉากเสียที เมื่อเจอคนที่ดีจงโชคดีกับเส้นทางที่ยังเหลือข้างหน้า เธอไปกับเขาคงดีกว่า

ยอมเข้าใจ ยอมเข้าใจ ถ้าไปด้วยกันก็มีแต่เหนื่อยล้า
ฉันเข้าใจ ฉันเข้าใจ ที่เธอร่ำลา

ขอบฟ้า ต้องกลายเป็นเขาที่พาไป ทุกสิ่งที่ฝันกันเอาไว้
จบแล้วไม่เหลือสักอย่าง ฉันทำได้เพียงแค่เท่านี้
มาส่งเธอได้แค่ครึ่งทาง ก็คงต้องยอมรับมัน ยอมรับมัน

จะเจ็บเท่าไหร่ฉันก็จะทน เมื่อเธอจะไปฉันห้ามไม่ได้
ต้องปล่อยเธอไปทั้งน้ำตา แม้แทบขาดใจ
จะเจ็บเท่าไหร่ฉันก็จะยอม ให้เธอมีวันที่ดีข้างหน้า
ให้เธอเดินไปพบความสุขที่ตรงขอบฟ้า ฉันยอม ยอม

ยอมเข้าใจ ยอมเข้าใจ ถ้าไปด้วยกันก็มีแต่เหนื่อยล้า
ฉันเข้าใจ ฉันเข้าใจ ที่เธอร่ำลา

ขอบฟ้า ต้องกลายเป็นเขาที่พาไป ทุกสิ่งที่ฝันกันเอาไว้
จบแล้วไม่เหลือสักอย่าง ฉันทำได้เพียงแค่เท่านี้
มาส่งเธอได้แค่ครึ่งทาง พรุ่งนี้ไม่มีแล้วเธอ
ต้องกลายเป็นเขาที่พาไป ทุกสิ่งที่ฝันกันเอาไว้
จบแล้วไม่เหลือสักอย่าง ฉันทำได้เพียงแค่เท่านี้
มาส่งเธอได้แค่ครึ่งทาง ก็คงต้องยอมรับมัน

จะเจ็บเท่าไหร่ฉันก็จะทน ให้เธอเดินไปที่ตรงขอบฟ้า
ให้เธอไปดี โชคดีเถิดหนา จะเจ็บเท่าไหร่ฉันก็จะทน"
3,คนที่ถูกรัก ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนที่ถูกรัก_บอดี้สแลม,"
ใจ ฉันเคยถูกทิ้งเพียงลำพัง รักใครมาแล้วตั้งกี่ครั้ง
ผิดหวังมากี่หน เมื่อรักคนที่เขาไม่ได้รักเราก็ช้ำใจอย่างนี้
สุดท้ายต้องโดนเขามองผ่าน สุดท้ายไม่มีใครต้องการ
ไม่รู้นานแค่ไหน จะได้จากใครสักที

แค่อยากเป็นคนที่ถูกรัก แค่อยากเป็นคนที่ถูกใครสักคนเข้าใจ
ช่วยเติมชีวิตที่ว่างเปล่า ช่วยเอาความรักมาให้ มีใครบ้างไหมสักคน

เธอ แล้วเธอกับฉันก็เจอกัน ความหวังมีอีกครั้งในใจฉัน
เจ็บช้ำมาอย่างนั้น แต่ฉันยังจะขอลองอีกสักทีจะร้ายดีอย่างไร
สุดท้ายถ้าเธอนั้นมองผ่าน ถ้าฉันไม่มีใครต้องการ
อย่างน้อยมันก็คุ้ม จะทุ่มเทให้มันรู้ไป

แค่อยากเป็นคนที่ถูกรัก แค่อยากเป็นคนที่ถูกใครสักคนเข้าใจ
ช่วยเติมชีวิตที่ว่างเปล่า ช่วยเอาความรักมาให้ มีใครบ้างไหมสักคน

แค่อยากเป็นคนที่เธอรัก แค่อยากเป็นคนที่เธอนั้นจะมาเข้าใจ
แค่สบตาฉันแล้วช่วยตอบ ว่าเธอจะรักกันได้ ได้อย่างที่ฉันรักเธอ

แค่อยากเป็นคนที่ถูกรัก อยากเป็นแค่ใครสักคนที่มีความหมาย
ช่วยเติมชีวิตที่ว่างเปล่า ช่วยเอาความรักมาให้ มีใครบ้างไหมสักคน

แค่อยากเป็นคนที่เธอรัก แค่อยากเป็นคนที่เธอนั้นจะมาเข้าใจ
แค่สบตาฉันแล้วช่วยตอบ ว่าเธอจะรักกันได้ ได้อย่างที่ฉันรักเธอ

ช่วยบอกกับฉันได้ไหม เธอ"
4,คนมีตังค์ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คนมีตังค์_บอดี้สแลม,"
มีสตางค์นี่นะช่างดีเหลือเกิน มีสตางค์จะทำอะไรก็เพลินจะตาย
ไม่ต้องดิ้นต้องรนจะนกจะไม้ จะเอาอะไรก็ชี้
มีสตางค์ก็คงจะดีนะเออ เพียงแต่คนอย่างเรานะมันไม่ค่อยจะมี
พยายามประคับประคองสุดท้ายก็ได้เท่านี้

แต่ฉันไม่เดือดร้อน แม้ไม่มีมากมายอย่างใครสักที
แม้มีเท่านี้ แต่หัวใจมันก็ยินดี ทุกวัน

ชีวิตนี้บางทีก็น้อย คิดไปทำไม
ชีวิตนี้บางวันก็เยอะ ถือเป็นกำไร
ชีวิตเราก็เท่านี้ ความสุขที่หัวใจต้องการ
สุดท้ายมันอยู่ไม่ไกล
ค้นลงไปข้างในจิตใจ ใครๆก็พบมัน

มีสตางค์นี่นะช่างดีแสนดี มีสตางค์จะทำอะไรผู้คนจะมา
เจอกับใครต่อใครมากมายหลายตา เหงานั้นคงไม่มี
มีสตางค์ก็คงจะดีนะเออ เพียงแต่คนอย่างเรานะมันไม่ค่อยจะมี
พยายามประคับประคองสุดท้ายก็เหลือเท่านี้

แต่ฉันไม่เดือดร้อน แม้ไม่มีมากมายอย่างใครสักที
แม้มีเท่านี้ แต่หัวใจมันก็ยินดี ทุกวัน

ชีวิตนี้บางทีก็น้อย คิดไปทำไม
ชีวิตนี้บางวันก็เยอะ ถือเป็นกำไร
ชีวิตเราก็เท่านี้ ความสุขที่หัวใจต้องการ
สุดท้ายมันอยู่ไม่ไกล
ค้นลงไปข้างในจิตใจ ใครๆก็พบมัน

ชีวิตนี้บางทีก็น้อย คิดไปทำไม
ชีวิตนี้บางวันก็เยอะ ถือเป็นกำไร
ชีวิตเราก็เท่านี้ ความสุขที่หัวใจต้องการ
สุดท้ายมันอยู่ไม่ไกล
ค้นลงไปข้างในจิตใจ ใครๆก็พบมัน

มันก็เป็นอย่างเดิม(งดงาม) ฟ้าก็เป็นอย่างเคย(สีคราม)
แม้ว่าในจิตใจ(ทุกคืนทุกวันที่มี)
แม้ไม่มีอย่างใคร(ไม่มี) แล้วจะเป็นอย่างไร
(รับไหว ทุกสิ่งทุกอย่างมันแค่นี้เอง)

มันก็เป็นอย่างเดิม(งดงาม) ฟ้าก็เป็นอย่างเคย(สีคราม)
แม้ว่าในจิตใจ(ทุกคืนทุกวันที่มี)
แม้ไม่มีอย่างใคร(ไม่มี) แล้วจะเป็นอย่างไร
(รับไหว ทุกสิ่งทุกอย่างมันแค่นี้เอง)
แค่คิดดีทำดีก็พอ..."
5,คราม ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/คราม_บอดี้สแลม,"
ลึกลงเท่าไรก็ยิ่งมืดมน
ค้นไปเท่าไรก็ยิ่งสับสน
ส่วนลึกในใจคน ใครจะรู้จริง

ทะเลกว้างไกล และใครเล่าจะรู้ว่า
สุดเส้นขอบฟ้า ตรงที่แผ่นน้ำเป็นประกาย
ลึกลงจะเจออะไร จะมีสิ่งใด
ภายใต้แผ่นน้ำสุดไกลที่ซ่อนอยู่

ที่เธอเคยมองมันว่าดี เธอลองมองให้ดีๆ
ลองหยุดมองและลองคิดอีกที
ถ้าหากทุกสิ่งที่เห็น
ถ้าหากทั้งหมด นั้นเป็นภาพลวงตา

ทะเลแสนไกลไม่มีสิ้นสุด
สีครามหมายความเหมือนใจมนุษย์
มันลึกเกินจะรู้

เธอจะอยู่หรือไป
สักวันถ้าคนที่เธอเคยไว้ใจ
ถึงตอนสุดท้ายไม่เป็นอย่างฝัน
มันไม่มีอะไรสวยงาม

สิ่งที่อยู่ข้างในหัวใจ ที่ใครไม่เคยหยั่งถึง
ถ้าหากตรงนั้นมันอันตราย
ที่สุดจะมีใครเข้าใจ ข้างในใจฉัน

ฟ้างดงามเพียงใด แต่อย่างไรมันก็ต้องมืดมน
ไม่ว่าใคร ต้องมีความจริงเก็บเอาไว้
อยู่ในใจของคน เธอรู้ใช่ไหม

ความจริงกับความฝัน ที่ยังค้นไม่เจอ
ฉันหวั่นใจ ถ้าในวันนั้น
ความเป็นจริง มันไปทำร้ายเธอ
ให้เธอเสียใจ

ทะเลแสนไกลไม่มีสิ้นสุด
สีครามหมายความเหมือนใจมนุษย์
มันลึกเกินจะรู้

เธอจะอยู่หรือไป
สักวันถ้าคนที่เธอเคยไว้ใจ
ถึงตอนสุดท้ายไม่เป็นอย่างฝัน
มันไม่มีอะไรสวยงาม

สิ่งที่อยู่ข้างในหัวใจ ที่ใครไม่เคยหยั่งถึง
ถ้าหากตรงนั้นมันอันตราย
ที่สุดจะมีใครเข้าใจ ข้างในใจฉัน

ความลับสีคราม ไม่มีใครรู้
ใครเข้าใจคำตอบ ฉันคือใคร
ฟากฟ้าทะเลมืดหม่น ความงามที่โหดร้าย
ขอเพียงใครคนหนึ่ง คนนั้นที่เข้าใจที่สุดฉันคือใคร
และพร้อมที่จะก้าวผ่าน

เธอจะอยู่หรือไป
สักวันถ้าคนที่เธอเคยไว้ใจ
ถึงตอนสุดท้ายไม่เป็นอย่างฝัน
มันไม่มีอะไรสวยงาม

สิ่งที่อยู่ข้างในหัวใจ ที่ใครไม่เคยหยั่งถึง
ถ้าหากตรงนั้นมันอันตราย
ที่สุดจะมีใครเข้าใจ ข้างในใจฉัน

ความลับสีคราม ไม่มีใครรู้
ใครเข้าใจคำตอบ ฉันคือใคร
ฟากฟ้าทะเลมืดหม่น ความงามที่โหดร้าย
ขอเพียงใครคนหนึ่ง คนนั้นที่เข้าใจที่สุดฉันคือใคร
ใครกันพร้อมที่จะก้าวผ่าน ความจริงที่โหดร้าย"
6,ครึ่งหลับครึ่งตื่น ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ครึ่งหลับครึ่งตื่น_บอดี้สแลม,"
หวาดกลัว หัวใจ มีหมอกควันมันสับสนเลือนลาง
ตื่นลืมตา หรือเป็นความฝันที่สร้างขึ้นมา เหมือนตรงนี้เป็นเพียงเส้นบางบาง
จินตนาการ พันธนาการ วันเวลาหยุดเคลื่อนไป
มองประกายระยิบที่ร่วงลงมา มันคือหยาดฝนหรือหยดน้ำตา

* ได้โปรดกอดฉันไว้อีกครั้ง ฉันเพียงอยากจะฟังเสียงใจเธอ ได้โปรดเตือนให้ฉันสัมผัสได้ไหม

ว่าชีวิตฉันมันคือความจริง ใช่ฝันไป ฉันยังคงอยู่ตรงนี้ ที่ตรงนี้ มีเธอ
จินตนาการ พันธนาการ แตกต่างกันที่ตรงไหน
เส้นแบ่งขอบฟ้าหรือภาพลวงตา เราตื่นขึ้นมาในฝันของใคร

( ซ้ำ * )

ว่าชีวิตฉันยังมีเธอ ทุกคืนวันไม่ใช่ฝันเดียวดาย
และตราบใดที่ยังมีเธอข้างกาย ชีวิตของฉันยังมีความหมาย

ในคืนที่ไร้ซึ่งปลายทาง ฉันเพียงอยากจะฟังเสียงใจเธอ ได้โปรดทำให้ฉันรู้สึกอีกครั้ง

ว่าชีวิตฉันยังมีเธอ ทุกคืนวันไม่ใช่ฝันเดียวดาย
และตราบใดที่ยังมีเธอข้างกาย ชีวิตของฉันยังมันคือความจริง"
7,ครึ่งๆ กลางๆ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ครึ่งๆ%20กลางๆ_บอดี้สแลม,"
กับชีวิตครึ่งๆกลางๆ   เหมือนว่าไม่มีทาง ให้เป็นดังใจ
มีแค่ฝันเลื่อนๆ ลอยๆ   โหยหาและรอคอย คนเข้าใจ

ข่มตานอนด้วยความ .. โดดเดี่ยว หลับลงพร้อมความ .. เดียวดาย

อยู่แห่งใด  ใครสักคนที่เชื่อในสิ่งเดียวกัน .. มองดาวดวงเดียวกัน  คนคนนั้นคือใคร

กับคำถามที่ค้างในใจ   ชีวิตมีเพื่ออะไร ถ้าหากไร้ซึ่ง .. ความฝัน
แล้วต้องฝันไปเพื่ออะไร   หากไร้คนที่เข้าใจ .. และรักกัน

คือความจริงที่แสนเจ็บปวด และยังทุกข์ทรมาน

อยู่แห่งใด  ใครสักคนที่เชื่อในสิ่งเดียวกัน .. มองดาวดวงเดียวกัน  คนคนนั้นคือใคร
ในใจยังฝันและศรัทธา  กับทางเดินข้างหน้าที่มันช่างแสนยาวไกล
ในวันที่ใจโรยแรง  ขอเพียงแค่มีใคร  สักคนอยู่ข้างเคียงกัน
สักคน  เท่านั้นจริงๆ  Oh Oh .. สักคน  ที่เข้าใจฉัน

หนทาง แสนไกล สักเท่าไร .. ขอเพียง สักคน เข้าใจ
(หนทาง แสนไกล สักเท่าไร .. ขอเพียง สักคน เข้าใจ)
(หนทาง แสนไกล จะฝ่าพัน .. ขอเพียง สักคน ข้างกัน)

อยู่แห่งใด  ใครสักคนที่เชื่อในสิ่งเดียวกัน   มองดาวดวงเดียวกัน  คนคนนั้นคือใคร
ในใจยังฝันและศรัทธา  กับทางเดินข้างหน้าที่มันช่างแสนยาวไกล
ในวันที่ใจโรยแรง  ขอเพียงแค่มีใคร  สักคนอยู่ข้างเคียงกัน

(กับชีวิตครึ่งๆกลางๆ เหมือนว่าไม่มีทาง เป็นอย่างใจ)   มีใครบ้างไหม
(มีแค่ฝันเลื่อนๆลอยๆ โหยหาและรอคอย คนเข้าใจ)
ในใจยังฝันและศรัทธา   เดินไปข้างหน้า   สักคน   ยังรอคอย
(กับคำถามที่ค้างในใจ ชีวิตมีเพื่ออะไร หากหยุดฝัน)
(เราจะฝันไปเพื่ออะไร หากไร้คนที่เข้าใจ และรักกัน)"
8,ความเชื่อ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความเชื่อ_บอดี้สแลม,"
มันเกือบจะล้มมันเหนื่อยมันล้าเหมือนแทบขาดใจ
เดินมาจนท้อไม่เจอจุดหมายปลายทางที่ฝัน
จะกลับดีไหมถ้าเดินต่อไปยากเย็นขนาดนั้น ยังถามใจ

ตลอดชีวิตฉันเชื่อในสิ่งที่คิด
หรือมันจะเป็นอะไรที่ผิด และฉันเองที่หลงทาง

ชีวิตมันต้องเดินตามหาความฝัน หกล้มคลุกคลานเท่าไหร่
มันจะไปจบที่ตรงไหน เมื่อเดินเท่าไหร่มันก็ไปไม่ถึง

เดินต่อช้าๆไม่อยากปล่อยฝันให้มันหลุดมือ
ที่สั่งให้ฉันไปต่อก็คือความเชื่อเท่านั้น
ถ้าในวันนี้เรี่ยวแรงยังเหลือก็ยังต้องฝัน ต้องก้าวไป

ตลอดชีวิตฉันเชื่อในสิ่งที่คิด
แม้ไม่ว่ามันจะถูกหรือผิด จะขอทำสุดหัวใจ

ชีวิตมันต้องเดินตามหาความฝัน หกล้มคลุกคลานเท่าไหร่
มันจะไปจบที่ตรงไหน แต่จะยังไงก็ต้องไปให้ถึง
ที่สุดถ้ามันจะไม่คุ้ม แต่มันก็ดีที่อย่างน้อยได้จดจำว่าครั้งนึงเคยก้าวไป
แค่คนที่เชื่อในความฝัน จะเหน็ดจะเหนื่อยก็ยังต้องเดินต่อไป

ฉันท้อแท้สักกี่ทียังมีหวัง
แม้พลาดพลั้งสักกี่ครั้งยังฝันไกล
แม้ฉันล้มฉันก็คงไม่ตาย
ฉันยังไม่ตายฉันยังคงหายใจ

แม้ท้อแท้สักกี่ทียังมีหวัง
แม้พลาดพลั้งสักกี่ครั้งยังฝันไกล
แม้ฉันล้มฉันก็คงไม่ตาย
ฉันยังไม่ตายฉันยังคงหายใจ

ชีวิตมันต้องเดินตามหาความฝัน หกล้มคลุกคลานเท่าไหร่
มันจะไปจบที่ตรงไหน แต่จะยังไงก็ต้องไปให้ถึง
ที่สุดถ้ามันจะไม่คุ้ม แต่มันก็ดีที่อย่างน้อยได้จดจำว่าครั้งนึงเคยก้าวไป
แค่คนที่เชื่อในความฝัน จะเหน็ดจะเหนื่อยก็ยังต้องเดินต่อไป

ฉันท้อแท้สักกี่ทียังมีหวัง
แม้พลาดพลั้งสักกี่ครั้งยังฝันไกล
แม้ฉันล้มฉันก็คงไม่ตาย
ฉันยังไม่ตายฉันยังคงหายใจ

แม้ท้อแท้สักกี่ทียังมีหวัง
แม้พลาดพลั้งสักกี่ครั้งยังฝันไกล
แม้ฉันล้มฉันก็คงไม่ตาย
ฉันยังไม่ตายฉันยังคงหายใจ"
9,ความซื่อสัตย์ ,https://xn--72c9bva0i.meemodel.com//เนื้อเพลง/ความซื่อสัตย์_บอดี้สแลม,"
นอน ฉันก็ยังนอนคนเดียวอยู่ ฉันก็ยังตัวคนเดียวอยู่
ไม่มีอะไร มีก็แต่ใจที่ยังมั่นคงต่อเธอ
เหมือนวันที่เคยมีกันอยู่ แม้วันนี้เธอจะไม่อยู่
ก็ไม่ได้คิด จะให้ชีวิตมีใคร

ยังเหมือนเดิม ยังไงก็ยังอย่างนั้น
เวลาไม่เคยเปลี่ยนฉัน ที่มันยังมีแต่เธอทั้งใจ
ยังเก็บเธอไว้อย่างดี ยังมีรักเดียวเสมอ
ทุกอย่างยังเหมือนว่าเธอ ไม่จากไป
ยังอยู่กับรักที่มี ไม่เคยคิดจะเปลี่ยนใจ
ฉันยังซื่อสัตย์ ยังไม่อาจรักใคร ยังรักได้แค่เธอ

จำ ฉันก็ยังจำแค่เรื่องเก่า ฉันก็ยังทำเหมือนๆเก่า
ยังมีชีวิต ติดอยู่กับความทรงจำและคำว่ารัก
แม้ต้องมีฉันเพียงผู้เดียว ฉันก็ยังคงจะรักเดียว
ต่อให้มันเหงา ต่อให้ปวดร้าวเพียงใด

ยังเหมือนเดิม ยังไงก็ยังอย่างนั้น
เวลาไม่เคยเปลี่ยนฉัน ที่มันยังมีแต่เธอทั้งใจ
ยังเก็บเธอไว้อย่างดี ยังมีรักเดียวเสมอ
ทุกอย่างยังเหมือนว่าเธอ ไม่จากไป
ยังอยู่กับรักที่มี ไม่เคยคิดจะเปลี่ยนใจ
ฉันยังซื่อสัตย์ ยังไม่อาจรักใคร ยังรักได้แค่เธอ

ยังรักเธอเสมอ ยังรักเธอคนเดียว
ยังเก็บเธอไว้อย่างดี ยังมีรักเดียวเสมอ
ทุกอย่างยังเหมือนว่าเธอ ไม่จากไป
ยังอยู่กับรักที่มี ไม่เคยคิดจะเปลี่ยนใจ
ฉันยังซื่อสัตย์ ยังไม่อาจรักใคร
แม้คนที่ซื่อสัตย์ต้องไม่เหลือใคร แต่ฉันก็รักเธอ

(ไม่มีเธอ ฉันก็ไม่เคยคิดจะเปลี่ยนใจ แม้ว่าในวันนี้ไม่มีใคร แม้ในวันนี้ไม่มีเธอ)
ยังรักเธอ
(ไม่มีเธอ ฉันก็ไม่เคยคิดจะเปลี่ยนใจ แม้ว่าในวันนี้ไม่มีใคร แม้ในวันนี้ไม่มีเธอ)
นอน ฉันก็ยังนอนคนเดียว ฉันก็ยังตัวคนเดียว
ฉันยังมีเธอคนเดียว เพราะทั้งหัวใจยังมี แต่เธอแต่เธอๆผู้เดียว
ในจิตใจที่มียังรักเดียว ทั้งชีวิตยังรักเธอ รักเธอผู้เดียว
นอน ฉันก็ยังนอนคนเดียว ฉันก็ยังตัวคนเดียว
ฉันยังรักเธอคนเดียว"
